Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.459999,16.49,16.110001,16.190001,1240500,15.803313
2015-10-08,16.450001,16.50,16.17,16.379999,962500,15.988773
2015-10-07,16.48,16.58,15.93,16.450001,1788000,16.057103
2015-10-06,16.75,16.90,15.85,16.299999,2109600,15.910684
2015-10-05,16.23,16.84,16.200001,16.790001,2081000,16.388983
2015-10-02,15.42,16.07,15.32,16.059999,1709700,15.676417
2015-10-01,15.31,15.62,15.25,15.51,1722400,15.139554
2015-09-30,14.96,15.24,14.81,15.20,1862800,14.836958
2015-09-29,15.10,15.24,14.68,14.80,1572000,14.446512
2015-09-28,15.38,15.39,14.86,15.08,1364600,14.719824
2015-09-25,15.63,15.95,15.33,15.45,1203400,15.080987
2015-09-24,15.69,15.74,15.26,15.60,1379100,15.227404
2015-09-23,16.290001,16.34,15.56,15.74,2046700,15.36406
2015-09-22,15.85,16.309999,15.65,16.309999,2005700,15.920446
2015-09-21,15.87,16.190001,15.72,15.92,1299400,15.539761
2015-09-18,15.32,16.110001,15.28,15.82,2529500,15.442149
2015-09-17,14.95,15.69,14.95,15.56,1945200,15.18836
2015-09-16,14.61,14.99,14.61,14.95,1067100,14.592929
2015-09-15,14.46,14.69,14.43,14.62,1086500,14.270811
2015-09-14,14.66,14.69,14.27,14.45,1392900,14.104871
2015-09-11,14.76,14.80,14.47,14.61,944400,14.261049
2015-09-10,14.55,14.86,14.51,14.79,1417700,14.43675
2015-09-09,14.98,15.09,14.62,14.64,1481500,14.290333
2015-09-08,14.83,14.99,14.68,14.82,1469700,14.466034
2015-09-04,14.51,14.80,14.35,14.66,1101400,14.309855
2015-09-03,14.23,14.87,14.20,14.70,2805600,14.3489
2015-09-02,14.06,14.18,13.79,14.14,1467200,13.802276
2015-09-01,13.40,13.90,13.32,13.89,2857700,13.558247
2015-08-31,14.05,14.09,13.57,13.63,1783600,13.304456
2015-08-28,14.23,14.32,13.87,14.11,1624900,13.772991
2015-08-27,14.22,14.23,13.81,14.23,2397500,13.890125
2015-08-26,13.43,13.75,12.99,13.73,2274100,13.402067
2015-08-25,13.19,13.26,12.82,13.07,2812600,12.757831
2015-08-24,13.04,13.55,12.31,12.51,4995700,12.211207
2015-08-21,13.54,14.07,13.51,13.91,3187400,13.577768
2015-08-20,14.29,14.39,13.81,13.82,2630000,13.489918
2015-08-19,14.67,14.74,14.35,14.42,1802000,14.075588
2015-08-18,15.19,15.24,14.75,14.77,1334200,14.417229
2015-08-17,14.96,15.28,14.78,15.24,1562100,14.876002
2015-08-14,15.03,15.15,14.70,14.98,1496400,14.622212
2015-08-13,14.39,15.22,14.38,15.09,2324900,14.729585
2015-08-12,14.21,14.57,13.96,14.37,2716400,14.026782
2015-08-11,14.50,14.59,14.23,14.47,2234700,14.124394
2015-08-10,15.08,15.08,14.17,14.47,3978700,14.124394
2015-08-07,14.85,15.04,14.78,14.87,2159800,14.51484
2015-08-06,15.03,15.14,14.70,14.85,1991400,14.495318
2015-08-05,15.11,15.22,14.96,15.05,1769800,14.690541
2015-08-04,15.20,15.35,14.77,15.00,2259300,14.641735
2015-08-03,15.00,15.43,14.90,15.23,1648900,14.866241
2015-07-31,14.98,15.16,14.70,15.02,1487800,14.661257
2015-07-30,15.25,15.36,14.78,14.99,2229300,14.631973
2015-07-29,15.42,15.60,15.15,15.46,1854100,15.090748
2015-07-28,15.47,15.57,15.13,15.41,1888900,15.041942
2015-07-27,15.55,15.64,15.13,15.47,2296800,15.100509
2015-07-24,16.450001,16.940001,15.75,16.02,3226700,15.246927
2015-07-23,17.18,17.25,16.35,16.440001,2989100,15.646659
2015-07-22,17.25,17.450001,17.00,17.10,2092100,16.27481
2015-07-21,16.85,17.34,16.75,17.27,2611700,16.436606
2015-07-20,16.65,16.879999,16.559999,16.610001,2172800,15.808456
2015-07-17,16.75,17.190001,16.440001,16.559999,4158600,15.760868
2015-07-16,16.00,16.76,15.92,16.610001,3659100,15.808456
2015-07-15,16.00,16.139999,15.79,15.88,2776900,15.113683
2015-07-14,15.29,15.94,15.20,15.86,4582400,15.094648
2015-07-13,15.00,15.29,14.99,15.12,1547900,14.390358
2015-07-10,14.70,14.95,14.66,14.94,1433600,14.219044
2015-07-09,14.82,15.00,14.54,14.65,1729000,13.943038
2015-07-08,14.71,14.75,14.44,14.58,1523200,13.876416
2015-07-07,14.96,14.98,14.45,14.74,1818700,14.028695
2015-07-06,14.71,15.14,14.67,14.94,1663800,14.219044
2015-07-02,14.70,14.87,14.66,14.79,1425300,14.076283
2015-07-01,14.27,14.76,14.26,14.66,1606500,13.952556
2015-06-30,14.30,14.40,14.09,14.23,1779700,13.543306
2015-06-29,13.96,14.44,13.91,14.24,2245200,13.552824
2015-06-26,14.24,14.43,13.85,13.90,3157200,13.229231
2015-06-25,14.62,14.64,14.08,14.24,2432300,13.552824
2015-06-24,14.89,15.00,14.54,14.64,2458600,13.933521
2015-06-23,14.66,14.94,14.63,14.80,2153900,14.0858
2015-06-22,14.46,14.64,14.34,14.62,2353700,13.914486
2015-06-19,14.15,14.30,13.99,14.26,2856800,13.571859
2015-06-18,13.76,14.07,13.76,13.92,1939400,13.248266
2015-06-17,13.72,13.74,13.54,13.72,1493300,13.057918
2015-06-16,13.76,13.82,13.63,13.69,1162600,13.029365
2015-06-15,13.88,13.89,13.63,13.73,1576000,13.067434
2015-06-12,13.79,13.90,13.65,13.88,963500,13.210196
2015-06-11,13.68,13.81,13.61,13.80,1033700,13.134057
2015-06-10,13.63,13.70,13.52,13.67,1099600,13.01033
2015-06-09,13.61,13.71,13.41,13.52,1748000,12.867569
2015-06-08,13.38,13.70,13.32,13.60,3042000,12.943708
2015-06-05,13.04,13.32,12.98,13.14,1461500,12.505907
2015-06-04,13.17,13.25,12.96,13.05,1822700,12.42025
2015-06-03,13.19,13.33,13.11,13.19,1255400,12.553493
2015-06-02,13.02,13.28,13.02,13.15,1769100,12.515423
2015-06-01,12.93,13.06,12.68,13.05,1574400,12.42025
2015-05-29,12.99,13.03,12.74,12.91,1156600,12.287005
2015-05-28,12.71,13.14,12.70,12.99,2123600,12.363145
2015-05-27,12.60,12.70,12.50,12.66,691600,12.049069
2015-05-26,12.89,13.02,12.51,12.58,1350500,11.97293
2015-05-22,12.85,13.09,12.85,13.00,1386300,12.372662
2015-05-21,12.75,12.89,12.67,12.82,1290200,12.201348
2015-05-20,12.62,12.79,12.50,12.75,876300,12.134726
2015-05-19,12.38,12.63,12.36,12.62,1401100,12.011
2015-05-18,12.50,12.66,12.31,12.43,1858500,11.830169
