Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,19.52,19.620001,19.51,19.549999,84200,19.221628
2015-10-08,19.60,19.610001,19.50,19.549999,51200,19.221628
2015-10-07,19.58,19.60,19.52,19.549999,35800,19.221628
2015-10-06,19.66,19.68,19.530001,19.59,44700,19.260957
2015-10-05,19.709999,19.709999,19.58,19.629999,38600,19.300284
2015-10-02,19.65,19.790001,19.65,19.67,62200,19.339614
2015-10-01,19.74,19.77,19.629999,19.719999,47000,19.388773
2015-09-30,19.59,19.709999,19.57,19.65,84200,19.319949
2015-09-29,19.530001,19.799999,19.51,19.620001,87400,19.290454
2015-09-28,19.73,19.73,19.549999,19.549999,95700,19.221628
2015-09-25,19.75,19.83,19.639999,19.700001,64000,19.36911
2015-09-24,19.73,19.809999,19.690001,19.77,40100,19.437934
2015-09-23,19.700001,19.780001,19.66,19.73,80600,19.398605
2015-09-22,19.690001,19.790001,19.639999,19.73,72200,19.398605
2015-09-21,19.540001,19.879999,19.43,19.690001,255300,19.359278
2015-09-18,19.280001,19.629999,19.219999,19.57,145300,19.241293
2015-09-17,19.10,19.34,19.049999,19.309999,132500,18.98566
2015-09-16,19.120001,19.139999,19.01,19.139999,52300,18.818515
2015-09-15,19.209999,19.24,19.08,19.15,52400,18.828347
2015-09-14,19.209999,19.25,19.209999,19.209999,38900,18.887339
2015-09-11,19.15,19.24,19.15,19.219999,38600,18.897171
2015-09-10,19.27,19.309999,19.26,19.26,25300,18.826381
2015-09-09,19.24,19.290001,19.120001,19.26,65900,18.826381
2015-09-08,19.35,19.389999,19.26,19.280001,85600,18.845931
2015-09-04,19.34,19.459999,19.209999,19.34,117200,18.90458
2015-09-03,19.290001,19.35,19.23,19.32,82400,18.885029
2015-09-02,19.51,19.51,19.290001,19.299999,75600,18.865479
2015-09-01,19.49,19.49,19.370001,19.42,66200,18.982778
2015-08-31,19.41,19.49,19.309999,19.440001,85400,19.002329
2015-08-28,19.440001,19.57,19.34,19.35,84000,18.914355
2015-08-27,19.50,19.50,19.370001,19.450001,71700,19.012104
2015-08-26,19.610001,19.68,19.440001,19.450001,143900,19.012104
2015-08-25,19.639999,19.860001,19.59,19.610001,113100,19.168501
2015-08-24,19.639999,19.790001,19.559999,19.639999,165000,19.197825
2015-08-21,19.75,19.870001,19.74,19.790001,102300,19.344449
2015-08-20,19.65,19.809999,19.629999,19.809999,54600,19.363997
2015-08-19,19.60,19.719999,19.549999,19.700001,50400,19.256475
2015-08-18,19.629999,19.67,19.559999,19.610001,68200,19.168501
2015-08-17,19.57,19.67,19.57,19.67,89300,19.22715
2015-08-14,19.549999,19.639999,19.52,19.59,41600,19.148951
2015-08-13,19.59,19.610001,19.530001,19.59,42500,19.148951
2015-08-12,19.66,19.74,19.60,19.60,56900,19.158726
2015-08-11,19.60,19.76,19.60,19.75,120000,19.195871
2015-08-10,19.60,19.629999,19.530001,19.58,67500,19.030641
2015-08-07,19.450001,19.610001,19.40,19.59,72300,19.04036
2015-08-06,19.25,19.50,19.23,19.48,67300,18.933446
2015-08-05,19.66,19.68,19.110001,19.190001,206600,18.651584
2015-08-04,19.780001,19.780001,19.690001,19.73,45300,19.176432
2015-08-03,19.68,19.76,19.65,19.74,58000,19.186151
