Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.56,10.59,10.54,10.55,10100,10.430335
2015-10-08,10.52,10.59,10.52,10.54,52900,10.420448
2015-10-07,10.60,10.62,10.52,10.52,47900,10.400675
2015-10-06,10.48,10.60,10.48,10.57,21500,10.450107
2015-10-05,10.64,10.65,10.51,10.55,37500,10.430335
2015-10-02,10.64,10.67,10.54,10.66,29100,10.539087
2015-10-01,10.59,10.63,10.53,10.63,44100,10.509427
2015-09-30,10.52,10.55,10.42,10.55,40400,10.430335
2015-09-29,10.52,10.53,10.43,10.50,24000,10.380902
2015-09-28,10.43,10.50,10.37,10.47,26900,10.351242
2015-09-25,10.46,10.50,10.41,10.46,27400,10.341355
2015-09-24,10.40,10.47,10.37,10.47,52600,10.351242
2015-09-23,10.32,10.46,10.28,10.46,33000,10.341355
2015-09-22,10.26,10.36,10.25,10.29,27500,10.173284
2015-09-21,10.27,10.34,10.27,10.31,23700,10.193057
2015-09-18,10.34,10.46,10.18,10.19,92400,10.074417
2015-09-17,10.29,10.34,10.24,10.32,24800,10.202943
2015-09-16,10.30,10.33,10.24,10.28,20400,10.163397
2015-09-15,10.38,10.38,10.25,10.27,50600,10.153511
2015-09-14,10.43,10.46,10.36,10.36,17700,10.242489
2015-09-11,10.45,10.45,10.28,10.38,140500,10.262263
2015-09-10,10.54,10.54,10.47,10.48,29000,10.32257
2015-09-09,10.50,10.54,10.49,10.54,24400,10.38167
2015-09-08,10.48,10.49,10.46,10.47,7800,10.312721
2015-09-04,10.50,10.54,10.48,10.51,15100,10.35212
2015-09-03,10.53,10.53,10.46,10.51,47400,10.35212
2015-09-02,10.47,10.50,10.40,10.50,21200,10.34227
2015-09-01,10.44,10.50,10.41,10.47,50700,10.312721
2015-08-31,10.27,10.47,10.27,10.42,43400,10.263472
2015-08-28,10.20,10.37,10.15,10.23,50000,10.076326
2015-08-27,10.45,10.46,10.22,10.30,46200,10.145275
2015-08-26,10.51,10.51,10.32,10.37,59900,10.214223
