Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.10,6.17,6.10,6.15,219000,6.018835
2015-10-08,5.99,6.16,5.99,6.07,417900,5.940541
2015-10-07,6.00,6.12,6.00,6.09,466400,5.896501
2015-10-06,5.90,6.00,5.90,6.00,328900,5.80936
2015-10-05,5.88,5.95,5.87,5.90,270100,5.712538
2015-10-02,5.67,5.86,5.64,5.84,497900,5.654444
2015-10-01,5.85,5.85,5.73,5.79,513900,5.606033
2015-09-30,5.87,5.95,5.79,5.83,642600,5.644762
2015-09-29,5.96,6.00,5.78,5.80,714200,5.615715
2015-09-28,6.27,6.27,5.90,5.94,684800,5.751267
2015-09-25,6.30,6.30,6.23,6.25,421400,6.051417
2015-09-24,6.21,6.29,6.16,6.25,708600,6.051417
2015-09-23,6.25,6.30,6.16,6.19,253000,5.993324
2015-09-22,6.28,6.32,6.20,6.28,432400,6.080464
2015-09-21,6.40,6.42,6.33,6.38,377500,6.177287
2015-09-18,6.38,6.45,6.34,6.37,273200,6.167604
2015-09-17,6.32,6.44,6.31,6.39,422500,6.186969
2015-09-16,6.44,6.48,6.29,6.32,768500,6.119193
2015-09-15,6.06,6.33,6.05,6.28,934400,6.080464
2015-09-14,6.21,6.25,6.01,6.06,1240800,5.867454
2015-09-11,6.37,6.43,6.22,6.25,775300,6.051417
2015-09-10,6.53,6.53,6.40,6.40,644200,6.196651
2015-09-09,6.55,6.62,6.53,6.53,480700,6.322521
2015-09-08,6.65,6.69,6.58,6.60,466100,6.327362
2015-09-04,6.41,6.64,6.39,6.62,488300,6.346536
2015-09-03,6.36,6.64,6.33,6.51,1249200,6.24108
2015-09-02,6.61,6.90,6.42,6.44,4086500,6.173971
2015-09-01,7.13,7.30,7.10,7.26,557500,6.960098
2015-08-31,7.23,7.33,7.19,7.22,377900,6.92175
2015-08-28,7.25,7.33,7.19,7.32,335700,7.01762
2015-08-27,7.12,7.31,7.08,7.31,590000,7.008032
2015-08-26,7.03,7.04,6.90,7.02,392500,6.730012
2015-08-25,6.95,7.08,6.90,6.96,414800,6.672491
2015-08-24,6.65,6.75,6.10,6.75,578000,6.471165
2015-08-21,7.18,7.23,7.03,7.08,534400,6.787533
2015-08-20,7.36,7.37,7.27,7.29,203400,6.988859
2015-08-19,7.40,7.44,7.35,7.43,192900,7.123075
2015-08-18,7.40,7.47,7.37,7.46,231400,7.151836
2015-08-17,7.28,7.39,7.28,7.39,219800,7.084728
2015-08-14,7.33,7.35,7.28,7.34,196800,7.036793
2015-08-13,7.33,7.36,7.27,7.35,155000,7.04638
2015-08-12,7.29,7.35,7.24,7.34,228600,7.036793
2015-08-11,7.52,7.55,7.36,7.38,282500,7.075141
2015-08-10,7.62,7.68,7.50,7.66,318500,7.257292
2015-08-07,7.62,7.66,7.56,7.62,230100,7.219395
2015-08-06,7.66,7.67,7.58,7.65,209800,7.247818
2015-08-05,7.66,7.69,7.60,7.67,296300,7.266766
2015-08-04,7.52,7.65,7.48,7.64,355500,7.238343
2015-08-03,7.48,7.56,7.45,7.54,762900,7.143601
2015-07-31,7.37,7.53,7.37,7.43,275000,7.039384
2015-07-30,7.34,7.42,7.34,7.38,263200,6.992013
2015-07-29,7.32,7.42,7.30,7.39,281100,7.001487
2015-07-28,7.21,7.52,7.18,7.39,458700,7.001487
2015-07-27,7.26,7.26,7.04,7.17,897100,6.793053
2015-07-24,7.57,7.61,7.27,7.31,505500,6.925692
2015-07-23,7.53,7.67,7.52,7.63,980300,7.228869
2015-07-22,7.35,7.57,7.35,7.49,572800,7.096229
2015-07-21,7.55,7.55,7.33,7.37,881400,6.982538
2015-07-20,7.89,7.91,7.61,7.63,652000,7.228869
2015-07-17,7.91,7.94,7.90,7.92,226500,7.503623
2015-07-16,7.99,8.00,7.94,7.94,161800,7.522572
2015-07-15,7.98,8.02,7.93,7.95,235400,7.532046
2015-07-14,7.97,8.02,7.95,8.01,256100,7.588892
2015-07-13,7.91,8.06,7.87,7.99,518600,7.569943
2015-07-10,8.00,8.02,7.91,7.94,434300,7.522572
2015-07-09,8.08,8.09,7.91,7.96,351700,7.54152
2015-07-08,8.14,8.14,8.03,8.09,279500,7.579418
2015-07-07,8.30,8.30,8.14,8.20,295000,7.682475
2015-07-06,8.29,8.31,8.22,8.27,231800,7.748058
2015-07-02,8.31,8.41,8.31,8.37,346000,7.841746
2015-07-01,8.17,8.34,8.14,8.31,355500,7.785533
2015-06-30,7.86,8.21,7.86,8.12,824100,7.607524
2015-06-29,7.95,7.96,7.77,7.84,878500,7.345196
2015-06-26,8.15,8.20,7.96,8.03,966800,7.523204
2015-06-25,8.46,8.49,8.24,8.24,430100,7.71995
2015-06-24,8.47,8.54,8.45,8.46,264500,7.926066
2015-06-23,8.45,8.55,8.45,8.52,190900,7.982279
2015-06-22,8.49,8.56,8.45,8.49,199400,7.954172
2015-06-19,8.50,8.52,8.43,8.49,245800,7.954172
2015-06-18,8.51,8.54,8.42,8.52,310800,7.982279
2015-06-17,8.57,8.59,8.48,8.54,467600,8.001017
2015-06-16,8.43,8.60,8.42,8.59,302400,8.047861
2015-06-15,8.40,8.47,8.38,8.43,399200,7.897959
2015-06-12,8.39,8.45,8.25,8.44,730100,7.907328
