Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,5.41,5.46,5.39,5.45,322200,5.331995
2015-10-08,5.29,5.42,5.29,5.39,520700,5.273294
2015-10-07,5.32,5.40,5.31,5.36,513000,5.1872
2015-10-06,5.19,5.29,5.19,5.29,346900,5.119456
2015-10-05,5.21,5.22,5.17,5.19,587800,5.02268
2015-10-02,5.07,5.18,5.04,5.14,815100,4.974292
2015-10-01,5.28,5.28,5.11,5.12,1766600,4.954937
2015-09-30,5.29,5.33,5.23,5.28,617300,5.109779
2015-09-29,5.33,5.42,5.16,5.22,949000,5.051713
2015-09-28,5.61,5.63,5.31,5.35,615300,5.177522
2015-09-25,5.59,5.65,5.54,5.61,824300,5.42914
2015-09-24,5.48,5.61,5.44,5.56,979400,5.380752
2015-09-23,5.53,5.54,5.44,5.46,326800,5.283976
2015-09-22,5.55,5.57,5.45,5.53,380100,5.351719
2015-09-21,5.67,5.72,5.55,5.62,407500,5.438817
2015-09-18,5.59,5.72,5.59,5.67,723300,5.487206
2015-09-17,5.60,5.75,5.60,5.68,660800,5.496883
2015-09-16,5.59,5.68,5.53,5.61,459600,5.42914
2015-09-15,5.40,5.54,5.37,5.52,522900,5.342041
2015-09-14,5.55,5.55,5.32,5.40,1259400,5.22591
2015-09-11,5.61,5.62,5.48,5.50,653100,5.322686
2015-09-10,5.75,5.75,5.60,5.62,572800,5.438817
2015-09-09,5.83,5.85,5.74,5.74,325300,5.554948
2015-09-08,5.90,5.93,5.79,5.84,588700,5.595595
2015-09-04,5.78,5.96,5.74,5.85,490200,5.605176
2015-09-03,5.74,5.93,5.69,5.78,1037000,5.538106
2015-09-02,5.93,6.20,5.73,5.77,3537500,5.528524
2015-09-01,6.49,6.69,6.45,6.62,405100,6.342951
2015-08-31,6.58,6.64,6.58,6.59,175600,6.314207
2015-08-28,6.62,6.70,6.60,6.65,168900,6.371696
2015-08-27,6.55,6.70,6.51,6.69,274800,6.410022
2015-08-26,6.44,6.50,6.36,6.48,214600,6.20881
2015-08-25,6.32,6.58,6.31,6.35,324800,6.084251
2015-08-24,6.09,6.36,5.50,6.21,727000,5.95011
2015-08-21,6.63,6.65,6.48,6.51,432000,6.237555
2015-08-20,6.79,6.79,6.70,6.70,186600,6.419603
2015-08-19,6.79,6.85,6.76,6.83,166300,6.544163
2015-08-18,6.75,6.85,6.68,6.84,178200,6.553744
2015-08-17,6.68,6.75,6.68,6.73,212800,6.448348
2015-08-14,6.76,6.79,6.65,6.68,220200,6.40044
2015-08-13,6.68,6.80,6.66,6.77,238000,6.486674
2015-08-12,6.67,6.73,6.60,6.72,429400,6.438766
2015-08-11,6.90,6.90,6.75,6.78,224300,6.496255
2015-08-10,6.98,7.02,6.90,7.02,183400,6.644769
2015-08-07,6.96,7.00,6.94,7.00,227200,6.625838
2015-08-06,6.98,7.05,6.91,7.02,240400,6.644769
2015-08-05,7.01,7.05,6.99,7.03,307800,6.654234
2015-08-04,6.89,7.00,6.87,6.99,311400,6.616372
2015-08-03,6.86,6.97,6.83,6.94,375000,6.569045
2015-07-31,6.81,6.93,6.80,6.83,208200,6.464924
2015-07-30,6.73,6.84,6.73,6.83,217500,6.464924
2015-07-29,6.73,6.79,6.68,6.77,182600,6.408131
2015-07-28,6.56,6.86,6.53,6.72,418900,6.360804
2015-07-27,6.62,6.62,6.47,6.57,384400,6.218822
2015-07-24,6.94,6.94,6.67,6.69,570500,6.332408
2015-07-23,6.80,6.96,6.80,6.93,689800,6.559579
2015-07-22,6.64,6.82,6.64,6.80,431700,6.436528
2015-07-21,6.89,6.89,6.61,6.68,1278300,6.322942
2015-07-20,7.18,7.18,6.88,6.93,614600,6.559579
2015-07-17,7.19,7.21,7.13,7.19,228200,6.805682
2015-07-16,7.30,7.34,7.20,7.21,529100,6.824613
2015-07-15,7.33,7.33,7.26,7.33,142000,6.938198
2015-07-14,7.24,7.34,7.22,7.34,187100,6.947664
2015-07-13,7.27,7.29,7.16,7.24,337200,6.853009
2015-07-10,7.35,7.37,7.24,7.25,332100,6.862475
2015-07-09,7.50,7.53,7.31,7.34,319300,6.947664
2015-07-08,7.49,7.55,7.40,7.45,351300,6.971328
2015-07-07,7.67,7.67,7.53,7.58,315800,7.092975
2015-07-06,7.64,7.68,7.54,7.64,282200,7.14912
2015-07-02,7.61,7.76,7.60,7.73,505800,7.233337
2015-07-01,7.59,7.70,7.49,7.65,613700,7.158478
2015-06-30,7.23,7.50,7.21,7.49,696500,7.008758
2015-06-29,7.21,7.22,7.00,7.20,641000,6.73739
2015-06-26,7.51,7.51,7.31,7.33,408400,6.859038
2015-06-25,7.66,7.67,7.54,7.54,369400,7.055545
2015-06-24,7.64,7.72,7.62,7.66,243600,7.167835
2015-06-23,7.63,7.70,7.58,7.68,409000,7.18655
2015-06-22,7.66,7.69,7.57,7.68,396200,7.18655
2015-06-19,7.65,7.69,7.58,7.68,351000,7.18655
2015-06-18,7.65,7.70,7.60,7.68,370800,7.18655
2015-06-17,7.60,7.69,7.51,7.67,903700,7.177193
2015-06-16,7.45,7.65,7.45,7.61,377300,7.121048
2015-06-15,7.37,7.45,7.36,7.44,266400,6.96197
2015-06-12,7.39,7.44,7.34,7.42,502900,6.943255
2015-06-11,7.52,7.52,7.36,7.42,805700,6.943255
2015-06-10,7.74,7.74,7.53,7.55,582700,7.064903
2015-06-09,7.72,7.76,7.71,7.76,232500,7.26141
2015-06-08,7.79,7.85,7.76,7.85,233300,7.266089
2015-06-05,7.77,7.81,7.75,7.79,241100,7.210552
2015-06-04,7.93,7.94,7.77,7.79,435900,7.210552
2015-06-03,7.91,7.93,7.86,7.92,316000,7.330882
2015-06-02,7.83,7.92,7.81,7.91,433400,7.321625
2015-06-01,7.78,7.85,7.76,7.83,439900,7.247576
2015-05-29,7.81,7.81,7.75,7.75,419600,7.173527
2015-05-28,7.85,7.85,7.78,7.81,326100,7.229064
2015-05-27,7.87,7.89,7.83,7.88,338200,7.293857
2015-05-26,7.95,7.98,7.78,7.86,970000,7.275345
2015-05-22,8.09,8.14,7.95,7.98,965500,7.386419
2015-05-21,8.12,8.15,8.09,8.12,311200,7.516005
2015-05-20,8.17,8.20,8.09,8.12,217500,7.516005
2015-05-19,8.13,8.17,8.10,8.16,211600,7.55303
2015-05-18,8.14,8.17,8.10,8.15,257500,7.543773
2015-05-15,8.16,8.17,8.06,8.12,381800,7.516005
2015-05-14,8.16,8.17,8.11,8.14,315400,7.534518
2015-05-13,8.17,8.19,8.15,8.18,194000,7.571542
2015-05-12,8.28,8.28,8.10,8.16,457000,7.55303
2015-05-11,8.27,8.30,8.26,8.28,113800,7.664103
2015-05-08,8.27,8.30,8.26,8.29,188400,7.67336
2015-05-07,8.26,8.31,8.21,8.29,203200,7.67336
2015-05-06,8.32,8.39,8.30,8.36,314800,7.659475
2015-05-05,8.29,8.35,8.28,8.35,159500,7.650314
2015-05-04,8.27,8.32,8.27,8.29,265300,7.595341
2015-05-01,8.35,8.35,8.25,8.27,428100,7.577017
2015-04-30,8.33,8.37,8.30,8.31,298400,7.613665
2015-04-29,8.33,8.40,8.33,8.34,204900,7.641151
2015-04-28,8.40,8.40,8.35,8.38,338400,7.677799
2015-04-27,8.38,8.40,8.38,8.38,350000,7.677799
2015-04-24,8.41,8.44,8.38,8.39,325900,7.686962
2015-04-23,8.47,8.48,8.40,8.42,301700,7.714448
2015-04-22,8.48,8.49,8.43,8.47,141500,7.760258
2015-04-21,8.49,8.50,8.47,8.47,115400,7.760258
2015-04-20,8.46,8.49,8.44,8.48,126400,7.769419
2015-04-17,8.45,8.47,8.43,8.46,180500,7.751096
2015-04-16,8.46,8.48,8.41,8.46,190500,7.751096
2015-04-15,8.46,8.47,8.41,8.46,153400,7.751096
2015-04-14,8.41,8.48,8.40,8.45,227700,7.741933
2015-04-13,8.46,8.50,8.38,8.40,228000,7.696123
2015-04-10,8.43,8.49,8.41,8.45,200700,7.741933
