Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,23.92,23.92,23.865,23.90,20000,23.90
2015-10-08,23.809999,23.92,23.76,23.875,16800,23.875
2015-10-07,23.629999,23.799999,23.629999,23.75,24000,23.75
2015-10-06,23.59,23.75,23.59,23.75,23000,23.75
2015-10-05,23.35,23.700001,23.35,23.700001,15600,23.700001
2015-10-02,23.360001,23.459999,23.32,23.455,24700,23.455
2015-10-01,23.559999,23.57,23.309999,23.42,55200,23.42
2015-09-30,23.82,23.82,23.41,23.42,87100,23.42
2015-09-29,23.959999,23.959999,23.68,23.68,36500,23.68
2015-09-28,23.92,23.969999,23.809999,23.93,18800,23.93
2015-09-25,23.879999,24.129999,23.85,24.02,39100,24.02
2015-09-24,23.809999,23.879999,23.65,23.84,53700,23.84
2015-09-23,23.99,23.99,23.809999,23.90,24200,23.90
2015-09-22,24.190001,24.190001,23.799999,23.99,69800,23.99
2015-09-21,23.77,24.200001,23.77,24.190001,62800,24.190001
2015-09-18,23.74,23.889999,23.610001,23.84,43600,23.84
2015-09-17,23.60,23.747999,23.49,23.60,47300,23.60
2015-09-16,23.440001,23.60,23.40,23.50,21400,23.50
2015-09-15,23.51,23.74,23.469999,23.57,45600,23.57
2015-09-14,23.469999,23.549999,23.299999,23.52,18900,23.52
2015-09-11,23.299999,23.50,23.17,23.27,16500,23.27
2015-09-10,23.26,23.50,23.049999,23.43,48700,23.43
2015-09-09,23.68,23.73,23.374001,23.59,31600,23.59
2015-09-08,23.950001,24.10,23.549999,23.58,86500,23.58
2015-09-04,23.799999,23.90,23.754999,23.90,28900,23.90
2015-09-03,23.700001,23.799999,23.610001,23.75,33200,23.75
2015-09-02,23.74,23.74,23.50,23.73,19400,23.73
2015-09-01,23.65,23.67,23.50,23.65,24700,23.65
2015-08-31,23.606001,23.75,23.309999,23.700001,32800,23.700001
2015-08-28,23.700001,23.938,23.40,23.65,36300,23.65
2015-08-27,23.50,23.700001,23.27,23.700001,81200,23.700001
2015-08-26,23.25,23.50,23.16,23.50,36000,23.50
2015-08-25,23.030001,23.315001,23.00,23.055,115200,23.055
2015-08-24,23.85,23.85,22.90,22.90,131000,22.90
2015-08-21,24.200001,24.200001,23.610001,23.85,110500,23.85
2015-08-20,24.01,24.82,24.01,24.219999,90800,24.219999
