Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.72,13.75,13.72,13.75,1700,13.570073
2015-10-08,13.72,13.78,13.72,13.75,8700,13.570073
2015-10-07,13.72,13.73,13.72,13.73,1500,13.550334
2015-10-06,13.65,13.95,13.65,13.75,10400,13.570073
2015-10-05,13.65,13.94,13.65,13.69,16400,13.510858
2015-10-02,13.56,13.68,13.56,13.68,5500,13.500989
2015-10-01,13.51,13.51,13.49,13.51,3300,13.333214
2015-09-30,13.51,13.51,13.45,13.48,3800,13.303606
2015-09-29,13.39,13.44,13.36,13.43,3200,13.254261
2015-09-28,13.43,13.46,13.33,13.45,12100,13.273998
2015-09-25,13.30,13.42,13.13,13.39,6600,13.214784
2015-09-24,13.21,13.29,13.18,13.28,11500,13.106223
2015-09-23,13.22,13.23,13.12,13.19,3200,13.0174
2015-09-22,13.16,13.25,13.12,13.16,6300,12.987793
2015-09-21,13.31,13.31,13.11,13.12,6800,12.948317
2015-09-18,13.18,13.32,13.18,13.21,20100,13.037139
2015-09-17,13.15,13.23,13.12,13.15,8800,12.977924
2015-09-16,13.15,13.15,13.15,13.15,300,12.977924
2015-09-15,13.15,13.15,13.10,13.13,23000,12.958186
2015-09-14,13.22,13.22,13.06,13.06,15600,12.889102
2015-09-11,13.20,13.28,13.20,13.20,4600,13.02727
2015-09-10,13.23,13.27,13.23,13.25,7000,13.018388
2015-09-09,13.39,13.39,13.22,13.23,10500,12.998737
2015-09-08,13.34,13.36,13.25,13.34,2700,13.106815
2015-09-04,13.39,13.39,13.26,13.33,2100,13.09699
2015-09-03,13.27,13.37,13.27,13.36,3600,13.126465
2015-09-02,13.33,13.33,13.21,13.21,6500,12.979087
2015-09-01,13.34,13.35,13.25,13.29,7200,13.057689
2015-08-31,13.13,13.29,13.13,13.29,5500,13.057689
2015-08-28,13.13,13.20,13.12,13.18,16100,12.949612
2015-08-27,13.20,13.27,13.17,13.23,5200,12.998737
2015-08-26,13.17,13.29,13.09,13.15,14400,12.920136
2015-08-25,13.26,13.35,13.09,13.27,12400,13.038039
2015-08-24,12.73,13.41,12.70,13.26,20000,13.028214
2015-08-21,13.33,13.33,13.21,13.33,4700,13.09699
2015-08-20,13.30,13.35,13.25,13.30,4700,13.067514
2015-08-19,13.19,13.33,13.19,13.27,3900,13.038039
2015-08-18,13.28,13.35,13.19,13.19,9500,12.959437
2015-08-17,13.15,13.28,13.13,13.22,10000,12.988913
2015-08-14,13.28,13.28,13.15,13.15,600,12.920136
2015-08-13,13.19,13.32,13.19,13.24,12000,13.008563
2015-08-12,13.18,13.21,13.15,13.15,3600,12.920136
2015-08-11,13.25,13.30,13.14,13.17,16100,12.881817
2015-08-10,13.16,13.31,13.16,13.18,2100,12.891599
2015-08-07,13.22,13.29,13.10,13.10,25000,12.813349
2015-08-06,13.19,13.21,13.16,13.19,2800,12.901379
2015-08-05,13.20,13.20,13.08,13.17,15600,12.881817
2015-08-04,13.49,13.51,13.07,13.16,72100,12.872036
2015-08-03,13.58,13.58,13.39,13.39,29700,13.097004
2015-07-31,13.49,13.64,13.43,13.54,7100,13.243721
2015-07-30,13.57,13.57,13.42,13.42,7200,13.126347
2015-07-29,13.56,13.57,13.52,13.52,11300,13.224159
2015-07-28,13.55,13.55,13.38,13.49,2000,13.194815
2015-07-27,13.58,13.59,13.45,13.54,8800,13.243721
2015-07-24,13.35,13.52,13.28,13.50,18100,13.204596
2015-07-23,13.44,13.44,13.28,13.30,8000,13.008973
2015-07-22,13.42,13.50,13.30,13.35,12000,13.057879
2015-07-21,13.36,13.43,13.29,13.40,3500,13.106784
2015-07-20,13.42,13.49,13.32,13.37,3000,13.077441
2015-07-17,13.48,13.57,13.48,13.52,7600,13.224159
2015-07-16,13.35,13.41,13.32,13.41,5600,13.116565
2015-07-15,13.31,13.35,13.30,13.31,20900,13.018754
2015-07-14,13.35,13.37,13.28,13.28,7700,12.98941
2015-07-13,13.23,13.35,13.22,13.35,2900,13.057879
2015-07-10,13.24,13.36,13.23,13.36,16600,13.009951
2015-07-09,13.49,13.49,13.23,13.25,10500,12.902833
2015-07-08,13.45,13.50,13.32,13.46,8500,13.107331
2015-07-07,13.38,13.38,13.32,13.33,3000,12.980737
2015-07-06,13.34,13.34,13.26,13.33,1900,12.980737
2015-07-02,13.22,13.46,13.18,13.36,18400,13.009951
2015-07-01,13.36,13.36,13.17,13.20,10400,12.854143
2015-06-30,13.25,13.30,13.19,13.26,19000,12.912572
2015-06-29,13.37,13.37,13.18,13.24,5900,12.893095
