Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.31,12.43,12.31,12.41,43100,12.24114
2015-10-08,12.32,12.41,12.31,12.32,34000,12.152365
2015-10-07,12.32,12.38,12.32,12.36,9400,12.191821
2015-10-06,12.27,12.37,12.27,12.35,37700,12.181957
2015-10-05,12.39,12.41,12.32,12.34,18600,12.172093
2015-10-02,12.39,12.40,12.36,12.38,46300,12.211549
2015-10-01,12.37,12.37,12.29,12.34,56100,12.172093
2015-09-30,12.35,12.35,12.27,12.32,31300,12.152365
2015-09-29,12.29,12.32,12.29,12.31,20500,12.142502
2015-09-28,12.29,12.33,12.25,12.29,51800,12.122773
2015-09-25,12.32,12.33,12.29,12.31,5000,12.142502
2015-09-24,12.30,12.37,12.30,12.30,15600,12.132637
2015-09-23,12.35,12.35,12.29,12.30,22600,12.132637
2015-09-22,12.28,12.33,12.26,12.33,10000,12.162229
2015-09-21,12.34,12.36,12.28,12.28,40100,12.112909
2015-09-18,12.33,12.39,12.31,12.34,22300,12.172093
2015-09-17,12.18,12.31,12.17,12.30,40100,12.132637
2015-09-16,12.21,12.21,12.17,12.17,20300,12.004406
2015-09-15,12.24,12.24,12.15,12.16,60900,11.994542
2015-09-14,12.28,12.28,12.22,12.23,11500,12.063589
2015-09-11,12.25,12.30,12.24,12.25,36300,12.083318
2015-09-10,12.27,12.33,12.26,12.27,103700,12.047808
2015-09-09,12.37,12.39,12.28,12.28,113700,12.057626
2015-09-08,12.29,12.40,12.29,12.34,44200,12.11654
2015-09-04,12.38,12.38,12.31,12.31,37000,12.087083
2015-09-03,12.33,12.35,12.28,12.35,34800,12.126359
2015-09-02,12.37,12.37,12.27,12.31,18500,12.087083
2015-09-01,12.36,12.36,12.26,12.30,35700,12.077264
2015-08-31,12.30,12.34,12.24,12.31,16800,12.087083
2015-08-28,12.33,12.38,12.29,12.29,17300,12.067445
2015-08-27,12.30,12.37,12.26,12.35,72300,12.126359
2015-08-26,12.29,12.32,12.29,12.32,18400,12.096902
2015-08-25,12.32,12.37,12.29,12.30,29500,12.077264
2015-08-24,12.40,12.43,12.30,12.30,36800,12.077264
2015-08-21,12.40,12.43,12.31,12.35,47900,12.126359
2015-08-20,12.43,12.46,12.35,12.35,48600,12.126359
2015-08-19,12.48,12.48,12.38,12.39,29400,12.165635
2015-08-18,12.45,12.46,12.36,12.45,31400,12.224548
2015-08-17,12.41,12.43,12.40,12.42,17700,12.195091
2015-08-14,12.38,12.41,12.30,12.41,31200,12.185272
2015-08-13,12.36,12.37,12.35,12.37,18900,12.145996
2015-08-12,12.41,12.41,12.31,12.34,41700,12.11654
2015-08-11,12.31,12.43,12.31,12.43,53800,12.149924
2015-08-10,12.33,12.40,12.29,12.29,60200,12.013078
2015-08-07,12.34,12.36,12.28,12.29,71500,12.013078
2015-08-06,12.32,12.34,12.28,12.32,26600,12.042402
2015-08-05,12.35,12.35,12.30,12.30,24800,12.022853
2015-08-04,12.36,12.37,12.31,12.35,34000,12.071727
2015-08-03,12.41,12.41,12.35,12.37,25200,12.091276
2015-07-31,12.31,12.37,12.31,12.35,26100,12.071727
2015-07-30,12.32,12.32,12.24,12.27,43300,11.993529
2015-07-29,12.35,12.35,12.27,12.28,36700,12.003303
2015-07-28,12.35,12.35,12.28,12.30,31700,12.022853
2015-07-27,12.36,12.36,12.30,12.32,30100,12.042402
2015-07-24,12.34,12.35,12.30,12.34,67200,12.061952
2015-07-23,12.26,12.29,12.26,12.29,48500,12.013078
2015-07-22,12.26,12.29,12.24,12.27,36600,11.993529
2015-07-21,12.24,12.30,12.24,12.28,34100,12.003303
2015-07-20,12.31,12.31,12.21,12.23,33600,11.95443
2015-07-17,12.28,12.31,12.27,12.29,16600,12.013078
2015-07-16,12.28,12.32,12.28,12.30,34400,12.022853
2015-07-15,12.23,12.29,12.23,12.26,25100,11.983754
2015-07-14,12.26,12.29,12.24,12.25,35100,11.97398
2015-07-13,12.25,12.29,12.23,12.28,24500,12.003303
2015-07-10,12.32,12.35,12.30,12.34,45600,12.007214
2015-07-09,12.35,12.38,12.26,12.33,60100,11.997483
2015-07-08,12.35,12.41,12.34,12.37,36600,12.036404
2015-07-07,12.33,12.39,12.33,12.35,47600,12.016944
2015-07-06,12.41,12.41,12.28,12.29,95700,11.958562
2015-07-02,12.30,12.37,12.25,12.37,87300,12.036404
2015-07-01,12.25,12.30,12.18,12.25,140200,11.919641
2015-06-30,12.27,12.27,12.17,12.25,63500,11.919641
2015-06-29,12.33,12.33,12.26,12.27,47500,11.939102
2015-06-26,12.39,12.40,12.31,12.32,34500,11.987752
2015-06-25,12.42,12.42,12.32,12.39,42700,12.055865
2015-06-24,12.43,12.44,12.38,12.41,26600,12.075325
2015-06-23,12.37,12.45,12.37,12.42,55400,12.085056
2015-06-22,12.43,12.43,12.38,12.38,19800,12.046135
2015-06-19,12.43,12.44,12.40,12.44,12500,12.104516
2015-06-18,12.39,12.45,12.38,12.38,26800,12.046135
2015-06-17,12.37,12.42,12.35,12.39,17700,12.055865
2015-06-16,12.40,12.40,12.35,12.36,14200,12.026674
2015-06-15,12.37,12.42,12.35,12.38,34400,12.046135
2015-06-12,12.28,12.40,12.28,12.36,53100,12.026674
2015-06-11,12.30,12.39,12.27,12.34,57700,12.007214
2015-06-10,12.27,12.37,12.26,12.32,71400,11.933263
2015-06-09,12.32,12.38,12.29,12.29,72700,11.904205
2015-06-08,12.42,12.42,12.31,12.34,45100,11.952636
2015-06-05,12.41,12.47,12.38,12.38,47200,11.99138
2015-06-04,12.46,12.50,12.42,12.44,28800,12.049496
2015-06-03,12.47,12.48,12.43,12.43,32400,12.039811
2015-06-02,12.51,12.53,12.44,12.48,38200,12.08824
2015-06-01,12.55,12.55,12.51,12.52,17500,12.126986
2015-05-29,12.49,12.53,12.48,12.53,17900,12.136671
2015-05-28,12.45,12.49,12.44,12.49,30900,12.097927
2015-05-27,12.46,12.50,12.44,12.44,41600,12.049496
2015-05-26,12.42,12.50,12.42,12.48,38500,12.08824
2015-05-22,12.47,12.48,12.41,12.41,9900,12.020438
2015-05-21,12.51,12.51,12.43,12.46,29200,12.068869
2015-05-20,12.45,12.49,12.44,12.46,13200,12.068869
2015-05-19,12.46,12.52,12.41,12.44,45100,12.049496
2015-05-18,12.54,12.55,12.46,12.46,36500,12.068869
2015-05-15,12.54,12.58,12.51,12.54,45300,12.146357
2015-05-14,12.52,12.55,12.47,12.51,38500,12.117299
2015-05-13,12.53,12.54,12.50,12.50,15800,12.107613
2015-05-12,12.57,12.60,12.54,12.57,33900,12.121173
2015-05-11,12.57,12.63,12.56,12.58,32200,12.130816
2015-05-08,12.60,12.64,12.60,12.60,38200,12.150103
2015-05-07,12.58,12.62,12.51,12.55,57700,12.101888
2015-05-06,12.61,12.62,12.53,12.57,61700,12.121173
2015-05-05,12.66,12.69,12.61,12.61,27700,12.159745
2015-05-04,12.71,12.71,12.61,12.65,34000,12.198317
2015-05-01,12.73,12.73,12.61,12.63,40000,12.179031
2015-04-30,12.65,12.69,12.63,12.68,43200,12.227246
2015-04-29,12.69,12.77,12.67,12.68,51900,12.227246
2015-04-28,12.73,12.76,12.70,12.70,54600,12.246532
2015-04-27,12.74,12.76,12.72,12.73,31700,12.27546
2015-04-24,12.75,12.76,12.72,12.73,23300,12.27546
2015-04-23,12.71,12.75,12.70,12.75,20300,12.294746
2015-04-22,12.72,12.73,12.70,12.70,25300,12.246532
2015-04-21,12.76,12.76,12.72,12.73,17900,12.27546
2015-04-20,12.73,12.76,12.73,12.75,14500,12.294746
2015-04-17,12.73,12.77,12.70,12.71,52600,12.256175
2015-04-16,12.75,12.77,12.71,12.73,65900,12.27546
2015-04-15,12.75,12.75,12.73,12.75,20200,12.294746
2015-04-14,12.76,12.78,12.74,12.75,26400,12.294746
2015-04-13,12.73,12.75,12.69,12.74,31900,12.285103
2015-04-10,12.79,12.82,12.76,12.76,21100,12.250389
2015-04-09,12.81,12.81,12.74,12.76,28300,12.250389
2015-04-08,12.79,12.80,12.72,12.80,52000,12.288791
2015-04-07,12.80,12.80,12.75,12.76,20800,12.250389
2015-04-06,12.79,12.80,12.72,12.77,30800,12.259989
2015-04-02,12.81,12.81,12.73,12.76,23600,12.250389
2015-04-01,12.80,12.80,12.72,12.77,24800,12.259989
2015-03-31,12.73,12.78,12.70,12.74,56900,12.231187
2015-03-30,12.75,12.76,12.70,12.73,29100,12.221586
2015-03-27,12.74,12.75,12.70,12.75,34500,12.240788
2015-03-26,12.65,12.70,12.65,12.69,56600,12.183184
2015-03-25,12.79,12.79,12.64,12.64,76600,12.135181
2015-03-24,12.74,12.81,12.69,12.80,30400,12.288791
2015-03-23,12.77,12.81,12.72,12.76,46500,12.250389
2015-03-20,12.70,12.82,12.69,12.76,62100,12.250389
2015-03-19,12.66,12.70,12.63,12.67,28200,12.163983
2015-03-18,12.63,12.69,12.58,12.69,50500,12.183184
2015-03-17,12.60,12.60,12.55,12.58,122100,12.077577
2015-03-16,12.61,12.61,12.56,12.57,112100,12.067976
2015-03-13,12.60,12.60,12.56,12.56,48500,12.058376
2015-03-12,12.62,12.65,12.56,12.57,39000,12.067976
2015-03-11,12.63,12.63,12.58,12.59,28700,12.087178
2015-03-10,12.67,12.69,12.62,12.64,44600,12.081418
2015-03-09,12.64,12.68,12.61,12.62,36200,12.062301
2015-03-06,12.70,12.70,12.61,12.63,28900,12.071859
2015-03-05,12.70,12.77,12.70,12.77,51500,12.205673
2015-03-04,12.75,12.76,12.73,12.73,35700,12.16744
2015-03-03,12.73,12.75,12.67,12.75,33900,12.186556
2015-03-02,12.76,12.76,12.66,12.70,30800,12.138766
2015-02-27,12.67,12.76,12.67,12.71,37700,12.148324
2015-02-26,12.73,12.73,12.65,12.67,35800,12.110092
2015-02-25,12.68,12.74,12.66,12.70,54000,12.138766
2015-02-24,12.62,12.68,12.60,12.66,53900,12.100533
2015-02-23,12.65,12.68,12.62,12.62,35800,12.062301
2015-02-20,12.65,12.68,12.61,12.62,24200,12.062301
2015-02-19,12.58,12.69,12.58,12.60,65200,12.043185
2015-02-18,12.50,12.64,12.50,12.61,80500,12.052743
2015-02-17,12.68,12.70,12.50,12.50,114000,11.947604
2015-02-13,12.67,12.72,12.64,12.67,79800,12.110092
2015-02-12,12.71,12.75,12.66,12.66,57000,12.100533
2015-02-11,12.74,12.74,12.69,12.69,62200,12.129207
2015-02-10,12.82,12.82,12.75,12.75,88000,12.133032
2015-02-09,12.86,12.86,12.81,12.82,34900,12.199644
2015-02-06,12.90,12.90,12.83,12.83,74800,12.20916
2015-02-05,12.96,12.96,12.92,12.94,16400,12.313837
2015-02-04,12.97,12.97,12.89,12.96,44500,12.33287
2015-02-03,13.03,13.03,12.97,12.99,120200,12.361418
2015-02-02,13.03,13.06,13.01,13.04,85200,12.408999
2015-01-30,12.98,13.04,12.97,13.01,69200,12.380451
2015-01-29,12.91,12.98,12.91,12.95,42500,12.323354
2015-01-28,12.93,12.96,12.92,12.95,106800,12.323354
2015-01-27,12.87,12.92,12.87,12.89,54900,12.266257
2015-01-26,12.83,12.88,12.80,12.88,35500,12.256741
2015-01-23,12.80,12.87,12.80,12.84,24800,12.218677
2015-01-22,12.81,12.81,12.78,12.79,40900,12.171096
2015-01-21,12.85,12.85,12.77,12.78,62200,12.16158
2015-01-20,12.81,12.87,12.80,12.82,28200,12.199644
2015-01-16,12.88,12.88,12.81,12.81,37400,12.190129
2015-01-15,12.84,12.88,12.84,12.87,79100,12.247225
2015-01-14,12.84,12.84,12.80,12.81,19800,12.190129
2015-01-13,12.75,12.81,12.75,12.80,34400,12.180612
2015-01-12,12.84,12.85,12.80,12.83,21800,12.15587
2015-01-09,12.79,12.84,12.77,12.79,68200,12.117972
2015-01-08,12.77,12.79,12.74,12.79,56100,12.117972
2015-01-07,12.79,12.82,12.75,12.82,49400,12.146396
2015-01-06,12.75,12.79,12.75,12.76,62700,12.089549
2015-01-05,12.68,12.72,12.66,12.72,65300,12.05165
2015-01-02,12.62,12.69,12.60,12.68,37900,12.013752
2014-12-31,12.58,12.69,12.58,12.65,93200,11.985328
2014-12-30,12.58,12.62,12.55,12.56,151200,11.900058
2014-12-29,12.60,12.64,12.56,12.57,112100,11.909531
2014-12-26,12.61,12.64,12.60,12.60,34800,11.937956
2014-12-24,12.61,12.62,12.60,12.60,27400,11.937956
2014-12-23,12.63,12.64,12.58,12.62,149100,11.956904
2014-12-22,12.62,12.67,12.60,12.65,121100,11.985328
2014-12-19,12.63,12.65,12.60,12.62,69700,11.956904
2014-12-18,12.60,12.67,12.60,12.62,66200,11.956904
2014-12-17,12.65,12.65,12.60,12.60,44000,11.937956
2014-12-16,12.60,12.65,12.60,12.65,81000,11.985328
2014-12-15,12.63,12.64,12.61,12.61,47500,11.94743
2014-12-12,12.62,12.67,12.61,12.63,106100,11.966379
2014-12-11,12.67,12.67,12.62,12.62,51400,11.956904
2014-12-10,12.70,12.71,12.66,12.71,54300,11.987223
2014-12-09,12.65,12.68,12.64,12.65,73000,11.930634
2014-12-08,12.67,12.68,12.63,12.64,53000,11.921204
2014-12-05,12.63,12.69,12.63,12.67,43200,11.949497
2014-12-04,12.70,12.72,12.70,12.72,35800,11.996654
2014-12-03,12.65,12.71,12.65,12.71,55000,11.987223
2014-12-02,12.65,12.70,12.63,12.63,62700,11.911772
2014-12-01,12.67,12.70,12.63,12.64,42500,11.921204
2014-11-28,12.64,12.64,12.63,12.64,12000,11.921204
2014-11-26,12.63,12.64,12.61,12.62,35000,11.902341
2014-11-25,12.60,12.64,12.60,12.64,51000,11.921204
2014-11-24,12.54,12.61,12.54,12.60,108500,11.883478
2014-11-21,12.60,12.60,12.53,12.53,64100,11.817458
2014-11-20,12.54,12.60,12.53,12.53,66400,11.817458
2014-11-19,12.58,12.58,12.53,12.53,26900,11.817458
2014-11-18,12.59,12.60,12.56,12.59,32400,11.874047
2014-11-17,12.55,12.60,12.53,12.54,43700,11.82689
2014-11-14,12.56,12.63,12.53,12.56,40700,11.845753
2014-11-13,12.56,12.58,12.55,12.56,38000,11.845753
