Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.72,13.73,13.65,13.67,58100,13.456306
2015-10-08,13.69,13.72,13.67,13.69,138400,13.475993
2015-10-07,13.72,13.73,13.63,13.69,137600,13.475993
2015-10-06,13.66,13.71,13.63,13.68,109200,13.46615
2015-10-05,13.64,13.65,13.61,13.63,76900,13.416931
2015-10-02,13.61,13.66,13.59,13.61,195500,13.397244
2015-10-01,13.71,13.71,13.60,13.60,170900,13.387401
2015-09-30,13.62,13.69,13.60,13.65,124800,13.436618
2015-09-29,13.62,13.62,13.54,13.59,176700,13.377557
2015-09-28,13.56,13.61,13.55,13.58,128600,13.367713
2015-09-25,13.65,13.66,13.56,13.56,85400,13.348026
2015-09-24,13.66,13.66,13.57,13.61,103300,13.397244
2015-09-23,13.62,13.66,13.59,13.64,58600,13.426775
2015-09-22,13.53,13.62,13.53,13.58,113400,13.367713
2015-09-21,13.54,13.58,13.50,13.55,117900,13.338182
2015-09-18,13.35,13.53,13.35,13.53,172500,13.318494
2015-09-17,13.20,13.38,13.19,13.38,164300,13.17084
2015-09-16,13.22,13.22,13.15,13.16,120700,12.954278
2015-09-15,13.25,13.26,13.20,13.20,91100,12.993653
2015-09-14,13.32,13.37,13.27,13.27,70500,13.062559
2015-09-11,13.34,13.36,13.31,13.33,69800,13.121621
2015-09-10,13.47,13.48,13.32,13.39,230700,13.109808
2015-09-09,13.46,13.53,13.44,13.44,97300,13.158761
2015-09-08,13.47,13.52,13.42,13.44,93100,13.158761
2015-09-04,13.37,13.50,13.37,13.50,110800,13.217506
2015-09-03,13.41,13.45,13.36,13.44,99600,13.158761
2015-09-02,13.39,13.41,13.32,13.36,121700,13.080435
2015-09-01,13.41,13.42,13.37,13.39,88800,13.109808
2015-08-31,13.35,13.40,13.35,13.36,116900,13.080435
2015-08-28,13.33,13.40,13.33,13.36,50000,13.080435
2015-08-27,13.29,13.32,13.24,13.30,148400,13.021692
2015-08-26,13.43,13.44,13.23,13.23,198000,12.953156
2015-08-25,13.47,13.47,13.36,13.37,115700,13.090226
2015-08-24,13.57,13.58,13.39,13.39,165200,13.109808
2015-08-21,13.57,13.58,13.51,13.52,119100,13.237088
2015-08-20,13.54,13.56,13.52,13.54,105000,13.256669
2015-08-19,13.54,13.57,13.52,13.56,94800,13.276251
2015-08-18,13.44,13.56,13.44,13.52,148400,13.237088
2015-08-17,13.51,13.52,13.46,13.46,73400,13.178343
2015-08-14,13.51,13.51,13.45,13.50,50100,13.217506
2015-08-13,13.50,13.52,13.45,13.51,76100,13.227297
2015-08-12,13.49,13.54,13.46,13.48,93300,13.197924
2015-08-11,13.41,13.55,13.41,13.55,114300,13.195967
2015-08-10,13.52,13.54,13.37,13.38,191500,13.030408
2015-08-07,13.49,13.52,13.47,13.48,55200,13.127795
2015-08-06,13.40,13.53,13.40,13.46,90600,13.108318
2015-08-05,13.65,13.66,13.42,13.43,209600,13.079102
2015-08-04,13.64,13.66,13.60,13.65,135100,13.293353
2015-08-03,13.63,13.65,13.60,13.62,208100,13.264137
2015-07-31,13.57,13.63,13.56,13.63,64400,13.273876
2015-07-30,13.51,13.55,13.50,13.54,59100,13.186228
2015-07-29,13.47,13.51,13.44,13.51,104600,13.157012
2015-07-28,13.40,13.49,13.40,13.44,97100,13.08884
2015-07-27,13.33,13.43,13.33,13.41,70600,13.059624
2015-07-24,13.32,13.36,13.30,13.32,63100,12.971976
2015-07-23,13.32,13.33,13.28,13.32,93100,12.971976
2015-07-22,13.40,13.44,13.29,13.29,109800,12.94276
2015-07-21,13.39,13.44,13.36,13.42,77800,13.069363
2015-07-20,13.44,13.46,13.40,13.43,69800,13.079102
2015-07-17,13.44,13.45,13.41,13.43,29800,13.079102
2015-07-16,13.40,13.49,13.38,13.44,96300,13.08884
2015-07-15,13.34,13.40,13.33,13.40,69900,13.049885
2015-07-14,13.35,13.38,13.27,13.33,105100,12.981715
2015-07-13,13.42,13.42,13.25,13.39,205500,13.040147
2015-07-10,13.50,13.50,13.41,13.49,79500,13.067415
2015-07-09,13.51,13.57,13.47,13.51,98000,13.086789
2015-07-08,13.49,13.56,13.47,13.54,118900,13.115849
2015-07-07,13.43,13.51,13.39,13.49,157200,13.067415
2015-07-06,13.30,13.33,13.29,13.32,81000,12.902741
2015-07-02,13.26,13.29,13.26,13.28,196800,12.863994
2015-07-01,13.36,13.36,13.26,13.28,131500,12.863994
2015-06-30,13.20,13.32,13.20,13.28,255700,12.863994
2015-06-29,13.37,13.39,13.26,13.26,128800,12.844621
2015-06-26,13.44,13.44,13.36,13.36,82900,12.941488
2015-06-25,13.48,13.48,13.41,13.45,121800,13.028668
2015-06-24,13.47,13.48,13.42,13.48,103200,13.057728
2015-06-23,13.43,13.49,13.40,13.44,213100,13.018981
2015-06-22,13.42,13.48,13.38,13.45,139500,13.028668
2015-06-19,13.42,13.44,13.40,13.43,81000,13.009295
2015-06-18,13.39,13.41,13.36,13.37,103800,12.951175
2015-06-17,13.39,13.39,13.35,13.38,81500,12.960861
2015-06-16,13.36,13.40,13.34,13.40,80300,12.980234
2015-06-15,13.37,13.40,13.32,13.33,170600,12.912428
2015-06-12,13.25,13.42,13.25,13.32,117100,12.902741
2015-06-11,13.18,13.32,13.18,13.28,355900,12.863994
2015-06-10,13.27,13.36,13.21,13.22,187600,12.736129
2015-06-09,13.30,13.32,13.20,13.27,215800,12.7843
2015-06-08,13.32,13.34,13.27,13.30,223000,12.813201
2015-06-05,13.47,13.47,13.30,13.32,235400,12.832469
2015-06-04,13.57,13.59,13.50,13.50,165600,13.005881
2015-06-03,13.59,13.60,13.55,13.55,86000,13.054051
2015-06-02,13.63,13.67,13.59,13.61,118800,13.111854
2015-06-01,13.65,13.69,13.63,13.63,118900,13.131123
2015-05-29,13.62,13.67,13.60,13.65,92400,13.15039
2015-05-28,13.63,13.65,13.59,13.60,120000,13.102221
2015-05-27,13.66,13.69,13.60,13.63,129600,13.131123
2015-05-26,13.62,13.65,13.60,13.60,61000,13.102221
2015-05-22,13.72,13.72,13.59,13.64,120600,13.140757
2015-05-21,13.65,13.81,13.62,13.71,418000,13.208195
2015-05-20,13.66,13.66,13.63,13.64,82000,13.140757
2015-05-19,13.57,13.68,13.53,13.62,276300,13.121488
2015-05-18,13.70,13.70,13.57,13.61,150500,13.111854
2015-05-15,13.71,13.73,13.66,13.70,99500,13.19856
2015-05-14,13.60,13.69,13.59,13.66,89600,13.160024
2015-05-13,13.67,13.67,13.56,13.60,107700,13.102221
2015-05-12,13.66,13.69,13.62,13.68,225700,13.109928
2015-05-11,13.76,13.76,13.63,13.68,146900,13.109928
2015-05-08,13.72,13.79,13.70,13.78,136200,13.205761
2015-05-07,13.64,13.71,13.61,13.71,200900,13.138678
2015-05-06,13.82,13.85,13.65,13.65,323300,13.081178
2015-05-05,13.89,13.90,13.85,13.85,171600,13.272844
2015-05-04,13.89,13.91,13.88,13.90,122800,13.32076
2015-05-01,14.02,14.02,13.89,13.89,229900,13.311177
2015-04-30,14.01,14.03,13.97,14.01,70300,13.426176
2015-04-29,14.02,14.06,14.01,14.03,136400,13.445343
2015-04-28,14.07,14.10,14.03,14.05,119300,13.46451
2015-04-27,14.09,14.10,14.05,14.05,73300,13.46451
2015-04-24,14.05,14.08,14.03,14.07,146000,13.483676
2015-04-23,14.07,14.07,14.04,14.06,81000,13.474093
2015-04-22,14.04,14.08,14.03,14.05,188200,13.46451
2015-04-21,14.08,14.09,14.04,14.06,52400,13.474093
2015-04-20,14.11,14.11,14.05,14.05,76600,13.46451
2015-04-17,14.03,14.09,14.02,14.09,70400,13.502843
2015-04-16,14.04,14.05,13.98,14.05,137000,13.46451
2015-04-15,14.03,14.05,14.00,14.01,92100,13.426176
2015-04-14,13.96,14.03,13.96,14.03,104100,13.445343
2015-04-13,14.00,14.01,13.92,13.92,96000,13.339927
2015-04-10,14.06,14.09,14.03,14.03,94100,13.376342
2015-04-09,14.11,14.12,14.04,14.05,89900,13.395411
2015-04-08,14.14,14.15,14.09,14.11,69500,13.452615
2015-04-07,14.05,14.16,14.05,14.11,113200,13.452615
2015-04-06,14.12,14.12,14.04,14.04,220400,13.385877
2015-04-02,14.10,14.13,14.04,14.04,196200,13.385877
2015-04-01,14.20,14.26,14.13,14.17,215300,13.50982
2015-03-31,14.05,14.19,14.02,14.19,86100,13.528888
2015-03-30,14.11,14.11,14.00,14.07,87700,13.414479
2015-03-27,14.07,14.13,14.05,14.07,124000,13.414479
2015-03-26,14.09,14.09,14.01,14.02,97500,13.366809
