Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.25,14.27,14.22,14.22,86000,14.005356
2015-10-08,14.24,14.27,14.22,14.22,99500,14.005356
2015-10-07,14.23,14.26,14.20,14.24,119200,14.025054
2015-10-06,14.17,14.22,14.16,14.22,44800,14.005356
2015-10-05,14.21,14.22,14.16,14.17,82800,13.956111
2015-10-02,14.20,14.22,14.16,14.22,97900,14.005356
2015-10-01,14.23,14.27,14.17,14.18,130000,13.96596
2015-09-30,14.14,14.22,14.14,14.18,57100,13.96596
2015-09-29,14.14,14.18,14.14,14.14,37000,13.926564
2015-09-28,14.21,14.23,14.13,14.14,95400,13.926564
2015-09-25,14.16,14.20,14.16,14.20,32300,13.985658
2015-09-24,14.19,14.23,14.14,14.14,137700,13.926564
2015-09-23,14.24,14.25,14.17,14.18,59000,13.96596
2015-09-22,14.13,14.25,14.12,14.20,74800,13.985658
2015-09-21,14.15,14.18,14.11,14.12,37200,13.906865
2015-09-18,14.03,14.22,14.03,14.13,171000,13.916715
2015-09-17,13.92,14.09,13.92,14.07,124200,13.85762
2015-09-16,13.93,13.96,13.91,13.94,91200,13.729582
2015-09-15,14.05,14.05,13.93,13.94,89400,13.729582
2015-09-14,14.10,14.12,14.00,14.04,62700,13.828073
2015-09-11,14.07,14.13,14.07,14.09,46200,13.877318
2015-09-10,14.20,14.22,14.13,14.14,74400,13.854665
2015-09-09,14.22,14.26,14.20,14.20,79400,13.913454
2015-09-08,14.29,14.29,14.23,14.26,40600,13.972244
2015-09-04,14.16,14.30,14.16,14.30,196100,14.011437
2015-09-03,14.15,14.25,14.12,14.15,119600,13.864463
2015-09-02,14.17,14.18,14.04,14.10,85400,13.815473
2015-09-01,14.11,14.18,14.07,14.17,113400,13.88406
2015-08-31,13.97,14.11,13.97,14.11,93200,13.82527
2015-08-28,13.96,14.05,13.95,14.00,73800,13.71749
2015-08-27,13.92,14.00,13.89,13.98,75400,13.697893
2015-08-26,13.96,14.04,13.87,13.88,139100,13.599912
2015-08-25,14.01,14.08,13.98,14.02,126500,13.737087
2015-08-24,14.20,14.22,14.00,14.00,94100,13.71749
2015-08-21,14.20,14.22,14.17,14.19,105400,13.903656
2015-08-20,14.14,14.18,14.12,14.18,83700,13.893858
2015-08-19,14.11,14.21,14.06,14.17,124500,13.88406
2015-08-18,14.07,14.11,14.06,14.11,109400,13.82527
2015-08-17,14.08,14.09,14.02,14.05,86400,13.766481
2015-08-14,14.05,14.09,14.01,14.07,55400,13.786077
2015-08-13,14.05,14.09,14.05,14.08,70600,13.795876
2015-08-12,14.12,14.16,14.04,14.05,121700,13.766481
2015-08-11,14.03,14.19,14.02,14.17,168000,13.812533
2015-08-10,14.00,14.05,13.99,14.00,70600,13.646822
2015-08-07,14.04,14.11,13.98,14.00,114600,13.646822
2015-08-06,14.07,14.14,14.00,14.01,154800,13.65657
2015-08-05,14.26,14.27,14.07,14.07,90000,13.715056
2015-08-04,14.20,14.28,14.20,14.26,100900,13.900263
2015-08-03,14.14,14.21,14.12,14.18,145400,13.822281
2015-07-31,14.04,14.14,14.04,14.14,66300,13.78329
2015-07-30,14.01,14.06,13.98,13.98,106300,13.627326
2015-07-29,14.02,14.05,14.00,14.03,105800,13.676065
2015-07-28,14.05,14.08,13.97,14.02,135200,13.666318
2015-07-27,14.00,14.06,13.99,14.04,65800,13.685813
2015-07-24,14.00,14.02,13.97,14.00,52000,13.646822
2015-07-23,13.94,14.01,13.90,14.00,86600,13.646822
2015-07-22,13.89,13.96,13.89,13.92,75200,13.56884
2015-07-21,13.94,13.96,13.89,13.89,67500,13.539597
2015-07-20,13.93,13.98,13.92,13.92,91000,13.56884
2015-07-17,13.97,13.97,13.93,13.93,34700,13.578588
2015-07-16,13.97,13.97,13.92,13.96,61100,13.607831
2015-07-15,13.96,13.98,13.92,13.92,106600,13.56884
2015-07-14,13.88,13.97,13.88,13.93,89800,13.578588
2015-07-13,13.98,13.99,13.90,13.90,138700,13.549344
2015-07-10,14.03,14.07,14.01,14.07,76700,13.643897
2015-07-09,14.03,14.10,14.03,14.08,85400,13.653595
2015-07-08,14.07,14.11,14.04,14.11,77400,13.682686
2015-07-07,14.03,14.09,14.03,14.05,105900,13.624503
2015-07-06,13.97,14.02,13.97,13.99,86100,13.56632
2015-07-02,14.01,14.01,13.88,13.97,147800,13.546926
2015-07-01,14.06,14.06,13.96,14.03,76800,13.605109
2015-06-30,13.92,14.03,13.91,14.03,72200,13.605109
2015-06-29,14.04,14.04,13.93,13.93,122800,13.508138
2015-06-26,14.07,14.07,14.03,14.06,122000,13.634201
2015-06-25,14.10,14.11,14.06,14.07,67000,13.643897
2015-06-24,14.10,14.12,14.07,14.11,127900,13.682686
2015-06-23,14.04,14.11,14.03,14.10,128900,13.672989
2015-06-22,14.04,14.06,14.01,14.06,98500,13.634201
2015-06-19,14.06,14.07,14.02,14.06,96800,13.634201
2015-06-18,14.11,14.11,13.98,14.00,136300,13.576017
2015-06-17,14.05,14.12,13.99,14.12,138300,13.692383
2015-06-16,14.01,14.07,14.00,14.07,68700,13.643897
2015-06-15,13.99,14.05,13.95,14.01,109400,13.585715
2015-06-12,14.01,14.06,13.93,13.97,423600,13.546926
2015-06-11,14.01,14.03,14.01,14.01,152100,13.585715
2015-06-10,14.05,14.14,14.01,14.04,197100,13.544017
2015-06-09,14.03,14.05,13.97,14.05,240400,13.553664
2015-06-08,14.10,14.10,14.04,14.04,175300,13.544017
2015-06-05,14.09,14.12,14.02,14.07,112400,13.572957
2015-06-04,14.28,14.28,14.16,14.16,104100,13.659778
2015-06-03,14.29,14.31,14.26,14.26,96700,13.756245
2015-06-02,14.32,14.35,14.30,14.33,100500,13.823772
2015-06-01,14.43,14.43,14.37,14.37,123100,13.862359
2015-05-29,14.38,14.40,14.35,14.40,169800,13.891299
2015-05-28,14.45,14.45,14.40,14.40,86100,13.891299
2015-05-27,14.40,14.45,14.40,14.45,49000,13.939533
2015-05-26,14.40,14.42,14.37,14.38,76600,13.872006
2015-05-22,14.44,14.46,14.40,14.40,72800,13.891299
2015-05-21,14.44,14.47,14.43,14.44,61700,13.929886
2015-05-20,14.45,14.45,14.40,14.43,83500,13.92024
2015-05-19,14.39,14.47,14.37,14.42,140900,13.910593
2015-05-18,14.53,14.55,14.39,14.42,152700,13.910593
2015-05-15,14.54,14.58,14.49,14.57,57800,14.055294
2015-05-14,14.45,14.51,14.44,14.50,93700,13.987767
2015-05-13,14.47,14.52,14.45,14.45,114200,13.939533
2015-05-12,14.56,14.59,14.52,14.53,103400,13.942427
2015-05-11,14.73,14.73,14.53,14.56,108600,13.971214
2015-05-08,14.69,14.74,14.65,14.73,94000,14.134339
2015-05-07,14.59,14.63,14.56,14.62,140800,14.028788
2015-05-06,14.82,14.82,14.59,14.59,165000,14.000001
2015-05-05,14.78,14.84,14.76,14.83,105800,14.230296
2015-05-04,14.86,14.86,14.77,14.85,94100,14.249487
2015-05-01,14.97,14.98,14.80,14.81,144300,14.211105
2015-04-30,14.98,14.98,14.89,14.94,134500,14.335847
2015-04-29,14.94,14.99,14.91,14.99,119400,14.383825
2015-04-28,14.99,15.01,14.97,14.97,122100,14.364635
2015-04-27,15.04,15.06,14.97,14.97,115300,14.364635
2015-04-24,14.96,14.98,14.94,14.98,75300,14.374229
2015-04-23,14.90,14.98,14.88,14.96,143000,14.355039
