Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.68,12.70,12.63,12.63,52800,12.454781
2015-10-08,12.66,12.70,12.64,12.68,54700,12.504087
2015-10-07,12.65,12.67,12.57,12.63,95900,12.454781
2015-10-06,12.64,12.70,12.64,12.68,72500,12.504087
2015-10-05,12.67,12.69,12.65,12.65,103200,12.474503
2015-10-02,12.66,12.68,12.62,12.66,97000,12.484364
2015-10-01,12.64,12.64,12.58,12.60,93800,12.425197
2015-09-30,12.53,12.59,12.52,12.59,82400,12.415336
2015-09-29,12.51,12.57,12.51,12.57,54700,12.395613
2015-09-28,12.57,12.63,12.48,12.50,154500,12.326584
2015-09-25,12.61,12.63,12.52,12.58,107300,12.405474
2015-09-24,12.58,12.71,12.56,12.60,243500,12.425197
2015-09-23,12.56,12.59,12.55,12.58,67500,12.405474
2015-09-22,12.52,12.60,12.52,12.57,176900,12.395613
2015-09-21,12.56,12.58,12.50,12.50,74200,12.326584
2015-09-18,12.56,12.60,12.52,12.56,146100,12.385752
2015-09-17,12.40,12.60,12.40,12.60,198400,12.425197
2015-09-16,12.41,12.44,12.41,12.42,63700,12.247694
2015-09-15,12.46,12.47,12.41,12.44,137500,12.267416
2015-09-14,12.51,12.54,12.44,12.47,158700,12.297
2015-09-11,12.54,12.55,12.47,12.52,106900,12.346307
2015-09-10,12.58,12.62,12.56,12.58,68800,12.347293
2015-09-09,12.60,12.62,12.56,12.60,74100,12.366923
2015-09-08,12.58,12.63,12.56,12.56,87900,12.327663
2015-09-04,12.59,12.60,12.53,12.56,68300,12.327663
2015-09-03,12.60,12.65,12.56,12.56,74200,12.327663
2015-09-02,12.63,12.63,12.57,12.61,51300,12.376738
2015-09-01,12.65,12.66,12.57,12.58,125900,12.347293
2015-08-31,12.55,12.60,12.51,12.60,104000,12.366923
2015-08-28,12.52,12.54,12.51,12.53,54800,12.298218
2015-08-27,12.57,12.61,12.52,12.52,74700,12.288403
2015-08-26,12.57,12.60,12.50,12.53,29000,12.298218
2015-08-25,12.56,12.66,12.53,12.53,124600,12.298218
2015-08-24,12.56,12.61,12.48,12.60,202500,12.366923
2015-08-21,12.59,12.69,12.57,12.66,127400,12.425813
2015-08-20,12.56,12.62,12.53,12.60,99500,12.366923
2015-08-19,12.58,12.59,12.55,12.56,49100,12.327663
2015-08-18,12.61,12.64,12.58,12.58,65800,12.347293
2015-08-17,12.66,12.70,12.59,12.63,94400,12.396368
2015-08-14,12.61,12.66,12.58,12.66,102600,12.425813
2015-08-13,12.63,12.68,12.63,12.66,60300,12.425813
2015-08-12,12.72,12.75,12.66,12.67,62500,12.435628
2015-08-11,12.65,12.76,12.64,12.73,92600,12.436609
2015-08-10,12.67,12.68,12.62,12.64,77200,12.348684
2015-08-07,12.63,12.69,12.62,12.66,58700,12.368222
2015-08-06,12.64,12.64,12.58,12.63,63900,12.338914
2015-08-05,12.70,12.70,12.62,12.64,89300,12.348684
2015-08-04,12.76,12.77,12.66,12.67,118100,12.377992
2015-08-03,12.77,12.81,12.69,12.70,164900,12.4073
2015-07-31,12.64,12.73,12.62,12.73,45400,12.436609
2015-07-30,12.59,12.64,12.59,12.61,72900,12.319374
2015-07-29,12.60,12.65,12.57,12.63,85900,12.338914
2015-07-28,12.65,12.66,12.58,12.58,71100,12.290066
2015-07-27,12.70,12.74,12.64,12.68,59500,12.387762
2015-07-24,12.64,12.71,12.61,12.70,60300,12.4073
2015-07-23,12.60,12.66,12.60,12.66,32400,12.368222
2015-07-22,12.57,12.62,12.57,12.61,98700,12.319374
2015-07-21,12.45,12.60,12.45,12.58,144900,12.290066
2015-07-20,12.57,12.58,12.47,12.48,121400,12.19237
2015-07-17,12.60,12.63,12.57,12.57,51100,12.280296
2015-07-16,12.62,12.65,12.57,12.57,131900,12.280296
2015-07-15,12.56,12.62,12.55,12.59,66500,12.299836
2015-07-14,12.58,12.61,12.57,12.59,142200,12.299836
2015-07-13,12.65,12.68,12.61,12.61,78000,12.319374
2015-07-10,12.68,12.74,12.66,12.71,110000,12.35943
2015-07-09,12.73,12.76,12.68,12.73,51200,12.378878
2015-07-08,12.66,12.75,12.66,12.72,76000,12.369154
2015-07-07,12.68,12.75,12.68,12.71,79100,12.35943
2015-07-06,12.63,12.71,12.58,12.68,111700,12.330258
2015-07-02,12.62,12.64,12.59,12.64,83400,12.291361
2015-07-01,12.57,12.59,12.48,12.59,158100,12.24274
2015-06-30,12.47,12.55,12.41,12.55,182500,12.203843
2015-06-29,12.52,12.55,12.40,12.45,251900,12.106601
2015-06-26,12.54,12.56,12.50,12.52,217500,12.174671
2015-06-25,12.67,12.67,12.54,12.56,217100,12.213568
2015-06-24,12.71,12.75,12.62,12.63,257200,12.281637
2015-06-23,12.72,12.80,12.70,12.72,111600,12.369154
2015-06-22,12.79,12.80,12.72,12.73,115000,12.378878
2015-06-19,12.77,12.85,12.77,12.84,58900,12.485844
2015-06-18,12.70,12.78,12.70,12.75,105600,12.398327
2015-06-17,12.63,12.77,12.63,12.75,144700,12.398327
2015-06-16,12.67,12.68,12.61,12.63,81000,12.281637
2015-06-15,12.63,12.68,12.61,12.66,146300,12.310809
2015-06-12,12.51,12.62,12.51,12.60,99900,12.252464
2015-06-11,12.52,12.56,12.51,12.54,101500,12.194119
2015-06-10,12.49,12.56,12.45,12.55,130900,12.146471
2015-06-09,12.52,12.53,12.45,12.50,372400,12.098078
2015-06-08,12.60,12.60,12.46,12.52,241200,12.117436
2015-06-05,12.62,12.64,12.55,12.56,258500,12.15615
2015-06-04,12.75,12.79,12.66,12.67,136000,12.262612
2015-06-03,12.80,12.82,12.74,12.76,164000,12.349719
2015-06-02,12.90,12.91,12.79,12.80,175300,12.388432
2015-06-01,12.89,12.94,12.86,12.94,111400,12.52393
2015-05-29,12.85,12.88,12.82,12.85,108000,12.436825
2015-05-28,12.84,12.89,12.83,12.86,100700,12.446503
2015-05-27,12.80,12.85,12.79,12.84,157900,12.427146
2015-05-26,12.77,12.83,12.77,12.81,73800,12.398111
2015-05-22,12.81,12.83,12.80,12.80,55100,12.388432
