Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.99,11.49,10.98,11.46,9600,11.185151
2015-10-08,10.95,11.18,10.70,11.18,12500,10.911867
2015-10-07,11.07,11.15,10.83,11.10,8500,10.833786
2015-10-06,10.25,11.16,10.25,11.07,13100,10.804505
2015-10-05,10.22,10.44,10.21,10.26,34900,10.013932
2015-10-02,9.77,10.25,9.66,10.00,22300,9.760167
2015-10-01,9.80,10.47,9.70,9.93,18500,9.691846
2015-09-30,9.55,10.00,9.55,9.89,24600,9.652806
2015-09-29,10.29,10.29,9.46,9.56,18600,9.33072
2015-09-28,9.77,10.02,9.70,9.70,9600,9.467362
2015-09-25,9.93,10.21,9.81,9.81,23700,9.574724
2015-09-24,9.85,10.10,9.85,10.06,7100,9.818728
2015-09-23,9.85,10.10,9.85,9.85,4500,9.613765
2015-09-22,9.92,10.16,9.67,9.78,5800,9.545443
2015-09-21,10.10,10.12,9.85,9.90,11800,9.662565
2015-09-18,10.21,10.50,9.57,9.81,47400,9.574724
2015-09-17,10.41,10.92,10.10,10.21,20300,9.965131
2015-09-16,9.98,10.99,9.95,10.60,32200,10.345777
2015-09-15,9.99,10.37,9.90,9.90,15500,9.662565
2015-09-14,10.42,10.49,10.00,10.01,16100,9.769927
2015-09-11,9.76,10.77,9.65,10.50,24900,10.248175
2015-09-10,10.25,10.30,9.52,9.96,20300,9.721126
2015-09-09,10.48,11.05,10.00,10.01,27600,9.769927
2015-09-08,10.61,10.95,10.26,10.27,22200,10.023692
2015-09-04,11.26,11.26,10.28,10.42,18900,10.170094
2015-09-03,10.25,11.12,10.13,10.27,22000,10.023692
2015-09-02,11.71,11.71,10.12,10.32,35300,10.072492
2015-09-01,10.88,11.91,10.88,10.98,37000,10.716663
2015-08-31,11.09,11.35,10.90,11.28,14600,11.009468
2015-08-28,11.41,11.41,11.06,11.24,20100,10.970427
2015-08-27,10.25,11.97,10.25,11.27,47200,10.999709
2015-08-26,10.00,10.24,9.81,10.24,60400,9.994411
2015-08-25,9.75,9.99,9.46,9.89,69400,9.652806
2015-08-24,8.79,9.48,8.75,9.42,43000,9.194077
2015-08-21,9.76,10.00,9.48,9.48,30600,9.252638
2015-08-20,9.41,9.75,9.32,9.66,30100,9.428321
2015-08-19,9.54,9.69,9.30,9.60,9300,9.369761
2015-08-18,9.63,9.78,9.30,9.78,34800,9.545443
2015-08-17,9.69,9.85,9.61,9.78,29300,9.545443
2015-08-14,9.93,9.94,9.32,9.84,34200,9.604004
2015-08-13,10.00,10.05,9.55,9.98,28500,9.740646
2015-08-12,9.68,10.14,9.40,10.00,18300,9.760167
2015-08-11,9.90,10.00,9.80,9.86,25400,9.272158
2015-08-10,10.04,10.15,9.51,9.90,18200,9.309773
2015-08-07,10.05,10.05,9.75,9.90,6500,9.309773
2015-08-06,10.22,10.22,9.95,9.96,4800,9.366196
2015-08-05,10.15,10.38,9.96,10.04,14900,9.441427
2015-08-04,9.50,10.12,9.21,9.97,35400,9.375601
2015-08-03,10.10,10.39,9.16,9.29,28400,8.736141
2015-07-31,9.88,10.06,9.67,10.06,14500,9.460235
2015-07-30,10.25,10.25,9.52,9.92,21400,9.328581
2015-07-29,9.23,10.24,9.23,10.17,33500,9.563677
2015-07-28,8.90,9.30,8.88,9.12,32600,8.576276
2015-07-27,8.70,8.79,8.70,8.73,17900,8.209527
2015-07-24,8.89,8.98,8.75,8.90,17300,8.369392
2015-07-23,8.75,8.92,8.73,8.92,40800,8.3882
2015-07-22,8.90,9.24,8.79,8.81,43400,8.284758
2015-07-21,8.80,9.15,8.72,8.83,48800,8.303566
2015-07-20,10.35,10.53,8.76,9.01,102400,8.472835
2015-07-17,11.00,11.02,10.51,10.51,23200,9.883406
2015-07-16,11.50,11.62,11.00,11.04,17100,10.381808
2015-07-15,11.75,11.99,11.39,11.39,22300,10.710942
2015-07-14,11.25,11.95,11.25,11.70,19800,11.00246
2015-07-13,11.02,12.24,11.02,11.39,23100,10.710942
2015-07-10,11.01,11.38,10.99,11.02,30900,10.363001
2015-07-09,11.15,11.43,11.00,11.08,15700,10.419423
2015-07-08,11.29,11.46,11.05,11.06,11700,10.400616
2015-07-07,11.20,11.30,10.80,11.30,20100,10.626307
2015-07-06,10.94,11.26,10.81,11.24,18200,10.569884
2015-07-02,11.13,11.23,11.06,11.13,10800,10.466443
2015-07-01,11.31,11.31,11.10,11.21,17500,10.541673
2015-06-30,11.29,11.42,11.05,11.35,25200,10.673327
