Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.27,4.27,4.27,4.27,000,4.27
2015-10-08,4.27,4.27,4.27,4.27,000,4.27
2015-10-07,4.27,4.33,4.27,4.27,700,4.27
2015-10-06,4.36,4.45,4.35,4.45,5300,4.45
2015-10-05,4.29,4.30,4.29,4.29,600,4.29
2015-10-02,4.19,4.19,4.19,4.19,000,4.19
2015-10-01,4.19,4.19,4.19,4.19,200,4.19
2015-09-30,4.20,4.20,4.20,4.20,800,4.20
2015-09-29,4.20,4.29,4.20,4.20,2300,4.20
2015-09-28,4.36,4.36,4.36,4.36,1100,4.36
2015-09-25,4.51,4.51,4.33,4.33,800,4.33
2015-09-24,4.49,4.50,4.41,4.41,1300,4.41
2015-09-23,4.52,4.52,4.46,4.50,16600,4.50
2015-09-22,3.95,4.66,3.95,4.56,22800,4.56
2015-09-21,3.95,3.96,3.95,3.96,2100,3.96
2015-09-18,3.28,4.00,3.28,3.98,4000,3.98
2015-09-17,4.07,4.07,4.07,4.07,000,4.07
2015-09-16,3.96,4.07,3.96,4.07,300,4.07
2015-09-15,4.02,4.03,3.98,3.98,61200,3.98
2015-09-14,4.06,4.06,4.06,4.06,300,4.06
2015-09-11,4.12,4.12,4.12,4.12,200,4.12
2015-09-10,4.18,4.18,4.12,4.12,8600,4.12
2015-09-09,4.20,4.20,4.20,4.20,100,4.20
2015-09-08,3.90,4.24,3.90,4.21,2200,4.21
2015-09-04,4.35,4.35,4.34,4.34,3200,4.34
2015-09-03,4.42,4.42,4.32,4.35,6000,4.35
2015-09-02,4.46,4.46,4.46,4.46,000,4.46
2015-09-01,4.26,4.47,4.26,4.46,600,4.46
2015-08-31,4.37,4.37,4.37,4.37,000,4.37
2015-08-28,4.37,4.37,4.37,4.37,000,4.37
2015-08-27,4.25,4.37,4.25,4.37,1000,4.37
2015-08-26,4.42,4.42,4.24,4.25,3800,4.25
2015-08-25,4.36,4.46,4.36,4.46,1000,4.46
2015-08-24,4.40,4.43,4.22,4.32,10700,4.32
2015-08-21,4.54,4.55,4.54,4.54,1700,4.54
2015-08-20,4.56,4.62,4.56,4.62,400,4.62
2015-08-19,4.92,4.92,4.58,4.58,1000,4.58
2015-08-18,4.84,4.84,4.60,4.60,600,4.60
2015-08-17,4.68,4.68,4.61,4.61,4200,4.61
2015-08-14,4.67,4.67,4.67,4.67,000,4.67
2015-08-13,4.70,4.70,4.67,4.67,4700,4.67
2015-08-12,4.70,4.73,4.70,4.72,1100,4.72
2015-08-11,4.71,4.71,4.71,4.71,000,4.71
2015-08-10,4.77,4.79,4.71,4.71,6500,4.71
