Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.62,13.68,13.62,13.67,6800,13.507586
2015-10-08,13.58,13.65,13.58,13.62,16800,13.45818
2015-10-07,13.66,13.69,13.65,13.69,10900,13.527348
2015-10-06,13.68,13.71,13.66,13.68,8800,13.517467
2015-10-05,13.70,13.70,13.65,13.66,18600,13.497705
2015-10-02,13.66,13.72,13.66,13.70,13200,13.537229
2015-10-01,13.69,13.69,13.61,13.63,14100,13.468061
2015-09-30,13.52,13.65,13.52,13.61,9100,13.448299
2015-09-29,13.52,13.58,13.50,13.58,10500,13.418655
2015-09-28,13.61,13.61,13.54,13.58,5900,13.418655
2015-09-25,13.50,13.60,13.46,13.57,6600,13.408774
2015-09-24,13.60,13.69,13.45,13.54,17700,13.37913
2015-09-23,13.58,13.67,13.58,13.65,10700,13.487823
2015-09-22,13.56,13.63,13.56,13.63,5000,13.468061
2015-09-21,13.53,13.56,13.53,13.56,2800,13.398893
2015-09-18,13.50,13.59,13.49,13.51,6200,13.349487
2015-09-17,13.37,13.49,13.37,13.46,13700,13.300081
2015-09-16,13.42,13.43,13.35,13.37,15700,13.21115
2015-09-15,13.45,13.48,13.43,13.45,11900,13.2902
2015-09-14,13.51,13.52,13.45,13.45,14300,13.2902
2015-09-11,13.51,13.51,13.50,13.51,9400,13.349487
2015-09-10,13.55,13.56,13.51,13.54,5000,13.324784
2015-09-09,13.56,13.56,13.51,13.55,4900,13.334625
2015-09-08,13.46,13.56,13.46,13.56,22300,13.344467
2015-09-04,13.50,13.55,13.46,13.55,2700,13.334625
2015-09-03,13.48,13.54,13.46,13.46,18800,13.246056
2015-09-02,13.50,13.55,13.38,13.52,24100,13.305102
2015-09-01,13.56,13.56,13.46,13.52,14100,13.305102
2015-08-31,13.52,13.52,13.45,13.48,14300,13.265737
2015-08-28,13.52,13.52,13.43,13.50,7300,13.28542
2015-08-27,13.53,13.55,13.45,13.47,10400,13.255897
2015-08-26,13.53,13.54,13.40,13.46,10600,13.246056
2015-08-25,13.44,13.60,13.37,13.43,29100,13.216533
2015-08-24,13.58,13.62,13.25,13.28,12000,13.068916
2015-08-21,13.58,13.62,13.53,13.55,13000,13.334625
2015-08-20,13.65,13.65,13.56,13.58,18800,13.364148
2015-08-19,13.66,13.67,13.63,13.65,3300,13.433035
2015-08-18,13.70,13.73,13.64,13.64,14800,13.423195
2015-08-17,13.67,13.74,13.66,13.70,14000,13.482241
2015-08-14,13.57,13.67,13.57,13.64,9700,13.423195
2015-08-13,13.69,13.69,13.60,13.64,7100,13.423195
2015-08-12,13.65,13.69,13.65,13.69,5100,13.472399
2015-08-11,13.68,13.69,13.65,13.68,7600,13.408433
2015-08-10,13.68,13.69,13.59,13.60,6200,13.330022
2015-08-07,13.62,13.68,13.61,13.68,3900,13.408433
2015-08-06,13.60,13.60,13.53,13.53,7800,13.26141
2015-08-05,13.65,13.67,13.62,13.65,4800,13.379028
2015-08-04,13.83,13.87,13.53,13.61,63600,13.339822
2015-08-03,13.85,13.85,13.78,13.80,11500,13.526051
2015-07-31,13.71,13.77,13.69,13.77,6100,13.496647
2015-07-30,13.74,13.74,13.67,13.74,4800,13.467242
2015-07-29,13.73,13.74,13.68,13.74,13400,13.467242
2015-07-28,13.65,13.67,13.61,13.66,18400,13.38883
2015-07-27,13.73,13.73,13.65,13.70,14100,13.428036
2015-07-24,13.73,13.73,13.65,13.65,5400,13.379028
2015-07-23,13.69,13.70,13.65,13.65,6900,13.379028
2015-07-22,13.65,13.70,13.65,13.67,4500,13.398632
2015-07-21,13.65,13.66,13.64,13.64,5800,13.369227
2015-07-20,13.68,13.68,13.65,13.66,7200,13.38883
2015-07-17,13.67,13.68,13.66,13.66,3900,13.38883
2015-07-16,13.68,13.68,13.66,13.66,20700,13.38883
2015-07-15,13.66,13.72,13.66,13.72,4300,13.447639
2015-07-14,13.69,13.72,13.69,13.71,7000,13.437838
2015-07-13,13.74,13.76,13.65,13.65,4400,13.379028
2015-07-10,13.78,13.82,13.75,13.81,11600,13.481944
2015-07-09,13.80,13.80,13.73,13.78,11900,13.452656
2015-07-08,13.65,13.82,13.65,13.79,30900,13.462419
2015-07-07,13.71,13.76,13.71,13.73,3000,13.403844
2015-07-06,13.67,13.69,13.64,13.67,2600,13.34527
2015-07-02,13.73,13.73,13.62,13.66,17500,13.335507
2015-07-01,13.81,13.83,13.68,13.69,14800,13.364794
2015-06-30,13.60,13.78,13.60,13.71,10100,13.38432
2015-06-29,13.72,13.73,13.62,13.73,4100,13.403844
2015-06-26,13.67,13.73,13.64,13.71,14300,13.38432
2015-06-25,13.78,13.78,13.61,13.63,18100,13.30622
2015-06-24,13.76,13.82,13.72,13.77,29600,13.442895
2015-06-23,13.74,13.80,13.74,13.76,14300,13.433132
2015-06-22,13.75,13.80,13.67,13.74,15700,13.413607
2015-06-19,13.80,13.82,13.78,13.81,6800,13.481944
2015-06-18,13.79,13.80,13.78,13.80,5100,13.472182
2015-06-17,13.76,13.80,13.68,13.80,10400,13.472182
2015-06-16,13.75,13.76,13.75,13.76,6000,13.433132
2015-06-15,13.73,13.75,13.61,13.71,12600,13.38432
2015-06-12,13.50,13.67,13.50,13.67,21000,13.34527
2015-06-11,13.59,13.61,13.50,13.52,18100,13.198833
