Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.78,3.78,3.49,3.64,72700,3.64
2015-10-08,4.24,4.24,3.611,3.74,87100,3.74
2015-10-07,4.08,4.38,4.00,4.30,36200,4.30
2015-10-06,4.003,4.13,3.90,4.04,37600,4.04
2015-10-05,4.23,4.25,3.70,4.02,18900,4.02
2015-10-02,3.97,4.33,3.85,4.08,6600,4.08
2015-10-01,3.68,4.20,3.65,3.88,19600,3.88
2015-09-30,3.82,3.98,3.61,3.64,35500,3.64
2015-09-29,3.85,4.258,3.54,3.86,58100,3.86
2015-09-28,4.05,4.052,3.80,3.95,47100,3.95
2015-09-25,4.27,4.28,4.04,4.04,34800,4.04
2015-09-24,4.24,4.44,4.17,4.20,17500,4.20
2015-09-23,4.38,4.55,4.029,4.29,24500,4.29
2015-09-22,4.73,4.86,4.25,4.31,60700,4.31
2015-09-21,5.02,5.02,4.60,4.715,62000,4.715
2015-09-18,4.86,5.02,4.80,5.02,62100,5.02
2015-09-17,4.96,5.10,4.65,4.92,20400,4.92
2015-09-16,5.29,5.435,4.60,5.03,134100,5.03
2015-09-15,5.39,5.40,4.97,5.13,74900,5.13
2015-09-14,4.93,5.88,4.93,5.20,170900,5.20
2015-09-11,5.42,6.44,4.85,4.91,457200,4.91
2015-09-10,6.60,11.30,4.97,4.98,1444400,4.98
2015-09-09,4.49,6.335,4.40,6.255,111400,6.255
2015-09-08,4.49,4.49,4.40,4.49,15400,4.49
2015-09-04,4.30,4.49,4.30,4.49,5800,4.49
2015-09-03,4.28,4.39,4.28,4.39,1400,4.39
2015-09-02,4.49,4.49,3.92,4.27,9100,4.27
2015-09-01,4.35,4.50,4.35,4.49,12400,4.49
2015-08-31,4.90,4.90,4.12,4.46,18100,4.46
2015-08-28,5.00,5.05,4.72,4.81,7000,4.81
2015-08-27,5.10,5.10,4.928,5.08,7900,5.08
2015-08-26,4.74,5.10,4.70,5.10,24400,5.10
2015-08-25,4.69,5.00,4.625,4.90,8600,4.90
2015-08-24,4.77,4.77,4.40,4.70,25600,4.70
2015-08-21,5.15,5.15,4.61,4.97,11000,4.97
2015-08-20,4.53,5.25,4.53,5.24,6000,5.24
2015-08-19,4.36,4.78,4.21,4.75,2600,4.75
2015-08-18,4.83,4.83,4.36,4.80,20400,4.80
2015-08-17,4.58,4.85,4.02,4.82,9600,4.82
2015-08-14,4.80,4.80,4.51,4.65,6200,4.65
