Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.12,15.12,15.05,15.09,15600,14.879347
2015-10-08,15.09,15.11,15.05,15.10,27700,14.889208
2015-10-07,15.07,15.07,14.95,15.04,24100,14.830045
2015-10-06,15.00,15.08,14.96,15.03,29300,14.820184
2015-10-05,14.98,14.99,14.95,14.95,12500,14.741301
2015-10-02,14.98,14.99,14.95,14.98,17300,14.770882
2015-10-01,14.97,14.97,14.93,14.94,13400,14.731441
2015-09-30,14.98,14.98,14.92,14.97,18900,14.761023
2015-09-29,14.95,14.98,14.90,14.97,29500,14.761023
2015-09-28,14.95,14.96,14.90,14.94,26000,14.731441
2015-09-25,14.94,14.94,14.92,14.94,16500,14.731441
2015-09-24,14.94,14.94,14.88,14.93,17100,14.721581
2015-09-23,14.91,14.94,14.88,14.91,14900,14.70186
2015-09-22,14.91,14.93,14.86,14.92,11600,14.71172
2015-09-21,14.94,14.94,14.84,14.85,12900,14.642698
2015-09-18,14.98,14.98,14.85,14.89,25100,14.682139
2015-09-17,14.77,14.92,14.73,14.90,44300,14.691999
2015-09-16,14.70,14.79,14.65,14.74,17600,14.534233
2015-09-15,14.80,14.80,14.65,14.65,16400,14.445489
2015-09-14,14.96,14.96,14.77,14.78,26700,14.573674
2015-09-11,14.77,14.94,14.77,14.89,25700,14.682139
2015-09-10,14.88,14.90,14.80,14.82,25800,14.546066
2015-09-09,14.95,14.96,14.84,14.86,18300,14.585327
2015-09-08,14.99,14.99,14.85,14.98,49900,14.703108
2015-09-04,14.75,14.92,14.74,14.85,55300,14.575512
2015-09-03,14.72,14.78,14.67,14.78,34100,14.506805
2015-09-02,14.72,14.74,14.58,14.66,55900,14.389024
2015-09-01,14.55,14.65,14.49,14.65,58700,14.379208
2015-08-31,14.41,14.50,14.38,14.46,33500,14.192721
2015-08-28,14.50,14.51,14.27,14.35,33000,14.084754
2015-08-27,14.54,14.56,14.43,14.49,37700,14.222166
2015-08-26,14.46,14.60,14.46,14.54,59900,14.271242
2015-08-25,14.37,14.55,14.37,14.52,46000,14.251612
2015-08-24,14.16,14.52,14.16,14.37,49800,14.104384
2015-08-21,14.52,14.62,14.45,14.47,49700,14.202536
2015-08-20,14.58,14.58,14.46,14.47,32100,14.202536
2015-08-19,14.50,14.57,14.48,14.53,39400,14.261426
2015-08-18,14.49,14.57,14.41,14.53,55300,14.261426
2015-08-17,14.35,14.47,14.35,14.40,31800,14.133829
2015-08-14,14.49,14.49,14.23,14.28,57900,14.016047
2015-08-13,14.55,14.55,14.43,14.46,65900,14.192721
2015-08-12,14.60,14.62,14.50,14.52,104000,14.251612
2015-08-11,14.30,14.77,14.12,14.77,129300,14.428284
2015-08-10,14.00,14.33,13.98,14.29,171100,13.959389
2015-08-07,13.87,13.96,13.87,13.96,5200,13.637024
2015-08-06,13.94,13.94,13.88,13.92,13200,13.597949
2015-08-05,13.95,13.97,13.87,13.91,28000,13.58818
2015-08-04,13.97,13.97,13.90,13.95,20300,13.627255
2015-08-03,13.93,13.98,13.86,13.94,35900,13.617486
2015-07-31,13.80,14.00,13.80,14.00,23400,13.676098
2015-07-30,13.83,13.83,13.78,13.81,35800,13.490494
2015-07-29,13.85,13.86,13.77,13.86,52700,13.539337
2015-07-28,13.70,13.83,13.70,13.82,36100,13.500262
2015-07-27,13.74,13.77,13.70,13.75,15000,13.431882
2015-07-24,13.74,13.74,13.72,13.72,5700,13.402577
