Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,12.86,12.93,12.86,12.92,72100,12.710126
2015-10-08,12.88,12.90,12.85,12.86,65400,12.6511
2015-10-07,12.87,12.91,12.86,12.88,72200,12.670776
2015-10-06,12.84,12.92,12.84,12.92,31000,12.710126
2015-10-05,12.89,12.91,12.83,12.89,47700,12.680614
2015-10-02,12.87,12.90,12.84,12.89,109000,12.680614
2015-10-01,12.85,12.86,12.78,12.82,55200,12.61175
2015-09-30,12.74,12.82,12.73,12.82,60400,12.61175
2015-09-29,12.79,12.80,12.75,12.77,126400,12.562563
2015-09-28,12.81,12.81,12.74,12.77,72000,12.562563
2015-09-25,12.77,12.79,12.70,12.79,46800,12.582238
2015-09-24,12.74,12.79,12.73,12.76,89600,12.552725
2015-09-23,12.75,12.79,12.70,12.74,105700,12.53305
2015-09-22,12.75,12.75,12.70,12.71,131600,12.503537
2015-09-21,12.77,12.77,12.68,12.71,55500,12.503537
2015-09-18,12.72,12.77,12.72,12.74,66800,12.53305
2015-09-17,12.61,12.70,12.57,12.67,66100,12.464187
2015-09-16,12.60,12.62,12.53,12.60,78700,12.395325
2015-09-15,12.58,12.59,12.54,12.56,48400,12.355974
2015-09-14,12.68,12.68,12.55,12.55,244500,12.346137
2015-09-11,12.71,12.75,12.62,12.62,114800,12.414999
2015-09-10,12.74,12.78,12.71,12.71,79600,12.436642
2015-09-09,12.72,12.78,12.72,12.78,81200,12.505136
2015-09-08,12.80,12.82,12.76,12.76,54700,12.485567
2015-09-04,12.77,12.83,12.76,12.80,38000,12.524706
2015-09-03,12.76,12.81,12.76,12.81,49800,12.534492
2015-09-02,12.79,12.81,12.76,12.80,61500,12.524706
2015-09-01,12.84,12.84,12.78,12.80,79000,12.524706
2015-08-31,12.83,12.85,12.77,12.80,108100,12.524706
2015-08-28,12.81,12.85,12.79,12.80,46600,12.524706
2015-08-27,12.75,12.82,12.75,12.79,63600,12.514921
2015-08-26,12.83,12.83,12.72,12.78,63200,12.505136
2015-08-25,12.81,12.87,12.75,12.80,80700,12.524706
2015-08-24,12.82,12.84,12.75,12.81,182800,12.534492
2015-08-21,12.85,12.92,12.80,12.84,158900,12.563846
2015-08-20,12.90,12.93,12.84,12.85,99600,12.573631
2015-08-19,12.93,12.97,12.90,12.92,84000,12.642125
2015-08-18,12.91,12.98,12.89,12.96,81500,12.681265
2015-08-17,12.92,12.96,12.88,12.94,80900,12.661695
2015-08-14,12.85,12.93,12.84,12.91,46000,12.63234
2015-08-13,12.87,12.87,12.85,12.86,22400,12.583415
2015-08-12,12.94,12.95,12.84,12.87,95300,12.593201
2015-08-11,12.90,12.99,12.90,12.99,54000,12.644082
2015-08-10,12.90,12.97,12.86,12.88,132100,12.537011
2015-08-07,12.93,12.97,12.89,12.90,44100,12.556478
2015-08-06,12.90,12.95,12.86,12.91,45700,12.566212
2015-08-05,12.88,12.92,12.86,12.88,72000,12.537011
2015-08-04,12.94,12.97,12.87,12.88,162600,12.537011
2015-08-03,13.08,13.10,12.95,12.95,125700,12.605147
2015-07-31,13.01,13.04,12.98,13.04,60200,12.69275
2015-07-30,12.96,13.01,12.92,12.99,51100,12.644082
2015-07-29,12.97,12.99,12.95,12.96,59700,12.614881
2015-07-28,12.99,12.99,12.92,12.94,42500,12.595413
2015-07-27,12.89,12.98,12.88,12.94,66500,12.595413
2015-07-24,12.84,12.90,12.84,12.88,39400,12.537011
2015-07-23,12.84,12.88,12.81,12.83,67900,12.488343
2015-07-22,12.80,12.83,12.77,12.81,116000,12.468876
2015-07-21,12.82,12.87,12.81,12.84,52900,12.498077
2015-07-20,12.86,12.87,12.82,12.84,55200,12.498077
2015-07-17,12.88,12.89,12.81,12.84,48000,12.498077
2015-07-16,12.84,12.86,12.80,12.83,58200,12.488343
2015-07-15,12.81,12.84,12.79,12.82,66300,12.478609
2015-07-14,12.81,12.86,12.81,12.84,57600,12.498077
2015-07-13,12.90,12.90,12.80,12.83,58000,12.488343
2015-07-10,12.90,13.01,12.88,12.99,132100,12.577893
2015-07-09,12.92,12.94,12.90,12.90,94600,12.490748
2015-07-08,12.88,12.97,12.88,12.92,97700,12.510114
2015-07-07,12.88,12.92,12.87,12.90,215800,12.490748
2015-07-06,12.83,12.88,12.82,12.83,108100,12.422969
2015-07-02,12.81,12.88,12.81,12.88,75800,12.471383
2015-07-01,12.90,12.92,12.80,12.81,81000,12.403604
2015-06-30,12.87,12.87,12.78,12.85,107900,12.442335
2015-06-29,12.86,12.89,12.77,12.82,78400,12.413286
2015-06-26,12.85,12.91,12.82,12.84,114100,12.432652
2015-06-25,13.02,13.02,12.88,12.90,93600,12.490748
2015-06-24,12.99,13.02,12.98,13.00,37300,12.587576
2015-06-23,12.92,13.06,12.92,13.00,55000,12.587576
2015-06-22,13.10,13.10,13.03,13.03,49000,12.616624
2015-06-19,13.11,13.14,13.11,13.11,38600,12.694086
2015-06-18,13.05,13.10,13.04,13.10,44400,12.684404
2015-06-17,12.97,13.08,12.97,13.04,43800,12.626307
2015-06-16,13.00,13.05,12.99,13.01,25000,12.597259
2015-06-15,13.00,13.07,12.98,13.02,75800,12.606942
2015-06-12,12.92,13.02,12.90,12.98,55700,12.56821
2015-06-11,12.84,12.93,12.84,12.92,148800,12.510114
2015-06-10,12.87,12.96,12.85,12.90,124600,12.424905
2015-06-09,12.83,12.93,12.83,12.90,170500,12.424905
2015-06-08,13.01,13.01,12.87,12.90,117500,12.424905
2015-06-05,13.07,13.10,12.97,13.03,173900,12.550117
2015-06-04,13.13,13.14,13.07,13.10,40400,12.61754
2015-06-03,13.17,13.17,13.12,13.15,28600,12.665698
2015-06-02,13.20,13.20,13.15,13.18,63700,12.694593
2015-06-01,13.27,13.28,13.17,13.22,93700,12.73312
2015-05-29,13.24,13.27,13.20,13.21,30400,12.723488
2015-05-28,13.19,13.25,13.16,13.23,68300,12.742751
2015-05-27,13.22,13.23,13.17,13.20,43600,12.713856
2015-05-26,13.13,13.18,13.11,13.18,87900,12.694593
2015-05-22,13.16,13.16,13.11,13.14,27800,12.656067
2015-05-21,13.23,13.23,13.11,13.18,76800,12.694593
2015-05-20,13.22,13.24,13.16,13.21,50400,12.723488
2015-05-19,13.13,13.21,13.02,13.18,56600,12.694593
2015-05-18,13.25,13.30,13.18,13.19,117900,12.704224
2015-05-15,13.30,13.35,13.30,13.32,126700,12.829437
2015-05-14,13.33,13.33,13.29,13.30,35800,12.810174
2015-05-13,13.31,13.33,13.29,13.29,64600,12.800542
2015-05-12,13.26,13.35,13.23,13.34,59800,12.783205
2015-05-11,13.37,13.39,13.30,13.31,68700,12.754458
2015-05-08,13.39,13.45,13.37,13.37,54400,12.811953
2015-05-07,13.33,13.38,13.31,13.31,63800,12.754458
2015-05-06,13.45,13.46,13.29,13.35,87900,12.792788
2015-05-05,13.50,13.52,13.40,13.50,78800,12.936527
2015-05-04,13.58,13.58,13.45,13.45,69600,12.888614
2015-05-01,13.63,13.63,13.50,13.52,103900,12.955693
2015-04-30,13.63,13.63,13.56,13.58,79400,13.013188
2015-04-29,13.61,13.64,13.60,13.63,56700,13.061101
2015-04-28,13.69,13.69,13.63,13.63,114000,13.061101
2015-04-27,13.65,13.67,13.62,13.63,69800,13.061101
2015-04-24,13.70,13.71,13.68,13.68,44700,13.109014
2015-04-23,13.72,13.72,13.68,13.68,51300,13.109014
2015-04-22,13.72,13.75,13.70,13.70,44800,13.128179
2015-04-21,13.72,13.77,13.72,13.72,48500,13.147345
2015-04-20,13.76,13.76,13.70,13.72,55200,13.147345
2015-04-17,13.68,13.76,13.68,13.73,48400,13.156927
2015-04-16,13.76,13.76,13.62,13.68,72900,13.109014
2015-04-15,13.79,13.80,13.68,13.75,79300,13.176092
2015-04-14,13.74,13.79,13.70,13.79,95400,13.214423
2015-04-13,13.75,13.75,13.67,13.71,60900,13.137762
2015-04-10,13.79,13.80,13.76,13.78,41200,13.139678
2015-04-09,13.84,13.84,13.77,13.77,45300,13.130143
2015-04-08,13.81,13.82,13.78,13.82,36700,13.177819
2015-04-07,13.78,13.78,13.74,13.78,48600,13.139678
2015-04-06,13.74,13.79,13.69,13.74,46400,13.101537
2015-04-02,13.78,13.78,13.67,13.72,68800,13.082466
2015-04-01,13.74,13.78,13.70,13.76,115400,13.120608
