Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.13,13.17,13.13,13.16,4300,13.026859
2015-10-08,13.15,13.18,13.13,13.15,10200,13.01696
2015-10-07,13.10,13.18,13.10,13.16,11300,13.026859
2015-10-06,13.12,13.14,13.09,13.12,21400,12.987264
2015-10-05,13.17,13.17,13.11,13.12,8400,12.987264
2015-10-02,13.15,13.18,13.13,13.17,15300,13.036758
2015-10-01,13.13,13.14,13.08,13.11,23600,12.977365
2015-09-30,13.08,13.11,13.05,13.11,26200,12.977365
2015-09-29,13.04,13.10,13.04,13.04,21500,12.908074
2015-09-28,13.08,13.12,13.02,13.02,34000,12.888276
2015-09-25,13.09,13.09,13.03,13.06,14800,12.927872
2015-09-24,13.05,13.10,13.05,13.08,20100,12.947669
2015-09-23,13.03,13.08,13.03,13.08,11700,12.947669
2015-09-22,12.99,13.07,12.99,13.03,12500,12.898175
2015-09-21,13.03,13.03,12.96,13.01,57200,12.878377
2015-09-18,12.94,13.05,12.94,13.02,50400,12.888276
2015-09-17,12.89,13.01,12.89,13.01,35100,12.878377
2015-09-16,12.87,12.92,12.86,12.92,24200,12.789288
2015-09-15,12.94,12.94,12.86,12.88,49700,12.749692
2015-09-14,12.97,13.00,12.95,12.95,44700,12.818984
2015-09-11,12.97,13.04,12.96,13.02,39400,12.888276
2015-09-10,13.00,13.05,13.00,13.04,19200,12.863529
2015-09-09,13.03,13.04,13.00,13.03,27800,12.853664
2015-09-08,13.02,13.08,13.01,13.04,22900,12.863529
2015-09-04,12.94,13.07,12.94,13.07,17300,12.893123
2015-09-03,12.90,13.02,12.90,13.02,33900,12.8438
2015-09-02,12.98,12.98,12.92,12.94,26600,12.764882
2015-09-01,12.97,12.98,12.93,12.96,36400,12.784612
2015-08-31,12.91,12.98,12.91,12.96,46100,12.784612
2015-08-28,12.95,12.99,12.85,12.91,61000,12.735288
2015-08-27,12.95,13.00,12.91,12.99,27300,12.814205
2015-08-26,12.97,13.00,12.89,12.95,65800,12.774747
2015-08-25,13.01,13.01,12.95,12.98,28300,12.80434
2015-08-24,13.09,13.09,12.96,12.96,42200,12.784612
2015-08-21,13.09,13.14,13.04,13.09,32100,12.912852
2015-08-20,13.14,13.15,13.09,13.12,32100,12.942446
2015-08-19,13.10,13.16,13.10,13.12,45200,12.942446
2015-08-18,13.14,13.15,13.10,13.13,43500,12.952311
2015-08-17,13.12,13.18,13.12,13.16,30200,12.981905
2015-08-14,13.10,13.17,13.10,13.14,32000,12.962176
2015-08-13,13.18,13.20,13.13,13.14,36300,12.962176
2015-08-12,13.14,13.23,13.13,13.21,25000,13.031228
2015-08-11,13.04,13.22,13.01,13.22,72000,12.996703
2015-08-10,13.01,13.04,12.96,13.03,36900,12.809912
2015-08-07,12.95,13.02,12.91,12.98,38700,12.760756
2015-08-06,12.93,12.98,12.93,12.97,45700,12.750926
2015-08-05,13.05,13.07,12.89,12.96,94500,12.741094
2015-08-04,13.09,13.12,13.04,13.07,34600,12.849236
2015-08-03,13.09,13.12,13.05,13.05,24100,12.829574
2015-07-31,13.04,13.10,13.04,13.06,30800,12.839405
2015-07-30,13.00,13.05,12.98,13.00,36700,12.780419
2015-07-29,12.97,13.07,12.97,13.04,24900,12.819743
2015-07-28,13.03,13.05,12.99,12.99,45000,12.770587
2015-07-27,12.99,13.05,12.99,13.03,21100,12.809912
2015-07-24,13.03,13.07,13.01,13.03,22600,12.809912
2015-07-23,13.00,13.07,13.00,13.03,37600,12.809912
2015-07-22,13.03,13.07,13.01,13.07,16200,12.849236
2015-07-21,13.01,13.04,13.01,13.03,9800,12.809912
2015-07-20,13.05,13.06,13.03,13.04,19400,12.819743
2015-07-17,13.08,13.13,13.03,13.05,39700,12.829574
2015-07-16,13.11,13.13,13.07,13.11,10600,12.88856
2015-07-15,13.02,13.12,13.02,13.11,34100,12.88856
2015-07-14,13.02,13.06,13.01,13.03,7200,12.809912
2015-07-13,13.10,13.10,13.02,13.04,30300,12.819743
2015-07-10,13.04,13.13,13.04,13.13,20600,12.863983
2015-07-09,13.17,13.17,13.08,13.10,35300,12.834591
2015-07-08,13.15,13.19,13.10,13.16,30900,12.893375
2015-07-07,13.14,13.19,13.14,13.14,17900,12.87378
2015-07-06,13.06,13.12,13.05,13.12,29500,12.854185
2015-07-02,12.97,13.06,12.97,13.06,23500,12.795401
2015-07-01,12.98,13.02,12.94,12.99,54300,12.726819
2015-06-30,12.97,13.03,12.86,12.94,89200,12.677832
2015-06-29,13.03,13.05,12.97,12.98,35500,12.717021
2015-06-26,13.05,13.09,13.02,13.03,22200,12.766008
2015-06-25,13.09,13.10,13.04,13.06,43800,12.795401
2015-06-24,13.04,13.10,13.02,13.08,51300,12.814996
2015-06-23,13.02,13.08,13.01,13.07,19000,12.805198
2015-06-22,13.07,13.07,13.02,13.02,24700,12.756212
2015-06-19,13.06,13.09,13.01,13.07,52800,12.805198
2015-06-18,13.05,13.08,13.02,13.06,38500,12.795401
2015-06-17,13.05,13.11,13.00,13.08,58800,12.814996
2015-06-16,13.05,13.09,13.03,13.09,32400,12.824793
2015-06-15,13.11,13.17,13.02,13.02,46600,12.756212
2015-06-12,13.03,13.15,13.02,13.11,8500,12.844387
2015-06-11,12.98,13.07,12.98,13.06,35000,12.795401
