Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,43.00,43.43,42.67,43.10,9466900,43.10
2015-10-08,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-10-07,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-10-06,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-10-05,41.24,41.68,40.89,41.68,7483300,41.68
2015-10-02,140200.00,140200.00,140200.00,140200.00,7100,140200.00
2015-10-01,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-30,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-29,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-28,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-25,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-24,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-23,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-22,140200.00,140200.00,140200.00,140200.00,000,140200.00
2015-09-21,39.50,40.50,39.34,39.70,7164100,39.70
2015-09-18,140200.00,140200.00,140200.00,140200.00,000,140199.97493
2015-09-17,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-16,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-15,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-14,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-11,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-10,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-09,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-08,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-07,140200.00,140200.00,140200.00,140200.00,200,140199.41504
2015-09-04,140200.00,140200.00,140200.00,140200.00,800,140199.41504
2015-09-03,39.26,39.93,39.17,39.64,8667500,39.63983
2015-09-02,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-09-01,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-31,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-28,140200.00,140200.00,140200.00,140200.00,4200,140199.41504
2015-08-27,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-26,39.40,40.09,39.25,39.43,11427500,39.42984
2015-08-25,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-24,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-21,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-20,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-19,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-18,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-17,140200.00,140200.00,140200.00,140200.00,200,140199.41504
2015-08-14,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-13,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-12,140200.00,140200.00,140200.00,140200.00,100,140199.41504
2015-08-11,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-10,44.47,44.47,44.47,44.47,000,44.46982
2015-08-07,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-06,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-05,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-04,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-08-03,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-31,42.30,42.42,41.65,41.81,6421100,41.80983
2015-07-30,41.85,42.35,41.60,42.14,6254000,42.13982
2015-07-29,41.19,41.58,41.09,41.57,6214300,41.56983
2015-07-28,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-27,41.39,41.57,41.00,41.20,5601400,41.19983
2015-07-24,41.82,42.06,41.39,41.39,4660900,41.38983
2015-07-23,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-22,41.99,42.28,41.60,41.68,8994400,41.67983
2015-07-21,140200.00,140200.00,140200.00,140200.00,200,140199.41504
2015-07-20,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-17,42.50,42.67,41.99,42.20,7591000,42.19982
2015-07-16,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-15,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-14,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-13,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-10,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-09,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-08,38.60,39.41,38.34,39.41,11945500,39.40984
2015-07-07,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-06,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-07-03,39.45,39.69,39.25,39.35,2856900,39.34983
2015-07-02,39.50,39.72,39.29,39.47,3721700,39.46984
2015-07-01,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-30,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-29,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-26,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-25,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-24,140200.00,140200.00,140200.00,140200.00,200,140199.41504
2015-06-23,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-22,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-19,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-18,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-17,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-16,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-15,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-12,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-11,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-10,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-09,39.90,40.02,39.27,39.53,6058900,39.52983
2015-06-08,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-05,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-04,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-03,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-06-02,140200.00,140200.00,140200.00,140200.00,500,140199.41504
2015-06-01,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-29,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-28,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-27,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-26,140200.00,140200.00,140200.00,140200.00,100,140199.41504
2015-05-25,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-22,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-21,140200.00,140200.00,140200.00,140200.00,4700,140199.41504
2015-05-20,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-19,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-18,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-15,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-14,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-13,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-12,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-11,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-08,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-07,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-06,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-05,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-04,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-05-01,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-30,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-29,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-28,140200.00,140200.00,140200.00,140200.00,200,140199.41504
2015-04-27,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-24,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-23,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-22,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-21,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-20,140200.00,140200.00,140200.00,140200.00,000,140199.41504
2015-04-17,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-16,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-15,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-14,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-13,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-10,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-09,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-08,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-07,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-06,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-03,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-02,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-04-01,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-31,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-30,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-27,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-26,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-25,140200.00,140200.00,140200.00,140200.00,400,140199.35654
2015-03-24,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-23,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-20,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-19,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-18,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-17,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-16,140200.00,140200.00,140200.00,140200.00,700,140199.35654
2015-03-13,40.95,41.40,40.80,40.88,5582400,40.87981
2015-03-12,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-11,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-10,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-09,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-06,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-05,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-04,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-03,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-03-02,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-27,140200.00,140200.00,140200.00,140200.00,1200,140199.35654
2015-02-26,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-25,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-24,140200.00,140200.00,140200.00,140200.00,500,140199.35654
2015-02-23,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-20,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-19,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-18,140200.00,140200.00,140200.00,140200.00,2700,140199.35654
2015-02-17,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-16,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-13,140200.00,140200.00,140200.00,140200.00,000,140199.35654
2015-02-12,140200.00,140200.00,140200.00,140200.00,000,140199.35654
