Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,2.55,2.65,2.30,2.40,8200,2.40
2015-10-08,2.43,2.60,2.35,2.54,8900,2.54
2015-10-07,2.62,2.62,2.33,2.50,10800,2.50
2015-10-06,2.40,2.46,2.40,2.40,5500,2.40
2015-10-05,2.30,2.79,2.30,2.60,5100,2.60
2015-10-02,2.57,2.68,2.32,2.32,6200,2.32
2015-10-01,2.54,2.77,2.29,2.37,8100,2.37
2015-09-30,2.74,3.10,2.54,2.58,16200,2.58
2015-09-29,2.91,3.10,2.69,2.84,6700,2.84
2015-09-28,2.94,3.22,2.90,2.90,1800,2.90
2015-09-25,3.15,3.25,3.04,3.05,5000,3.05
2015-09-24,3.24,3.24,2.79,3.11,12300,3.11
2015-09-23,2.84,3.08,2.84,3.08,7600,3.08
2015-09-22,2.91,3.09,2.74,3.09,9100,3.09
2015-09-21,2.91,3.13,2.67,2.89,25400,2.89
2015-09-18,2.28,3.68,2.26,3.68,175200,3.68
2015-09-17,2.46,2.47,2.32,2.46,7300,2.46
2015-09-16,2.47,2.49,2.31,2.31,6500,2.31
2015-09-15,2.40,2.45,2.25,2.42,11200,2.42
2015-09-14,2.35,2.43,2.26,2.30,6700,2.30
2015-09-11,2.47,2.47,2.25,2.30,6700,2.30
2015-09-10,2.45,2.47,2.25,2.46,8100,2.46
2015-09-09,2.38,2.46,2.25,2.29,10300,2.29
2015-09-08,2.36,2.45,2.21,2.30,11900,2.30
2015-09-04,2.29,2.39,2.22,2.25,17600,2.25
2015-09-03,2.45,2.54,2.40,2.49,1500,2.49
2015-09-02,2.295,2.47,2.295,2.47,1200,2.47
2015-09-01,2.33,2.80,2.33,2.36,2600,2.36
2015-08-31,2.28,2.73,2.24,2.664,9800,2.664
2015-08-28,2.32,2.77,2.32,2.587,600,2.587
2015-08-27,2.35,2.44,2.35,2.44,800,2.44
2015-08-26,2.66,2.66,2.358,2.49,8400,2.49
2015-08-25,2.64,2.67,2.49,2.65,4600,2.65
2015-08-24,2.34,2.37,2.259,2.37,8700,2.37
2015-08-21,2.59,2.63,2.34,2.53,6300,2.53
2015-08-20,2.40,2.58,2.36,2.58,3600,2.58
2015-08-19,2.65,2.65,2.62,2.63,1900,2.63
2015-08-18,2.53,2.70,2.492,2.67,7000,2.67
2015-08-17,2.47,2.57,2.36,2.55,5700,2.55
2015-08-14,2.75,2.75,2.45,2.49,2900,2.49
2015-08-13,2.57,2.75,2.50,2.72,13500,2.72
2015-08-12,3.20,3.20,2.40,2.55,36200,2.55
2015-08-11,3.20,3.20,2.65,2.85,22800,2.85
2015-08-10,3.13,3.194,3.03,3.03,8400,3.03
2015-08-07,3.19,3.19,3.08,3.08,4200,3.08
2015-08-06,3.30,3.30,3.09,3.09,3900,3.09
2015-08-05,3.33,3.33,3.15,3.22,2600,3.22
2015-08-04,3.11,3.25,3.11,3.15,8100,3.15
2015-08-03,3.30,3.41,3.071,3.071,12500,3.071
2015-07-31,3.47,3.82,3.33,3.33,13800,3.33
2015-07-30,3.34,3.71,3.34,3.39,11300,3.39
2015-07-29,3.50,3.662,3.28,3.49,50400,3.49
2015-07-28,3.73,3.966,3.46,3.54,53900,3.54
2015-07-27,3.59,3.75,3.17,3.60,103800,3.60
