Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,13.92,14.10,13.92,14.00,2200,13.917343
2015-10-08,13.70,14.05,13.70,14.05,15200,13.967048
2015-10-07,13.99,14.20,13.80,13.90,15400,13.817933
2015-10-06,13.92,13.98,13.71,13.95,13500,13.867638
2015-10-05,14.01,14.10,13.90,14.02,17700,13.937225
2015-10-02,13.71,14.05,13.71,14.05,12900,13.967048
2015-10-01,13.83,14.00,13.82,13.90,10200,13.817933
2015-09-30,13.50,13.89,13.50,13.77,5300,13.688701
2015-09-29,13.65,13.65,13.36,13.40,9800,13.320885
2015-09-28,13.62,13.84,13.53,13.53,8100,13.450118
2015-09-25,13.68,13.92,13.62,13.75,15400,13.589292
2015-09-24,13.86,14.10,13.81,13.90,5800,13.737538
2015-09-23,14.10,14.10,13.99,13.99,2700,13.826486
2015-09-22,14.09,14.34,13.84,13.88,10900,13.717772
2015-09-21,14.10,14.25,14.00,14.05,20400,13.885786
2015-09-18,13.50,14.60,13.50,14.60,27000,14.429357
2015-09-17,13.90,14.14,13.76,13.79,18700,13.628824
2015-09-16,14.00,14.15,14.00,14.07,7300,13.905551
2015-09-15,14.00,14.10,13.81,13.90,10900,13.737538
2015-09-14,13.76,14.00,13.69,13.95,9000,13.786954
2015-09-11,13.59,13.77,13.56,13.69,8000,13.529993
2015-09-10,13.88,13.98,13.66,13.66,14200,13.500343
2015-09-09,13.78,14.02,13.68,13.91,8800,13.747422
2015-09-08,13.90,13.96,13.72,13.89,15000,13.727656
2015-09-04,13.83,13.99,13.83,13.99,11800,13.826486
2015-09-03,13.64,14.05,13.64,13.83,2400,13.668357
2015-09-02,13.51,14.01,13.51,13.82,10500,13.658473
2015-09-01,13.61,13.82,13.52,13.70,13400,13.539876
2015-08-31,13.62,13.76,13.57,13.75,6800,13.589292
2015-08-28,13.83,13.83,13.67,13.70,16300,13.539876
2015-08-27,14.05,14.05,13.60,13.68,7700,13.52011
2015-08-26,13.95,14.18,13.60,13.62,27300,13.460811
2015-08-25,14.60,14.60,13.51,13.75,35100,13.589292
2015-08-24,14.24,14.73,14.24,14.30,150700,14.132864
2015-08-21,14.25,14.65,14.25,14.36,25800,14.192162
2015-08-20,14.47,14.66,14.47,14.49,8600,14.320642
2015-08-19,14.80,14.80,14.47,14.50,30500,14.330526
2015-08-18,15.02,15.02,14.77,14.88,15900,14.706085
2015-08-17,14.91,15.15,14.67,15.03,19800,14.854331
2015-08-14,14.40,14.95,14.40,14.92,19100,14.745617
2015-08-13,14.41,14.54,14.25,14.50,28600,14.330526
2015-08-12,14.28,14.85,14.24,14.40,111200,14.231694
2015-08-11,14.51,14.51,14.26,14.38,11300,14.211928
2015-08-10,14.55,14.61,14.51,14.51,6700,14.340409
2015-08-07,14.59,14.68,14.52,14.56,3400,14.389825
2015-08-06,15.08,15.08,14.53,14.53,11800,14.360175
2015-08-05,14.95,15.00,14.84,15.00,9700,14.824682
2015-08-04,14.90,15.15,14.87,14.90,41300,14.72585
2015-08-03,14.63,15.00,14.63,14.90,29400,14.72585
2015-07-31,14.85,14.96,14.61,14.88,18300,14.706085
2015-07-30,14.72,14.84,14.66,14.75,11500,14.577604
2015-07-29,14.34,14.82,14.34,14.61,11300,14.43924
2015-07-28,14.60,14.60,14.47,14.50,13900,14.330526
2015-07-27,14.50,14.69,14.41,14.56,18500,14.389825
2015-07-24,14.56,14.76,14.31,14.40,19800,14.231694
2015-07-23,14.88,14.88,14.60,14.60,16100,14.429357
2015-07-22,14.63,15.06,14.63,14.90,12800,14.72585
2015-07-21,14.73,14.91,14.49,14.55,35200,14.379942
2015-07-20,14.65,14.73,14.56,14.62,9700,14.449123
2015-07-17,14.65,14.82,14.50,14.60,11200,14.429357
2015-07-16,14.72,14.80,14.61,14.67,18800,14.498539
2015-07-15,14.58,14.82,14.30,14.50,46000,14.330526
2015-07-14,14.85,15.20,14.70,14.70,34600,14.528188
2015-07-13,15.25,15.25,14.74,14.75,26500,14.577604
2015-07-10,14.95,15.30,14.95,15.25,21200,15.07176
2015-07-09,14.70,15.06,14.70,15.02,24200,14.844449
2015-07-08,14.51,14.97,14.50,14.51,26900,14.340409
2015-07-07,14.53,14.83,14.28,14.65,31000,14.478772
2015-07-06,14.76,14.82,14.35,14.37,49000,14.202045
2015-07-02,14.75,14.94,14.51,14.74,40000,14.56772
2015-07-01,15.00,15.10,14.45,14.74,59000,14.56772
2015-06-30,14.50,15.14,14.32,15.02,89100,14.844449
2015-06-29,14.00,14.68,14.00,14.50,119700,14.330526
2015-06-26,14.10,14.40,13.61,14.20,869500,14.034032
2015-06-25,14.50,14.67,14.08,14.24,36600,13.895668
2015-06-24,14.53,14.68,14.35,14.46,59300,14.110349
2015-06-23,14.40,14.59,14.29,14.53,49900,14.178656
2015-06-22,14.23,14.50,14.16,14.50,52400,14.149381
2015-06-19,14.56,14.56,14.00,14.33,69100,13.983492
2015-06-18,14.41,14.52,14.00,14.50,38700,14.149381
2015-06-17,14.50,14.50,13.85,14.20,37200,13.856635
2015-06-16,14.70,14.70,14.38,14.51,48600,14.15914
2015-06-15,14.79,14.99,14.56,14.77,39600,14.412853
2015-06-12,14.42,14.92,14.28,14.79,45800,14.432369
2015-06-11,14.10,14.42,14.05,14.42,22900,14.071316
2015-06-10,13.87,14.50,13.62,14.35,61400,14.003009
2015-06-09,13.71,13.96,13.71,13.83,32700,13.495582
2015-06-08,13.56,13.80,13.44,13.71,27800,13.378484
2015-06-05,13.63,13.86,13.40,13.50,27200,13.173562
2015-06-04,13.30,13.80,13.22,13.66,80200,13.329693
2015-06-03,13.28,13.38,13.22,13.28,66300,12.958881
2015-06-02,13.07,13.32,13.07,13.26,47300,12.939366
2015-06-01,13.30,13.40,13.00,13.17,63900,12.851542
2015-05-29,13.20,13.45,13.20,13.28,42900,12.958881
2015-05-28,13.19,13.21,13.05,13.14,28800,12.822267
2015-05-27,13.15,13.25,13.02,13.22,46900,12.900333
2015-05-26,13.20,13.20,13.02,13.08,41100,12.763718
2015-05-22,13.15,13.34,13.03,13.30,67400,12.978398
2015-05-21,13.20,13.45,13.09,13.10,30700,12.783235
2015-05-20,13.40,13.47,13.20,13.21,40600,12.890574
2015-05-19,13.60,13.82,13.35,13.41,29200,13.085738
2015-05-18,13.70,13.87,13.60,13.60,21500,13.271144
2015-05-15,13.47,13.66,13.28,13.64,23900,13.310177
2015-05-14,13.18,13.52,13.10,13.45,42500,13.124771
2015-05-13,13.21,13.21,12.95,13.00,22000,12.685652
2015-05-12,13.05,13.15,12.95,12.98,23700,12.666135
2015-05-11,13.07,13.10,12.95,13.00,28300,12.685652
2015-05-08,13.03,13.07,12.95,13.05,26400,12.734443
2015-05-07,13.08,13.21,12.90,13.06,23800,12.744202
2015-05-06,13.07,13.20,12.99,13.08,37100,12.763718
2015-05-05,13.25,13.32,13.00,13.10,40600,12.783235
2015-05-04,13.24,13.48,13.06,13.33,36700,13.007673
2015-05-01,13.53,13.77,13.07,13.29,49900,12.96864
2015-04-30,13.75,13.77,13.38,13.48,120000,13.154045
2015-04-29,13.76,14.19,13.75,13.86,56700,13.524857
2015-04-28,13.84,13.86,13.73,13.81,39100,13.476066
2015-04-27,13.93,14.17,13.70,13.77,32500,13.437034
2015-04-24,14.00,14.07,13.94,13.97,11000,13.632197
2015-04-23,13.81,14.03,13.71,14.03,33800,13.690746
2015-04-22,13.82,14.01,13.68,13.79,10100,13.45655
2015-04-21,13.87,14.03,13.69,13.87,9000,13.534615
2015-04-20,13.72,14.08,13.72,13.88,13800,13.544374
2015-04-17,14.10,14.10,13.68,13.72,27000,13.388243
2015-04-16,14.43,14.47,13.96,14.15,10700,13.807844
2015-04-15,14.40,14.61,14.27,14.50,17600,14.149381
2015-04-14,14.75,14.75,14.45,14.53,42000,14.178656
2015-04-13,14.70,14.74,14.70,14.70,26700,14.344545
2015-04-10,14.75,14.77,14.61,14.70,78400,14.344545
2015-04-09,14.75,14.83,14.70,14.72,36900,14.364062
2015-04-08,14.80,14.86,14.70,14.75,14100,14.393336
2015-04-07,14.65,14.79,14.65,14.75,26600,14.393336
2015-04-06,14.83,14.87,14.67,14.76,9300,14.403095
2015-04-02,14.86,14.96,14.70,14.78,6100,14.422611
2015-04-01,14.90,14.96,14.74,14.95,11600,14.5885
2015-03-31,14.62,14.98,14.62,14.98,18800,14.617774
2015-03-30,14.75,14.75,14.70,14.75,19500,14.393336
2015-03-27,14.71,14.80,14.70,14.75,12400,14.393336
2015-03-26,14.70,14.87,14.70,14.79,17100,14.364062
2015-03-25,14.70,14.83,14.70,14.70,17100,14.276654
2015-03-24,15.00,15.00,14.61,14.84,6600,14.412622
2015-03-23,14.49,14.94,14.38,14.70,14000,14.276654
2015-03-20,14.20,15.00,14.01,15.00,101000,14.568014
2015-03-19,14.25,14.50,13.75,14.20,18300,13.791053
2015-03-18,14.03,14.47,14.00,14.31,8200,13.897886
2015-03-17,13.80,14.37,13.78,14.13,18800,13.723069
2015-03-16,13.25,13.99,13.22,13.80,15700,13.402573
2015-03-13,13.50,13.55,13.27,13.50,20000,13.111213
2015-03-12,13.40,13.85,13.33,13.51,34800,13.120925
2015-03-11,13.30,13.47,13.24,13.30,36400,12.916973
2015-03-10,13.32,13.32,13.13,13.22,12400,12.839277
2015-03-09,12.98,13.31,12.90,13.30,11500,12.916973
2015-03-06,13.15,13.25,12.98,12.98,13000,12.606188
2015-03-05,13.11,13.21,12.91,13.21,16500,12.829564
2015-03-04,13.05,13.05,12.91,13.05,9600,12.674172
2015-03-03,12.90,13.14,12.89,13.05,23700,12.674172
2015-03-02,12.50,12.89,12.50,12.89,22300,12.51878
2015-02-27,12.37,12.53,12.35,12.50,57700,12.140012
2015-02-26,12.56,12.61,12.34,12.46,32000,12.101164
2015-02-25,12.66,12.79,12.51,12.59,18500,12.22742
2015-02-24,12.70,12.84,12.33,12.72,37100,12.353676
2015-02-23,12.85,12.89,12.70,12.73,9900,12.363388
2015-02-20,13.15,13.15,12.70,12.95,47700,12.577052
2015-02-19,13.34,13.50,12.73,13.09,45700,12.71302
2015-02-18,13.63,13.63,13.50,13.50,6600,13.111213
2015-02-17,13.70,13.72,13.60,13.66,10300,13.266605
2015-02-13,13.70,13.92,13.68,13.80,9200,13.402573
2015-02-12,13.69,13.73,13.62,13.73,4000,13.334589
2015-02-11,13.76,13.95,13.60,13.60,14300,13.208333
2015-02-10,13.85,13.87,13.75,13.75,4100,13.354013
2015-02-09,13.80,13.94,13.75,13.84,7300,13.441421
2015-02-06,14.00,14.00,13.76,13.77,13000,13.373437
2015-02-05,13.80,14.00,13.78,14.00,5700,13.596813
2015-02-04,13.90,13.99,13.61,13.73,10200,13.334589
2015-02-03,13.67,13.97,13.65,13.91,6500,13.509405
