Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.50,3.50,3.44,3.47,2100,3.47
2015-10-08,3.50,3.50,3.48,3.49,23700,3.49
2015-10-07,3.447,3.50,3.446,3.50,4400,3.50
2015-10-06,3.49,3.49,3.41,3.49,10500,3.49
2015-10-05,3.29,3.50,3.29,3.50,9200,3.50
2015-10-02,3.246,3.35,3.18,3.29,11500,3.29
2015-10-01,3.39,3.39,3.23,3.25,11900,3.25
2015-09-30,3.41,3.43,3.32,3.39,9100,3.39
2015-09-29,3.399,3.40,3.34,3.34,3500,3.34
2015-09-28,3.50,3.52,3.34,3.39,52800,3.39
2015-09-25,3.54,3.55,3.41,3.41,4900,3.41
2015-09-24,3.42,3.50,3.41,3.48,8200,3.48
2015-09-23,3.50,3.57,3.42,3.44,25800,3.44
2015-09-22,3.59,3.59,3.47,3.50,21500,3.50
2015-09-21,3.355,3.55,3.355,3.50,19200,3.50
2015-09-18,3.43,3.54,3.28,3.28,116500,3.28
2015-09-17,3.47,3.53,3.40,3.44,38400,3.44
2015-09-16,3.51,3.51,3.45,3.47,30700,3.47
2015-09-15,3.50,3.522,3.42,3.51,14600,3.51
2015-09-14,3.471,3.55,3.471,3.52,9000,3.52
2015-09-11,3.445,3.684,3.28,3.53,129300,3.53
2015-09-10,3.50,3.56,3.32,3.39,148200,3.39
2015-09-09,3.59,3.61,3.51,3.55,22300,3.55
2015-09-08,3.49,3.70,3.49,3.62,40300,3.62
2015-09-04,3.49,3.58,3.46,3.53,39300,3.53
2015-09-03,3.48,3.54,3.48,3.50,8100,3.50
2015-09-02,3.60,3.64,3.49,3.49,5500,3.49
2015-09-01,3.62,3.62,3.55,3.55,7200,3.55
2015-08-31,3.66,3.66,3.62,3.65,29600,3.65
2015-08-28,3.76,3.76,3.65,3.66,6600,3.66
2015-08-27,3.72,3.82,3.699,3.74,16900,3.74
2015-08-26,3.73,3.73,3.50,3.61,42400,3.61
2015-08-25,3.72,3.77,3.57,3.64,13900,3.64
2015-08-24,3.52,3.82,3.50,3.70,30100,3.70
2015-08-21,3.64,3.64,3.54,3.613,35000,3.613
2015-08-20,3.65,3.72,3.53,3.64,28900,3.64
2015-08-19,3.65,3.65,3.568,3.65,16900,3.65
2015-08-18,3.72,3.72,3.613,3.65,16600,3.65
2015-08-17,3.78,3.81,3.70,3.79,22600,3.79
2015-08-14,3.79,3.91,3.708,3.71,37100,3.71
2015-08-13,3.55,3.62,3.55,3.61,54300,3.61
2015-08-12,3.71,3.764,3.55,3.61,41400,3.61
