Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,20.559999,20.559999,20.18,20.48,25500,20.09038
2015-10-08,20.200001,20.66,20.08,20.299999,38700,19.913804
2015-10-07,20.389999,20.785,20.17,20.35,29800,19.962854
2015-10-06,19.60,20.459999,19.341999,20.120001,62100,19.73723
2015-10-05,19.200001,19.834999,19.200001,19.530001,54200,19.158455
2015-10-02,17.370001,19.129999,17.186001,19.01,92200,18.648347
2015-10-01,17.65,18.43,17.549999,18.00,114300,17.657561
2015-09-30,16.27,17.24,16.27,17.23,73800,16.90221
2015-09-29,16.85,16.958,16.245001,16.49,142500,16.176288
2015-09-28,17.68,17.68,16.76,16.93,115600,16.607918
2015-09-25,18.23,18.690001,17.50,18.00,72100,17.657561
2015-09-24,17.73,18.02,17.299999,18.02,116800,17.677181
2015-09-23,18.459999,18.459999,17.92,18.09,66400,17.745849
2015-09-22,18.26,18.334999,18.030001,18.23,29800,17.883185
2015-09-21,18.870001,18.870001,18.219999,18.32,53000,17.971473
2015-09-18,18.26,18.67,18.200001,18.459999,45800,18.108809
2015-09-17,18.540001,18.73,18.219999,18.540001,32200,18.187289
2015-09-16,18.540001,18.540001,18.110001,18.450001,83700,18.099001
2015-09-15,18.200001,18.85,18.200001,18.450001,49100,18.099001
2015-09-14,19.34,19.34,18.219999,18.299999,126900,17.951853
2015-09-11,20.09,20.129999,19.059999,19.209999,122900,18.844541
2015-09-10,20.486,20.486,19.34,19.98,90100,19.599893
2015-09-09,20.389999,20.77,20.25,20.559999,50300,20.168858
2015-09-08,20.84,20.93,20.254999,20.280001,72000,19.894186
2015-09-04,20.889999,20.92,20.23,20.629999,29800,20.237526
2015-09-03,20.52,21.00,20.459999,20.65,69300,20.257146
2015-09-02,20.530001,20.74,19.959999,20.610001,63100,20.217908
2015-09-01,20.77,21.117001,20.01,20.66,52100,20.266956
2015-08-31,21.40,21.780001,20.68,20.75,55400,20.355244
2015-08-28,21.129999,21.34,20.620001,21.309999,98300,20.90459
2015-08-27,20.389999,21.049999,19.965,20.93,66700,20.53182
2015-08-26,20.25,20.25,19.50,19.860001,70200,19.482177
2015-08-25,21.00,21.00,19.959999,20.26,50800,19.874566
2015-08-24,19.74,19.85,19.00,19.76,206800,19.384079
2015-08-21,21.08,21.10,20.299999,20.540001,97200,20.14924
2015-08-20,21.65,21.91,21.112,21.25,43100,20.845732
2015-08-19,21.90,22.280001,21.51,21.51,57700,21.100786
2015-08-18,21.84,22.17,21.709999,22.120001,89900,21.699182
2015-08-17,21.57,22.334999,21.57,22.040001,63400,21.620704
2015-08-14,22.049999,22.219999,21.209999,21.91,76400,21.493176
2015-08-13,21.99,22.25,21.52,21.75,99600,21.33622
2015-08-12,21.16,22.77,21.16,22.17,85900,21.74823
2015-08-11,21.41,21.938999,21.24,21.43,125300,20.659346
2015-08-10,21.469999,21.542,20.93,21.52,58000,20.74611
2015-08-07,22.610001,22.610001,21.309999,21.309999,30700,20.543661
2015-08-06,22.139999,22.139999,21.190001,22.00,59800,21.208848
2015-08-05,22.860001,23.00,21.92,21.959999,122100,21.170286
2015-08-04,22.52,22.906,22.23,22.43,50800,21.623385
2015-08-03,23.27,23.440001,22.33,22.52,39300,21.710149
2015-07-31,22.84,24.02,22.620001,22.90,101800,22.076482
2015-07-30,23.40,24.26,22.74,22.99,121300,22.163246
2015-07-29,21.51,22.705,21.360001,22.059999,75300,21.26669
2015-07-28,21.559999,21.91,21.07,21.65,92900,20.871434
2015-07-27,21.40,22.02,21.40,21.610001,58900,20.832874
2015-07-24,21.889999,22.33,20.639999,21.24,208400,20.476179
2015-07-23,21.60,22.33,21.549999,21.844999,68600,21.059421
2015-07-22,21.379999,22.790001,21.379999,21.66,169800,20.881075
2015-07-21,21.99,22.23,21.355,21.559999,49900,20.784671
2015-07-20,22.438,22.438,21.40,21.790001,54700,21.006401
2015-07-17,22.40,22.639999,22.190001,22.51,24100,21.700508
2015-07-16,22.780001,22.879999,22.33,22.59,21300,21.777631
2015-07-15,22.84,23.139999,22.41,22.65,21800,21.835473
2015-07-14,23.33,23.74,23.07,23.200001,13300,22.365695
2015-07-13,22.940001,23.799999,22.879999,22.99,36500,22.163246
2015-07-10,22.969999,23.49,22.594999,23.08,25600,22.25001
2015-07-09,22.639999,23.389999,22.639999,22.85,29400,22.028281
2015-07-08,23.35,23.65,22.540001,23.040001,42500,22.211449
2015-07-07,23.790001,23.799999,23.379999,23.379999,68100,22.539221
2015-07-06,23.43,23.93,23.370001,23.440001,42000,22.597064
2015-07-02,23.799999,24.35,23.447001,23.559999,49700,22.712748
2015-07-01,23.860001,24.16,23.219999,23.49,64000,22.645265
2015-06-30,23.98,24.33,23.690001,23.93,45700,23.069443
2015-06-29,24.110001,24.75,23.940001,24.10,56400,23.233329
2015-06-26,24.219999,24.468,23.969999,24.41,35500,23.532181
2015-06-25,24.75,24.75,24.030001,24.190001,13900,23.320093
2015-06-24,25.00,25.00,24.25,24.26,59500,23.387575
2015-06-23,24.18,25.00,23.945,24.99,43000,24.091323
2015-06-22,24.00,24.370001,23.629999,23.90,48900,23.040521
2015-06-19,24.09,25.09,23.639999,24.08,48400,23.214048
2015-06-18,21.719999,24.719999,21.610001,24.059999,206200,23.194767
2015-06-17,21.75,21.99,21.52,21.780001,43000,20.99676
