Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,30.809999,31.42,29.700001,31.18,22300,31.18
2015-10-08,30.59,30.855,29.610001,30.690001,39400,30.690001
2015-10-07,29.99,30.549999,29.92,30.50,51000,30.50
2015-10-06,29.50,30.41,29.469999,29.940001,28400,29.940001
2015-10-05,28.719999,30.290001,28.719999,30.08,44500,30.08
2015-10-02,28.959999,29.15,28.016001,28.940001,64800,28.940001
2015-10-01,29.82,31.028,28.530001,29.040001,46600,29.040001
2015-09-30,29.77,30.33,28.639999,29.90,82100,29.90
2015-09-29,30.940001,30.940001,28.90,29.549999,53800,29.549999
2015-09-28,31.49,31.83,30.33,30.610001,50100,30.610001
2015-09-25,32.43,32.43,31.200001,31.43,145400,31.43
2015-09-24,32.16,34.060001,31.530001,32.060001,43900,32.060001
2015-09-23,32.119999,32.610001,31.719999,32.220001,99100,32.220001
2015-09-22,32.740002,32.740002,31.42,32.02,55000,32.02
2015-09-21,32.77,33.959999,32.00,32.900002,32000,32.900002
2015-09-18,31.370001,33.855,31.370001,32.889999,122900,32.889999
2015-09-17,32.689999,33.68,31.790001,32.00,78400,32.00
2015-09-16,32.52,33.619999,32.119999,32.490002,13300,32.490002
2015-09-15,32.919998,33.18,31.889999,32.889999,39500,32.889999
2015-09-14,32.450001,33.02,31.700001,31.879999,68700,31.879999
2015-09-11,32.630001,33.57,31.450001,32.130001,54700,32.130001
2015-09-10,33.950001,35.150002,32.419998,32.709999,62500,32.709999
2015-09-09,34.099998,35.00,33.279999,33.790001,109000,33.790001
2015-09-08,33.099998,34.665001,32.560001,34.00,73000,34.00
2015-09-04,31.440001,32.990002,31.18,32.50,56400,32.50
2015-09-03,32.200001,32.669998,31.459999,31.75,33200,31.75
2015-09-02,32.34,32.610001,32.040001,32.349998,28900,32.349998
2015-09-01,31.530001,33.150002,31.454,32.09,82900,32.09
2015-08-31,31.34,32.599998,31.120001,31.969999,53700,31.969999
2015-08-28,31.389999,33.119999,31.24,31.610001,31000,31.610001
2015-08-27,32.00,33.50,30.735001,31.73,77100,31.73
2015-08-26,31.959999,35.00,31.225,31.65,69300,31.65
2015-08-25,31.93,31.93,29.82,30.90,89700,30.90
2015-08-24,30.25,30.690001,30.25,30.690001,39000,30.690001
2015-08-21,31.280001,33.199001,31.280001,31.51,64400,31.51
2015-08-20,31.99,32.599998,31.76,31.77,98200,31.77
2015-08-19,33.41,33.41,31.90,32.25,98400,32.25
2015-08-18,34.740002,34.75,32.860001,33.27,395900,33.27
2015-08-17,33.98,35.139999,33.285,34.07,194500,34.07
2015-08-14,32.439999,34.855,30.700001,34.130001,265800,34.130001
2015-08-13,29.790001,33.48,29.190001,31.98,296200,31.98
2015-08-12,26.60,30.09,26.40,30.08,251700,30.08
2015-08-11,26.26,27.610001,26.01,26.59,49700,26.59
2015-08-10,27.879999,27.90,25.07,26.32,147900,26.32
2015-08-07,27.700001,28.50,26.299999,28.00,147600,28.00
2015-08-06,28.23,28.75,27.549999,28.049999,91400,28.049999
2015-08-05,28.559999,29.16,27.379999,28.370001,118600,28.370001
2015-08-04,28.65,29.25,28.50,28.75,57600,28.75
2015-08-03,29.07,30.00,26.85,28.799999,95800,28.799999
2015-07-31,29.959999,30.10,28.773001,29.24,145000,29.24
2015-07-30,29.870001,32.84,29.195,30.040001,78500,30.040001
2015-07-29,30.51,32.490002,28.969999,30.10,162200,30.10
2015-07-28,31.709999,34.43,29.90,30.42,120000,30.42
2015-07-27,33.68,33.990002,31.299999,31.67,107700,31.67
2015-07-24,34.07,34.150002,32.02,34.130001,107300,34.130001
2015-07-23,35.209999,36.310001,33.50,34.099998,68400,34.099998
2015-07-22,36.09,37.200001,34.091,35.02,114900,35.02
2015-07-21,38.00,38.400002,35.220001,36.220001,103700,36.220001
2015-07-20,36.959999,38.91,36.955002,38.27,124600,38.27
2015-07-17,36.110001,38.00,35.810001,36.93,67400,36.93
2015-07-16,36.299999,37.438999,35.950001,36.209999,79600,36.209999
2015-07-15,37.189999,37.200001,35.560001,36.240002,110900,36.240002
2015-07-14,36.549999,38.50,35.900002,37.130001,77000,37.130001
2015-07-13,37.380001,38.27,35.950001,36.790001,65200,36.790001
2015-07-10,37.310001,38.209999,35.639999,37.419998,60300,37.419998
2015-07-09,38.580002,38.849998,35.799999,36.939999,76000,36.939999
2015-07-08,36.139999,39.610001,35.939999,38.439999,142600,38.439999
2015-07-07,37.16,38.200001,36.022999,36.299999,97000,36.299999
2015-07-06,38.41,39.560001,36.330002,37.799999,87900,37.799999
2015-07-02,40.650002,41.32,38.529999,38.799999,101100,38.799999
2015-07-01,43.16,43.16,39.720001,40.299999,87300,40.299999
2015-06-30,43.924,44.00,41.389999,42.130001,56600,42.130001
2015-06-29,42.50,43.810001,41.049999,43.43,104900,43.43
2015-06-26,43.25,44.709999,41.50,42.84,1839800,42.84
2015-06-25,42.259998,43.689999,41.794998,43.41,102600,43.41
2015-06-24,43.919998,43.950001,40.84,42.52,99200,42.52
2015-06-23,42.810001,44.599998,41.919998,42.50,113100,42.50
2015-06-22,44.400002,44.560001,42.470001,43.029999,100400,43.029999
2015-06-19,44.849998,45.631001,43.625,43.849998,164300,43.849998
2015-06-18,45.25,45.27,43.669998,45.240002,77400,45.240002
2015-06-17,44.75,45.990002,43.869999,44.970001,92200,44.970001
2015-06-16,44.360001,44.98,43.419998,44.25,55400,44.25
2015-06-15,43.849998,44.959999,43.68,44.419998,52300,44.419998
2015-06-12,43.950001,45.00,43.950001,44.25,48100,44.25
2015-06-11,45.349998,45.349998,44.009998,44.099998,36600,44.099998
2015-06-10,46.52,47.009998,43.00,45.029999,83500,45.029999
2015-06-09,47.00,47.419998,46.16,46.360001,30300,46.360001
2015-06-08,47.209999,47.509998,46.41,47.299999,26500,47.299999
2015-06-05,46.860001,47.560001,46.73,47.490002,21600,47.490002
2015-06-04,47.360001,47.810001,47.009998,47.110001,26900,47.110001
2015-06-03,47.25,47.619999,46.82,47.099998,34700,47.099998
2015-06-02,47.639999,47.639999,46.880001,47.290001,41200,47.290001
2015-06-01,46.98,48.02,46.98,47.57,40500,47.57
2015-05-29,46.66,47.50,46.66,47.34,53000,47.34
2015-05-28,46.59,47.52,46.59,46.919998,37800,46.919998
2015-05-27,48.00,48.00,46.755001,46.830002,64500,46.830002
2015-05-26,48.259998,48.259998,47.150002,47.599998,32900,47.599998
2015-05-22,48.50,48.990002,47.599998,47.599998,48000,47.599998
2015-05-21,48.790001,49.740002,48.007,48.50,56700,48.50
2015-05-20,45.52,49.990002,45.389999,48.779999,117800,48.779999
2015-05-19,45.50,45.50,44.900002,45.50,32500,45.50
2015-05-18,45.009998,45.57,44.169998,45.259998,37200,45.259998
2015-05-15,43.099998,45.490002,43.049999,44.98,58200,44.98
2015-05-14,42.66,44.68,42.66,44.509998,64400,44.509998
2015-05-13,41.50,44.27,40.919998,44.110001,404300,44.110001
2015-05-12,42.610001,43.009998,41.259998,41.450001,105400,41.450001
2015-05-11,48.00,48.00,43.120998,43.880001,65600,43.880001
2015-05-08,49.900002,49.900002,48.009998,48.389999,17700,48.389999
2015-05-07,49.700001,50.00,49.349998,49.349998,27300,49.349998
2015-05-06,50.220001,50.220001,48.82,50.00,12100,50.00
2015-05-05,49.50,51.200001,49.119999,50.00,21400,50.00
2015-05-04,49.00,49.50,48.950001,49.50,98400,49.50
2015-05-01,49.50,49.50,49.16,49.16,2600,49.16
2015-04-30,48.810001,49.50,48.810001,49.445,7500,49.445
2015-04-29,49.41,49.490002,48.810001,49.200001,4100,49.200001
2015-04-28,49.860001,49.860001,49.00,49.41,5700,49.41
2015-04-27,50.900002,50.970001,50.23,50.23,16900,50.23
2015-04-24,49.970001,56.00,48.810001,52.959999,6600,52.959999
2015-04-23,50.150002,50.98,49.27,50.68,10600,50.68
2015-04-22,49.900002,50.27,49.759998,50.060001,9700,50.060001
2015-04-21,49.799999,51.799999,49.59,50.27,17900,50.27
2015-04-20,49.889999,49.93,49.299999,49.799999,20400,49.799999
2015-04-17,49.98,49.98,48.799999,49.50,19000,49.50
2015-04-16,49.119999,50.75,49.00,50.00,16500,50.00
2015-04-15,48.66,49.990002,48.66,49.990002,7600,49.990002
2015-04-14,48.900002,49.00,48.139999,48.990002,8000,48.990002
2015-04-13,50.00,50.00,48.779999,48.810001,11200,48.810001
2015-04-10,50.00,50.00,49.91,50.00,3000,50.00
2015-04-09,50.00,50.00,49.919998,50.00,8600,50.00
2015-04-08,49.049999,50.00,49.049999,49.990002,2300,49.990002
2015-04-07,49.93,50.00,49.41,50.00,6500,50.00
2015-04-06,49.75,49.990002,47.700001,49.990002,5200,49.990002
2015-04-02,49.799999,49.799999,49.50,49.50,700,49.50
2015-04-01,48.849998,49.990002,48.639999,49.990002,1300,49.990002
2015-03-31,49.00,50.00,47.969002,50.00,9100,50.00
2015-03-30,48.029999,49.990002,47.75,49.990002,8700,49.990002
2015-03-27,45.48,48.34,45.48,48.34,5100,48.34
2015-03-26,49.00,49.00,47.00,48.25,2800,48.25
2015-03-25,49.91,50.00,49.639999,49.689999,5600,49.689999
2015-03-24,47.939999,50.00,47.939999,50.00,9900,50.00
2015-03-23,50.00,50.00,46.349998,49.900002,5100,49.900002
2015-03-20,45.209999,48.900002,45.009998,48.290001,234900,48.290001
2015-03-19,46.77,47.00,39.060001,45.00,172000,45.00
2015-03-18,46.00,48.84,44.259998,44.990002,27900,44.990002
2015-03-17,45.98,46.959999,44.52,45.00,421700,45.00
2015-03-16,46.950001,47.00,45.02,45.470001,20600,45.470001
2015-03-13,49.00,49.00,46.50,47.00,18100,47.00
2015-03-12,49.459999,49.48,48.369999,49.00,9500,49.00
2015-03-11,50.00,50.00,48.00,48.490002,10900,48.490002
2015-03-10,50.00,50.00,46.389999,46.93,13100,46.93
2015-03-09,48.75,50.00,48.75,50.00,19900,50.00
2015-03-06,48.50,50.00,46.450001,50.00,4700,50.00
2015-03-05,53.00,53.00,47.700001,48.369999,2300,48.369999
2015-03-04,50.50,51.375,49.50,50.00,18300,50.00
2015-03-03,50.049999,50.849998,49.610001,50.27,15800,50.27
2015-03-02,52.50,53.50,50.91,50.990002,12100,50.990002
2015-02-27,54.369999,54.369999,53.080002,54.00,6500,54.00
2015-02-26,56.00,56.00,53.959999,54.50,900,54.50
2015-02-25,53.41,53.790001,51.785,52.639999,10800,52.639999
2015-02-24,55.00,55.00,53.50,53.790001,29100,53.790001
2015-02-23,54.740002,55.00,54.00,54.00,1100,54.00
2015-02-20,54.00,55.00,53.799999,55.00,7300,55.00
2015-02-19,54.00,54.00,50.080002,52.669998,37400,52.669998
2015-02-18,54.00,56.00,52.939999,55.00,31100,55.00
2015-02-17,45.919998,56.00,45.919998,54.00,6200,54.00
2015-02-13,43.700001,46.00,43.700001,46.00,2500,46.00
2015-02-12,46.950001,46.950001,43.48,43.907001,150400,43.907001
2015-02-11,46.492001,47.00,45.459999,46.950001,2000,46.950001
2015-02-10,46.950001,46.950001,46.00,46.00,600,46.00
2015-02-09,45.00,45.00,41.50,43.970001,151400,43.970001
2015-02-06,48.00,48.00,43.00,43.00,900,43.00
2015-02-05,42.00,42.00,42.00,42.00,400,42.00
2015-02-04,50.00,50.00,41.00,41.00,800,41.00
