Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,4.65,4.96,4.65,4.91,512200,4.632912
2015-10-08,4.67,4.72,4.63,4.63,187100,4.368713
2015-10-07,4.75,4.80,4.54,4.68,252000,4.415891
2015-10-06,4.48,4.74,4.40,4.65,208800,4.387585
2015-10-05,4.34,4.49,4.33,4.49,137900,4.236614
2015-10-02,4.09,4.32,4.09,4.31,131300,4.066772
2015-10-01,4.27,4.32,4.08,4.11,104500,3.878059
2015-09-30,4.04,4.29,4.00,4.27,273400,4.029029
2015-09-29,4.05,4.11,4.00,4.00,235400,3.774266
2015-09-28,4.21,4.21,4.06,4.07,227500,3.840316
2015-09-25,4.28,4.30,4.22,4.23,119200,3.991287
2015-09-24,4.27,4.36,4.22,4.26,136900,4.019594
2015-09-23,4.45,4.49,4.27,4.27,146500,4.029029
2015-09-22,4.36,4.56,4.30,4.44,145700,4.189436
2015-09-21,4.44,4.57,4.39,4.43,134600,4.18
2015-09-18,4.50,4.58,4.35,4.36,201900,4.11395
2015-09-17,4.60,4.60,4.50,4.58,81600,4.321535
2015-09-16,4.42,4.70,4.42,4.59,222600,4.330971
2015-09-15,4.27,4.44,4.27,4.35,145800,4.104514
2015-09-14,4.41,4.46,4.25,4.31,233200,4.066772
2015-09-11,4.61,4.65,4.46,4.48,263700,4.227178
2015-09-10,4.75,4.75,4.61,4.67,111200,4.406456
2015-09-09,4.80,4.89,4.70,4.71,174600,4.444199
2015-09-08,4.88,4.97,4.80,4.81,189500,4.538555
2015-09-04,4.89,5.00,4.80,4.86,168700,4.585734
2015-09-03,4.95,5.13,4.85,4.90,184500,4.623476
2015-09-02,5.00,5.04,4.85,4.91,296500,4.632912
2015-09-01,4.98,5.10,4.84,4.96,308200,4.68009
2015-08-31,4.94,5.29,4.76,5.07,476800,4.783883
2015-08-28,4.72,5.19,4.68,4.91,630200,4.632912
2015-08-27,4.42,4.70,4.34,4.60,452500,4.340406
2015-08-26,4.42,4.43,4.26,4.33,241400,4.085643
2015-08-25,4.28,4.64,4.28,4.31,569300,4.066772
2015-08-24,4.12,4.39,4.08,4.12,455300,3.887494
2015-08-21,4.17,4.43,4.06,4.31,471100,4.066772
2015-08-20,4.08,4.49,4.08,4.22,725800,3.981851
2015-08-19,4.54,4.58,3.99,4.12,1438600,3.887494
2015-08-18,5.28,5.35,4.48,4.58,1884600,4.321535
2015-08-17,5.79,5.80,5.31,5.36,932700,5.057517
2015-08-14,6.15,6.19,5.82,5.87,504100,5.538736
2015-08-13,6.40,6.42,5.87,6.10,664200,5.755756
2015-08-12,6.42,6.66,6.40,6.49,401000,6.123747
2015-08-11,7.20,7.33,6.78,6.90,1014700,6.111481
2015-08-10,7.04,7.35,7.01,7.28,454100,6.448055
2015-08-07,7.00,7.14,6.96,7.07,281200,6.262054
2015-08-06,6.94,7.08,6.82,7.00,283500,6.200053
2015-08-05,6.91,7.14,6.91,6.95,289900,6.155767
2015-08-04,6.86,7.06,6.75,6.93,299400,6.138052
2015-08-03,7.04,7.04,6.80,6.91,428900,6.120338
2015-07-31,7.25,7.33,7.05,7.06,541200,6.253196
2015-07-30,7.55,7.59,7.46,7.53,228600,6.669486
2015-07-29,7.50,7.67,7.37,7.55,211000,6.6872
2015-07-28,7.46,7.65,7.40,7.51,290100,6.651771
2015-07-27,7.24,7.49,7.15,7.42,360600,6.572056
2015-07-24,7.26,7.39,7.14,7.25,184000,6.421484
2015-07-23,7.10,7.26,7.10,7.26,162800,6.430341
2015-07-22,7.18,7.24,7.06,7.11,219900,6.297483
2015-07-21,6.79,7.41,6.79,7.21,419200,6.386055
2015-07-20,7.09,7.09,6.77,6.79,681100,6.014051
2015-07-17,7.28,7.30,7.04,7.05,490400,6.244339
2015-07-16,7.38,7.43,7.29,7.30,225900,6.46577
2015-07-15,7.45,7.48,7.35,7.38,213500,6.536627
2015-07-14,7.46,7.51,7.41,7.49,114800,6.634057
2015-07-13,7.53,7.54,7.44,7.46,205000,6.607485
2015-07-10,7.51,7.53,7.48,7.51,147500,6.651771
2015-07-09,7.56,7.62,7.44,7.44,166500,6.589771
2015-07-08,7.56,7.66,7.48,7.52,359100,6.660628
2015-07-07,7.39,7.60,7.25,7.57,210500,6.704915
2015-07-06,7.45,7.51,7.31,7.39,283300,6.545484
2015-07-02,7.55,7.62,7.51,7.57,143200,6.704915
2015-07-01,7.49,7.58,7.44,7.49,187700,6.634057
2015-06-30,7.50,7.56,7.43,7.48,201300,6.6252
2015-06-29,7.49,7.51,7.39,7.48,152800,6.6252
2015-06-26,7.56,7.57,7.37,7.50,141700,6.642914
2015-06-25,7.62,7.66,7.49,7.54,161400,6.678343
2015-06-24,7.50,7.70,7.50,7.62,280300,6.7492
2015-06-23,7.32,7.55,7.30,7.48,197900,6.6252
2015-06-22,7.38,7.45,7.27,7.39,197600,6.545484
2015-06-19,7.46,7.50,7.31,7.37,228800,6.52777
2015-06-18,7.68,7.68,7.46,7.50,185700,6.642914
2015-06-17,7.69,7.73,7.60,7.60,188800,6.731486
2015-06-16,7.71,7.75,7.62,7.69,185900,6.811201
2015-06-15,7.70,7.73,7.65,7.70,157900,6.820058
2015-06-12,7.69,7.78,7.66,7.71,167100,6.828916
2015-06-11,7.68,7.75,7.66,7.68,159800,6.802344
2015-06-10,7.70,7.78,7.65,7.67,178100,6.793487
2015-06-09,7.63,7.69,7.61,7.62,137800,6.7492
2015-06-08,7.55,7.67,7.55,7.57,219300,6.704915
2015-06-05,7.54,7.70,7.51,7.59,239500,6.722629
2015-06-04,7.57,7.57,7.41,7.56,238900,6.696057
2015-06-03,7.67,7.73,7.52,7.54,192800,6.678343
2015-06-02,7.73,7.77,7.65,7.67,202700,6.793487
2015-06-01,7.45,7.73,7.38,7.64,412600,6.766915
2015-05-29,7.49,7.63,7.36,7.38,379900,6.536627
2015-05-28,7.22,7.37,7.13,7.36,212000,6.518913
2015-05-27,7.49,7.49,7.16,7.21,182700,6.386055
2015-05-26,7.38,7.60,7.37,7.49,305500,6.634057
2015-05-22,7.33,7.39,7.21,7.38,227400,6.536627
2015-05-21,7.00,7.44,7.00,7.38,404700,6.536627
2015-05-20,7.07,7.11,6.93,6.94,379300,6.14691
2015-05-19,7.10,7.23,7.04,7.07,365900,6.262054
2015-05-18,7.55,7.60,7.14,7.18,875700,6.359483
2015-05-15,7.84,7.85,7.63,7.63,315900,6.758058
2015-05-14,7.70,7.99,7.65,7.82,412500,6.926345
2015-05-13,7.96,7.98,7.60,7.85,1209300,6.952917
