Date,Open,High,Low,Close,Volume,Adj Close
2015-10-01,261.00,261.00,261.00,261.00,000,261.00
2015-09-30,261.00,261.00,261.00,261.00,000,261.00
2015-09-29,261.00,261.00,261.00,261.00,000,261.00
2015-09-23,261.00,261.00,261.00,261.00,000,261.00
2015-09-22,261.00,261.00,261.00,261.00,000,261.00
2015-09-17,261.00,261.00,256.00,261.00,400,261.00
2015-09-16,260.00,260.00,260.00,260.00,000,260.00
2015-09-15,260.00,260.00,260.00,260.00,000,260.00
2015-09-14,260.00,260.00,260.00,260.00,400,260.00
2015-09-10,265.00,265.00,265.00,265.00,000,265.00
2015-09-09,265.00,265.00,265.00,265.00,000,265.00
2015-09-08,265.00,265.00,265.00,265.00,000,265.00
2015-09-07,265.00,265.00,265.00,265.00,000,265.00
2015-09-02,265.00,265.00,265.00,265.00,000,265.00
2015-09-01,265.00,265.00,265.00,265.00,000,265.00
2015-08-31,265.00,265.00,265.00,265.00,000,265.00
2015-08-27,265.00,265.00,265.00,265.00,000,265.00
2015-08-26,265.00,265.00,265.00,265.00,000,265.00
2015-08-25,265.00,265.00,265.00,265.00,000,265.00
2015-08-24,265.00,265.00,265.00,265.00,000,265.00
2015-08-20,265.00,265.00,265.00,265.00,000,265.00
2015-08-19,265.00,265.00,265.00,265.00,000,265.00
2015-08-18,265.00,265.00,265.00,265.00,000,265.00
2015-08-17,265.00,265.00,265.00,265.00,000,265.00
2015-08-13,265.00,265.00,265.00,265.00,000,265.00
2015-08-12,265.00,265.00,265.00,265.00,000,265.00
2015-08-11,265.00,265.00,265.00,265.00,200,265.00
2015-08-10,260.00,260.00,260.00,260.00,100,260.00
2015-08-06,255.00,255.00,255.00,255.00,300,255.00
2015-08-05,260.00,260.00,260.00,260.00,100,260.00
2015-08-04,265.00,265.00,260.00,265.00,1200,265.00
