Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,6.56,6.60,6.48,6.48,63500,6.3296
2015-10-08,6.40,6.54,6.38,6.52,55600,6.368671
2015-10-07,6.36,6.45,6.34,6.45,57700,6.300296
2015-10-06,6.33,6.36,6.32,6.35,11700,6.202617
2015-10-05,6.31,6.37,6.31,6.37,75900,6.222153
2015-10-02,6.28,6.33,6.26,6.32,332400,6.173313
2015-10-01,6.33,6.34,6.30,6.33,58300,6.183081
2015-09-30,6.35,6.36,6.28,6.32,28900,6.173313
2015-09-29,6.28,6.38,6.27,6.30,62200,6.153778
2015-09-28,6.35,6.36,6.19,6.30,42300,6.153778
2015-09-25,6.41,6.45,6.40,6.40,19000,6.251457
2015-09-24,6.40,6.43,6.40,6.43,5000,6.28076
2015-09-23,6.48,6.53,6.41,6.50,29700,6.300296
2015-09-22,6.52,6.52,6.50,6.51,5300,6.309989
2015-09-21,6.51,6.57,6.51,6.57,53400,6.368146
2015-09-18,6.43,6.52,6.43,6.51,12300,6.309989
2015-09-17,6.44,6.51,6.44,6.49,25100,6.290603
2015-09-16,6.47,6.51,6.42,6.48,60900,6.280911
2015-09-15,6.56,6.58,6.46,6.53,72000,6.329375
2015-09-14,6.54,6.56,6.52,6.56,29500,6.358453
2015-09-11,6.48,6.58,6.47,6.57,36400,6.368146
2015-09-10,6.51,6.59,6.51,6.57,12700,6.368146
2015-09-09,6.59,6.59,6.54,6.55,29600,6.34876
2015-09-08,6.53,6.59,6.51,6.56,27000,6.358453
2015-09-04,6.46,6.54,6.46,6.53,21300,6.329375
2015-09-03,6.49,6.56,6.49,6.53,41300,6.329375
2015-09-02,6.51,6.53,6.46,6.52,40300,6.319682
2015-09-01,6.47,6.58,6.47,6.51,32500,6.309989
2015-08-31,6.56,6.57,6.52,6.56,7900,6.358453
2015-08-28,6.52,6.56,6.52,6.56,26100,6.358453
2015-08-27,6.50,6.56,6.50,6.54,22600,6.339067
2015-08-26,6.47,6.50,6.42,6.50,24900,6.300296
2015-08-25,6.51,6.51,6.34,6.51,72700,6.309989
2015-08-24,6.18,6.60,6.10,6.60,87600,6.348759
2015-08-21,6.54,6.59,6.41,6.49,55300,6.242947
2015-08-20,6.57,6.59,6.51,6.52,58500,6.271805
2015-08-19,6.56,6.60,6.55,6.58,52700,6.329521
2015-08-18,6.59,6.61,6.51,6.61,32400,6.358379
2015-08-17,6.61,6.61,6.53,6.60,63900,6.348759
2015-08-14,6.55,6.61,6.53,6.60,32400,6.348759
2015-08-13,6.55,6.61,6.55,6.59,52000,6.33914
2015-08-12,6.51,6.60,6.51,6.59,44800,6.33914
2015-08-11,6.57,6.62,6.50,6.60,77900,6.348759
2015-08-10,6.63,6.64,6.59,6.59,28300,6.33914
2015-08-07,6.65,6.66,6.59,6.60,133600,6.348759
2015-08-06,6.69,6.69,6.65,6.68,32300,6.425714
2015-08-05,6.70,6.73,6.67,6.70,36400,6.444953
2015-08-04,6.69,6.72,6.65,6.71,19700,6.454572
2015-08-03,6.66,6.71,6.62,6.70,33500,6.444953
2015-07-31,6.70,6.70,6.65,6.67,31200,6.416095
2015-07-30,6.70,6.71,6.60,6.65,36700,6.396856
2015-07-29,6.70,6.70,6.64,6.68,47400,6.425714
2015-07-28,6.67,6.68,6.62,6.66,37500,6.406475
2015-07-27,6.60,6.64,6.58,6.63,76000,6.377618
2015-07-24,6.68,6.74,6.68,6.74,77900,6.435333
2015-07-23,6.76,6.79,6.76,6.77,36800,6.463977
2015-07-22,6.87,6.87,6.77,6.77,62000,6.463977
2015-07-21,6.90,6.90,6.83,6.87,30000,6.559457
2015-07-20,6.95,6.95,6.88,6.90,43100,6.588101
2015-07-17,6.92,6.93,6.90,6.90,23800,6.588101
2015-07-16,6.92,6.94,6.90,6.92,15300,6.607197
2015-07-15,6.88,6.91,6.86,6.90,24300,6.588101
2015-07-14,6.93,6.94,6.89,6.90,24100,6.588101
2015-07-13,6.95,6.97,6.94,6.94,12000,6.626293
2015-07-10,6.92,6.98,6.92,6.98,45000,6.664485
2015-07-09,6.97,6.99,6.91,6.91,21900,6.597649
2015-07-08,6.98,6.98,6.93,6.97,30700,6.654937
2015-07-07,6.98,7.01,6.95,7.01,22500,6.693129
2015-07-06,6.98,7.03,6.95,7.00,50200,6.683581
2015-07-02,6.96,7.00,6.96,6.98,35000,6.664485
2015-07-01,6.93,6.99,6.93,6.99,28100,6.674033
2015-06-30,6.92,6.95,6.88,6.93,21900,6.616745
2015-06-29,6.95,6.95,6.85,6.86,34300,6.549909
2015-06-26,6.94,6.96,6.88,6.95,42400,6.635841
2015-06-25,6.99,7.00,6.94,6.97,50500,6.654937
2015-06-24,7.00,7.03,6.99,6.99,37900,6.674033
2015-06-23,7.02,7.06,7.02,7.05,34400,6.683581
2015-06-22,7.03,7.07,7.03,7.05,30600,6.683581
2015-06-19,7.05,7.08,7.03,7.07,39100,6.702541
2015-06-18,7.04,7.08,7.03,7.06,44200,6.693061
2015-06-17,7.04,7.10,7.02,7.06,29900,6.693061
2015-06-16,7.06,7.10,7.05,7.07,60100,6.702541
2015-06-15,7.07,7.12,7.06,7.09,17200,6.721502
2015-06-12,7.06,7.13,7.06,7.10,8000,6.730982
2015-06-11,7.07,7.13,7.07,7.12,25400,6.749942
2015-06-10,7.06,7.12,7.06,7.10,17600,6.730982
2015-06-09,7.04,7.15,7.04,7.08,40100,6.712021
2015-06-08,7.08,7.16,7.08,7.11,27100,6.740462
2015-06-05,7.20,7.23,7.14,7.14,21000,6.768903
2015-06-04,7.29,7.29,7.21,7.22,19500,6.844745
2015-06-03,7.30,7.31,7.24,7.27,25100,6.892146
2015-06-02,7.28,7.30,7.25,7.30,15100,6.920587
2015-06-01,7.26,7.32,7.26,7.30,34000,6.920587
2015-05-29,7.34,7.36,7.27,7.30,37600,6.920587
2015-05-28,7.28,7.30,7.28,7.29,10800,6.911107
2015-05-27,7.20,7.28,7.20,7.27,20400,6.892146
2015-05-26,7.26,7.26,7.22,7.23,22700,6.854225
2015-05-22,7.21,7.29,7.21,7.27,18500,6.892146
2015-05-21,7.33,7.33,7.28,7.32,17900,6.892147
2015-05-20,7.28,7.32,7.28,7.31,19600,6.882731
2015-05-19,7.25,7.30,7.25,7.30,36100,6.873316
2015-05-18,7.22,7.30,7.22,7.30,33700,6.873316
2015-05-15,7.27,7.29,7.25,7.28,23200,6.854485
2015-05-14,7.17,7.30,7.16,7.28,23400,6.854485
2015-05-13,7.21,7.23,7.18,7.21,24800,6.788576
2015-05-12,7.22,7.31,7.19,7.22,48800,6.797991
2015-05-11,7.26,7.34,7.26,7.34,35700,6.910978
2015-05-08,7.26,7.29,7.24,7.27,34800,6.845069
2015-05-07,7.24,7.27,7.05,7.24,130800,6.816822
2015-05-06,7.39,7.39,7.04,7.19,171100,6.769745
2015-05-05,7.40,7.41,7.35,7.36,23300,6.929809
