Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.65,10.79,10.65,10.76,116600,10.282008
2015-10-08,10.45,10.62,10.38,10.58,95500,10.110004
2015-10-07,10.37,10.45,10.26,10.44,94000,9.976223
2015-10-06,10.17,10.30,10.16,10.29,66000,9.832887
2015-10-05,10.15,10.21,10.11,10.14,70500,9.689551
2015-10-02,10.10,10.15,10.04,10.07,94400,9.62266
2015-10-01,10.22,10.25,10.05,10.12,117500,9.670439
2015-09-30,10.21,10.30,10.00,10.30,91000,9.842443
2015-09-29,10.16,10.26,10.05,10.11,98900,9.660883
2015-09-28,10.51,10.55,10.08,10.11,141100,9.660883
2015-09-25,10.58,10.63,10.49,10.49,52300,10.024002
2015-09-24,10.58,10.64,10.48,10.56,83500,10.090893
2015-09-23,10.72,10.78,10.56,10.64,97500,10.167339
2015-09-22,10.70,10.75,10.63,10.67,87200,10.196006
2015-09-21,10.74,10.78,10.70,10.73,82000,10.25334
2015-09-18,10.64,10.77,10.60,10.74,37600,10.262896
2015-09-17,10.58,10.67,10.48,10.66,85900,10.18645
2015-09-16,10.57,10.59,10.48,10.53,116500,10.062225
2015-09-15,10.60,10.60,10.49,10.54,114300,10.071781
2015-09-14,10.84,10.87,10.71,10.72,92000,10.133894
2015-09-11,10.79,10.80,10.74,10.79,86400,10.200067
2015-09-10,10.77,10.86,10.74,10.77,76900,10.18116
2015-09-09,10.80,10.83,10.73,10.74,58400,10.1528
2015-09-08,10.84,10.85,10.70,10.80,78700,10.20952
2015-09-04,10.79,10.81,10.69,10.74,58000,10.1528
2015-09-03,10.95,10.97,10.80,10.80,69000,10.20952
2015-09-02,10.84,10.87,10.69,10.85,73500,10.256786
2015-09-01,10.74,10.87,10.74,10.78,105000,10.190613
2015-08-31,10.91,10.91,10.76,10.81,137400,10.218973
2015-08-28,10.66,10.95,10.66,10.90,137100,10.304052
2015-08-27,10.52,10.66,10.46,10.65,154100,10.067721
2015-08-26,10.38,10.51,10.27,10.51,107900,9.935376
2015-08-25,10.28,10.47,10.15,10.20,216700,9.642324
2015-08-24,9.93,10.18,9.84,9.88,297400,9.33982
2015-08-21,10.51,10.66,10.35,10.37,138100,9.80303
2015-08-20,10.66,10.71,10.54,10.54,82500,9.963735
2015-08-19,10.75,10.78,10.70,10.72,61800,10.133894
2015-08-18,10.79,10.79,10.75,10.76,32800,10.171707
2015-08-17,10.86,10.88,10.73,10.75,109000,10.162254
2015-08-14,10.91,10.94,10.80,10.91,78500,10.313506
2015-08-13,11.00,11.04,10.96,11.02,114000,10.30878
2015-08-12,11.04,11.04,10.91,10.99,94300,10.280715
2015-08-11,10.90,11.01,10.85,10.97,99300,10.262007
