Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,16.60,16.68,16.440001,16.530001,144800,16.530001
2015-10-08,16.030001,16.83,15.86,16.60,336800,16.60
2015-10-07,16.389999,16.450001,15.74,16.110001,320500,16.110001
2015-10-06,16.209999,16.68,16.030001,16.40,282700,16.40
2015-10-05,16.120001,16.65,15.86,16.280001,354400,16.280001
2015-10-02,16.120001,16.365,15.51,15.94,180000,15.94
2015-10-01,17.25,17.309999,15.98,16.190001,404600,16.190001
2015-09-30,17.67,18.01,17.059999,17.139999,2433300,17.139999
2015-09-29,17.530001,18.280001,17.27,17.50,457300,17.50
2015-09-28,18.01,18.40,17.459999,17.50,445400,17.50
2015-09-25,18.040001,18.290001,17.50,18.10,758200,18.10
2015-09-24,17.50,18.27,17.469999,17.719999,348400,17.719999
2015-09-23,17.43,18.379999,17.40,17.65,307200,17.65
2015-09-22,17.700001,18.08,17.209999,17.370001,372100,17.370001
2015-09-21,17.969999,18.75,17.51,17.879999,360100,17.879999
2015-09-18,17.940001,18.85,17.59,17.83,1026200,17.83
2015-09-17,18.059999,18.950001,17.73,18.379999,722900,18.379999
2015-09-16,17.360001,18.09,17.309999,18.049999,757100,18.049999
2015-09-15,17.700001,17.940001,17.379999,17.60,455100,17.60
2015-09-14,17.709999,17.99,17.00,17.60,348100,17.60
2015-09-11,17.34,17.799999,17.290001,17.709999,218900,17.709999
2015-09-10,17.879999,18.25,17.50,17.639999,371200,17.639999
2015-09-09,18.50,18.624001,17.139999,17.73,409700,17.73
2015-09-08,18.74,18.98,18.200001,18.379999,487100,18.379999
2015-09-04,18.41,18.75,17.75,18.59,227500,18.59
2015-09-03,19.00,19.649,18.065001,18.60,902700,18.60
2015-09-02,18.940001,19.00,17.790001,18.50,566700,18.50
2015-09-01,16.709999,19.200001,16.709999,18.24,689500,18.24
2015-08-31,17.75,17.85,17.450001,17.809999,450500,17.809999
2015-08-28,15.95,16.83,15.94,16.780001,202500,16.780001
2015-08-27,16.299999,16.50,15.84,16.049999,252700,16.049999
2015-08-26,15.84,16.25,15.45,15.90,258200,15.90
2015-08-25,16.860001,16.860001,15.01,15.27,302800,15.27
2015-08-24,14.75,15.50,13.65,15.05,653800,15.05
2015-08-21,16.52,16.74,16.01,16.24,513600,16.24
2015-08-20,17.48,17.48,16.580999,16.99,540100,16.99
2015-08-19,18.75,19.00,17.15,17.790001,581400,17.790001
2015-08-18,19.190001,19.24,18.780001,19.00,211800,19.00
2015-08-17,18.639999,19.395,18.34,19.10,225500,19.10
2015-08-14,18.559999,18.90,17.90,18.780001,426100,18.780001
2015-08-06,14.50,16.18,13.75,16.00,16172700,16.00
