Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,25.57,25.68,25.549999,25.58,22100,25.58
2015-10-08,25.58,25.65,25.559999,25.60,37200,25.60
2015-10-07,25.530001,25.58,25.50,25.50,34800,25.50
2015-10-06,25.43,25.540001,25.40,25.43,40200,25.43
2015-10-05,25.25,25.48,25.24,25.389999,39900,25.389999
2015-10-02,25.200001,25.200001,25.059999,25.139999,54200,25.139999
2015-10-01,25.219999,25.290001,25.16,25.23,91100,25.23
2015-09-30,25.290001,25.32,25.190001,25.190001,33400,25.190001
2015-09-29,25.450001,25.450001,25.25,25.26,49700,25.26
2015-09-28,25.469999,25.530001,25.34,25.450001,55700,25.450001
2015-09-25,25.40,25.52,25.379999,25.51,52300,25.51
2015-09-24,25.389999,25.450001,25.379999,25.440001,34800,25.440001
2015-09-23,25.370001,25.440001,25.34,25.40,28300,25.40
2015-09-22,25.209999,25.379999,25.209999,25.370001,32200,25.370001
2015-09-21,25.27,25.290001,25.209999,25.24,30400,25.24
2015-09-18,25.219999,25.26,25.18,25.25,29500,25.25
2015-09-17,25.15,25.24,25.110001,25.18,32000,25.18
2015-09-16,25.200001,25.209999,25.139999,25.15,32800,25.15
2015-09-15,25.219999,25.23,25.129999,25.18,52800,25.18
2015-09-14,25.219999,25.27,25.10,25.16,58000,25.16
2015-09-11,25.10,25.18,25.08,25.139999,40700,25.139999
2015-09-10,25.139999,25.18,25.07,25.10,66700,25.10
2015-09-09,25.120001,25.15,25.059999,25.10,48100,25.10
2015-09-08,25.17,25.219999,25.059999,25.16,126100,25.16
2015-09-04,25.040001,25.15,24.940001,25.139999,39800,25.139999
2015-09-03,25.040001,25.09,25.00,25.08,103900,25.08
2015-09-02,25.030001,25.139999,24.879999,24.940001,107000,24.940001
2015-09-01,25.049999,25.10,24.93,24.969999,90100,24.969999
2015-08-31,25.120001,25.290001,25.02,25.09,115300,25.09
2015-08-28,25.00,25.129999,24.799999,25.110001,93100,25.110001
2015-08-27,25.24,25.299999,25.219999,25.24,85900,25.24
2015-08-26,25.360001,25.360001,25.16,25.219999,39400,25.219999
2015-08-25,25.08,25.309999,24.99,25.23,38300,25.23
2015-08-24,24.90,24.90,24.48,24.879999,91900,24.879999
2015-08-21,25.379999,25.440001,25.299999,25.299999,21500,25.299999
2015-08-20,25.459999,25.49,25.40,25.43,21700,25.43
2015-08-19,25.48,25.49,25.450001,25.469999,27200,25.469999
2015-08-18,25.52,25.549999,25.40,25.41,51200,25.41
2015-08-17,25.639999,25.639999,25.469999,25.540001,36000,25.540001
2015-08-14,25.559999,25.59,25.51,25.59,33800,25.59
2015-08-13,25.66,25.66,25.50,25.58,92400,25.58
2015-08-12,25.530001,25.690001,25.52,25.68,22400,25.68
2015-08-11,25.51,25.60,25.450001,25.60,85200,25.60
2015-08-10,25.540001,25.68,25.48,25.60,33300,25.60
2015-08-07,25.530001,25.559999,25.450001,25.450001,32100,25.450001
2015-08-06,25.48,25.559999,25.440001,25.549999,37800,25.549999
2015-08-05,25.43,25.49,25.43,25.48,38900,25.48
2015-08-04,25.42,25.48,25.370001,25.42,75000,25.42
2015-08-03,25.40,25.469999,25.370001,25.440001,38000,25.440001
2015-07-31,25.360001,25.469999,25.33,25.469999,16000,25.469999
2015-07-30,25.309999,25.370001,25.200001,25.360001,50700,25.360001
2015-07-29,25.34,25.35,25.27,25.290001,53100,25.290001
2015-07-28,25.360001,25.360001,25.27,25.32,33200,25.32
2015-07-27,25.33,25.459999,25.18,25.27,45100,25.27
2015-07-24,25.309999,25.49,25.299999,25.440001,37500,25.440001
2015-07-23,25.440001,25.440001,25.290001,25.290001,57000,25.290001
2015-07-22,25.49,25.50,25.35,25.360001,43300,25.360001
2015-07-21,25.41,25.469999,25.40,25.469999,23300,25.469999
2015-07-20,25.469999,25.49,25.389999,25.41,46900,25.41
2015-07-17,25.280001,25.389999,25.219999,25.389999,78000,25.389999
2015-07-16,25.10,25.27,25.08,25.27,73000,25.27
2015-07-15,25.049999,25.120001,25.02,25.059999,92800,25.059999
2015-07-14,24.98,25.049999,24.98,25.040001,77700,25.040001
2015-07-13,24.98,25.09,24.98,24.98,48800,24.98
2015-07-10,24.91,24.98,24.879999,24.93,27400,24.93
2015-07-09,24.92,24.92,24.889999,24.92,23200,24.92
2015-07-08,24.969999,24.969999,24.799999,24.809999,38700,24.809999
2015-07-07,24.969999,25.030001,24.969999,24.969999,26300,24.969999
2015-07-06,24.959999,25.030001,24.959999,24.98,36500,24.98
2015-07-02,24.879999,25.01,24.860001,24.969999,43400,24.969999
2015-07-01,24.940001,24.940001,24.85,24.85,42900,24.85
2015-06-30,25.00,25.00,24.90,24.91,100200,24.91
2015-06-29,24.99,25.00,24.950001,24.959999,41700,24.959999
2015-06-26,24.959999,24.99,24.950001,24.959999,35400,24.959999
2015-06-25,25.01,25.07,24.959999,24.98,38100,24.98
2015-06-24,24.98,25.049999,24.959999,25.01,50600,25.01
2015-06-23,24.950001,25.02,24.950001,24.950001,73500,24.950001
2015-06-22,25.059999,25.09,24.950001,24.950001,49000,24.950001
2015-06-19,24.98,25.00,24.950001,24.950001,42600,24.950001
2015-06-18,25.00,25.049999,24.950001,24.950001,78600,24.950001
2015-06-17,24.950001,25.01,24.940001,24.98,60200,24.98
2015-06-16,25.00,25.01,24.90,24.940001,92800,24.940001
2015-06-15,25.059999,25.059999,24.959999,24.99,45400,24.99
2015-06-12,24.98,25.049999,24.959999,24.99,56400,24.99
2015-06-11,25.01,25.059999,24.950001,24.950001,38100,24.950001
2015-06-10,24.93,25.08,24.93,24.98,46600,24.98
2015-06-09,25.129999,25.16,24.969999,25.00,94300,25.00
2015-06-08,25.129999,25.200001,25.040001,25.129999,35600,25.129999
2015-06-05,25.08,25.15,25.049999,25.049999,30600,25.049999
2015-06-04,25.200001,25.219999,25.10,25.15,108100,25.15
2015-06-03,25.23,25.27,25.17,25.200001,65100,25.200001
2015-06-02,25.35,25.35,25.24,25.280001,45900,25.280001
2015-06-01,25.42,25.440001,25.33,25.40,24600,25.40
2015-05-29,25.379999,25.450001,25.33,25.35,62100,25.35
2015-05-28,25.60,25.610001,25.360001,25.379999,126400,25.379999
2015-05-27,25.67,25.93,25.67,25.82,60000,25.82
2015-05-26,25.76,25.76,25.690001,25.690001,59900,25.690001
2015-05-22,25.799999,25.84,25.75,25.76,45900,25.76
2015-05-21,25.60,25.84,25.60,25.719999,60800,25.719999
2015-05-20,25.58,25.690001,25.57,25.629999,51500,25.629999
2015-05-19,25.48,25.639999,25.42,25.540001,84100,25.540001
2015-05-18,25.549999,25.620001,25.469999,25.530001,51500,25.530001
2015-05-15,25.60,25.700001,25.559999,25.58,36400,25.58
2015-05-14,25.620001,25.73,25.59,25.60,71400,25.60
2015-05-13,25.35,25.639999,25.290001,25.59,115400,25.59
2015-05-12,24.950001,25.41,24.92,25.34,123400,25.34
2015-05-11,25.299999,25.309999,25.01,25.01,90500,25.01
2015-05-08,25.25,25.450001,25.209999,25.24,63400,25.24
2015-05-07,24.889999,25.18,24.85,25.040001,103600,25.040001
2015-05-06,25.10,25.129999,24.82,24.879999,165300,24.879999
2015-05-05,25.389999,25.389999,24.84,25.00,90000,25.00
2015-05-04,25.459999,25.549999,25.26,25.26,52000,25.26
2015-05-01,25.59,25.620001,25.40,25.40,34200,25.40
2015-04-30,25.60,25.74,25.559999,25.559999,73100,25.559999
2015-04-29,25.620001,25.799999,25.58,25.74,30000,25.74
