Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,92.43,92.959999,92.050003,92.50,15100,91.583481
2015-10-08,92.00,92.480003,91.209999,92.300003,29200,91.385465
2015-10-07,90.400002,92.379997,90.330002,92.379997,38100,91.464667
2015-10-06,90.32,90.82,89.480003,90.400002,28800,89.50429
2015-10-05,89.239998,91.00,88.849998,91.00,27800,90.098343
2015-10-02,88.75,88.800003,87.199997,88.610001,25400,87.732025
2015-10-01,89.830002,90.080002,88.75,89.919998,21200,89.029042
2015-09-30,89.32,90.360001,89.010002,90.220001,29900,89.326073
2015-09-29,89.059998,89.18,88.25,88.839996,24100,87.959741
2015-09-28,88.959999,89.489998,88.120003,88.50,36700,87.623114
2015-09-25,89.699997,90.489998,89.25,89.25,41100,88.365683
2015-09-24,88.239998,89.989998,88.209999,89.599998,48500,88.712213
2015-09-23,88.309998,89.260002,88.309998,88.779999,14700,87.900338
2015-09-22,89.010002,89.489998,88.220001,88.550003,26800,87.672621
2015-09-21,88.849998,89.82,88.50,89.400002,63900,88.514198
2015-09-18,84.370003,89.00,83.389999,89.00,302100,88.11816
2015-09-17,86.779999,86.900002,84.50,85.650002,23500,84.801354
2015-09-16,86.00,86.870003,85.739998,86.589996,18900,85.732035
2015-09-15,85.50,86.860001,84.480003,86.709999,22300,85.850849
2015-09-14,85.00,85.75,84.93,85.660004,13200,84.811257
2015-09-11,83.849998,84.900002,83.849998,84.82,14000,83.979576
2015-09-10,83.639999,84.900002,83.00,84.489998,20700,83.652844
2015-09-09,84.099998,84.309998,83.080002,83.160004,15300,82.336028
2015-09-08,83.089996,83.57,82.779999,83.25,16000,82.425132
2015-09-04,82.019997,82.459999,81.50,82.129997,22900,81.316227
2015-09-03,82.739998,83.290001,82.400002,82.43,13100,81.613258
2015-09-02,82.209999,82.809998,81.980003,82.809998,32300,81.98949
2015-09-01,82.400002,83.040001,81.00,81.00,28500,80.197426
2015-08-31,83.910004,86.870003,82.870003,84.209999,25200,83.37562
2015-08-28,82.389999,83.839996,82.260002,82.870003,26900,82.0489
2015-08-27,83.620003,83.620003,82.00,82.889999,23700,82.068699
2015-08-26,81.870003,82.75,81.160004,82.580002,55400,81.761773
2015-08-25,83.440002,83.510002,80.150002,80.540001,48900,79.741985
2015-08-24,81.209999,82.860001,80.400002,80.400002,43800,79.603373
2015-08-21,82.00,84.559998,81.059998,83.510002,45200,82.682558
2015-08-20,85.599998,86.889999,84.209999,84.220001,25300,83.385523
2015-08-19,86.279999,87.150002,85.610001,85.75,25500,84.900362
2015-08-18,87.50,88.00,87.00,87.419998,23400,85.623131
2015-08-17,87.139999,87.699997,86.800003,87.50,18900,85.701488
2015-08-14,86.370003,87.459999,86.370003,87.279999,8900,85.486009
2015-08-13,86.150002,86.980003,85.75,86.589996,19400,84.810189
2015-08-12,87.00,87.800003,85.389999,85.82,30600,84.056019
2015-08-11,87.470001,87.970001,86.800003,87.82,13400,86.01491
2015-08-10,87.330002,87.949997,86.82,87.709999,21800,85.907171
2015-08-07,86.959999,87.040001,86.309998,86.690002,17200,84.908139
2015-08-06,88.639999,88.769997,87.209999,87.309998,33600,85.515391
2015-08-05,87.870003,89.00,87.790001,88.720001,19600,86.896413
2015-08-04,87.110001,87.900002,87.110001,87.269997,19400,85.476212
2015-08-03,87.339996,87.669998,86.440002,87.300003,56400,85.505602
2015-07-31,88.150002,88.870003,87.43,87.599998,24800,85.799431
2015-07-30,87.610001,88.82,85.160004,87.790001,28000,85.985528
2015-07-29,87.769997,89.239998,87.440002,88.110001,16300,86.29895
2015-07-28,87.199997,87.599998,86.410004,87.470001,16800,85.672106
2015-07-27,86.00,87.050003,85.699997,86.349998,16400,84.575124
2015-07-24,86.989998,87.209999,86.300003,86.419998,17900,84.643685
2015-07-23,88.699997,89.510002,87.07,87.199997,20100,85.407651
2015-07-22,88.779999,89.300003,88.730003,88.949997,13400,87.121681
2015-07-21,89.099998,90.830002,88.07,88.779999,17600,86.955177
2015-07-20,88.849998,89.169998,88.139999,88.559998,7500,86.739698
2015-07-17,89.349998,89.529999,88.389999,88.510002,16300,86.69073
2015-07-16,89.209999,90.919998,89.18,89.260002,41100,87.425314
2015-07-15,88.919998,89.480003,87.93,89.480003,20000,87.640793
2015-07-14,87.900002,89.18,87.900002,88.919998,13500,87.092299
2015-07-13,89.300003,89.370003,88.260002,88.550003,12400,86.729909
2015-07-10,87.50,88.43,86.82,88.410004,16900,86.592787
2015-07-09,87.389999,88.900002,86.32,86.629997,16900,84.849368
2015-07-08,86.300003,86.589996,85.699997,86.300003,16500,84.526156
2015-07-07,87.400002,87.75,85.800003,86.290001,22900,84.51636
2015-07-06,86.00,87.839996,85.110001,87.349998,19700,85.55457
2015-07-02,88.400002,88.699997,86.910004,86.910004,16500,85.123619
2015-07-01,88.540001,89.239998,87.209999,89.040001,25500,87.209835
2015-06-30,88.599998,88.599998,87.25,87.370003,14500,85.574163
2015-06-29,88.50,89.120003,87.440002,87.489998,18400,85.691691
2015-06-26,89.769997,90.00,89.00,89.279999,46900,87.4449
2015-06-25,89.110001,89.940002,88.940002,89.300003,23400,87.464493
2015-06-24,89.169998,89.910004,87.709999,89.07,24100,87.239217
2015-06-23,89.00,90.00,88.620003,90.00,29300,88.150102
2015-06-22,88.50,89.330002,88.400002,89.269997,21000,87.435103
2015-06-19,87.099998,88.489998,87.00,88.309998,79300,86.494836
2015-06-18,86.620003,87.529999,86.199997,87.349998,31000,85.55457
2015-06-17,87.660004,88.00,85.82,86.019997,18000,84.251905
2015-06-16,85.809998,87.879997,85.809998,87.860001,22400,86.054089
2015-06-15,85.779999,86.620003,85.040001,86.260002,19500,84.486978
2015-06-12,86.900002,87.400002,85.779999,86.50,19700,84.722042
2015-06-11,88.940002,88.940002,86.540001,87.169998,30200,85.378269
2015-06-10,86.620003,88.970001,86.589996,88.379997,49500,86.563397
2015-06-09,85.980003,87.419998,85.43,86.620003,23100,84.839579
2015-06-08,85.419998,86.440002,85.139999,86.050003,19300,84.281295
2015-06-05,84.389999,85.800003,84.150002,85.599998,41000,83.84054
2015-06-04,83.57,84.300003,82.959999,83.959999,17300,82.23425
2015-06-03,83.150002,84.43,82.870003,84.43,43200,82.69459
2015-06-02,82.50,83.889999,82.50,83.260002,16200,81.548641
2015-06-01,82.800003,82.989998,82.080002,82.699997,23500,81.000146
2015-05-29,82.910004,83.510002,82.349998,82.669998,16300,80.970764
2015-05-28,82.220001,83.93,82.059998,83.389999,32400,81.675966
2015-05-27,82.150002,83.110001,81.610001,83.080002,17300,81.37234
2015-05-26,82.830002,82.830002,81.010002,82.120003,25900,80.432073
2015-05-22,83.330002,83.440002,82.510002,82.739998,20300,81.039325
2015-05-21,83.400002,83.639999,83.00,83.239998,10600,81.529048
2015-05-20,83.830002,84.099998,83.220001,83.440002,19500,81.724941
2015-05-19,84.010002,84.860001,83.050003,84.410004,24000,81.754325
2015-05-18,82.370003,83.959999,82.370003,83.959999,26600,81.318478
2015-05-15,83.199997,83.199997,82.199997,82.279999,40500,79.691334
2015-05-14,83.150002,84.139999,82.629997,83.599998,16900,80.969804
2015-05-13,83.089996,83.790001,82.379997,83.169998,27400,80.553332
2015-05-12,83.199997,83.580002,82.50,83.279999,14500,80.659872
2015-05-11,83.089996,83.970001,83.089996,83.580002,12200,80.950437
2015-05-08,83.639999,83.639999,82.260002,83.230003,11400,80.61145
2015-05-07,83.139999,83.290001,82.080002,83.25,13600,80.630817
2015-05-06,82.32,83.089996,82.00,82.809998,17600,80.204658
2015-05-05,82.93,83.099998,82.220001,82.769997,34800,80.165915
2015-05-04,82.400002,83.959999,82.050003,83.459999,63700,80.834209
2015-05-01,84.800003,84.800003,81.610001,81.669998,62000,79.100525
2015-04-30,84.239998,84.239998,82.110001,82.559998,54200,79.962523
2015-04-29,85.279999,85.800003,84.230003,84.400002,18300,81.744638
2015-04-28,84.480003,85.690002,84.480003,85.279999,20800,82.596949
2015-04-27,85.309998,86.709999,84.550003,84.68,18700,82.015827
2015-04-24,86.059998,86.400002,85.57,85.949997,16800,83.245868
2015-04-23,86.50,86.82,85.830002,86.669998,7100,83.943216
2015-04-22,86.790001,86.790001,85.730003,86.690002,13400,83.962591
