Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,1.17,1.20,1.13,1.17,16000,1.17
2015-10-08,1.19,1.19,1.12,1.15,28200,1.15
2015-10-07,1.22,1.22,1.15,1.15,24000,1.15
2015-10-06,1.18,1.22,1.17,1.18,18700,1.18
2015-10-05,1.18,1.18,1.13,1.15,2900,1.15
2015-10-02,1.13,1.18,1.12,1.12,33200,1.12
2015-10-01,1.14,1.16,1.12,1.12,14200,1.12
2015-09-30,1.13,1.18,1.13,1.14,14300,1.14
2015-09-29,1.12,1.15,1.12,1.15,5700,1.15
2015-09-28,1.18,1.22,1.12,1.14,18600,1.14
2015-09-25,1.18,1.23,1.16,1.22,14500,1.22
2015-09-24,1.12,1.23,1.12,1.196,27400,1.196
2015-09-23,1.15,1.28,1.12,1.12,33200,1.12
2015-09-22,1.19,1.20,1.161,1.188,14300,1.188
2015-09-21,1.21,1.25,1.17,1.23,12700,1.23
2015-09-18,1.22,1.26,1.16,1.25,21300,1.25
2015-09-17,1.27,1.31,1.15,1.237,54600,1.237
2015-09-16,1.26,1.308,1.26,1.29,13100,1.29
2015-09-15,1.24,1.26,1.24,1.26,4700,1.26
2015-09-14,1.26,1.32,1.20,1.24,16900,1.24
2015-09-11,1.22,1.28,1.20,1.24,19100,1.24
2015-09-10,1.20,1.29,1.18,1.26,6000,1.26
2015-09-09,1.21,1.22,1.15,1.192,11400,1.192
2015-09-08,1.21,1.24,1.15,1.15,25100,1.15
2015-09-04,1.22,1.24,1.22,1.24,4700,1.24
2015-09-03,1.23,1.24,1.19,1.198,6200,1.198
2015-09-02,1.30,1.34,1.14,1.21,45500,1.21
2015-09-01,1.30,1.341,1.25,1.30,21700,1.30
2015-08-31,1.30,1.32,1.24,1.31,20700,1.31
2015-08-28,1.20,1.33,1.20,1.30,29200,1.30
2015-08-27,1.215,1.24,1.19,1.20,15500,1.20
2015-08-26,1.179,1.20,1.12,1.16,33400,1.16
2015-08-25,1.30,1.31,1.17,1.17,57700,1.17
2015-08-24,1.29,1.29,1.19,1.28,32800,1.28
2015-08-21,1.26,1.33,1.24,1.27,13700,1.27
2015-08-20,1.286,1.33,1.28,1.32,8000,1.32
2015-08-19,1.38,1.38,1.20,1.30,19200,1.30
2015-08-18,1.28,1.34,1.25,1.28,12600,1.28
2015-08-17,1.26,1.37,1.26,1.32,13600,1.32
2015-08-14,1.349,1.35,1.29,1.35,5600,1.35
2015-08-13,1.35,1.39,1.291,1.35,10000,1.35
2015-08-12,1.39,1.39,1.33,1.39,30100,1.39
2015-08-11,1.29,1.39,1.29,1.35,15600,1.35
2015-08-10,1.24,1.30,1.17,1.24,31700,1.24
2015-08-07,1.29,1.34,1.16,1.17,37100,1.17
2015-08-06,1.25,1.32,1.19,1.28,44800,1.28
2015-08-05,1.38,1.39,1.11,1.11,34300,1.11
2015-08-04,1.35,1.45,1.35,1.41,8900,1.41
2015-08-03,1.44,1.481,1.39,1.43,13300,1.43
2015-07-31,1.41,1.49,1.38,1.49,54500,1.49
2015-07-30,1.50,1.50,1.37,1.47,23000,1.47
2015-07-29,1.39,1.50,1.38,1.50,26900,1.50
2015-07-28,1.30,1.49,1.30,1.44,66100,1.44
2015-07-27,1.27,1.37,1.27,1.30,41300,1.30
2015-07-24,1.14,1.28,1.13,1.28,127300,1.28
2015-07-23,1.19,1.276,1.14,1.16,83300,1.16
2015-07-22,1.19,1.29,1.14,1.24,70200,1.24
2015-07-21,1.10,1.20,1.10,1.20,50400,1.20
2015-07-20,1.24,1.24,1.05,1.17,124700,1.17
2015-07-17,1.48,1.484,1.28,1.31,118100,1.31
2015-07-16,1.49,1.49,1.46,1.46,32000,1.46
2015-07-15,1.51,1.51,1.48,1.49,22100,1.49
2015-07-14,1.51,1.54,1.50,1.50,21300,1.50
2015-07-13,1.55,1.55,1.50,1.50,16200,1.50
2015-07-10,1.57,1.57,1.51,1.53,35700,1.53
2015-07-09,1.53,1.55,1.50,1.55,18500,1.55
2015-07-08,1.50,1.56,1.50,1.51,17200,1.51
2015-07-07,1.54,1.58,1.51,1.54,42800,1.54
2015-07-06,1.54,1.58,1.52,1.57,63700,1.57
2015-07-02,1.53,1.55,1.51,1.54,10700,1.54
2015-07-01,1.52,1.56,1.51,1.53,28800,1.53
2015-06-30,1.53,1.60,1.52,1.53,23400,1.53
2015-06-29,1.60,1.60,1.51,1.51,24800,1.51
2015-06-26,1.53,1.58,1.51,1.54,17100,1.54
2015-06-25,1.55,1.59,1.51,1.55,62500,1.55
2015-06-24,1.55,1.58,1.53,1.55,24400,1.55
2015-06-23,1.51,1.55,1.51,1.52,32700,1.52
2015-06-22,1.57,1.571,1.50,1.52,74900,1.52
2015-06-19,1.57,1.57,1.55,1.55,23000,1.55
2015-06-18,1.55,1.60,1.53,1.59,48000,1.59
2015-06-17,1.53,1.58,1.53,1.54,41100,1.54
2015-06-16,1.55,1.59,1.50,1.562,70900,1.562
2015-06-15,1.52,1.59,1.50,1.54,64700,1.54
2015-06-12,1.50,1.58,1.50,1.55,85900,1.55
2015-06-11,1.60,1.60,1.50,1.51,27900,1.51
2015-06-10,1.51,1.60,1.50,1.60,116000,1.60
2015-06-09,1.49,1.50,1.48,1.48,39200,1.48
2015-06-08,1.48,1.53,1.48,1.49,32700,1.49
2015-06-05,1.52,1.55,1.48,1.48,73200,1.48
2015-06-04,1.539,1.56,1.51,1.51,27500,1.51
2015-06-03,1.54,1.59,1.52,1.52,98200,1.52
2015-06-02,1.53,1.56,1.51,1.52,56400,1.52
2015-06-01,1.61,1.62,1.51,1.56,97300,1.56
2015-05-29,1.59,1.60,1.55,1.60,21000,1.60
2015-05-28,1.51,1.65,1.50,1.58,128700,1.58
2015-05-27,1.53,1.60,1.51,1.57,69400,1.57
2015-05-26,1.60,1.61,1.52,1.53,66600,1.53
2015-05-22,1.58,1.60,1.57,1.58,52400,1.58
2015-05-21,1.62,1.64,1.58,1.59,59100,1.59
2015-05-20,1.62,1.66,1.60,1.63,62700,1.63
2015-05-19,1.64,1.66,1.60,1.66,56900,1.66
2015-05-18,1.62,1.69,1.61,1.66,44300,1.66
2015-05-15,1.66,1.66,1.60,1.62,45400,1.62
2015-05-14,1.64,1.67,1.60,1.60,139500,1.60
2015-05-13,1.56,1.66,1.56,1.61,63900,1.61
2015-05-12,1.56,1.62,1.56,1.56,29300,1.56
2015-05-11,1.54,1.62,1.54,1.59,27400,1.59
2015-05-08,1.56,1.60,1.54,1.56,71400,1.56
2015-05-07,1.56,1.59,1.52,1.57,67200,1.57
2015-05-06,1.66,1.69,1.53,1.61,196000,1.61
2015-05-05,1.68,1.73,1.64,1.64,123700,1.64
2015-05-04,1.74,1.74,1.70,1.74,46200,1.74
2015-05-01,1.70,1.75,1.68,1.75,74600,1.75
2015-04-30,1.68,1.73,1.67,1.73,126700,1.73
2015-04-29,1.65,1.74,1.65,1.73,119900,1.73
2015-04-28,1.71,1.73,1.65,1.68,169200,1.68
2015-04-27,1.73,1.76,1.65,1.69,247700,1.69
2015-04-24,1.71,1.76,1.62,1.71,148600,1.71
2015-04-23,1.70,1.76,1.67,1.69,153200,1.69
2015-04-22,1.73,1.77,1.66,1.71,239000,1.71
2015-04-21,1.59,1.75,1.59,1.75,300400,1.75
2015-04-20,1.82,1.85,1.55,1.59,903400,1.59
2015-04-17,2.01,2.09,1.95,2.00,34100,2.00
2015-04-16,1.76,2.08,1.74,1.95,33500,1.95
2015-04-15,1.66,1.86,1.66,1.80,53800,1.80
2015-04-14,1.80,1.90,1.71,1.71,84300,1.71
2015-04-13,1.50,1.75,1.50,1.70,112900,1.70
2015-04-10,3.25,3.25,1.31,1.40,248300,1.40
