Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,83.25,83.25,83.25,83.25,000,83.25
2015-10-08,83.25,83.25,83.25,83.25,000,83.25
2015-10-07,83.25,83.25,83.25,83.25,000,83.25
2015-10-06,83.25,83.25,83.25,83.25,000,83.25
2015-10-05,83.25,83.25,83.25,83.25,000,83.25
2015-10-02,83.25,83.25,83.25,83.25,000,83.25
2015-10-01,83.25,83.25,83.25,83.25,000,83.25
2015-09-30,83.25,83.25,83.25,83.25,000,83.25
2015-09-29,83.25,83.25,83.25,83.25,000,83.25
2015-09-28,83.25,83.25,83.25,83.25,000,83.25
2015-09-25,83.25,83.25,83.25,83.25,000,83.25
2015-09-24,83.25,83.25,83.25,83.25,000,83.25
2015-09-23,83.25,83.25,83.25,83.25,000,83.25
2015-09-22,83.25,83.25,83.25,83.25,000,83.25
2015-09-21,83.25,83.25,83.25,83.25,000,83.25
2015-09-18,83.25,83.25,83.25,83.25,000,83.25
2015-09-17,83.25,83.25,83.25,83.25,000,83.25
2015-09-16,83.25,83.25,83.25,83.25,000,83.25
2015-09-15,83.25,83.25,83.25,83.25,000,83.25
2015-09-14,83.25,83.25,83.25,83.25,000,83.25
2015-09-11,83.25,83.25,83.25,83.25,000,83.25
2015-09-10,83.25,83.25,83.25,83.25,000,83.25
2015-09-09,83.25,83.25,83.25,83.25,000,83.25
2015-09-08,83.25,83.25,83.25,83.25,000,83.25
2015-09-07,83.25,83.25,83.25,83.25,000,83.25
2015-09-04,83.25,83.25,83.25,83.25,000,83.25
2015-09-03,83.25,83.25,83.25,83.25,000,83.25
2015-09-02,83.25,83.25,83.25,83.25,000,83.25
2015-09-01,83.25,83.25,83.25,83.25,000,83.25
2015-08-31,83.25,83.25,83.25,83.25,000,83.25
2015-08-28,83.25,83.25,83.25,83.25,000,83.25
2015-08-27,83.25,83.25,83.25,83.25,000,83.25
2015-08-26,83.00,83.00,83.00,83.00,000,83.00
2015-08-25,83.00,83.00,83.00,83.00,000,83.00
2015-08-24,83.00,83.00,83.00,83.00,000,83.00
2015-08-21,83.00,83.00,83.00,83.00,000,83.00
2015-08-20,83.00,83.00,83.00,83.00,000,83.00
2015-08-19,83.00,83.00,83.00,83.00,000,83.00
2015-08-18,83.00,83.00,83.00,83.00,000,83.00
2015-08-17,83.00,83.00,83.00,83.00,000,83.00
2015-08-14,83.00,83.00,83.00,83.00,000,83.00
2015-08-13,83.00,83.00,83.00,83.00,000,83.00
2015-08-12,83.00,83.00,83.00,83.00,000,82.497
2015-08-11,83.00,83.00,83.00,83.00,000,82.497
2015-08-10,83.00,83.00,83.00,83.00,000,82.497
2015-08-07,83.00,83.00,83.00,83.00,000,82.497
2015-08-06,83.00,83.00,83.00,83.00,000,82.497
2015-08-05,83.00,83.00,83.00,83.00,000,82.497
2015-08-04,83.00,83.00,83.00,83.00,000,82.497
2015-08-03,83.00,83.00,83.00,83.00,000,82.497
2015-07-31,83.00,83.00,83.00,83.00,000,82.497
2015-07-30,83.00,83.00,83.00,83.00,000,82.497
2015-07-29,83.00,83.00,83.00,83.00,000,82.497
2015-07-28,83.00,83.00,83.00,83.00,000,82.497
2015-07-27,83.00,83.00,83.00,83.00,000,82.497
2015-07-24,83.00,83.00,83.00,83.00,000,82.497
2015-07-23,83.00,83.00,83.00,83.00,000,82.497
2015-07-22,83.00,83.00,83.00,83.00,000,82.497
2015-07-21,83.00,83.00,83.00,83.00,000,82.497
2015-07-20,83.00,83.00,83.00,83.00,000,82.497
2015-07-17,83.00,83.00,83.00,83.00,000,82.497
2015-07-16,83.00,83.00,83.00,83.00,000,82.497
2015-07-15,83.00,83.00,83.00,83.00,000,82.497
2015-07-14,83.00,83.00,83.00,83.00,000,82.497
2015-07-13,83.00,83.00,83.00,83.00,000,82.497
2015-07-10,83.00,83.00,83.00,83.00,000,82.497
2015-07-09,83.00,83.00,83.00,83.00,000,82.497
2015-07-08,83.00,83.00,83.00,83.00,000,82.497
2015-07-07,83.00,83.00,83.00,83.00,500,82.497
2015-07-06,85.05,85.05,85.05,85.05,000,84.535
2015-07-03,85.05,85.05,85.05,85.05,000,84.535
2015-07-02,85.05,85.05,85.05,85.05,000,84.535
2015-07-01,85.05,85.05,85.05,85.05,000,84.535
2015-06-30,85.05,85.05,85.05,85.05,000,84.535
2015-06-29,85.05,85.05,85.05,85.05,000,84.535
2015-06-26,85.05,85.05,85.05,85.05,000,84.535
2015-06-25,85.05,85.05,85.05,85.05,300,84.535
2015-06-24,85.75,85.75,85.75,85.75,000,85.23
2015-06-23,85.75,85.75,85.75,85.75,000,85.23
2015-06-22,82.35,82.35,82.35,82.35,000,81.851
2015-06-19,82.35,82.35,82.35,82.35,000,81.851
2015-06-18,82.35,82.35,82.35,82.35,000,81.851
2015-06-17,82.35,82.35,82.35,82.35,000,81.851
2015-06-16,82.25,82.25,82.25,82.25,000,81.752
2015-06-15,82.25,82.25,82.25,82.25,000,81.752
2015-06-12,82.25,82.25,82.25,82.25,100,81.752
2015-06-11,85.60,85.60,85.60,85.60,000,85.081
2015-06-10,85.60,85.60,85.60,85.60,000,85.081
