Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,90.959999,92.559998,90.620003,92.50,1482600,92.142912
2015-10-08,90.519997,92.040001,90.059998,91.919998,1400200,91.565149
2015-10-07,89.580002,91.160004,88.720001,91.089996,2292300,90.738351
2015-10-06,93.389999,93.699997,89.93,90.309998,2957600,89.961364
2015-10-05,91.529999,93.529999,91.040001,93.389999,1527700,93.029475
2015-10-02,88.550003,91.300003,87.309998,91.25,1655200,90.897737
2015-10-01,89.230003,90.410004,87.989998,89.879997,2468000,89.533023
2015-09-30,87.529999,89.18,87.139999,89.089996,2543200,88.746072
2015-09-29,87.160004,87.470001,85.110001,85.849998,2884900,85.518582
2015-09-28,90.160004,90.470001,86.32,87.339996,2257100,87.002828
2015-09-25,92.209999,93.25,90.720001,91.07,1880700,90.718432
2015-09-24,92.440002,92.860001,90.669998,91.559998,2543400,91.206538
2015-09-23,92.849998,94.220001,92.489998,93.720001,1797400,93.358203
2015-09-22,95.769997,95.949997,91.279999,92.400002,4101600,92.043299
2015-09-21,96.300003,97.360001,95.889999,97.199997,2086700,96.824765
2015-09-18,95.379997,96.25,94.550003,95.489998,2885900,95.121367
2015-09-17,96.459999,97.599998,95.620003,96.470001,2199600,96.097587
2015-09-16,95.410004,96.830002,94.830002,96.709999,2321700,96.336658
2015-09-15,94.580002,96.309998,93.529999,95.690002,2319500,94.94705
2015-09-14,92.559998,94.099998,92.489998,93.639999,1845200,92.912963
2015-09-11,91.660004,93.059998,91.32,92.860001,1899000,92.139021
2015-09-10,92.00,93.059998,90.959999,92.309998,1752800,91.593288
2015-09-09,92.089996,93.489998,91.610001,91.849998,2259300,91.13686
2015-09-08,90.050003,91.589996,89.699997,91.540001,1797000,90.82927
2015-09-04,88.589996,89.059998,87.800003,88.540001,1264000,87.852562
2015-09-03,89.970001,91.099998,88.860001,89.290001,1638500,88.596739
2015-09-02,87.449997,89.150002,87.00,89.150002,1768800,88.457827
2015-09-01,86.040001,87.50,85.300003,86.300003,2752700,85.629956
2015-08-31,88.099998,88.940002,87.459999,88.160004,1626300,87.475515
2015-08-28,89.050003,89.449997,87.839996,88.860001,1970200,88.170077
2015-08-27,89.440002,89.989998,87.68,89.709999,2483200,89.013476
2015-08-26,87.779999,88.989998,85.93,88.900002,2332400,88.209768
2015-08-25,87.00,87.709999,84.949997,85.059998,3020900,84.399578
2015-08-24,80.739998,87.220001,79.730003,83.989998,4003800,83.337886
2015-08-21,86.190002,87.080002,85.330002,85.709999,2290300,85.044533
2015-08-20,89.300003,89.339996,87.120003,87.290001,2506100,86.612267
2015-08-19,89.959999,90.860001,89.419998,90.040001,1276800,89.340916
2015-08-18,90.18,90.449997,89.769997,90.389999,1172400,89.688197
2015-08-17,89.459999,90.50,89.300003,90.480003,1388700,89.777502
2015-08-14,89.349998,90.239998,88.919998,89.889999,1474700,89.192079
2015-08-13,89.610001,90.639999,89.050003,90.080002,1178200,89.380606
2015-08-12,89.959999,90.080002,88.290001,89.709999,2543600,89.013476
2015-08-11,90.769997,91.449997,90.389999,90.900002,2280900,90.194239
2015-08-10,91.970001,92.68,91.699997,92.040001,3061900,91.325388
2015-08-07,89.959999,91.209999,89.669998,91.190002,1747100,90.481989
2015-08-06,90.18,90.580002,89.400002,90.00,3738800,89.301226
2015-08-05,89.589996,91.260002,89.449997,89.949997,1819300,89.251611
2015-08-04,90.220001,90.629997,88.400002,89.150002,1976700,88.457827
2015-08-03,90.349998,91.379997,89.25,90.589996,2770300,89.886641
2015-07-31,88.120003,90.879997,88.050003,89.849998,4680100,89.152389
2015-07-30,83.480003,83.599998,81.989998,82.739998,2770400,82.097591
2015-07-29,83.019997,84.080002,82.739998,83.910004,1557400,83.258513
2015-07-28,82.220001,83.139999,81.730003,82.699997,1167700,82.057901
2015-07-27,82.32,82.589996,81.290001,81.690002,1005700,81.055748
2015-07-24,83.169998,83.269997,82.059998,82.599998,1418000,81.958679
2015-07-23,85.089996,85.169998,82.769997,83.169998,1363900,82.524253
2015-07-22,84.709999,85.220001,83.959999,84.900002,1196300,84.240824
2015-07-21,85.459999,85.629997,83.970001,84.599998,1285300,83.94315
2015-07-20,84.360001,85.209999,84.349998,84.75,1262600,84.091987
2015-07-17,84.900002,85.279999,83.93,84.279999,1306500,83.625635
2015-07-16,84.449997,85.07,83.730003,84.949997,1466300,84.290432
2015-07-15,83.410004,84.400002,83.029999,83.589996,1505400,82.94099
2015-07-14,83.190002,84.220001,82.970001,83.620003,1295700,82.970764
2015-07-13,83.160004,83.50,82.209999,83.139999,1840500,82.494487
2015-07-10,79.709999,82.68,79.599998,82.410004,2411700,81.770159
2015-07-09,79.669998,79.900002,78.370003,78.510002,1057000,77.900438
2015-07-08,78.860001,79.440002,78.330002,78.470001,1879100,77.860748
2015-07-07,78.440002,80.099998,77.739998,80.00,2196600,79.378867
2015-07-06,78.25,79.709999,77.910004,78.400002,1814800,77.791291
2015-07-02,79.220001,80.00,78.099998,78.779999,1323600,78.168338
2015-07-01,79.959999,80.470001,78.220001,79.00,2196100,78.386631
2015-06-30,77.870003,79.269997,77.610001,78.690002,2202200,78.079041
2015-06-29,78.959999,79.470001,76.809998,76.910004,1699800,76.312862
2015-06-26,80.290001,80.919998,79.730003,79.800003,1352400,79.180423
2015-06-25,80.57,80.949997,79.769997,79.949997,1492100,79.329252
2015-06-24,80.949997,81.599998,79.900002,79.93,2182400,79.309411
2015-06-23,81.480003,81.739998,79.790001,80.50,1883000,79.874985
2015-06-22,81.029999,81.82,80.300003,81.379997,2075800,80.74815
2015-06-19,79.209999,80.199997,79.18,79.800003,3920600,79.180423
2015-06-18,77.220001,79.860001,77.220001,79.620003,2053100,79.00182
2015-06-17,77.029999,77.379997,76.550003,77.019997,1769400,76.422001
2015-06-16,76.379997,77.220001,76.230003,77.050003,1154600,76.451774
2015-06-15,75.919998,76.830002,75.510002,76.639999,1445800,76.044954
2015-06-12,77.099998,77.489998,76.650002,76.800003,1149000,76.203715
2015-06-11,77.080002,77.720001,76.75,77.629997,1605500,77.027265
2015-06-10,77.110001,77.989998,76.339996,76.629997,2543200,76.03503
2015-06-09,77.470001,77.739998,76.610001,77.620003,1772800,77.017349
2015-06-08,78.599998,78.919998,78.010002,78.190002,1567300,77.582923
2015-06-05,77.510002,79.110001,77.239998,78.769997,1523400,78.158414
2015-06-04,78.43,79.650002,77.75,78.169998,1911400,77.563074
2015-06-03,77.309998,78.900002,77.25,78.800003,2784500,78.188187
2015-06-02,75.779999,77.860001,75.720001,77.260002,2223200,76.660143
2015-06-01,75.50,76.419998,75.410004,76.160004,1893300,75.568685
2015-05-29,75.300003,76.75,75.279999,75.980003,2549600,75.390082
2015-05-28,76.879997,77.190002,75.550003,76.32,1811300,75.727439
2015-05-27,76.290001,77.739998,76.099998,77.470001,2148200,76.868512
2015-05-26,75.910004,76.330002,75.389999,75.82,1969500,75.231321
2015-05-22,76.00,76.440002,75.580002,76.220001,1434800,75.628217
2015-05-21,76.099998,76.550003,75.480003,75.93,1646600,75.340468
2015-05-20,76.610001,77.82,76.360001,76.50,1882900,75.906042
2015-05-19,77.25,77.800003,76.519997,77.099998,2679100,76.501382
2015-05-18,74.389999,75.889999,74.260002,75.720001,1800200,75.132099
2015-05-15,74.480003,75.349998,74.099998,74.730003,2363800,74.149788
2015-05-14,72.43,74.559998,72.290001,74.449997,3103600,73.574283
2015-05-13,72.389999,72.610001,71.559998,71.720001,1224500,70.876399
2015-05-12,72.290001,72.910004,71.449997,72.389999,1840100,71.538516
2015-05-11,72.760002,74.18,72.370003,72.559998,3714400,71.706515
2015-05-08,70.860001,72.639999,70.699997,72.449997,5169700,71.597808
2015-05-07,67.360001,69.199997,67.279999,68.690002,3552500,67.88204
2015-05-06,67.080002,67.160004,65.910004,66.900002,2777000,66.113094
2015-05-05,68.050003,68.32,66.550003,66.690002,2104600,65.905565
2015-05-04,68.699997,69.379997,67.849998,68.230003,1992700,67.427452
2015-05-01,68.239998,68.959999,67.75,67.940002,2260900,67.140862
2015-04-30,68.959999,69.32,67.580002,68.059998,1739000,67.259446
2015-04-29,69.68,70.010002,67.849998,68.610001,3033800,67.80298
2015-04-28,70.519997,71.099998,69.07,70.010002,3264300,69.186514
2015-04-27,72.989998,73.150002,70.190002,70.459999,3354700,69.631218
2015-04-24,73.43,73.480003,72.370003,72.470001,2402400,71.617577
2015-04-23,73.610001,73.910004,72.50,72.730003,2879900,71.874521
2015-04-22,74.150002,74.220001,73.18,73.230003,2528600,72.36864
2015-04-21,73.68,74.25,73.00,73.910004,4935000,73.040642
2015-04-20,74.610001,75.099998,71.639999,72.709999,12691600,71.854752
2015-04-17,79.50,79.50,78.150002,79.029999,2995200,78.100413
2015-04-16,79.790001,80.50,78.639999,80.300003,2457800,79.355479
2015-04-15,80.129997,80.43,79.330002,79.440002,2582600,78.505594
2015-04-14,80.010002,80.199997,79.120003,80.080002,1567900,79.138066
2015-04-13,81.18,81.610001,79.879997,79.989998,1858400,79.04912
2015-04-10,82.199997,82.230003,80.940002,81.239998,1231800,80.284417
2015-04-09,81.540001,82.059998,80.989998,82.010002,1788200,81.045364
2015-04-08,81.400002,81.889999,80.830002,81.470001,2130400,80.511715
2015-04-07,82.349998,82.949997,80.68,80.720001,1776700,79.770537
2015-04-06,81.730003,82.639999,81.559998,82.300003,1684100,81.331954
2015-04-02,82.089996,83.32,81.940002,82.449997,1654100,81.480184
2015-04-01,81.800003,82.32,80.669998,82.209999,2343000,81.243009
2015-03-31,80.199997,82.029999,79.82,81.849998,2751200,80.887243
2015-03-30,80.010002,80.889999,79.599998,80.75,2525300,79.800183
2015-03-27,77.160004,80.099998,76.919998,79.849998,5258700,78.910768
2015-03-26,74.050003,75.470001,73.239998,75.00,2771500,74.117817
2015-03-25,77.709999,77.800003,75.260002,75.300003,3396200,74.414291
2015-03-24,78.730003,79.389999,78.110001,78.349998,1240100,77.428411
2015-03-23,79.669998,79.900002,78.32,78.360001,1787500,77.438296
2015-03-20,80.089996,80.489998,79.669998,79.980003,1793200,79.039243
2015-03-19,79.010002,80.120003,78.720001,79.980003,2264300,79.039243
2015-03-18,77.010002,79.110001,76.800003,78.800003,1859100,77.873123
2015-03-17,78.389999,78.760002,77.139999,77.169998,1512600,76.262291
2015-03-16,78.379997,79.260002,77.739998,79.050003,1652000,78.120182
2015-03-13,77.779999,78.739998,76.910004,77.550003,2233300,76.637826
2015-03-12,76.660004,78.410004,76.580002,78.360001,1887700,77.438296
2015-03-11,77.599998,78.160004,76.080002,76.18,2456900,75.283938
