Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,105.800003,106.620003,104.870003,105.580002,937600,104.858352
2015-10-08,102.800003,105.830002,102.519997,105.419998,1504600,104.699442
2015-10-07,104.00,105.139999,101.580002,103.120003,1893900,102.415167
2015-10-06,103.889999,104.910004,103.730003,104.330002,1140700,103.616896
2015-10-05,102.18,104.07,100.300003,104.029999,1107500,103.318943
2015-10-02,99.239998,102.419998,98.470001,102.410004,1042500,101.710021
2015-10-01,101.419998,102.00,99.769997,100.360001,1119200,99.67403
2015-09-30,100.839996,101.949997,99.839996,101.470001,1551100,100.776443
2015-09-29,100.230003,101.230003,99.93,100.360001,1278900,99.67403
2015-09-28,99.330002,102.00,99.190002,99.900002,1553200,99.217175
2015-09-25,101.550003,101.989998,99.610001,100.279999,1046900,99.594575
2015-09-24,100.089996,101.639999,99.00,101.050003,1212200,100.359316
2015-09-23,103.599998,103.639999,100.760002,101.400002,1367500,100.706922
2015-09-22,102.449997,103.540001,102.07,103.099998,1694900,102.395299
2015-09-21,104.029999,104.980003,103.68,104.010002,854600,103.299083
2015-09-18,104.580002,104.769997,103.300003,103.790001,1685000,103.080586
2015-09-17,107.349998,107.610001,105.510002,105.839996,1509700,105.116569
2015-09-16,106.470001,107.839996,106.269997,107.580002,1299600,106.844681
2015-09-15,105.760002,106.599998,104.760002,106.550003,1036200,105.821723
2015-09-14,105.739998,106.279999,104.690002,104.940002,668800,104.222727
2015-09-11,105.040001,106.75,104.480003,105.900002,1114500,105.176164
2015-09-10,106.00,106.459999,104.50,105.150002,1074400,104.43129
2015-09-09,109.779999,110.480003,106.010002,106.190002,945400,105.464183
2015-09-08,107.75,109.639999,107.449997,109.620003,874200,108.870739
2015-09-04,106.720001,107.279999,105.839996,106.260002,723600,105.533704
2015-09-03,108.540001,109.57,107.629997,107.989998,1090000,107.251875
2015-09-02,109.169998,109.209999,107.239998,108.349998,1679800,107.609415
2015-09-01,109.00,109.830002,107.010002,107.550003,1429600,106.814888
2015-08-31,111.339996,112.419998,110.690002,111.830002,1074200,111.065632
2015-08-28,110.660004,112.18,109.139999,111.669998,764700,110.906722
2015-08-27,108.160004,111.440002,107.940002,111.220001,1292300,110.459801
2015-08-26,106.260002,107.300003,104.629997,107.099998,977500,106.367959
2015-08-25,107.910004,107.910004,103.519997,103.57,1063800,102.862088
2015-08-24,105.900002,108.849998,101.459999,105.169998,1733100,104.45115
