Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.675,11.675,11.675,11.675,000,8.2181
2015-10-08,11.52,11.52,11.52,11.52,000,8.109
2015-10-07,11.455,11.455,11.455,11.455,000,8.0632
2015-10-06,11.455,11.455,11.455,11.455,000,8.0632
2015-10-05,11.455,11.455,11.455,11.455,000,8.0632
2015-10-02,11.455,11.455,11.455,11.455,000,8.0632
2015-10-01,11.565,11.565,11.565,11.565,000,8.1407
2015-09-30,11.36,11.36,11.36,11.36,000,7.9964
2015-09-29,11.36,11.36,11.36,11.36,000,7.9964
2015-09-28,12.01,12.01,12.01,12.01,000,8.4539
2015-09-25,12.01,12.01,12.01,12.01,000,8.4539
2015-09-24,12.065,12.065,12.065,12.065,000,8.4926
2015-09-23,12.16,12.16,12.16,12.16,000,8.5595
2015-09-22,12.175,12.175,12.175,12.175,000,8.57
2015-09-21,12.04,12.04,12.04,12.04,000,8.475
2015-09-18,12.04,12.04,12.04,12.04,000,8.475
2015-09-17,12.03,12.03,12.03,12.03,000,8.468
2015-09-16,11.965,11.965,11.965,11.965,000,8.4222
2015-09-15,11.965,11.965,11.965,11.965,000,8.4222
2015-09-14,12.06,12.06,12.06,12.06,000,8.4891
2015-09-11,12.105,12.105,12.105,12.105,000,8.5208
2015-09-10,12.265,12.265,12.265,12.265,000,8.6334
2015-09-09,12.555,12.555,12.555,12.555,000,8.8375
2015-09-08,12.62,12.62,12.62,12.62,000,8.8833
2015-09-07,12.62,12.62,12.62,12.62,000,8.8833
2015-09-04,12.62,12.62,12.62,12.62,000,8.8833
2015-09-03,12.495,12.495,12.495,12.495,000,8.7953
2015-09-02,12.66,12.66,12.66,12.66,000,8.9114
2015-09-01,12.835,12.835,12.835,12.835,000,9.0346
2015-08-31,13.155,13.155,13.155,13.155,000,9.2599
2015-08-28,13.155,13.155,13.155,13.155,000,9.2599
2015-08-27,12.875,12.875,12.875,12.875,000,9.0628
2015-08-26,12.66,12.66,12.66,12.66,000,8.9114
2015-08-25,12.83,12.83,12.83,12.83,000,9.0311
2015-08-24,12.83,12.83,12.83,12.83,000,9.0311
2015-08-21,13.295,13.295,13.295,13.295,000,9.3584
2015-08-20,13.67,13.67,13.67,13.67,000,9.6224
2015-08-19,13.595,13.595,13.595,13.595,000,9.5696
2015-08-18,13.30,13.30,13.30,13.30,000,9.3619
2015-08-17,13.49,13.49,13.49,13.49,000,9.4957
2015-08-14,13.51,13.51,13.51,13.51,000,9.5097
2015-08-13,13.605,13.605,13.605,13.605,000,9.5766
2015-08-12,13.605,13.605,13.605,13.605,000,9.5766
2015-08-11,13.605,13.605,13.605,13.605,000,9.5766
2015-08-10,13.93,13.93,13.93,13.93,000,9.8054
2015-08-07,13.93,13.93,13.93,13.93,000,9.8054
2015-08-06,14.09,14.09,14.09,14.09,000,9.918
2015-08-05,14.26,14.26,14.26,14.26,000,10.0377
2015-08-04,13.945,13.945,13.945,13.945,000,9.8159
2015-08-03,13.69,13.69,13.69,13.69,000,9.6364
2015-07-31,13.69,13.69,13.69,13.69,000,2.0426
2015-07-30,13.605,13.605,13.605,13.605,000,2.0299
2015-07-29,13.605,13.605,13.605,13.605,000,2.0299
2015-07-28,13.605,13.605,13.605,13.605,000,2.0299
2015-07-27,13.755,13.755,13.755,13.755,000,2.0523
2015-07-24,13.905,13.905,13.905,13.905,000,2.0747
2015-07-23,14.11,14.11,14.11,14.11,000,2.1053
2015-07-22,14.11,14.11,14.11,14.11,000,2.1053
2015-07-21,14.53,14.53,14.53,14.53,000,2.1679
2015-07-20,14.355,14.355,14.355,14.355,000,2.1418
2015-07-17,14.805,14.99,14.805,14.99,000,2.2366
2015-07-16,15.045,15.045,15.045,15.045,000,2.2448
2015-07-15,15.925,15.925,15.925,15.925,000,2.3761
2015-07-14,15.465,15.465,15.465,15.465,000,2.3074
2015-07-13,15.015,15.015,15.015,15.015,000,2.2403
2015-07-10,14.935,14.935,14.935,14.935,000,2.2283
2015-07-09,14.975,15.185,14.975,15.185,000,2.2656
2015-07-08,14.95,14.95,14.95,14.95,000,2.2306
2015-07-07,15.315,15.315,15.315,15.315,000,2.285
2015-07-06,15.00,15.00,15.00,15.00,000,2.238
2015-07-03,15.235,15.235,15.235,15.235,000,2.2731
2015-07-02,15.385,15.385,15.235,15.235,100,2.2731
2015-07-01,15.20,15.385,15.20,15.385,000,2.2955
2015-06-30,14.77,14.77,14.77,14.77,000,2.2037
2015-06-29,14.77,14.77,14.77,14.77,000,2.2037
2015-06-26,14.89,14.89,14.89,14.89,000,2.2216
2015-06-25,14.965,14.965,14.905,14.905,100,2.2239
2015-06-24,14.965,14.965,14.965,14.965,000,2.2328
2015-06-23,14.75,14.75,14.75,14.75,000,2.2007
2015-06-22,14.69,14.69,14.69,14.69,000,2.1918
2015-06-19,14.69,14.69,14.69,14.69,000,2.1918
2015-06-18,14.55,14.55,14.55,14.55,000,2.1709
2015-06-17,14.555,14.555,14.555,14.555,000,2.1716
2015-06-16,14.155,14.155,14.155,14.155,000,2.112
2015-06-15,13.94,13.94,13.94,13.94,000,2.0799
2015-06-12,13.745,13.745,13.745,13.745,000,2.0508
2015-06-11,13.44,13.44,13.44,13.44,000,2.0053
2015-06-10,13.44,13.44,13.44,13.44,000,2.0053
2015-06-09,13.44,13.44,13.44,13.44,000,2.0053
2015-06-08,13.50,13.50,13.50,13.50,000,2.0142
2015-06-05,13.50,13.50,13.50,13.50,000,2.0142
2015-06-04,13.50,13.50,13.50,13.50,000,2.0142
2015-06-03,13.78,13.78,13.78,13.78,000,2.056
2015-06-02,14.065,14.065,14.065,14.065,000,2.0985
2015-06-01,14.125,14.125,14.125,14.125,000,2.1075
2015-05-29,14.125,14.125,14.125,14.125,000,2.1075
2015-05-28,14.125,14.125,14.125,14.125,000,2.1075
2015-05-27,14.125,14.125,14.125,14.125,000,2.1075
2015-05-26,14.125,14.125,14.125,14.125,000,2.1075
2015-05-25,13.94,13.94,13.94,13.94,000,2.0799
2015-05-22,13.94,13.94,13.94,13.94,000,2.0799
2015-05-21,13.94,13.94,13.94,13.94,000,2.0799
2015-05-20,13.655,13.655,13.655,13.655,000,2.0374
2015-05-19,13.655,13.655,13.655,13.655,000,2.0374
2015-05-18,13.655,13.655,13.655,13.655,000,2.0374
2015-05-15,13.755,13.755,13.755,13.755,000,2.0523
2015-05-14,13.755,13.755,13.755,13.755,000,2.0523
2015-05-13,13.755,13.755,13.755,13.755,000,2.0523
2015-05-12,13.755,13.755,13.755,13.755,000,2.0523
2015-05-11,13.835,13.835,13.835,13.835,000,2.0642
2015-05-08,13.835,13.835,13.835,13.835,000,2.0642
2015-05-07,13.835,13.835,13.835,13.835,000,2.0642
2015-05-06,13.97,13.97,13.97,13.97,000,2.0844
2015-05-05,14.01,14.01,14.01,14.01,000,2.0903
2015-05-04,14.01,14.01,14.01,14.01,000,2.0903
2015-05-01,14.415,14.415,14.415,14.415,000,2.1508
2015-04-30,14.415,14.415,14.415,14.415,000,2.1508
2015-04-29,14.705,14.705,14.705,14.705,000,2.194
2015-04-28,14.985,14.985,14.985,14.985,000,2.2358
2015-04-27,15.01,15.01,15.01,15.01,000,2.2395
2015-04-24,14.93,14.93,14.93,14.93,000,2.2276
2015-04-23,14.90,14.90,14.90,14.90,000,2.2231
2015-04-22,14.90,14.90,14.90,14.90,000,2.2231
2015-04-21,14.90,14.90,14.90,14.90,000,2.2231
2015-04-20,14.90,14.90,14.90,14.90,000,2.2231
2015-04-17,14.92,14.92,14.92,14.92,000,2.2261
2015-04-16,14.92,14.92,14.92,14.92,000,2.2261
2015-04-15,14.92,14.92,14.92,14.92,000,2.2261
2015-04-14,14.96,14.96,14.96,14.96,000,2.2321
2015-04-13,14.955,14.955,14.955,14.955,000,2.2313
2015-04-10,14.955,14.955,14.955,14.955,000,2.2313
2015-04-09,14.55,14.55,14.55,14.55,000,2.1709
2015-04-08,14.55,14.55,14.55,14.55,000,2.1709
2015-04-07,14.545,14.545,14.545,14.545,000,2.1702
2015-04-06,14.495,14.495,14.495,14.495,000,2.1627
2015-04-03,14.495,14.495,14.495,14.495,000,2.1627
2015-04-02,14.495,14.495,14.495,14.495,000,2.1627
2015-04-01,14.495,14.495,14.495,14.495,000,2.1627
2015-03-31,14.495,14.495,14.495,14.495,000,2.1627
2015-03-30,14.495,14.495,14.495,14.495,000,2.1627
2015-03-27,14.665,14.665,14.665,14.665,000,2.1881
2015-03-26,14.665,14.665,14.665,14.665,000,2.1881
2015-03-25,14.745,14.745,14.745,14.745,000,2.20
2015-03-24,14.455,14.455,14.455,14.455,000,2.1567
2015-03-23,14.455,14.455,14.455,14.455,000,2.1567
2015-03-20,14.32,14.32,14.32,14.32,000,2.1366
2015-03-19,14.155,14.155,14.155,14.155,000,2.112
2015-03-18,14.15,14.15,14.15,14.15,000,2.1112
2015-03-17,14.15,14.15,14.15,14.15,000,2.1112
2015-03-16,14.115,14.15,14.115,14.15,100,2.1112
2015-03-13,14.115,14.115,14.115,14.115,000,2.106
2015-03-12,14.115,14.115,14.115,14.115,000,2.106
2015-03-11,13.925,13.925,13.925,13.925,000,2.0777
2015-03-10,13.985,13.985,13.985,13.985,000,2.0866
2015-03-09,14.095,14.095,14.095,14.095,000,2.103
2015-03-06,13.97,14.21,13.97,14.21,100,2.1202
2015-03-05,13.97,13.97,13.97,13.97,000,2.0309
2015-03-04,13.735,13.735,13.735,13.735,000,1.9967
2015-03-03,13.65,13.65,13.65,13.65,000,1.9844
2015-03-02,13.48,13.48,13.48,13.48,000,1.9597
2015-02-27,13.48,13.48,13.48,13.48,000,1.9597
2015-02-26,13.46,13.46,13.46,13.46,000,1.9568
2015-02-25,13.46,13.46,13.46,13.46,000,1.9568
2015-02-24,13.29,13.29,13.29,13.29,000,1.932
2015-02-23,13.23,13.23,13.23,13.23,000,1.9233
2015-02-20,13.22,13.22,13.22,13.22,000,1.9219
2015-02-19,13.055,13.055,13.055,13.055,000,1.8979
2015-02-18,12.925,12.925,12.925,12.925,000,1.879
2015-02-17,12.875,12.875,12.875,12.875,000,1.8717
