Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.99,10.01,9.92,9.98,15300,9.860041
2015-10-08,9.96,10.03,9.92,10.00,9300,9.879801
2015-10-07,9.92,9.92,9.86,9.90,4700,9.781002
2015-10-06,9.92,9.92,9.88,9.92,4400,9.800762
2015-10-05,9.94,10.00,9.92,9.92,18900,9.800762
2015-10-02,9.97,10.00,9.94,9.97,12500,9.850162
2015-10-01,9.84,9.95,9.84,9.93,11900,9.810642
2015-09-30,9.85,9.89,9.84,9.89,13800,9.771123
2015-09-29,9.80,9.86,9.77,9.86,11900,9.741483
2015-09-28,9.83,9.85,9.75,9.75,3600,9.632806
2015-09-25,9.82,9.85,9.77,9.80,12300,9.682205
2015-09-24,9.81,9.82,9.76,9.82,27600,9.701964
2015-09-23,9.78,9.81,9.74,9.74,16400,9.622926
2015-09-22,9.81,9.81,9.76,9.80,7100,9.682205
2015-09-21,9.75,9.84,9.75,9.82,5800,9.701964
2015-09-18,9.76,9.85,9.60,9.80,21000,9.682205
2015-09-17,9.65,9.73,9.65,9.73,14800,9.613046
2015-09-16,9.62,9.67,9.62,9.65,4000,9.534007
2015-09-15,9.67,9.72,9.67,9.70,26000,9.543887
2015-09-14,9.64,9.68,9.63,9.68,5200,9.52421
2015-09-11,9.64,9.70,9.64,9.70,4500,9.543887
2015-09-10,9.69,9.71,9.60,9.64,33000,9.484853
2015-09-09,9.71,9.74,9.67,9.67,7100,9.51437
2015-09-08,9.70,9.76,9.66,9.73,22100,9.573404
2015-09-04,9.72,9.76,9.70,9.70,6600,9.543887
2015-09-03,9.72,9.72,9.62,9.70,25200,9.543887
2015-09-02,9.67,9.73,9.67,9.67,40200,9.51437
2015-09-01,9.69,9.72,9.67,9.67,24800,9.51437
2015-08-31,9.75,9.75,9.66,9.68,17900,9.52421
2015-08-28,9.80,9.80,9.64,9.75,27000,9.593083
2015-08-27,9.70,9.76,9.58,9.76,29900,9.602922
2015-08-26,9.62,9.70,9.52,9.68,35700,9.52421
2015-08-25,9.62,9.67,9.54,9.65,38200,9.494692
2015-08-24,9.71,9.71,9.52,9.61,34600,9.455335
2015-08-21,9.71,9.71,9.62,9.70,28700,9.543887
2015-08-20,9.66,9.78,9.63,9.71,24400,9.553726
2015-08-19,9.72,9.73,9.66,9.67,38000,9.51437
2015-08-18,9.80,9.81,9.72,9.81,5400,9.612761
2015-08-17,9.81,9.81,9.72,9.81,7200,9.612761
2015-08-14,9.75,9.83,9.70,9.79,11500,9.593163
2015-08-13,9.73,9.77,9.72,9.76,21000,9.563766
2015-08-12,9.76,9.79,9.69,9.78,18500,9.583363
2015-08-11,9.68,9.77,9.63,9.73,14200,9.534369
2015-08-10,9.70,9.75,9.67,9.67,14500,9.475575
2015-08-07,9.75,9.75,9.66,9.73,8900,9.534369
2015-08-06,9.62,9.73,9.62,9.71,12400,9.514771
2015-08-05,9.90,9.90,9.62,9.66,85400,9.465776
2015-08-04,9.80,9.90,9.80,9.88,30200,9.681353
2015-08-03,9.88,9.89,9.75,9.84,14700,9.642158
2015-07-31,9.92,9.94,9.72,9.82,25600,9.622559
2015-07-30,9.91,9.95,9.81,9.88,10800,9.681353
2015-07-29,9.85,9.95,9.81,9.95,48100,9.749946
2015-07-28,9.74,9.85,9.72,9.85,34800,9.651957
2015-07-27,9.73,9.75,9.69,9.72,9900,9.52457
2015-07-24,9.71,9.77,9.70,9.75,7700,9.553967
2015-07-23,9.71,9.76,9.68,9.70,29300,9.504972
2015-07-22,9.65,9.79,9.65,9.76,7800,9.563766
2015-07-21,9.74,9.75,9.70,9.71,21300,9.475576
2015-07-20,9.85,9.85,9.70,9.72,30600,9.485335
2015-07-17,9.80,9.85,9.78,9.85,7200,9.612196
2015-07-16,9.82,9.85,9.78,9.84,17400,9.602437
2015-07-15,9.77,9.84,9.77,9.79,10200,9.553644
2015-07-14,9.77,9.82,9.77,9.79,5900,9.553644
2015-07-13,9.80,9.85,9.77,9.82,19300,9.58292
2015-07-10,9.79,9.85,9.75,9.85,37300,9.612196
2015-07-09,9.78,9.85,9.70,9.84,37000,9.602437
2015-07-08,9.76,9.82,9.70,9.77,11000,9.534128
2015-07-07,9.82,9.85,9.68,9.77,21500,9.534128
2015-07-06,9.78,9.80,9.74,9.78,10700,9.543885
2015-07-02,9.64,9.80,9.60,9.80,28400,9.563403
