Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,20.34,20.34,19.809999,19.809999,4400,19.809999
2015-10-08,20.75,20.75,20.35,20.35,3300,20.35
2015-10-07,20.75,21.23,20.610001,20.75,59400,20.75
2015-10-06,20.26,20.940001,20.26,20.68,11100,20.68
2015-10-05,21.00,21.00,20.50,20.50,2100,20.50
2015-10-02,20.35,20.35,20.35,20.35,000,20.35
2015-10-01,19.93,20.60,19.93,20.35,4700,20.35
2015-09-30,20.110001,20.790001,20.110001,20.48,12800,20.48
2015-09-29,20.40,21.18,20.10,20.110001,23000,20.110001
2015-09-28,20.280001,20.438,19.60,19.860001,7200,19.860001
2015-09-25,21.040001,21.040001,21.040001,21.040001,800,21.040001
2015-09-24,20.764999,20.764999,20.110001,20.75,3200,20.75
2015-09-23,20.940001,21.110001,20.10,20.74,5700,20.74
2015-09-22,20.75,20.75,20.75,20.75,2300,20.75
2015-09-21,20.540001,20.889999,20.540001,20.67,5400,20.67
2015-09-18,20.049999,20.59,20.049999,20.59,7900,20.59
2015-09-17,20.011,20.24,20.00,20.212999,7900,20.212999
2015-09-16,20.00,20.00,20.00,20.00,500,20.00
2015-09-15,19.60,19.700001,19.60,19.700001,1000,19.700001
2015-09-14,19.700001,19.700001,19.700001,19.700001,000,19.700001
2015-09-11,19.60,19.700001,19.60,19.700001,400,19.700001
2015-09-10,20.030001,20.030001,19.57,20.00,13400,20.00
2015-09-09,20.34,20.58,20.115999,20.290001,7100,20.290001
2015-09-08,20.030001,20.490999,20.00,20.440001,1900,20.440001
2015-09-04,20.27,20.311001,20.26,20.309999,1200,20.309999
2015-09-03,20.01,20.415001,20.01,20.415001,300,20.415001
2015-09-02,20.82,20.82,19.24,20.299999,14000,20.299999
2015-09-01,20.950001,20.950001,20.90,20.90,2200,20.90
2015-08-31,20.91,20.91,19.50,19.50,4700,19.50
2015-08-28,19.969999,19.969999,19.969999,19.969999,500,19.969999
2015-08-27,19.75,20.15,19.75,20.01,3800,20.01
2015-08-26,20.60,20.60,19.299999,20.049999,31700,20.049999
2015-08-25,20.01,20.01,20.01,20.01,500,20.01
2015-08-24,19.73,20.200001,19.33,20.200001,3200,20.200001
2015-08-21,20.17,20.18,20.10,20.10,2300,20.10
2015-08-20,20.49,20.65,20.25,20.51,9700,20.51
2015-08-19,20.50,20.50,20.25,20.25,1500,20.25
2015-08-18,20.549999,20.799999,20.549999,20.799999,1100,20.799999
2015-08-17,21.190001,21.190001,21.190001,21.190001,100,21.190001
2015-08-14,20.76,21.00,20.76,20.92,11600,20.92
2015-08-13,21.200001,21.200001,21.200001,21.200001,000,21.200001
2015-08-12,20.92,21.200001,20.92,21.200001,9600,21.200001
2015-08-11,20.709999,21.00,20.60,20.90,15500,20.90
2015-08-10,21.25,21.25,20.709999,20.719999,600,20.719999
2015-08-07,20.90,20.90,20.90,20.90,1600,20.90
2015-08-06,20.75,21.10,20.75,20.90,4200,20.90
2015-08-05,21.25,21.290001,21.25,21.290001,4100,21.290001
2015-08-04,21.250999,21.35,21.250999,21.35,1600,21.35
2015-08-03,21.25,21.25,21.25,21.25,200,21.25
2015-07-31,21.200001,21.50,21.200001,21.50,8200,21.50
2015-07-30,20.40,21.10,20.299999,21.10,12100,21.10
2015-07-29,20.799999,20.799999,20.10,20.41,2000,20.41
2015-07-28,21.440001,21.440001,20.60,20.799999,5700,20.799999
2015-07-27,21.440001,21.450001,20.60,20.60,9200,20.60
2015-07-24,21.440001,21.440001,20.799999,20.799999,600,20.799999
2015-07-23,21.438999,21.438999,20.700001,20.700001,1600,20.700001
2015-07-22,21.870001,22.23,20.60,21.50,6900,21.50
2015-07-21,21.85,22.10,21.85,21.85,23700,21.85
2015-07-20,21.90,22.179001,21.85,21.860001,900,21.860001
2015-07-17,21.860001,22.67,21.82,22.67,1100,22.67
2015-07-16,21.312,21.43,21.312,21.43,900,21.43
2015-07-15,20.65,21.99,20.40,21.603001,5400,21.603001
2015-07-14,21.26,21.26,20.76,20.76,17000,20.76
2015-07-13,21.23,21.50,21.209999,21.280001,3300,21.280001
2015-07-10,21.50,21.549999,20.98,21.030001,10200,21.030001
2015-07-09,20.860001,20.950001,20.860001,20.950001,600,20.950001
2015-07-08,21.25,21.50,20.60,20.639999,10300,20.639999
