Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,0.50,0.50,0.46,0.47,15736400,0.47
2015-10-08,0.54,0.54,0.41,0.49,40451800,0.49
2015-10-07,0.53,0.56,0.50,0.50,22173900,0.50
2015-10-06,0.53,0.54,0.45,0.51,36242100,0.51
2015-10-05,0.38,0.50,0.37,0.50,29198300,0.50
2015-10-02,0.29,0.36,0.28,0.36,27860000,0.36
2015-10-01,0.27,0.31,0.27,0.31,16761300,0.31
2015-09-30,0.26,0.28,0.25,0.27,17855100,0.27
2015-09-29,0.27,0.28,0.25,0.26,11525700,0.26
2015-09-28,0.30,0.30,0.27,0.27,17033200,0.27
2015-09-25,0.31,0.32,0.28,0.30,25660700,0.30
2015-09-24,0.31,0.33,0.28,0.30,24451700,0.30
2015-09-23,0.39,0.39,0.31,0.31,26798200,0.31
2015-09-22,0.40,0.41,0.37,0.37,15707300,0.37
2015-09-21,0.41,0.43,0.40,0.40,13043100,0.40
2015-09-18,0.42,0.43,0.40,0.40,50475800,0.40
2015-09-17,0.45,0.46,0.42,0.43,16781300,0.43
2015-09-16,0.42,0.46,0.41,0.45,22035100,0.45
2015-09-15,0.43,0.45,0.41,0.42,13873300,0.42
2015-09-14,0.48,0.48,0.42,0.43,17716200,0.43
2015-09-11,0.48,0.49,0.45,0.47,13951300,0.47
2015-09-10,0.49,0.50,0.45,0.48,21518400,0.48
2015-09-09,0.51,0.53,0.46,0.47,16027900,0.47
2015-09-08,0.51,0.55,0.48,0.50,17746600,0.50
2015-09-04,0.48,0.50,0.48,0.49,6119000,0.49
2015-09-03,0.48,0.52,0.46,0.50,10074300,0.50
2015-09-02,0.49,0.50,0.45,0.47,8868000,0.47
2015-09-01,0.51,0.52,0.45,0.45,12846200,0.45
2015-08-31,0.51,0.54,0.50,0.53,22038000,0.53
2015-08-28,0.52,0.55,0.51,0.51,25933300,0.51
2015-08-27,0.48,0.52,0.46,0.50,16604000,0.50
2015-08-26,0.47,0.47,0.42,0.45,9513800,0.45
2015-08-25,0.45,0.45,0.42,0.43,8500800,0.43
2015-08-24,0.43,0.45,0.40,0.41,12394300,0.41
2015-08-21,0.47,0.49,0.45,0.45,9544300,0.45
2015-08-20,0.47,0.50,0.47,0.47,9816300,0.47
2015-08-19,0.50,0.51,0.48,0.48,10914500,0.48
2015-08-18,0.51,0.52,0.50,0.51,8325400,0.51
2015-08-17,0.50,0.57,0.49,0.51,11235700,0.51
2015-08-14,0.57,0.57,0.49,0.52,16001500,0.52
2015-08-13,0.59,0.60,0.54,0.54,7129700,0.54
2015-08-12,0.55,0.60,0.55,0.60,10024100,0.60
2015-08-11,0.53,0.57,0.53,0.55,12274700,0.55
2015-08-10,0.51,0.60,0.50,0.59,13831900,0.59
2015-08-07,0.50,0.56,0.50,0.50,11652300,0.50
2015-08-06,0.50,0.57,0.46,0.55,11533000,0.55
2015-08-05,0.56,0.58,0.49,0.50,12630000,0.50
2015-08-04,0.51,0.56,0.51,0.54,13790300,0.54
2015-08-03,0.51,0.53,0.48,0.52,18394600,0.52
2015-07-31,0.55,0.57,0.51,0.52,9700100,0.52
2015-07-30,0.63,0.63,0.56,0.56,10269800,0.56
2015-07-29,0.58,0.65,0.55,0.63,12464100,0.63
2015-07-28,0.53,0.59,0.53,0.58,10437100,0.58
2015-07-27,0.52,0.55,0.51,0.53,8160100,0.53
2015-07-24,0.58,0.59,0.52,0.56,12626100,0.56
2015-07-23,0.53,0.60,0.50,0.58,19729200,0.58
2015-07-22,0.52,0.53,0.48,0.50,21411900,0.50
2015-07-21,0.58,0.60,0.51,0.54,15585200,0.54
2015-07-20,0.62,0.62,0.56,0.56,14825300,0.56
2015-07-17,0.70,0.70,0.62,0.62,13513500,0.62
2015-07-16,0.75,0.77,0.69,0.69,9680900,0.69
2015-07-15,0.75,0.80,0.70,0.75,9626300,0.75
2015-07-14,0.66,0.80,0.65,0.80,12039400,0.80
2015-07-13,0.67,0.72,0.66,0.69,8009300,0.69
2015-07-10,0.81,0.84,0.70,0.71,13437700,0.71
2015-07-09,0.75,0.83,0.74,0.80,13924900,0.80
2015-07-08,0.73,0.77,0.70,0.72,10257100,0.72
2015-07-07,0.70,0.74,0.63,0.73,21077400,0.73
2015-07-06,0.71,0.74,0.67,0.70,24407400,0.70
2015-07-02,0.84,0.86,0.75,0.76,16856200,0.76
2015-07-01,0.90,0.90,0.82,0.85,14171600,0.85
2015-06-30,0.84,0.88,0.81,0.88,16865300,0.88
2015-06-29,0.87,0.90,0.83,0.83,16702100,0.83
2015-06-26,0.96,1.00,0.81,0.95,62345000,0.95
2015-06-25,1.00,1.03,0.98,1.00,15017700,1.00
2015-06-24,1.05,1.09,1.01,1.02,13508600,1.02
2015-06-23,1.02,1.08,1.01,1.08,10959900,1.08
