Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,3.15,3.17,3.00,3.03,126700,2.797003
2015-10-08,2.99,3.13,2.96,3.07,131400,2.833928
2015-10-07,2.76,3.00,2.76,2.96,185200,2.732386
2015-10-06,2.52,2.76,2.52,2.71,179400,2.50161
2015-10-05,2.38,2.58,2.35,2.52,129200,2.326221
2015-10-02,2.24,2.34,2.22,2.34,209000,2.160062
2015-10-01,2.25,2.41,2.19,2.25,261100,2.076983
2015-09-30,2.37,2.40,2.29,2.30,295400,2.123138
2015-09-29,2.41,2.42,2.37,2.37,181200,2.187755
2015-09-28,2.49,2.50,2.39,2.46,219300,2.270835
2015-09-25,2.49,2.55,2.49,2.50,67100,2.307759
2015-09-24,2.55,2.57,2.50,2.51,70800,2.31699
2015-09-23,2.56,2.57,2.52,2.56,95200,2.363145
2015-09-22,2.58,2.63,2.56,2.58,32100,2.381607
2015-09-21,2.63,2.66,2.59,2.59,46100,2.390838
2015-09-18,2.60,2.64,2.55,2.62,105300,2.418531
2015-09-17,2.62,2.68,2.58,2.61,89700,2.4093
2015-09-16,2.70,2.82,2.61,2.62,88200,2.418531
2015-09-15,2.79,2.87,2.69,2.71,91300,2.50161
2015-09-14,2.56,2.84,2.55,2.74,191300,2.529303
2015-09-11,2.70,2.74,2.54,2.59,177600,2.390838
2015-09-10,2.83,2.86,2.72,2.74,55100,2.529303
2015-09-09,2.89,2.94,2.82,2.82,29900,2.603152
2015-09-08,3.02,3.02,2.82,2.92,124000,2.695462
2015-09-04,3.00,3.04,2.98,3.01,51400,2.778541
2015-09-03,3.05,3.05,3.01,3.04,65800,2.806234
2015-09-02,3.05,3.05,2.98,3.05,78000,2.815465
2015-09-01,3.02,3.06,2.96,3.03,118500,2.797003
2015-08-31,3.08,3.09,2.97,3.06,263200,2.824697
2015-08-28,2.77,3.10,2.74,3.00,495700,2.76931
2015-08-27,2.52,2.68,2.52,2.67,135300,2.464686
2015-08-26,2.61,2.61,2.48,2.50,80100,2.307759
2015-08-25,2.49,2.66,2.49,2.54,252100,2.344683
2015-08-24,2.57,2.58,2.36,2.36,349200,2.178524
2015-08-21,2.57,2.58,2.41,2.52,322800,2.326221
2015-08-20,2.80,2.85,2.57,2.63,282600,2.427762
2015-08-19,3.00,3.03,2.83,2.93,360700,2.704693
2015-08-18,3.00,3.05,3.00,3.05,280000,2.815465
2015-08-17,3.04,3.07,3.02,3.03,245200,2.797003
2015-08-14,3.00,3.10,3.00,3.08,196100,2.843159
2015-08-13,3.13,3.13,3.00,3.02,178700,2.787772
2015-08-12,3.25,3.30,3.01,3.12,260900,2.880083
2015-08-11,3.40,3.41,3.30,3.37,526800,2.87916
2015-08-10,3.44,3.49,3.32,3.47,290100,2.964595
2015-08-07,3.36,3.50,3.31,3.35,212200,2.862073
2015-08-06,3.41,3.41,3.25,3.34,205100,2.853529
2015-08-05,3.47,3.47,3.38,3.38,95500,2.887703
2015-08-04,3.38,3.51,3.38,3.47,75000,2.964595
2015-08-03,3.55,3.55,3.30,3.36,272300,2.870616
2015-07-31,3.46,3.67,3.41,3.63,174800,3.101291
2015-07-30,3.48,3.59,3.44,3.50,131800,2.990225
2015-07-29,3.35,3.50,3.32,3.46,111200,2.956051
2015-07-28,3.26,3.34,3.25,3.32,97100,2.836442
2015-07-27,3.40,3.45,3.32,3.32,167000,2.836442
2015-07-24,3.27,3.55,3.27,3.45,196600,2.947508
2015-07-23,3.05,3.35,3.04,3.27,276100,2.793725
2015-07-22,3.19,3.20,2.99,3.06,523100,2.614311
2015-07-21,3.47,3.50,3.21,3.24,312600,2.768094
2015-07-20,3.71,3.75,3.45,3.52,265800,3.007312
2015-07-17,3.79,3.81,3.71,3.71,146100,3.169639
2015-07-16,3.74,3.84,3.73,3.76,152900,3.212356
2015-07-15,3.73,3.79,3.73,3.75,163400,3.203813
2015-07-14,3.82,3.87,3.73,3.75,307400,3.203813
2015-07-13,4.00,4.00,3.81,3.86,203700,3.297791
2015-07-10,3.90,3.92,3.81,3.87,337700,3.306335
2015-07-09,3.85,3.92,3.81,3.88,149100,3.314878
2015-07-08,3.89,3.96,3.84,3.86,132200,3.297791
2015-07-07,3.92,3.97,3.84,3.97,280400,3.39177
2015-07-06,4.09,4.14,3.85,3.95,381800,3.374683
2015-07-02,4.17,4.20,4.13,4.17,134900,3.56264
2015-07-01,4.22,4.23,4.16,4.18,149600,3.571183
2015-06-30,4.22,4.24,4.18,4.24,134800,3.622444
2015-06-29,4.20,4.22,4.19,4.22,118500,3.605357
2015-06-26,4.21,4.24,4.20,4.23,79900,3.613901
2015-06-25,4.23,4.24,4.20,4.23,114400,3.613901
2015-06-24,4.23,4.25,4.22,4.23,67600,3.613901
2015-06-23,4.25,4.28,4.22,4.25,144200,3.630988
2015-06-22,4.34,4.36,4.24,4.27,136600,3.648075
2015-06-19,4.29,4.33,4.24,4.28,129500,3.656618
2015-06-18,4.36,4.43,4.30,4.32,84900,3.690792
2015-06-17,4.32,4.37,4.31,4.35,64000,3.716423
2015-06-16,4.32,4.34,4.30,4.33,78100,3.699336
2015-06-15,4.39,4.39,4.32,4.35,86900,3.716423
2015-06-12,4.43,4.48,4.31,4.45,113900,3.801857
2015-06-11,4.47,4.48,4.35,4.38,153000,3.742053
2015-06-10,4.43,4.53,4.36,4.47,149700,3.818944
2015-06-09,4.38,4.48,4.38,4.46,71900,3.810401
2015-06-08,4.51,4.51,4.41,4.44,88900,3.793314
2015-06-05,4.49,4.53,4.39,4.51,156400,3.853119
2015-06-04,4.55,4.60,4.52,4.54,111600,3.878749
2015-06-03,4.50,4.62,4.50,4.60,82400,3.93001
