Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,19.24,19.24,17.92,18.15,4223700,18.15
2015-10-08,18.90,19.18,18.860001,19.120001,1109400,19.120001
2015-10-07,18.84,19.07,18.68,18.950001,1257600,18.950001
2015-10-06,18.84,18.98,18.700001,18.76,753100,18.76
2015-10-05,18.75,18.860001,18.620001,18.799999,944100,18.799999
2015-10-02,17.77,18.66,17.66,18.60,1551900,18.60
2015-10-01,17.860001,18.120001,17.620001,17.90,2014900,17.90
2015-09-30,17.60,17.879999,17.48,17.809999,1354700,17.809999
2015-09-29,17.76,17.76,17.360001,17.48,1409800,17.48
2015-09-28,18.040001,18.120001,17.690001,17.73,1646800,17.73
2015-09-25,17.889999,18.360001,17.76,18.059999,2001300,18.059999
2015-09-24,17.48,18.18,17.379999,18.07,2686600,17.86
2015-09-23,17.549999,17.780001,17.440001,17.530001,1118100,17.326276
2015-09-22,17.469999,17.639999,17.360001,17.50,1161500,17.296624
2015-09-21,17.75,17.83,17.59,17.700001,1137300,17.494301
2015-09-18,17.790001,17.870001,17.60,17.67,1453400,17.464649
2015-09-17,18.110001,18.33,17.950001,18.030001,1130300,17.820465
2015-09-16,18.00,18.110001,17.860001,18.110001,1386100,17.899536
2015-09-15,18.200001,18.33,17.92,17.959999,1098800,17.751277
2015-09-14,18.200001,18.25,18.09,18.219999,985600,18.008256
2015-09-11,18.040001,18.18,17.92,18.16,2270600,17.948954
2015-09-10,18.120001,18.360001,18.08,18.219999,1595900,18.008256
2015-09-09,17.93,18.24,17.879999,18.16,2519700,17.948954
2015-09-08,17.98,17.99,17.57,17.76,1238400,17.553603
2015-09-04,17.290001,17.780001,17.290001,17.68,1269600,17.474533
2015-09-03,17.27,17.60,17.26,17.52,1791700,17.316392
2015-09-02,17.440001,17.450001,16.99,17.280001,1492700,17.079182
2015-09-01,17.42,17.65,17.01,17.23,2239600,17.029762
2015-08-31,17.83,18.01,17.65,17.799999,1393100,17.593137
2015-08-28,17.74,18.129999,17.719999,17.92,1360600,17.711743
2015-08-27,17.74,17.959999,17.530001,17.790001,1544500,17.583255
2015-08-26,17.389999,17.610001,17.01,17.559999,1544200,17.355926
2015-08-25,17.709999,17.709999,17.07,17.10,1725600,16.901273
2015-08-24,17.629999,18.00,17.219999,17.23,3703300,17.029762
2015-08-21,18.41,18.700001,18.200001,18.450001,2384400,18.235585
2015-08-20,19.219999,19.219999,18.709999,18.77,3609200,18.551865
2015-08-19,18.85,19.469999,18.620001,19.469999,3721300,19.243729
2015-08-18,18.799999,19.110001,18.67,18.950001,1868400,18.729774
2015-08-17,18.32,18.90,18.290001,18.77,1045500,18.551865
2015-08-14,18.450001,18.719999,18.360001,18.49,1360100,18.275119
2015-08-13,18.809999,18.889999,18.469999,18.52,1270600,18.304771
2015-08-12,18.02,18.85,17.950001,18.77,2180200,18.551865
2015-08-11,18.700001,18.73,18.08,18.209999,1743400,17.998372
2015-08-10,18.129999,18.799999,18.030001,18.709999,3169700,18.492561
2015-08-07,18.08,18.450001,17.809999,18.059999,2283500,17.850116
2015-08-06,17.120001,18.52,17.110001,18.139999,5488600,17.929186
2015-08-05,17.75,17.93,17.290001,17.40,5559400,17.197786
2015-08-04,17.690001,17.799999,17.43,17.68,2181100,17.474533
2015-08-03,17.35,17.809999,17.35,17.690001,2321000,17.484417
2015-07-31,17.52,17.639999,17.25,17.34,1956500,17.138484
2015-07-30,17.709999,17.73,17.08,17.43,2414600,17.227438
2015-07-29,17.450001,17.809999,17.40,17.73,916800,17.523951
2015-07-28,17.639999,17.860001,17.389999,17.40,1556600,17.197786
2015-07-27,17.879999,18.040001,17.52,17.620001,2382700,17.41523
2015-07-24,18.17,18.379999,17.83,18.00,1576900,17.790813
2015-07-23,18.51,18.610001,18.200001,18.23,1352700,18.01814
2015-07-22,18.15,18.559999,18.030001,18.530001,1893300,18.314655
2015-07-21,17.91,18.299999,17.83,18.27,2135800,18.057676
2015-07-20,18.17,18.17,17.799999,17.92,1513600,17.711743
2015-07-17,18.200001,18.35,18.07,18.200001,1361700,17.98849
2015-07-16,18.35,18.35,17.879999,18.190001,2283900,17.978606
2015-07-15,18.57,18.65,18.23,18.33,960100,18.116978
2015-07-14,18.43,18.719999,18.34,18.610001,1328500,18.393725
2015-07-13,18.68,18.84,18.42,18.51,1022400,18.294887
2015-07-10,18.459999,18.76,18.450001,18.540001,1240800,18.324539
2015-07-09,18.299999,18.48,18.200001,18.26,1602100,18.047792
2015-07-08,17.969999,18.139999,17.73,18.110001,2452800,17.899536
2015-07-07,17.950001,18.129999,17.52,18.09,2341200,17.879768
2015-07-06,18.139999,18.40,17.83,17.90,1747800,17.691975
2015-07-02,18.67,18.67,18.200001,18.27,1032900,18.057676
2015-07-01,18.52,18.709999,18.34,18.65,1902800,18.433259
2015-06-30,19.139999,19.139999,18.24,18.440001,2823400,18.225701
2015-06-29,19.49,19.50,18.93,18.98,1717700,18.759424
2015-06-26,19.25,19.610001,19.110001,19.60,6644600,19.372219
2015-06-25,19.34,19.34,19.10,19.23,910800,19.006519
2015-06-24,19.52,19.57,19.209999,19.27,1120600,19.046055
2015-06-23,19.469999,19.66,19.42,19.530001,1410200,19.303033
2015-06-22,19.690001,19.719999,19.41,19.440001,1884100,19.214079
2015-06-19,19.98,19.98,19.459999,19.549999,2461900,19.322799
2015-06-18,19.940001,20.09,19.85,19.93,1832400,19.698384
2015-06-17,20.17,20.309999,20.040001,20.139999,1481400,19.698384
2015-06-16,20.52,20.65,20.27,20.290001,640400,19.845096
2015-06-15,20.540001,20.57,20.33,20.49,1127400,20.040709
2015-06-12,20.66,20.870001,20.540001,20.60,1063300,20.148298
2015-06-11,20.93,20.98,20.25,20.65,1693700,20.197201
2015-06-10,20.690001,21.00,20.65,20.860001,1714500,20.402597
2015-06-09,20.450001,20.639999,20.290001,20.610001,1521800,20.158079
2015-06-08,21.110001,21.290001,19.860001,20.43,2978500,19.982026
2015-06-05,21.08,21.139999,20.66,20.700001,2330700,20.246106
2015-06-04,21.280001,21.309999,21.059999,21.129999,1028800,20.666675
2015-06-03,21.26,21.459999,21.200001,21.370001,526200,20.901414
2015-06-02,21.290001,21.389999,21.129999,21.309999,686200,20.842729
2015-06-01,21.610001,21.780001,21.27,21.389999,941500,20.920975
2015-05-29,21.719999,22.09,21.540001,21.60,1796100,21.126371
2015-05-28,21.799999,21.98,21.370001,21.67,1291800,21.194836
2015-05-27,21.440001,22.110001,21.370001,21.82,1666400,21.341546
2015-05-26,21.66,21.700001,21.309999,21.43,742100,20.960098
2015-05-22,21.299999,21.799999,21.17,21.700001,1286300,21.224178
2015-05-21,21.469999,21.469999,21.059999,21.290001,1008400,20.823169
2015-05-20,21.530001,21.559999,21.27,21.440001,428200,20.969879
2015-05-19,21.48,21.52,21.219999,21.48,467600,21.009001
2015-05-18,21.27,21.50,21.200001,21.459999,551500,20.989439
2015-05-15,21.66,21.66,21.030001,21.34,977900,20.872072
2015-05-14,21.610001,21.809999,21.42,21.68,525700,21.204616
