Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,37.73,38.040001,37.73,38.040001,1200,37.594567
2015-10-08,35.25,37.98,35.220001,37.18,7500,36.744636
2015-10-07,35.259998,35.540001,35.00,35.299999,8700,34.886649
2015-10-06,34.990002,35.77,34.209999,34.689999,11300,34.283792
2015-10-05,34.299999,35.48,34.150002,35.470001,7200,35.054661
2015-10-02,33.720001,34.77,33.720001,34.389999,4600,33.987305
2015-10-01,33.900002,34.68,33.57,33.57,4200,33.176907
2015-09-30,33.599998,34.889999,33.599998,33.610001,10400,33.21644
2015-09-29,34.139999,34.139999,33.529999,33.529999,4700,33.137375
2015-09-28,33.599998,34.419998,33.580002,33.580002,2200,33.186792
2015-09-25,34.439999,34.900002,33.599998,33.599998,12900,33.206555
2015-09-24,34.98,34.98,34.25,34.52,8000,34.115784
2015-09-23,35.360001,35.720001,35.18,35.310001,4000,34.896534
2015-09-22,36.25,37.009998,35.77,35.91,7900,35.489507
2015-09-21,35.900002,36.779999,35.900002,36.139999,3700,35.716813
2015-09-18,34.52,36.880001,33.880001,36.18,26900,35.756346
2015-09-17,35.66,36.349998,34.630001,35.119999,11100,34.708757
2015-09-16,35.91,35.950001,35.009998,35.41,7800,34.995362
2015-09-15,35.34,35.75,34.740002,35.290001,4100,34.876768
2015-09-14,35.759998,35.759998,34.970001,35.07,10200,34.659343
2015-09-11,34.00,35.650002,34.00,34.950001,17700,34.540749
2015-09-10,34.009998,34.099998,33.900002,34.049999,4800,33.651286
2015-09-09,34.450001,34.450001,33.889999,34.00,10400,33.404216
2015-09-08,34.580002,34.580002,33.799999,33.830002,19900,33.237197
2015-09-04,34.299999,34.50,34.099998,34.50,4200,33.895455
2015-09-03,34.849998,35.189999,34.299999,34.299999,10900,33.698959
2015-09-02,35.25,35.25,34.299999,34.360001,1500,33.757909
2015-09-01,34.900002,35.330002,34.299999,34.299999,8800,33.698959
2015-08-31,36.330002,36.330002,34.900002,34.91,5200,34.29827
2015-08-28,35.41,35.41,34.900002,34.959999,4700,34.347393
2015-08-27,35.310001,36.419998,35.200001,35.470001,5800,34.848459
2015-08-26,36.040001,36.599998,36.040001,36.169998,2000,35.536189
2015-08-25,36.59,36.59,35.060001,36.419998,4200,35.781809
2015-08-24,36.50,36.50,35.59,35.59,15000,34.966355
2015-08-21,36.599998,37.549999,36.50,36.50,6900,35.860409
2015-08-20,37.00,37.00,36.799999,36.799999,3200,36.155151
2015-08-19,37.099998,37.27,37.00,37.00,2500,36.351647
2015-08-18,37.599998,37.619999,37.099998,37.099998,6300,36.449893
2015-08-17,37.369999,38.080002,37.349998,38.080002,2000,37.412724
2015-08-14,37.48,37.799999,37.459999,37.48,4000,36.823236
2015-08-13,37.50,38.32,37.50,37.560001,1500,36.901836
2015-08-12,37.799999,37.939999,37.470001,37.630001,1900,36.970609
2015-08-11,38.82,38.82,38.25,38.25,800,37.579743
2015-08-10,39.049999,39.84,38.709999,38.830002,3500,38.149582
2015-08-07,38.259998,38.610001,38.200001,38.380001,2700,37.707466
2015-08-06,39.400002,40.07,38.02,38.27,5800,37.599393
2015-08-05,39.200001,40.799999,39.110001,39.110001,7700,38.424674
2015-08-04,39.099998,40.00,39.099998,39.549999,1200,38.856963
2015-08-03,40.599998,40.599998,40.00,40.00,800,39.299078
2015-07-31,40.099998,40.50,39.740002,40.50,3900,39.790316
2015-07-30,39.279999,40.389999,39.279999,39.700001,2300,39.004336
2015-07-29,39.009998,39.740002,38.66,39.740002,7000,39.043636
2015-07-28,37.900002,38.98,37.849998,38.50,5200,37.825363
2015-07-27,37.299999,37.939999,37.150002,37.16,14700,36.508843
2015-07-24,37.400002,38.00,37.310001,37.349998,12100,36.695513
2015-07-23,37.50,38.169998,37.400002,37.400002,3300,36.744639
2015-07-22,37.970001,37.970001,37.450001,37.450001,4400,36.793763
2015-07-21,37.799999,37.889999,37.509998,37.509998,5900,36.852709
2015-07-20,38.450001,38.450001,37.709999,37.709999,3200,37.049205
2015-07-17,38.16,38.330002,38.02,38.040001,2800,37.373424
2015-07-16,38.91,38.91,38.16,38.27,3600,37.599393
2015-07-15,38.549999,39.099998,38.23,38.470001,4700,37.795889
2015-07-14,39.07,39.310001,38.82,39.310001,1700,38.62117
2015-07-13,38.959999,38.990002,37.75,38.990002,2600,38.306778
2015-07-10,38.299999,38.91,38.209999,38.91,3700,38.228178
2015-07-09,37.860001,38.619999,37.560001,37.799999,10300,37.137628
2015-07-08,37.84,38.25,37.84,38.150002,2500,37.481497
2015-07-07,37.990002,38.970001,37.75,37.75,5400,37.088505
2015-07-06,37.849998,37.91,37.560001,37.669998,9200,37.009905
2015-07-02,38.009998,38.09,37.91,37.919998,1600,37.255524
2015-07-01,38.400002,38.48,37.509998,37.759998,27500,37.098328
2015-06-30,38.52,38.549999,37.549999,37.849998,5500,37.186751
2015-06-29,37.509998,38.970001,37.509998,38.060001,43300,37.393074
2015-06-26,37.810001,38.580002,37.509998,37.509998,24500,36.852709
2015-06-25,38.02,38.490002,37.810001,37.810001,6300,37.147455
2015-06-24,38.560001,38.560001,37.73,37.810001,3100,37.147455
2015-06-23,38.25,38.509998,38.25,38.349998,1200,37.67799
2015-06-22,37.889999,38.43,37.700001,38.349998,3500,37.67799
2015-06-19,37.849998,38.419998,37.75,38.25,6700,37.579743
2015-06-18,37.810001,38.009998,37.799999,38.009998,3200,37.343947
2015-06-17,37.810001,38.080002,37.810001,37.830002,1300,36.970609
2015-06-16,37.93,38.00,37.810001,38.00,2200,37.136745
2015-06-15,39.25,39.25,38.00,38.09,14700,37.224701
2015-06-12,39.43,39.970001,39.43,39.869999,1600,38.964263
2015-06-11,39.48,39.900002,39.459999,39.779999,2600,38.876307
2015-06-10,39.34,39.990002,39.049999,39.970001,4800,39.061993
2015-06-09,39.98,39.98,38.900002,39.00,1500,38.114028
2015-06-08,39.48,39.98,39.48,39.529999,2700,38.631986
2015-06-05,39.860001,39.959999,39.540001,39.959999,2700,39.052218
2015-06-04,40.099998,40.099998,39.59,39.599998,2500,38.700396
2015-06-03,39.889999,40.50,39.889999,40.48,4300,39.560406
2015-06-02,39.740002,40.349998,39.380001,39.990002,6200,39.081539
2015-06-01,39.509998,40.50,39.509998,39.669998,2000,38.768805
2015-05-29,39.700001,40.439999,39.02,39.52,3000,38.622215
2015-05-28,39.240002,40.049999,38.650002,39.75,2200,38.84699
2015-05-27,39.299999,39.57,39.130001,39.299999,4600,38.407212
2015-05-26,38.970001,39.759998,38.450001,38.450001,4400,37.576523
2015-05-22,38.990002,39.75,38.560001,39.049999,9000,38.162891
2015-05-21,38.91,39.299999,38.75,39.25,7000,38.358348
2015-05-20,39.220001,39.220001,38.959999,38.959999,700,38.074936
2015-05-19,39.529999,39.529999,38.91,39.189999,4800,38.29971
2015-05-18,39.130001,39.50,39.049999,39.50,8500,38.602669
2015-05-15,39.57,39.799999,38.830002,39.169998,6300,38.280164
2015-05-14,39.52,39.52,38.790001,39.50,5600,38.602669
2015-05-13,40.490002,40.50,39.00,39.00,7700,38.114028
2015-05-12,40.799999,41.049999,40.00,40.560001,2900,39.63859
2015-05-11,41.16,41.259998,40.150002,40.759998,2600,39.834044
2015-05-08,41.400002,41.779999,40.720001,41.549999,6100,40.606098
2015-05-07,39.990002,41.75,39.990002,41.080002,8400,40.146778
2015-05-06,40.720001,41.200001,40.50,40.880001,7000,39.95132
2015-05-05,40.299999,41.720001,39.509998,40.93,5400,40.000184
2015-05-04,40.59,41.380001,40.369999,40.630001,3900,39.707
2015-05-01,40.459999,41.23,39.650002,40.709999,6000,39.78518
2015-04-30,39.75,40.799999,39.639999,39.990002,12100,39.081539
2015-04-29,41.400002,41.400002,39.900002,39.900002,2200,38.993584
2015-04-28,40.59,41.25,40.50,40.50,2000,39.579952
2015-04-27,40.950001,40.950001,39.619999,39.709999,4300,38.807898
2015-04-24,41.07,41.110001,40.189999,40.50,1400,39.579952
2015-04-23,38.709999,40.900002,38.709999,40.700001,4800,39.775409
2015-04-22,41.75,41.75,40.470001,41.470001,1200,40.527917
2015-04-21,40.82,41.68,40.759998,41.200001,2300,40.264051
2015-04-20,40.91,41.209999,40.59,41.189999,2700,40.254276
2015-04-17,40.66,40.91,40.189999,40.189999,6900,39.276993
2015-04-16,40.82,41.740002,40.82,40.93,3200,40.000184
2015-04-15,40.240002,40.950001,39.98,40.950001,8000,40.01973
2015-04-14,40.360001,40.50,39.610001,40.18,6500,39.267222
2015-04-13,41.52,41.599998,39.93,39.98,8200,39.071764
2015-04-10,41.599998,41.599998,41.099998,41.099998,500,40.16632
2015-04-09,41.189999,41.639999,41.169998,41.639999,1700,40.694054
2015-04-08,40.939999,42.779999,40.68,41.639999,21000,40.694054
2015-04-07,42.990002,42.990002,40.790001,41.00,2300,40.068593
2015-04-06,40.650002,42.970001,40.650002,42.939999,7200,41.96452
2015-04-02,41.93,41.93,41.099998,41.259998,2400,40.322685
2015-04-01,43.150002,43.150002,41.029999,41.900002,7900,40.948149
2015-03-31,44.00,44.540001,43.32,44.540001,2600,43.332719
2015-03-30,43.75,44.709999,43.75,44.389999,3900,43.186783
2015-03-27,43.139999,43.75,43.00,43.560001,6000,42.379283
2015-03-26,43.00,43.50,43.00,43.00,2500,41.83446
2015-03-25,43.470001,43.50,43.00,43.00,1900,41.83446
2015-03-24,43.599998,44.009998,43.43,43.549999,1400,42.369552
2015-03-23,43.299999,43.700001,42.75,42.98,6100,41.815002
2015-03-20,42.52,43.299999,42.52,42.75,7400,41.591237
2015-03-19,43.310001,43.400002,42.130001,42.509998,2100,41.357741
2015-03-18,43.27,43.27,43.00,43.169998,1600,41.999851
2015-03-17,42.009998,42.880001,42.009998,42.669998,1800,41.513404
2015-03-16,41.299999,41.599998,41.299999,41.34,1200,40.219456
2015-03-13,42.119999,42.119999,40.75,40.98,1400,39.869213
2015-03-12,40.709999,41.18,40.419998,41.18,3300,40.063793
2015-03-11,40.849998,41.00,40.16,40.360001,3800,39.26602
2015-03-10,39.900002,40.380001,39.900002,40.00,1300,38.915777
2015-03-09,39.93,40.52,39.02,40.200001,7600,39.110357
2015-03-06,39.00,40.450001,38.75,39.939999,16100,38.857402
2015-03-05,39.759998,39.810001,38.849998,39.00,12800,37.942883
2015-03-04,40.50,41.450001,39.040001,39.110001,8800,38.049902
2015-03-03,40.34,41.509998,40.34,40.73,10500,39.62599
2015-03-02,41.189999,41.189999,40.049999,40.959999,2700,39.849755
2015-02-27,40.740002,41.330002,39.93,39.98,4300,38.896319
2015-02-26,41.66,41.709999,40.82,40.860001,2800,39.752467
2015-02-25,42.950001,43.43,40.040001,40.990002,16800,39.878944
2015-02-24,42.91,43.43,41.720001,43.23,4300,42.058226
2015-02-23,41.43,43.98,40.130001,42.029999,11400,40.890752
2015-02-20,42.099998,44.369999,41.349998,42.09,14100,40.949127
2015-02-19,41.07,41.959999,40.950001,41.959999,3000,40.822649
2015-02-18,40.470001,41.099998,40.470001,40.84,1500,39.733009
2015-02-17,40.200001,41.57,39.939999,40.189999,5800,39.100626
2015-02-13,40.990002,41.200001,40.68,40.68,2700,39.577346
2015-02-12,40.169998,40.970001,40.169998,40.419998,5400,39.324391
2015-02-11,39.77,41.470001,39.75,39.919998,11100,38.837944
2015-02-10,39.880001,39.880001,39.880001,39.880001,1400,38.799031
2015-02-09,41.049999,41.049999,40.889999,40.889999,1500,39.781653
2015-02-06,40.669998,40.669998,40.669998,40.669998,1600,39.567615
2015-02-05,41.389999,41.439999,40.25,40.68,1800,39.577346
2015-02-04,40.50,41.849998,40.009998,40.009998,16100,38.925505
2015-02-03,40.580002,42.549999,40.130001,40.50,28100,39.402224
2015-02-02,41.00,41.00,40.00,40.029999,10200,38.944963
2015-01-30,42.169998,42.169998,40.66,40.669998,1600,39.567615
2015-01-29,43.369999,44.41,40.580002,42.689999,22400,41.532862
2015-01-28,42.900002,44.389999,42.810001,43.009998,5000,41.844188
2015-01-27,40.900002,42.93,40.900002,41.990002,3800,40.851839
2015-01-26,41.099998,41.200001,40.009998,40.900002,4800,39.791384
2015-01-23,41.099998,41.099998,41.099998,41.099998,500,39.98596
2015-01-22,40.00,40.990002,40.00,40.77,4600,39.664906
2015-01-21,41.099998,41.099998,40.02,40.189999,1200,39.100626
2015-01-20,42.459999,42.459999,41.459999,41.59,3900,40.462679
2015-01-16,41.860001,42.98,41.560001,42.869999,5000,41.707983
2015-01-15,41.779999,42.50,41.779999,42.150002,3000,41.007502
2015-01-14,42.00,42.349998,41.02,42.25,1900,41.10479
2015-01-13,42.220001,43.00,42.040001,42.360001,4300,41.211809
2015-01-12,42.259998,43.98,42.259998,42.779999,1500,41.620423
2015-01-09,43.00,43.049999,42.990002,43.049999,1000,41.883104
2015-01-08,43.689999,43.700001,43.00,43.57,3200,42.38901
2015-01-07,43.110001,44.599998,43.00,43.700001,1200,42.515487
2015-01-06,43.580002,44.18,42.41,42.619999,3800,41.46476
2015-01-05,44.110001,45.610001,43.00,43.00,4500,41.83446
2015-01-02,42.98,43.740002,42.98,43.470001,1400,42.291722
2014-12-31,43.349998,44.130001,41.41,43.48,10400,42.301449
2014-12-30,43.169998,44.00,42.52,44.00,1500,42.807355
2014-12-29,43.66,43.900002,42.43,43.900002,3600,42.710067
2014-12-26,41.799999,43.970001,41.799999,43.970001,900,42.778169
2014-12-24,42.50,42.650002,41.759998,41.759998,9800,40.62807
2014-12-23,42.43,45.490002,42.029999,42.50,30200,41.348013
2014-12-22,41.299999,42.50,41.299999,42.02,2200,40.881024
