Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,15.76,15.76,15.76,15.76,000,15.653872
2015-10-08,15.76,15.76,15.76,15.76,100,15.653872
2015-10-07,15.60,15.75,15.60,15.75,800,15.643939
2015-10-06,15.50,15.68,15.06,15.68,1300,15.574411
2015-10-05,15.73,15.75,15.73,15.75,700,15.643939
2015-10-02,15.50,15.50,15.50,15.50,000,15.395623
2015-10-01,15.50,15.50,15.50,15.50,000,15.395623
2015-09-30,15.51,15.51,15.50,15.50,1000,15.395623
2015-09-29,15.29,15.29,15.29,15.29,300,15.187037
2015-09-28,15.25,15.49,15.00,15.49,2100,15.38569
2015-09-25,15.95,15.95,15.95,15.95,000,15.842592
2015-09-24,15.95,15.95,15.95,15.95,300,15.842592
2015-09-23,15.18,15.25,15.18,15.25,900,15.147306
2015-09-22,15.45,15.45,15.45,15.45,000,15.345959
2015-09-21,15.02,15.45,15.02,15.45,1600,15.345959
2015-09-18,15.36,15.45,15.13,15.45,4700,15.345959
2015-09-17,14.90,14.90,14.86,14.89,800,14.789731
2015-09-16,14.40,14.40,14.40,14.40,100,14.30303
2015-09-15,14.80,14.80,14.80,14.80,200,14.700337
2015-09-14,14.55,14.55,14.55,14.55,000,14.45202
2015-09-11,14.05,14.55,14.05,14.55,2800,14.45202
2015-09-10,15.25,15.25,14.36,14.98,1300,14.879124
2015-09-09,15.10,15.10,15.10,15.10,000,14.998317
2015-09-08,15.10,15.10,15.10,15.10,000,14.998317
2015-09-04,15.17,15.17,15.10,15.10,900,14.998317
2015-09-03,14.23,15.09,14.23,15.02,1300,14.918856
2015-09-02,14.75,14.75,14.75,14.75,000,14.551347
2015-09-01,14.12,14.79,14.12,14.75,1300,14.551347
2015-08-31,14.60,14.60,14.60,14.60,000,14.403367
2015-08-28,14.60,14.60,14.60,14.60,000,14.403367
2015-08-27,14.60,14.60,14.60,14.60,000,14.403367
2015-08-26,14.60,14.60,14.58,14.60,500,14.403367
2015-08-25,14.35,14.35,14.35,14.35,1000,14.156734
2015-08-24,14.60,14.60,14.20,14.20,400,14.008754
2015-08-21,14.60,14.60,14.60,14.60,500,14.403367
2015-08-20,14.75,14.75,14.75,14.75,000,14.551347
2015-08-19,15.19,15.19,14.65,14.75,1400,14.551347
2015-08-18,14.73,14.73,14.73,14.73,200,14.531616
2015-08-17,14.70,14.70,14.70,14.70,000,14.50202
2015-08-14,14.68,14.70,14.68,14.70,700,14.50202
2015-08-13,14.50,14.50,14.50,14.50,400,14.304714
2015-08-12,14.75,14.75,14.35,14.65,1700,14.452693
2015-08-11,14.71,14.71,14.71,14.71,000,14.511885
2015-08-10,14.63,14.71,14.63,14.71,1000,14.511885
2015-08-07,14.50,14.50,14.50,14.50,000,14.304714
2015-08-06,13.25,14.50,13.02,14.50,1400,14.304714
2015-08-05,14.00,14.00,14.00,14.00,300,13.811448
2015-08-04,14.35,14.35,14.35,14.35,000,14.156734
2015-08-03,14.35,14.35,14.35,14.35,000,14.156734
2015-07-31,14.35,14.35,14.35,14.35,000,14.156734
2015-07-30,14.35,14.35,14.35,14.35,500,14.156734
2015-07-29,14.35,14.35,14.35,14.35,000,14.156734
2015-07-28,14.35,14.35,14.35,14.35,000,14.156734
2015-07-27,14.31,14.35,14.30,14.35,800,14.156734
2015-07-24,14.25,14.25,14.25,14.25,000,14.058081
2015-07-23,14.85,14.85,14.25,14.25,3800,14.058081
2015-07-22,14.22,14.22,14.22,14.22,100,14.028485
2015-07-21,14.21,14.80,14.21,14.80,500,14.600673
2015-07-20,14.08,14.08,14.08,14.08,000,13.89037
2015-07-17,14.63,14.66,14.08,14.08,2200,13.89037
2015-07-16,13.85,14.25,13.85,14.25,2000,14.058081
2015-07-15,14.05,14.05,14.00,14.05,1400,13.860774
2015-07-14,14.11,14.27,14.11,14.21,1100,14.018619
2015-07-13,14.34,14.34,14.29,14.29,1200,14.097542
2015-07-10,14.73,14.73,14.32,14.32,3100,14.127138
2015-07-09,14.35,14.54,14.30,14.45,3700,14.255387
2015-07-08,14.35,14.35,14.35,14.35,100,14.156734
2015-07-07,14.29,14.29,14.29,14.29,000,14.097542
2015-07-06,14.29,14.29,14.29,14.29,000,14.097542
2015-07-02,14.29,14.29,14.29,14.29,000,14.097542
2015-07-01,14.30,14.35,14.00,14.29,3300,14.097542
2015-06-30,14.20,14.50,14.00,14.13,1400,13.939697
2015-06-29,14.78,14.80,14.65,14.75,2000,14.551347
2015-06-26,14.65,15.35,14.65,15.35,300,15.143266
2015-06-25,14.77,14.77,14.58,14.58,1100,14.383636
2015-06-24,15.32,15.32,15.32,15.32,000,15.11367
2015-06-23,15.32,15.32,15.32,15.32,000,15.11367
2015-06-22,14.98,15.45,14.58,15.32,16600,15.11367
2015-06-19,16.00,16.00,14.20,14.20,8700,14.008754
2015-06-18,15.10,16.389999,15.10,15.94,13300,15.725319
2015-06-17,14.45,16.40,14.03,14.69,14000,14.492154
