Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,9.57,9.62,9.21,9.24,124200,9.117833
2015-10-08,9.48,9.69,9.39,9.58,116400,9.453338
2015-10-07,9.50,9.65,9.21,9.54,114200,9.413867
2015-10-06,9.24,9.49,9.16,9.46,198500,9.334925
2015-10-05,9.70,9.73,9.18,9.18,132800,9.058627
2015-10-02,9.41,9.74,9.28,9.71,106200,9.581619
2015-10-01,9.47,9.53,9.22,9.40,83800,9.275718
2015-09-30,9.35,9.80,9.25,9.46,88600,9.334925
2015-09-29,9.06,9.60,8.95,9.35,129200,9.226379
2015-09-28,8.96,9.09,8.75,9.00,93400,8.881006
2015-09-25,8.37,9.05,8.32,8.98,103600,8.808971
2015-09-24,8.40,8.72,8.30,8.34,187600,8.181161
2015-09-23,8.76,8.77,8.25,8.53,172800,8.367542
2015-09-22,8.97,9.18,8.74,8.82,150200,8.652019
2015-09-21,9.45,9.47,9.09,9.11,107100,8.936495
2015-09-18,9.75,9.80,9.27,9.37,119600,9.191544
2015-09-17,9.89,10.01,9.75,9.76,88100,9.574116
2015-09-16,9.77,9.99,9.68,9.98,152500,9.789926
2015-09-15,9.82,10.05,9.64,9.68,133800,9.49564
2015-09-14,9.74,9.96,9.61,9.75,90200,9.564307
2015-09-11,10.22,10.26,9.82,9.86,119500,9.672211
2015-09-10,10.42,10.47,10.22,10.23,41800,10.035164
2015-09-09,10.24,10.61,10.21,10.36,110700,10.162689
2015-09-08,10.19,10.38,10.11,10.21,136300,10.015546
2015-09-04,10.30,10.35,10.15,10.21,170300,10.015546
2015-09-03,10.46,10.82,10.29,10.31,116800,10.113642
2015-09-02,10.66,10.71,10.27,10.51,144800,10.309832
2015-09-01,10.74,10.91,10.56,10.60,81500,10.398118
2015-08-31,10.79,11.10,10.67,10.96,205100,10.751262
2015-08-28,10.45,10.99,10.45,10.81,118700,10.604119
2015-08-27,10.23,10.94,10.23,10.52,279700,10.319642
2015-08-26,10.67,10.69,10.20,10.32,353100,10.095003
2015-08-25,10.52,10.75,10.41,10.47,218900,10.241733
2015-08-24,10.18,10.40,10.18,10.32,274800,10.095003
2015-08-21,10.64,10.85,10.42,10.51,126700,10.280861
2015-08-20,10.61,10.92,10.51,10.71,70000,10.476501
2015-08-19,10.70,10.85,10.36,10.64,238000,10.408027
2015-08-18,10.42,10.79,10.35,10.75,195400,10.515628
2015-08-17,10.65,10.68,10.37,10.47,101000,10.241733
2015-08-14,10.56,10.72,10.41,10.66,85400,10.42759
2015-08-13,10.95,10.96,10.54,10.56,125000,10.329771
2015-08-12,10.78,11.18,10.78,11.00,137700,10.760178
2015-08-11,10.75,10.95,10.70,10.84,92000,10.603666
