Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,32.48,32.50,31.82,32.00,42700,31.793377
2015-10-08,31.200001,32.459999,31.15,32.439999,62800,32.230534
2015-10-07,31.10,31.42,31.01,31.15,29900,30.948865
2015-10-06,31.370001,31.549999,31.01,31.07,32100,30.869382
2015-10-05,31.27,31.700001,31.059999,31.620001,36800,31.415831
2015-10-02,31.200001,31.32,30.459999,31.02,31700,30.819705
2015-10-01,30.879999,31.379999,30.67,31.26,48500,31.058155
2015-09-30,30.50,30.98,30.17,30.75,42000,30.551448
2015-09-29,30.42,30.68,30.24,30.389999,29500,30.193772
2015-09-28,30.10,30.65,30.00,30.459999,38200,30.26332
2015-09-25,30.780001,31.00,30.02,30.219999,47300,30.02487
2015-09-24,30.77,31.200001,30.450001,30.530001,179500,30.332869
2015-09-23,30.50,31.129999,30.219999,30.870001,40400,30.670674
2015-09-22,29.790001,30.40,29.58,30.26,62700,30.064612
2015-09-21,30.309999,30.389999,29.940001,30.030001,74000,29.836098
2015-09-18,29.49,30.129999,29.15,29.99,108000,29.796355
2015-09-17,29.040001,29.969999,28.959999,29.82,49200,29.627453
2015-09-16,28.709999,29.290001,28.709999,29.190001,27300,29.001522
2015-09-15,28.42,28.83,28.32,28.620001,28500,28.435202
2015-09-14,28.299999,28.68,28.299999,28.48,37000,28.296105
2015-09-11,28.02,28.370001,27.92,28.33,35600,28.147074
2015-09-10,27.85,28.200001,27.75,28.10,32400,27.918559
2015-09-09,28.309999,28.309999,27.809999,27.959999,29100,27.779462
2015-09-08,28.030001,28.33,27.889999,28.049999,34400,27.868881
2015-09-04,27.950001,28.00,27.66,27.73,19500,27.550948
2015-09-03,28.17,28.370001,28.01,28.030001,55400,27.849012
2015-09-02,28.459999,28.67,28.10,28.290001,41700,28.107333
2015-09-01,28.35,28.549999,28.030001,28.08,33800,27.898688
2015-08-31,28.84,28.90,28.450001,28.74,79800,28.554426
2015-08-28,28.309999,28.879999,28.309999,28.84,34000,28.653781
2015-08-27,28.66,28.889999,28.00,28.459999,53500,28.276234
2015-08-26,28.549999,28.67,28.10,28.60,76000,28.415331
2015-08-25,29.110001,29.129999,28.059999,28.10,65300,27.918559
2015-08-24,28.379999,29.389999,28.379999,28.610001,79000,28.425267
2015-08-21,29.709999,30.10,28.65,29.66,66400,29.468486
2015-08-20,30.040001,30.559999,29.91,29.91,64700,29.716872
2015-08-19,30.26,30.610001,30.030001,30.35,17900,30.154031
2015-08-18,30.24,30.68,30.110001,30.43,48300,30.233515
2015-08-17,29.90,30.42,29.620001,30.32,47400,30.124224
2015-08-14,29.49,29.940001,29.40,29.90,27600,29.706936
2015-08-13,29.620001,29.860001,29.389999,29.540001,26800,29.349262
2015-08-12,29.360001,29.860001,29.299999,29.65,30000,29.45855
2015-08-11,29.139999,29.719999,29.00,29.639999,75600,29.448615
2015-08-10,29.389999,29.940001,29.120001,29.25,46800,29.061134
2015-08-07,28.85,29.43,28.85,29.43,50000,29.239972
2015-08-06,29.030001,29.219999,28.67,29.059999,80700,28.87236
2015-08-05,29.219999,29.65,28.93,29.24,85000,28.857457
2015-08-04,29.209999,29.40,28.719999,29.059999,49400,28.679812
2015-08-03,29.76,29.82,28.92,29.190001,79200,28.808112
2015-07-31,30.18,30.34,29.610001,29.85,46900,29.459477
2015-07-30,29.709999,30.48,29.51,30.110001,81500,29.716076
