Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,43.59,43.900002,42.549999,43.50,3100,42.6292
2015-10-08,43.50,43.50,42.950001,42.950001,3300,42.090211
2015-10-07,43.50,43.93,43.009998,43.299999,20100,42.433203
2015-10-06,43.889999,43.889999,43.029999,43.099998,7000,42.237206
2015-10-05,42.00,43.540001,41.009998,43.200001,17800,42.335206
2015-10-02,42.669998,42.950001,40.939999,42.00,12700,41.159227
2015-10-01,44.779999,44.900002,42.75,42.830002,11000,41.972614
2015-09-30,47.43,47.43,43.91,44.50,8600,43.609181
2015-09-29,47.75,47.75,46.02,46.220001,12300,45.294751
2015-09-28,47.549999,47.549999,47.07,47.25,1100,46.304131
2015-09-25,47.549999,47.549999,47.549999,47.549999,400,46.598124
2015-09-24,48.02,48.02,47.950001,47.950001,600,46.990119
2015-09-23,48.25,48.25,47.939999,47.990002,1400,47.029319
2015-09-22,47.900002,48.00,47.900002,48.00,4900,47.039117
2015-09-21,47.84,48.18,47.799999,48.00,3100,47.039117
2015-09-18,48.00,48.009998,47.560001,47.84,6400,46.88232
2015-09-17,47.990002,48.00,47.759998,48.00,4100,47.039117
2015-09-16,47.599998,47.91,47.450001,47.66,3500,46.705923
2015-09-15,47.470001,47.540001,47.459999,47.459999,1100,46.509926
2015-09-14,47.34,47.450001,47.16,47.450001,1000,46.500128
2015-09-11,46.16,46.990002,46.16,46.990002,300,46.049337
2015-09-10,46.939999,47.259998,46.619999,47.259998,700,46.313929
2015-09-09,46.77,47.029999,46.27,46.27,2200,45.343749
2015-09-08,46.98,46.98,46.029999,46.470001,1500,45.539746
2015-09-04,46.009998,46.59,46.00,46.00,1700,45.079154
2015-09-03,47.049999,47.049999,46.099998,46.25,2500,45.324149
2015-09-02,45.810001,46.34,45.790001,45.84,2900,44.922357
2015-09-01,46.00,46.490002,45.799999,46.110001,4600,45.186952
2015-08-31,46.709999,46.849998,46.00,46.00,4100,45.079154
2015-08-28,46.950001,48.049999,46.23,46.349998,1800,45.422146
2015-08-27,46.130001,47.349998,45.950001,46.900002,8000,45.961139
2015-08-26,46.709999,46.709999,45.400002,45.810001,5600,44.892958
2015-08-25,46.619999,47.369999,45.189999,46.00,4600,45.079154
2015-08-24,47.25,47.25,45.869999,46.310001,7300,45.382949
2015-08-21,47.259998,47.77,47.119999,47.400002,2800,46.451129
2015-08-20,47.619999,47.740002,47.41,47.740002,2200,46.784323
2015-08-19,48.119999,48.119999,47.68,47.68,1800,46.725523
2015-08-18,47.52,47.799999,47.389999,47.389999,1200,46.441327
2015-08-17,47.50,47.669998,47.50,47.610001,4000,46.656925
2015-08-14,48.049999,48.049999,47.57,47.57,2100,46.617724
2015-08-13,47.619999,47.900002,47.619999,47.900002,700,46.94112
2015-08-12,48.09,48.09,48.09,48.09,100,47.127315
2015-08-11,48.00,48.00,47.970001,48.00,1300,47.039117
2015-08-10,48.00,48.09,47.900002,48.00,3200,47.039117
2015-08-07,48.00,48.00,47.650002,47.650002,7000,46.696125
2015-08-06,48.00,48.220001,47.900002,48.00,1400,47.039117
2015-08-05,48.189999,48.200001,47.630001,47.849998,1500,46.892118
2015-08-04,48.25,48.25,48.23,48.240002,1800,47.274314
2015-08-03,48.48,48.48,48.009998,48.009998,5200,47.048915
2015-07-31,48.400002,48.470001,48.16,48.470001,1700,47.499709
2015-07-30,48.50,48.50,47.740002,48.50,900,47.529108
2015-07-29,48.689999,48.689999,48.200001,48.48,3100,47.509508
2015-07-28,47.959999,48.669998,47.580002,48.560001,5300,47.587908
2015-07-27,48.490002,48.560001,47.540001,47.540001,9400,46.588326
2015-07-24,48.549999,48.689999,48.459999,48.529999,5100,47.558506
