Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,11.52,11.55,11.395,11.47,296300,11.142646
2015-10-08,11.57,11.59,11.42,11.50,443500,11.171789
2015-10-07,11.08,11.555,11.05,11.53,1296700,11.200933
2015-10-06,10.77,11.02,10.70,11.02,752900,10.705489
2015-10-05,10.53,10.79,10.49,10.79,566900,10.482053
2015-10-02,10.39,10.53,10.36,10.50,698400,10.200329
2015-10-01,10.52,10.64,10.40,10.53,627300,10.229473
2015-09-30,10.03,10.48,9.86,10.46,1455800,10.161471
2015-09-29,10.33,10.33,9.87,9.95,2228400,9.666026
2015-09-28,11.15,11.20,10.08,10.28,1269800,9.986608
2015-09-25,11.43,11.43,11.17,11.20,799800,10.880351
2015-09-24,11.69,11.75,11.31,11.37,821100,11.045499
2015-09-23,11.75,11.81,11.67,11.73,652700,11.395224
2015-09-22,11.87,11.97,11.68,11.73,504900,11.395224
2015-09-21,12.03,12.09,11.93,11.97,397700,11.628376
2015-09-18,11.79,12.03,11.76,11.99,1246900,11.647804
2015-09-17,11.91,12.17,11.79,11.95,488600,11.608946
2015-09-16,11.86,11.98,11.71,11.91,564900,11.570088
2015-09-15,11.60,11.84,11.40,11.83,555100,11.492371
2015-09-14,11.51,11.765,11.40,11.76,445400,11.424369
2015-09-11,11.20,11.57,11.10,11.49,801200,11.162074
2015-09-10,11.25,11.38,11.18,11.27,371300,10.948354
2015-09-09,11.70,11.80,11.31,11.31,668200,10.987212
2015-09-08,11.37,11.43,11.22,11.40,432900,11.074643
2015-09-04,11.21,11.32,11.10,11.21,415700,10.890066
2015-09-03,11.45,11.45,11.19,11.34,501400,11.016356
2015-09-02,11.34,11.49,11.29,11.43,710900,11.103787
2015-09-01,11.34,11.50,11.14,11.26,780300,10.938639
2015-08-31,11.55,11.62,11.37,11.39,1127000,11.064929
2015-08-28,11.33,11.61,11.30,11.60,532200,11.268936
2015-08-27,11.12,11.55,11.08,11.35,954500,11.026071
2015-08-26,10.88,11.08,10.73,11.06,1289000,10.744347
2015-08-25,11.31,11.43,10.67,10.70,657400,10.394621
2015-08-24,11.09,11.29,10.82,10.85,1148500,10.540341
2015-08-21,11.65,11.84,11.42,11.48,726600,11.152359
2015-08-20,11.81,11.85,11.68,11.68,644600,11.346652
2015-08-19,11.90,11.99,11.77,11.86,573100,11.521514
2015-08-18,12.01,12.05,11.86,11.89,497900,11.550659
2015-08-17,11.74,12.05,11.73,12.02,346500,11.676949
2015-08-14,11.72,11.82,11.65,11.79,331800,11.453512
2015-08-13,11.92,11.98,11.73,11.76,524900,11.424369
2015-08-12,11.84,11.91,11.54,11.91,916400,11.570088
2015-08-11,11.73,11.87,11.71,11.87,653200,11.531229
2015-08-10,12.10,12.20,11.74,11.83,880100,11.492371
2015-08-07,12.36,12.44,11.96,12.04,1117400,11.696377
2015-08-06,12.69,12.98,11.85,12.52,1380700,12.162679
2015-08-05,12.95,12.95,12.402,12.57,801800,12.211251
2015-08-04,12.99,13.09,12.84,12.90,460500,12.531833
2015-08-03,12.94,13.00,12.84,12.96,470600,12.590121
2015-07-31,12.93,13.03,12.83,12.94,2479400,12.570691
2015-07-30,12.96,13.025,12.795,12.87,658100,12.502689
2015-07-29,12.63,13.01,12.52,12.99,655000,12.619264
2015-07-28,12.76,12.83,12.56,12.66,664100,12.298683
2015-07-27,12.70,12.865,12.64,12.69,722100,12.327826
2015-07-24,12.99,13.05,12.67,12.74,1058300,12.376399
2015-07-23,13.29,13.30,12.79,13.03,1790500,12.658123
2015-07-22,13.23,13.45,13.17,13.29,519700,12.910702
2015-07-21,13.25,13.38,13.15,13.25,377000,12.871844
2015-07-20,13.32,13.40,13.21,13.27,500500,12.891274
2015-07-17,13.42,13.49,13.26,13.28,812800,12.900988
2015-07-16,13.50,13.60,13.27,13.40,627000,13.017563
2015-07-15,13.56,13.56,13.23,13.48,992100,13.095279
2015-07-14,13.65,13.69,13.47,13.55,818400,13.163282
2015-07-13,13.75,13.84,13.47,13.63,821900,13.240999
2015-07-10,13.65,13.765,13.57,13.65,1011900,13.260428
2015-07-09,13.75,13.76,13.455,13.58,1069900,13.192426
2015-07-08,13.73,13.80,13.45,13.61,815000,13.221569
2015-07-07,13.56,13.78,13.53,13.75,845700,13.357574
2015-07-06,13.45,13.63,13.38,13.63,831900,13.240999
2015-07-02,13.66,13.75,13.40,13.45,1556600,13.066136
