Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,106.410004,107.00,106.410004,106.980003,32000,105.480275
2015-10-08,104.169998,108.059998,104.169998,106.010002,73000,104.523872
2015-10-07,104.239998,106.790001,104.230003,104.269997,296200,102.808259
2015-10-06,104.279999,104.849998,103.839996,104.084999,144800,102.625855
2015-10-05,103.440002,104.650002,103.239998,104.550003,84000,103.08434
2015-10-02,101.610001,102.410004,101.610001,102.410004,11800,100.974341
2015-10-01,101.800003,102.550003,101.730003,102.120003,108300,100.688406
2015-09-30,101.50,101.75,101.425003,101.75,167500,100.32359
2015-09-29,100.660004,101.50,100.660004,101.50,2200,100.077094
2015-09-28,117.480003,117.480003,101.00,101.32,211600,99.899618
2015-09-25,101.75,102.510002,101.75,102.449997,161100,101.013774
2015-09-24,101.00,101.510002,100.900002,101.510002,155200,100.086956
2015-09-23,101.099998,101.75,101.00,101.75,41000,100.32359
2015-09-22,101.056999,101.099998,100.489998,100.870003,153100,99.455929
2015-09-21,101.550003,101.550003,101.110001,101.110001,21300,99.692562
2015-09-18,100.260002,101.163002,100.260002,101.00,27000,99.584104
2015-09-17,101.290001,101.800003,101.18,101.800003,146200,100.372892
2015-09-16,100.099998,100.75,100.099998,100.50,379600,99.091113
2015-09-15,102.50,102.50,100.050003,101.169998,365100,99.751719
2015-09-14,100.699997,101.50,100.50,100.699997,1854900,99.288306
2015-09-11,101.339996,103.00,101.00,101.800003,1550000,100.372892
2015-09-10,100.129997,102.029999,99.25,101.279999,1570600,99.860177
