Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,1.68,1.68,1.68,1.68,000,1.68
2015-10-08,1.68,1.68,1.68,1.68,000,1.68
2015-10-07,1.68,1.68,1.68,1.68,000,1.68
2015-10-06,1.68,1.68,1.68,1.68,000,1.68
2015-10-05,1.68,1.68,1.68,1.68,000,1.68
2015-10-02,1.68,1.68,1.68,1.68,000,1.68
2015-10-01,1.68,1.68,1.68,1.68,000,1.68
2015-09-30,1.68,1.68,1.68,1.68,000,1.68
2015-09-29,1.68,1.68,1.68,1.68,000,1.68
2015-09-28,1.68,1.68,1.68,1.68,000,1.68
2015-09-25,1.68,1.68,1.68,1.68,000,1.68
2015-09-24,1.68,1.68,1.68,1.68,000,1.68
2015-09-23,1.68,1.68,1.68,1.68,000,1.68
2015-09-22,1.68,1.68,1.68,1.68,000,1.68
2015-09-21,1.68,1.68,1.68,1.68,000,1.68
2015-09-18,1.68,1.68,1.68,1.68,000,1.68
2015-09-17,1.68,1.68,1.68,1.68,000,1.68
2015-09-16,1.68,1.68,1.68,1.68,000,1.68
2015-09-15,1.68,1.68,1.68,1.68,000,1.68
2015-09-14,1.68,1.68,1.68,1.68,000,1.68
2015-09-11,1.68,1.68,1.68,1.68,000,1.68
2015-09-10,1.68,1.68,1.68,1.68,000,1.68
2015-09-09,1.68,1.68,1.68,1.68,000,1.68
2015-09-08,1.68,1.68,1.68,1.68,000,1.68
2015-09-07,1.68,1.68,1.68,1.68,000,1.68
2015-09-04,1.68,1.68,1.68,1.68,000,1.68
2015-09-03,1.68,1.68,1.68,1.68,000,1.68
2015-09-02,1.68,1.68,1.68,1.68,000,1.68
2015-09-01,1.68,1.68,1.68,1.68,700,1.68
2015-08-31,1.961,1.961,1.961,1.961,000,1.961
2015-08-28,1.961,1.961,1.961,1.961,000,1.961
2015-08-27,1.961,1.961,1.961,1.961,000,1.961
2015-08-26,1.961,1.961,1.961,1.961,000,1.961
2015-08-25,1.961,1.961,1.961,1.961,000,1.961
2015-08-24,1.961,1.961,1.961,1.961,000,1.961
2015-08-21,1.961,1.961,1.961,1.961,000,1.961
2015-08-20,1.961,1.961,1.961,1.961,000,1.961
2015-08-19,1.961,1.961,1.961,1.961,000,1.961
2015-08-18,1.961,1.961,1.961,1.961,000,1.961
2015-08-17,1.961,1.961,1.961,1.961,000,1.961
2015-08-14,1.961,1.961,1.961,1.961,000,1.961
2015-08-13,1.961,1.961,1.961,1.961,000,1.961
2015-08-12,1.961,1.961,1.961,1.961,000,1.961
2015-08-11,1.961,1.961,1.961,1.961,000,1.961
2015-08-10,1.961,1.961,1.961,1.961,000,1.961
2015-08-07,1.961,1.961,1.961,1.961,000,1.961
2015-08-06,1.961,1.961,1.961,1.961,000,1.961
2015-08-05,1.961,1.961,1.961,1.961,000,1.961
2015-08-04,1.961,1.961,1.961,1.961,000,1.961
2015-08-03,1.961,1.961,1.961,1.961,000,1.961
2015-07-31,1.961,1.961,1.961,1.961,000,1.961
2015-07-30,1.961,1.961,1.961,1.961,000,1.961
2015-07-29,1.961,1.961,1.961,1.961,000,1.961
2015-07-28,1.961,1.961,1.961,1.961,000,1.961
2015-07-27,1.961,1.961,1.961,1.961,000,1.961
2015-07-24,1.961,1.961,1.961,1.961,000,1.961
2015-07-23,1.961,1.961,1.961,1.961,000,1.961
2015-07-22,1.961,1.961,1.961,1.961,000,1.961
2015-07-21,1.961,1.961,1.961,1.961,000,1.961
2015-07-20,1.961,1.961,1.961,1.961,000,1.961
2015-07-17,1.961,1.961,1.961,1.961,000,1.961
2015-07-16,1.961,1.961,1.961,1.961,000,1.961
2015-07-15,1.961,1.961,1.961,1.961,400,1.961
2015-07-14,2.043,2.043,2.043,2.043,000,2.043
2015-07-13,2.043,2.043,2.043,2.043,000,2.043
2015-07-10,2.043,2.043,2.043,2.043,000,2.043
2015-07-09,2.043,2.043,2.043,2.043,000,2.043
2015-07-08,2.043,2.043,2.043,2.043,000,2.043
2015-07-07,2.043,2.043,2.043,2.043,000,2.043
2015-07-06,2.043,2.043,2.043,2.043,000,2.043
2015-07-03,2.043,2.043,2.043,2.043,000,2.043
2015-07-02,2.043,2.043,2.043,2.043,000,2.043
2015-07-01,2.043,2.043,2.043,2.043,000,2.043
2015-06-30,2.043,2.043,2.043,2.043,000,2.043
2015-06-29,2.043,2.043,2.043,2.043,000,2.043
2015-06-26,2.043,2.043,2.043,2.043,000,2.043
2015-06-25,2.043,2.043,2.043,2.043,000,2.043
2015-06-24,2.043,2.043,2.043,2.043,000,2.043
2015-06-23,2.043,2.043,2.043,2.043,000,2.043
2015-06-22,2.043,2.043,2.043,2.043,000,2.043
2015-06-19,2.043,2.043,2.043,2.043,000,2.043
2015-06-18,2.043,2.043,2.043,2.043,000,2.043
2015-06-17,2.043,2.043,2.043,2.043,000,2.043
2015-06-16,2.043,2.043,2.043,2.043,000,2.043
2015-06-15,2.043,2.043,2.043,2.043,000,2.043
2015-06-12,2.043,2.043,2.043,2.043,000,2.043
2015-06-11,2.043,2.043,2.043,2.043,000,2.043
2015-06-10,2.043,2.043,2.043,2.043,000,2.043
2015-06-09,2.043,2.043,2.043,2.043,000,2.043
2015-06-08,2.043,2.043,2.043,2.043,000,2.043
2015-06-05,2.043,2.043,2.043,2.043,000,2.043
2015-06-04,2.043,2.043,2.043,2.043,000,2.043
2015-06-03,2.043,2.043,2.043,2.043,000,2.043
2015-06-02,2.043,2.043,2.043,2.043,000,2.043
