Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,17.629999,17.780001,17.52,17.58,3364500,17.58
2015-10-08,17.290001,17.690001,17.110001,17.629999,4254000,17.629999
2015-10-07,17.41,17.60,17.030001,17.370001,5144300,17.370001
2015-10-06,16.26,16.84,16.200001,16.75,4363700,16.75
2015-10-05,15.65,15.95,15.65,15.89,3969100,15.89
2015-10-02,15.04,15.67,15.02,15.64,3611200,15.64
2015-10-01,15.17,15.25,14.74,14.83,3736400,14.83
2015-09-30,14.52,14.61,14.34,14.56,2764600,14.56
2015-09-29,14.14,14.27,14.04,14.17,2863500,14.17
2015-09-28,13.98,14.07,13.85,13.85,2135000,13.85
2015-09-25,14.37,14.39,14.21,14.34,2879300,14.34
2015-09-24,14.16,14.33,13.97,14.20,2979200,14.20
2015-09-23,14.70,14.70,14.25,14.25,1737600,14.25
2015-09-22,14.53,14.65,14.42,14.60,2553900,14.60
2015-09-21,14.97,15.01,14.81,14.86,2072900,14.86
2015-09-18,15.01,15.08,14.71,14.76,2992200,14.76
2015-09-17,15.28,15.57,15.19,15.28,3128700,15.28
2015-09-16,14.97,15.32,14.93,15.31,2179400,15.31
2015-09-15,14.47,14.65,14.44,14.59,2557500,14.59
2015-09-14,14.25,14.38,14.13,14.27,2596000,14.27
2015-09-11,14.28,14.42,14.16,14.41,1935400,14.41
2015-09-10,14.67,14.87,14.44,14.72,2760500,14.72
2015-09-09,14.94,15.12,14.50,14.56,4073300,14.56
2015-09-08,14.88,14.95,14.68,14.87,2032400,14.87
2015-09-04,14.75,14.81,14.53,14.60,2881200,14.60
2015-09-03,14.90,15.41,14.88,15.11,3470100,15.11
2015-09-02,15.15,15.16,14.61,15.02,3404600,15.02
2015-09-01,14.88,15.05,14.69,14.77,3642500,14.77
2015-08-31,14.84,15.52,14.66,15.49,5059600,15.49
2015-08-28,14.93,15.52,14.91,15.35,3769100,15.35
2015-08-27,14.46,15.15,14.42,15.15,4371400,15.15
2015-08-26,14.39,14.47,14.08,14.45,3534800,14.45
2015-08-25,14.70,14.70,13.89,13.89,3942500,13.89
