Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.530001,29.879999,29.09,29.290001,101300,28.666408
2015-10-08,29.24,29.639999,28.879999,29.530001,107700,28.901298
2015-10-07,28.50,29.43,28.389999,29.00,155500,28.382581
2015-10-06,28.469999,28.469999,27.719999,28.379999,128700,27.77578
2015-10-05,27.790001,28.35,27.549999,28.290001,131900,27.687698
2015-10-02,27.26,28.09,27.26,27.50,112400,26.914517
2015-10-01,27.24,27.91,27.24,27.530001,111800,26.943879
2015-09-30,26.790001,27.75,26.77,27.280001,149500,26.699201
2015-09-29,27.99,28.450001,26.50,26.780001,214100,26.209846
2015-09-28,28.40,29.10,27.889999,27.99,197900,27.394084
2015-09-25,28.50,28.99,28.219999,28.40,82300,27.795355
2015-09-24,28.280001,28.49,28.17,28.41,100700,27.805142
2015-09-23,28.18,28.459999,28.08,28.35,81400,27.74642
2015-09-22,27.959999,28.24,27.950001,27.99,66800,27.394084
2015-09-21,27.98,28.25,27.82,28.02,87100,27.423446
2015-09-18,27.83,28.00,27.58,27.77,67000,27.178769
2015-09-17,27.83,28.200001,27.40,27.85,62900,27.257065
2015-09-16,27.52,28.379999,27.50,27.780001,88200,27.188556
2015-09-15,27.299999,27.75,27.09,27.440001,76300,26.855795
2015-09-14,27.73,27.950001,27.200001,27.34,179200,26.757923
2015-09-11,27.459999,27.879999,27.059999,27.700001,121600,27.110259
2015-09-10,28.00,28.17,27.48,27.49,130300,26.904729
2015-09-09,28.43,28.43,27.85,28.02,104600,27.423446
2015-09-08,28.00,28.50,27.67,28.200001,121400,27.599614
2015-09-04,28.110001,28.360001,27.58,27.99,112000,27.394084
2015-09-03,28.07,28.440001,27.76,28.10,135100,27.501743
2015-09-02,27.50,28.50,27.35,27.959999,297300,27.364722
2015-09-01,27.10,27.65,26.950001,27.08,183600,26.503459
2015-08-31,27.200001,27.75,27.01,27.360001,132000,26.777498
2015-08-28,27.139999,27.48,26.950001,27.209999,133500,26.63069
2015-08-27,26.75,27.33,26.290001,27.32,317000,26.738349
2015-08-26,25.790001,26.629999,25.360001,26.48,322000,25.916232
2015-08-25,25.25,26.34,25.00,25.07,449200,24.536252
2015-08-24,22.559999,23.84,22.040001,23.84,508600,23.332439
2015-08-21,25.00,25.01,23.209999,23.549999,485600,23.048613
2015-08-20,25.940001,25.940001,24.700001,25.01,262600,24.47753
2015-08-19,26.15,26.15,25.77,26.00,191100,25.446452
2015-08-18,26.129999,26.290001,25.690001,26.110001,190400,25.554111
2015-08-17,26.74,26.809999,26.00,26.120001,202400,25.563898
2015-08-14,26.60,26.75,26.00,26.40,162800,25.837936
2015-08-13,26.700001,27.32,26.299999,26.459999,247200,25.896658
2015-08-12,26.280001,26.870001,26.01,26.66,172100,26.0924
2015-08-11,26.969999,26.969999,26.01,26.57,529900,26.004316
2015-08-10,26.200001,26.969999,26.200001,26.91,372900,26.337078
2015-08-07,25.67,27.360001,25.67,26.15,359700,25.593258
2015-08-06,25.610001,25.889999,24.02,25.60,650200,25.054969
2015-08-05,26.00,26.40,22.27,25.610001,2044200,25.064756
2015-08-04,29.299999,29.299999,25.01,26.389999,1753000,25.828148
2015-08-03,30.26,30.309999,28.780001,29.309999,391300,28.685981
2015-07-31,30.299999,30.690001,30.26,30.26,98200,29.615756
2015-07-30,31.15,31.440001,30.889999,30.950001,161800,29.654905
2015-07-29,32.049999,32.060001,31.02,31.280001,288500,29.971096
2015-07-28,31.309999,31.49,31.09,31.42,132900,30.105237
2015-07-27,31.00,31.26,30.969999,31.24,84000,29.932769
2015-07-24,30.700001,31.25,30.68,31.09,94200,29.789046
2015-07-23,31.23,31.370001,30.68,30.76,156300,29.472855
2015-07-22,30.60,31.120001,30.42,31.09,157700,29.789046
2015-07-21,30.700001,31.17,30.450001,30.540001,124800,29.262061
2015-07-20,30.809999,30.870001,30.549999,30.65,73900,29.367457
2015-07-17,30.60,30.709999,30.32,30.709999,67700,29.424946
2015-07-16,30.65,30.75,30.610001,30.67,128300,29.386621
2015-07-15,30.74,30.74,30.49,30.65,91000,29.367457
