Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,25.66,25.75,25.299999,25.60,5600,25.60
2015-10-08,25.34,25.34,25.200001,25.200001,3900,25.200001
2015-10-07,25.34,25.34,25.280001,25.34,2300,25.34
2015-10-06,25.25,25.25,25.25,25.25,1500,25.25
2015-10-05,25.201,25.25,25.190001,25.200001,7200,25.200001
2015-10-02,25.040001,25.24,25.040001,25.24,1600,25.24
2015-10-01,25.24,25.25,25.059999,25.110001,2500,25.110001
2015-09-30,25.101,25.24,25.101,25.24,8300,25.24
2015-09-29,25.200001,25.200001,24.91,25.00,20600,25.00
2015-09-28,25.24,25.24,25.09,25.190001,2800,25.190001
2015-09-25,25.02,25.25,25.00,25.219999,5700,25.219999
2015-09-24,25.25,25.25,25.10,25.10,6300,25.10
2015-09-23,25.370001,25.370001,25.200001,25.25,9200,25.25
2015-09-22,24.98,25.690001,24.98,25.379999,14400,25.379999
2015-09-21,25.17,25.24,25.030001,25.059999,6900,25.059999
2015-09-18,25.01,25.299999,24.992001,25.17,10700,25.17
2015-09-17,25.256001,25.290001,25.00,25.01,14100,25.01
2015-09-16,25.360001,25.370001,25.26,25.26,8300,25.26
2015-09-15,25.57,25.57,25.40,25.40,1700,25.40
2015-09-14,25.459999,25.709999,25.40,25.40,5200,25.40
2015-09-11,25.32,25.450001,25.309999,25.41,3000,25.41
2015-09-10,25.309999,25.870001,25.299999,25.360001,16000,25.360001
2015-09-09,25.540001,25.549999,25.299999,25.35,6700,25.35
2015-09-08,25.406,25.51,25.40,25.51,1800,25.51
2015-09-04,25.76,25.879999,25.51,25.51,3600,25.51
2015-09-03,25.629999,25.899,25.52,25.57,6200,25.57
2015-09-02,25.459999,25.98,25.459999,25.98,600,25.98
2015-09-01,25.68,25.790001,25.41,25.440001,3800,25.440001
2015-08-31,25.799999,25.83,25.799999,25.83,2000,25.83
2015-08-28,25.43,25.50,25.42,25.50,1200,25.50
2015-08-27,25.83,26.15,25.83,26.15,2000,26.15
2015-08-26,25.77,25.950001,25.76,25.90,6400,25.90
2015-08-25,25.610001,26.200001,25.33,26.200001,15100,26.200001
2015-08-24,26.190001,26.200001,25.60,25.610001,15400,25.610001
2015-08-21,26.190001,26.200001,25.93,26.00,8800,26.00
2015-08-20,26.200001,26.200001,25.950001,25.950001,1400,25.950001
2015-08-19,26.09,26.17,25.90,25.959999,9300,25.959999
2015-08-18,25.950001,26.120001,25.799999,26.120001,6600,26.120001
2015-08-17,25.799999,25.872,25.77,25.872,3000,25.872
2015-08-14,25.82,25.870001,25.709999,25.709999,6800,25.709999
2015-08-13,25.629999,26.16,25.629999,25.66,9400,25.66
2015-08-12,25.75,25.75,25.688999,25.688999,600,25.688999
2015-08-11,25.535999,25.639999,25.535999,25.629999,3700,25.629999
2015-08-10,25.620001,25.620001,25.620001,25.620001,000,25.620001
2015-08-07,25.65,25.65,25.51,25.620001,14200,25.620001
2015-08-06,25.839001,25.839001,25.65,25.65,5400,25.65
2015-08-05,25.799999,25.870001,25.65,25.65,5300,25.65
2015-08-04,25.690001,26.007,25.68,25.799999,6700,25.799999
2015-08-03,25.65,25.68,25.65,25.68,600,25.68
2015-07-31,25.700001,25.700001,25.65,25.65,6100,25.65
2015-07-30,25.91,25.91,25.57,25.733,7000,25.733
2015-07-29,25.629999,25.93,25.59,25.93,10000,25.93
2015-07-28,25.65,25.83,25.629999,25.629999,3100,25.629999
2015-07-27,25.799999,25.91,25.67,25.67,12100,25.67
2015-07-24,25.959999,25.959999,25.785999,25.799999,8500,25.799999
2015-07-23,26.00,26.129999,25.870001,25.959999,3300,25.959999
2015-07-22,26.10,26.18,25.83,26.00,8900,26.00
2015-07-21,25.76,26.158001,25.75,26.158001,2900,26.158001
2015-07-20,26.01,26.139,25.790001,25.90,12300,25.90
2015-07-17,25.849001,26.190001,25.799999,25.99,6000,25.99
2015-07-16,26.200001,26.219999,25.83,26.00,16200,26.00
2015-07-15,26.01,26.24,26.00,26.24,3600,26.24
2015-07-14,26.02,26.200001,26.00,26.01,4500,26.01
2015-07-13,26.02,26.110001,26.00,26.049999,5800,26.049999
2015-07-10,26.070999,26.200001,25.962999,26.200001,9100,26.200001
2015-07-09,25.889999,26.07,25.889999,26.07,5600,26.07
2015-07-08,25.75,26.00,25.690001,25.870001,12100,25.870001
2015-07-07,25.663,25.799999,25.639999,25.799999,17800,25.799999
2015-07-06,25.799999,25.799999,25.65,25.799999,20700,25.799999
2015-07-02,25.75,25.799999,25.700001,25.782,2800,25.782
2015-07-01,25.719999,25.787001,25.719999,25.73,6100,25.73
2015-06-30,25.629999,25.799999,25.629999,25.700001,11300,25.700001
2015-06-29,25.799999,25.799999,25.629999,25.639999,18800,25.639999
2015-06-26,25.780001,25.799999,25.639999,25.75,6800,25.75
2015-06-25,25.847,25.85,25.77,25.799999,10200,25.799999
2015-06-24,25.629999,25.889999,25.629999,25.77,15300,25.77
2015-06-23,25.75,25.780001,25.629999,25.690001,19400,25.690001
2015-06-22,25.77,25.85,25.719999,25.76,5100,25.76
2015-06-19,25.780001,25.85,25.700001,25.719999,14200,25.719999
2015-06-18,25.90,25.90,25.75,25.771,8900,25.771
2015-06-17,25.99,26.10,25.719999,25.99,32100,25.99
2015-06-16,25.639999,26.097,25.620001,26.07,43200,26.07
2015-06-15,25.799999,25.937,25.540001,25.549999,13200,25.549999
2015-06-12,25.620001,25.75,25.620001,25.75,2400,25.75
2015-06-11,25.629999,25.690001,25.620001,25.629999,4800,25.629999
2015-06-10,25.74,25.77,25.629999,25.65,6900,25.65
2015-06-09,25.471001,25.819,25.471001,25.66,13100,25.66
2015-06-08,25.389999,25.49,25.299999,25.49,9800,25.49
2015-06-05,25.299999,25.40,25.299999,25.40,4700,25.40
2015-06-04,25.311001,25.389999,25.280001,25.309999,9800,25.309999
2015-06-03,25.35,25.40,25.32,25.32,11800,25.32
2015-06-02,25.26,25.40,25.26,25.40,11100,25.40
2015-06-01,25.41,25.42,25.35,25.35,5400,25.35
