Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,0.51,0.52,0.50,0.51,3500,0.51
2015-10-08,0.49,0.53,0.49,0.53,7700,0.53
2015-10-07,0.49,0.51,0.49,0.49,9500,0.49
2015-10-06,0.50,0.51,0.49,0.50,13800,0.50
2015-10-05,0.47,0.50,0.47,0.50,7000,0.50
2015-10-02,0.46,0.49,0.46,0.48,9900,0.48
2015-10-01,0.47,0.47,0.44,0.46,20100,0.46
2015-09-30,0.50,0.50,0.47,0.47,17000,0.47
2015-09-29,0.48,0.49,0.48,0.48,40400,0.48
2015-09-28,0.49,0.49,0.45,0.48,38900,0.48
2015-09-25,0.48,0.49,0.48,0.49,4600,0.49
2015-09-24,0.48,0.48,0.45,0.47,27100,0.47
2015-09-23,0.48,0.48,0.47,0.48,2200,0.48
2015-09-22,0.46,0.55,0.43,0.48,76900,0.48
2015-09-21,0.44,0.46,0.43,0.46,21600,0.46
2015-09-18,0.44,0.45,0.40,0.45,95500,0.45
2015-09-17,0.43,0.45,0.40,0.45,96800,0.45
2015-09-16,0.45,0.45,0.38,0.44,149900,0.44
2015-09-15,0.45,0.53,0.44,0.44,439400,0.44
2015-09-14,0.35,0.36,0.33,0.35,28100,0.35
2015-09-11,0.31,0.36,0.31,0.33,40600,0.33
2015-09-10,0.32,0.33,0.31,0.33,9700,0.33
2015-09-09,0.33,0.33,0.30,0.30,37600,0.30
2015-09-08,0.30,0.32,0.29,0.32,43600,0.32
2015-09-04,0.32,0.33,0.29,0.30,7800,0.30
2015-09-03,0.27,0.32,0.27,0.30,59700,0.30
2015-09-02,0.28,0.30,0.26,0.29,35100,0.29
2015-09-01,0.28,0.29,0.26,0.29,1300,0.29
2015-08-31,0.31,0.33,0.26,0.27,37600,0.27
2015-08-28,0.31,0.33,0.30,0.30,7400,0.30
2015-08-27,0.31,0.37,0.29,0.29,70700,0.29
2015-08-26,0.34,0.42,0.28,0.29,127200,0.29
2015-08-25,0.37,0.43,0.34,0.36,32800,0.36
2015-08-24,0.36,0.40,0.36,0.38,8200,0.38
2015-08-21,0.39,0.40,0.36,0.36,23100,0.36
2015-08-20,0.39,0.40,0.38,0.38,3300,0.38
2015-08-19,0.40,0.42,0.40,0.40,27100,0.40
2015-08-18,0.40,0.42,0.40,0.42,11600,0.42
2015-08-17,0.40,0.43,0.40,0.40,10900,0.40
2015-08-14,0.43,0.44,0.41,0.41,12300,0.41
2015-08-13,0.43,0.44,0.42,0.42,13300,0.42
2015-08-12,0.44,0.45,0.44,0.45,8000,0.45
2015-08-11,0.43,0.44,0.42,0.42,5900,0.42
2015-08-10,0.43,0.43,0.42,0.42,500,0.42
2015-08-07,0.44,0.44,0.40,0.43,27400,0.43
2015-08-06,0.46,0.46,0.46,0.46,700,0.46
2015-08-05,0.49,0.49,0.43,0.46,13900,0.46
2015-08-04,0.46,0.52,0.46,0.50,15100,0.50
2015-08-03,0.45,0.47,0.43,0.43,6000,0.43
