Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,18.440001,18.549999,18.35,18.43,31300,18.280568
2015-10-08,18.459999,18.540001,18.25,18.459999,60800,18.310324
2015-10-07,18.25,18.68,18.190001,18.49,54400,18.340081
2015-10-06,18.360001,18.57,18.030001,18.219999,32400,18.07227
2015-10-05,17.790001,18.51,17.790001,18.42,32600,18.270649
2015-10-02,17.629999,17.889999,17.389999,17.719999,32200,17.576324
2015-10-01,18.059999,18.190001,17.59,17.76,29100,17.616001
2015-09-30,18.25,18.27,17.93,18.049999,46300,17.903648
2015-09-29,17.870001,18.450001,17.66,18.110001,43000,17.963163
2015-09-28,17.709999,18.02,17.49,17.75,37200,17.606082
2015-09-25,18.52,18.73,17.620001,17.65,86900,17.506892
2015-09-24,18.530001,18.700001,18.33,18.43,101300,18.280568
2015-09-23,18.799999,19.110001,18.57,18.68,30300,18.528541
2015-09-22,18.50,18.790001,18.41,18.700001,49400,18.54838
2015-09-21,18.43,18.76,18.18,18.68,26300,18.528541
2015-09-18,18.620001,18.700001,18.129999,18.280001,76000,18.131785
2015-09-17,19.07,19.16,18.799999,18.83,33600,18.677325
2015-09-16,19.09,19.280001,18.91,19.040001,23800,18.885623
2015-09-15,18.82,19.08,18.77,19.02,21800,18.865785
2015-09-14,19.120001,19.139999,18.83,18.889999,11500,18.736838
2015-09-11,18.610001,19.139999,18.57,19.110001,53200,18.955055
2015-09-10,18.73,18.91,18.58,18.77,19600,18.617812
2015-09-09,19.08,19.540001,18.67,18.75,31400,18.597974
2015-09-08,19.02,19.35,18.889999,18.90,66300,18.746757
2015-09-04,18.790001,19.16,18.719999,18.74,38400,18.588054
2015-09-03,19.07,19.32,18.940001,19.129999,22600,18.974892
2015-09-02,19.16,19.23,18.870001,19.120001,20800,18.964974
2015-09-01,18.959999,19.280001,18.83,19.00,39100,18.845946
2015-08-31,19.35,19.75,19.209999,19.35,12400,19.193109
2015-08-28,19.26,19.67,19.209999,19.540001,25100,19.381569
2015-08-27,19.68,19.889999,19.200001,19.40,59000,19.242703
2015-08-26,19.27,19.77,18.98,19.639999,31900,19.480757
2015-08-25,19.040001,19.43,18.57,18.959999,50700,18.80627
2015-08-24,18.52,19.10,17.469999,18.809999,55000,18.657486
2015-08-21,18.52,18.639999,17.469999,18.43,164200,18.280568
2015-08-20,18.98,19.15,18.84,18.84,25600,18.687244
2015-08-19,19.290001,19.57,19.18,19.26,39300,19.103839
2015-08-18,19.74,19.860001,19.27,19.469999,63600,19.312135
2015-08-17,20.059999,20.17,19.85,19.940001,41600,19.778325
2015-08-14,20.059999,20.26,20.02,20.219999,37800,20.056054
2015-08-13,20.549999,20.549999,20.17,20.200001,14600,20.036218
2015-08-12,20.110001,20.709999,19.860001,20.67,42600,20.502406
2015-08-11,20.42,20.66,20.35,20.549999,20100,20.234594
2015-08-10,20.91,21.200001,20.549999,20.66,54500,20.342906
2015-08-07,20.799999,21.00,20.68,20.860001,19800,20.539837
2015-08-06,21.440001,21.49,20.90,21.00,37200,20.677688
2015-08-05,21.059999,21.65,21.059999,21.52,24400,21.189707
2015-08-04,21.34,21.709999,20.959999,21.07,86400,20.746613
2015-08-03,20.90,21.51,20.90,21.459999,31400,21.130627
2015-07-31,20.690001,21.18,20.65,20.950001,56200,20.628456
2015-07-30,19.00,20.780001,18.780001,20.66,41200,20.342906
2015-07-29,21.48,21.780001,20.450001,20.51,32400,20.195209
2015-07-28,21.52,21.549999,21.030001,21.450001,26900,21.120782
2015-07-27,21.450001,21.620001,21.290001,21.389999,17900,21.061701
2015-07-24,21.98,22.030001,21.59,21.65,31400,21.317711
2015-07-23,22.469999,22.76,21.93,22.030001,23500,21.69188
2015-07-22,22.67,22.77,22.309999,22.50,16700,22.154666
2015-07-21,22.799999,22.99,22.57,22.74,14400,22.390982
2015-07-20,23.110001,23.219999,22.780001,22.83,20400,22.479601
2015-07-17,23.23,23.27,22.969999,23.16,18400,22.804536
2015-07-16,23.42,23.709999,23.120001,23.15,36200,22.794689
2015-07-15,23.00,24.059999,22.799999,23.42,93900,23.060545
2015-07-14,22.959999,23.209999,22.90,23.01,74900,22.656838
2015-07-13,22.389999,23.209999,22.389999,22.90,113100,22.548526
2015-07-10,22.129999,22.549999,22.110001,22.40,77900,22.0562
2015-07-09,22.110001,22.190001,21.889999,21.969999,82900,21.632799
2015-07-08,21.809999,22.049999,21.75,21.98,38500,21.642646
2015-07-07,22.110001,22.24,21.700001,21.940001,45100,21.603261
2015-07-06,22.059999,22.52,21.969999,22.17,21000,21.829731
2015-07-02,22.50,22.780001,22.07,22.129999,57100,21.790344
2015-07-01,22.65,22.99,22.26,22.48,46800,22.134972
2015-06-30,22.52,22.74,22.23,22.65,31100,22.302363
2015-06-29,23.01,23.049999,22.24,22.370001,37300,22.026662
2015-06-26,22.41,23.299999,22.360001,23.24,133700,22.883308
2015-06-25,22.549999,22.549999,22.25,22.41,20100,22.066047
