Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,24.719999,24.91,24.629999,24.68,7700,24.464718
2015-10-08,24.719999,24.719999,24.610001,24.719999,5000,24.504368
2015-10-07,24.719999,24.719999,24.629999,24.719999,9100,24.504368
2015-10-06,24.719999,24.719999,24.620001,24.66,15200,24.444892
2015-10-05,24.93,24.950001,24.690001,24.73,16800,24.514281
2015-10-02,24.51,24.799999,24.51,24.790001,4800,24.573759
2015-10-01,24.65,24.780001,24.639999,24.73,12800,24.514281
2015-09-30,24.75,24.75,24.65,24.65,9000,24.434979
2015-09-29,24.73,24.74,24.60,24.68,11200,24.464718
2015-09-28,24.73,24.74,24.610001,24.700001,5300,24.484544
2015-09-25,24.59,24.73,24.530001,24.719999,7900,24.504368
2015-09-24,24.450001,24.58,24.450001,24.49,15700,24.276374
2015-09-23,24.68,24.68,24.41,24.51,4500,24.2962
2015-09-22,24.299999,24.68,24.280001,24.50,15000,24.286287
2015-09-21,24.440001,24.68,24.43,24.549999,3300,24.335851
2015-09-18,24.40,24.549999,24.40,24.530001,3600,24.316026
2015-09-17,24.190001,24.50,24.190001,24.49,6800,24.276374
2015-09-16,24.50,24.50,24.40,24.40,7900,24.187159
2015-09-15,24.35,24.50,24.309999,24.50,14500,24.286287
2015-09-14,24.34,24.34,24.139999,24.33,11800,24.11777
2015-09-11,24.17,24.309999,24.129999,24.24,7600,24.028555
2015-09-10,24.00,24.16,24.00,24.16,12100,23.949253
2015-09-09,24.10,24.10,24.01,24.01,9100,23.800562
2015-09-08,24.280001,24.280001,24.08,24.129999,8400,23.919514
2015-09-04,24.059999,24.200001,24.049999,24.120001,6700,23.909603
2015-09-03,24.01,24.209999,23.91,24.049999,11100,23.840212
2015-09-02,24.389999,24.389999,24.059999,24.07,11100,23.860038
2015-09-01,24.530001,24.530001,24.120001,24.200001,9500,23.988905
2015-08-31,24.450001,24.450001,24.26,24.379999,12600,24.167333
2015-08-28,24.809999,24.809999,24.51,24.549999,7400,24.335851
2015-08-27,24.76,24.76,24.450001,24.629999,7400,24.415153
2015-08-26,25.18,25.18,24.67,24.82,13900,24.383431
2015-08-25,24.91,25.02,24.76,24.76,4000,24.324487
2015-08-24,25.190001,25.190001,24.959999,24.959999,10900,24.520968
2015-08-21,25.059999,25.08,24.91,24.940001,8300,24.501321
2015-08-20,24.99,25.00,24.93,24.969999,3000,24.530792
2015-08-19,24.870001,24.99,24.870001,24.92,3700,24.481672
2015-08-18,24.99,25.00,24.85,24.92,3500,24.481672
2015-08-17,24.93,25.00,24.82,24.959999,8300,24.520968
2015-08-14,24.91,24.91,24.780001,24.889999,1400,24.452199
2015-08-13,24.870001,24.950001,24.82,24.92,8600,24.481672
2015-08-12,24.889999,24.90,24.65,24.780001,17300,24.344136
2015-08-11,24.83,24.99,24.83,24.879999,10800,24.442375
2015-08-10,24.34,24.959999,24.34,24.85,44200,24.412904
2015-08-07,24.42,24.59,24.33,24.33,9900,23.90205
2015-08-06,24.379999,24.389999,24.27,24.370001,10300,23.941347
2015-08-05,24.280001,24.50,24.26,24.35,14400,23.921699
2015-08-04,24.24,24.440001,24.24,24.25,17500,23.823457
2015-08-03,24.32,24.35,24.24,24.32,22600,23.892226
2015-07-31,24.40,24.98,24.290001,24.290001,24800,23.862755
2015-07-30,24.459999,24.59,24.25,24.41,11500,23.980643
2015-07-29,24.459999,24.59,24.459999,24.50,10600,24.06906
2015-07-28,24.440001,24.530001,24.43,24.49,14400,24.059236
2015-07-27,24.49,24.51,24.26,24.26,8700,23.833282
2015-07-24,24.360001,24.50,24.35,24.389999,9100,23.960994
2015-07-23,24.290001,24.50,24.27,24.370001,13500,23.941347
2015-07-22,24.32,24.360001,24.209999,24.24,12500,23.813633
2015-07-21,24.389999,24.40,24.309999,24.40,15600,23.970819
2015-07-20,24.299999,24.370001,24.219999,24.370001,11200,23.941347
2015-07-17,24.049999,24.379999,24.049999,24.290001,11200,23.862755
2015-07-16,24.10,24.16,24.059999,24.15,24100,23.725216
2015-07-15,24.01,24.08,23.889999,24.01,10100,23.587679
2015-07-14,24.049999,24.10,23.90,24.030001,20700,23.607328
2015-07-13,24.00,24.02,23.90,23.90,14900,23.479613
2015-07-10,24.08,24.08,23.93,23.93,16800,23.509086
2015-07-09,24.059999,24.120001,23.91,23.93,14500,23.509086
2015-07-08,24.02,24.200001,24.02,24.049999,3900,23.626974
2015-07-07,24.219999,24.219999,24.049999,24.120001,11900,23.695745
2015-07-06,24.110001,24.16,23.99,24.08,29000,23.656447
2015-07-02,24.040001,24.110001,23.90,24.110001,15700,23.68592
2015-07-01,24.01,24.059999,23.860001,23.860001,7000,23.440318
2015-06-30,24.01,24.120001,23.940001,23.940001,22200,23.518911
2015-06-29,24.129999,24.280001,24.00,24.01,18100,23.587679
2015-06-26,24.379999,24.40,24.110001,24.110001,10200,23.68592
2015-06-25,24.120001,24.26,24.120001,24.17,10100,23.744865
2015-06-24,24.25,24.25,24.15,24.25,16500,23.823457
2015-06-23,24.27,24.389999,24.25,24.25,10200,23.823457
2015-06-22,24.27,24.34,24.25,24.25,6600,23.823457
2015-06-19,24.389999,24.40,24.26,24.370001,10700,23.941347
2015-06-18,24.370001,24.370001,24.23,24.35,8800,23.921699
2015-06-17,24.48,24.48,24.25,24.389999,4500,23.960994
2015-06-16,24.25,24.49,24.18,24.49,7200,24.059236
