Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,18.02,18.025999,17.60,17.77,111800,17.225999
2015-10-08,18.049999,18.26,17.959999,18.09,105200,17.536202
2015-10-07,17.90,18.10,17.75,18.10,70800,17.545896
2015-10-06,18.00,18.00,17.57,17.90,56000,17.352018
2015-10-05,17.799999,18.08,17.58,18.00,124200,17.448957
2015-10-02,17.690001,17.940001,17.209999,17.68,157300,17.138754
2015-10-01,17.549999,17.85,17.290001,17.809999,151000,17.264773
2015-09-30,17.66,18.200001,17.51,17.60,170500,17.061203
2015-09-29,17.700001,17.92,17.57,17.57,67600,17.032121
2015-09-28,17.940001,18.025999,17.700001,17.700001,96100,17.158142
2015-09-25,18.48,18.48,17.91,17.91,73700,17.361712
2015-09-24,18.219999,18.379999,18.120001,18.24,55200,17.68161
2015-09-23,18.360001,18.42,18.209999,18.290001,37000,17.73008
2015-09-22,18.07,18.50,18.07,18.27,89400,17.710692
2015-09-21,18.459999,18.49,18.139999,18.41,54600,17.846406
2015-09-18,18.01,18.450001,18.01,18.450001,124100,17.885182
2015-09-17,18.120001,18.379999,17.959999,18.25,73900,17.691304
2015-09-16,18.25,18.32,18.049999,18.200001,124800,17.642835
2015-09-15,17.90,18.18,17.85,18.18,66000,17.623447
2015-09-14,17.969999,17.969999,17.559999,17.959999,38600,17.410181
2015-09-11,17.75,18.00,17.584,17.969999,50300,17.419875
2015-09-10,17.68,18.00,17.60,18.00,50000,17.316151
2015-09-09,17.85,17.99,17.549999,17.67,57000,16.998689
2015-09-08,17.790001,17.90,17.66,17.85,64400,17.171851
2015-09-04,17.620001,18.00,17.50,17.629999,78100,16.960208
2015-09-03,18.18,18.18,17.68,17.90,71200,17.21995
2015-09-02,17.370001,18.450001,17.10,18.25,364000,17.556654
2015-09-01,17.25,17.440001,17.10,17.18,61700,16.527305
2015-08-31,17.52,17.65,17.40,17.48,60500,16.815907
2015-08-28,17.18,17.65,17.120001,17.65,81200,16.979448
2015-08-27,17.299999,17.51,17.08,17.290001,58800,16.633126
2015-08-26,17.280001,17.719999,17.00,17.25,172700,16.594645
2015-08-25,17.73,17.844999,17.00,17.01,102300,16.363763
2015-08-24,17.450001,17.639999,17.209999,17.24,92500,16.585025
2015-08-21,17.48,17.950001,17.469999,17.690001,183200,17.017929
2015-08-20,17.969999,18.15,17.790001,17.790001,112400,17.114131
2015-08-19,17.59,17.92,17.40,17.780001,62700,17.10451
2015-08-18,17.950001,17.965,17.610001,17.690001,36500,17.017929
2015-08-17,17.860001,17.99,17.790001,17.99,30700,17.306531
2015-08-14,17.620001,17.889999,17.52,17.889999,76900,17.21033
2015-08-13,17.59,17.780001,17.450001,17.75,63700,17.075649
2015-08-12,17.870001,17.870001,17.309999,17.74,62600,17.066029
2015-08-11,17.370001,17.950001,17.271999,17.950001,74800,17.136257
2015-08-10,17.57,17.889999,17.370001,17.59,129200,16.792576
2015-08-07,17.58,17.809999,17.43,17.530001,60800,16.735297
2015-08-06,18.01,18.01,17.628,17.780001,50100,16.973964
2015-08-05,17.59,18.200001,17.59,17.75,118500,16.945323
2015-08-04,18.059999,18.200001,17.91,18.049999,79000,17.231722
2015-08-03,18.049999,18.09,17.51,18.09,60500,17.269909
2015-07-31,17.57,18.15,17.540001,18.139999,181700,17.317642
2015-07-30,17.15,17.790001,17.049999,17.549999,135000,16.754389
2015-07-29,17.360001,17.724001,17.07,17.25,177200,16.46799
2015-07-28,17.469999,17.84,17.15,17.34,60200,16.55391
2015-07-27,17.43,17.959999,17.280001,17.469999,116600,16.678016
2015-07-24,17.129999,17.419001,17.037001,17.190001,87200,16.41071
2015-07-23,17.50,17.58,17.00,17.209999,78400,16.429802
2015-07-22,17.41,17.860001,17.379999,17.65,88100,16.849856
2015-07-21,17.059999,17.395,17.059999,17.18,40100,16.401164
2015-07-20,17.52,17.57,17.09,17.129999,65200,16.353429
2015-07-17,17.559999,17.709999,17.35,17.59,68600,16.792576
2015-07-16,17.76,17.90,17.57,17.620001,62300,16.821217
2015-07-15,16.690001,17.809999,16.690001,17.77,114500,16.964417
2015-07-14,17.10,17.370001,16.51,16.690001,544200,15.933377
2015-07-13,17.190001,17.469999,17.049999,17.129999,140700,16.353429
2015-07-10,17.950001,18.030001,17.219999,17.42,242400,16.499493
2015-07-09,18.57,18.700001,17.76,17.959999,162400,17.010958
2015-07-08,18.18,18.90,18.00,18.58,281600,17.598196
2015-07-07,18.139999,18.620001,17.775,18.360001,235200,17.389822
2015-07-06,17.709999,18.299999,17.645,18.290001,117700,17.323521
2015-07-02,17.73,18.32,17.59,17.84,242100,16.8973
2015-07-01,17.59,17.879999,17.07,17.620001,115900,16.688925
2015-06-30,17.60,17.76,17.370001,17.48,72100,16.556322
2015-06-29,17.33,17.709999,17.33,17.450001,115400,16.527908
2015-06-26,17.15,17.67,17.004999,17.60,3753400,16.669982
2015-06-25,17.52,17.67,16.91,17.200001,216200,16.291119
2015-06-24,17.76,17.870001,17.27,17.299999,146600,16.385833
2015-06-23,18.10,18.209999,17.719999,17.82,99400,16.878356
2015-06-22,17.98,18.41,17.92,18.059999,106500,17.105674
2015-06-19,18.08,18.08,17.940001,18.00,138900,17.048845
2015-06-18,18.129999,18.469999,17.93,18.15,141900,17.190918
2015-06-17,18.50,18.662001,17.959999,18.23,155200,17.266691
2015-06-16,18.65,19.00,18.51,18.73,255200,17.74027
2015-06-15,17.58,18.799999,17.58,18.68,363300,17.692912
2015-06-12,17.50,17.60,17.389999,17.559999,71500,16.632095
2015-06-11,17.23,17.667999,17.23,17.469999,99900,16.54685
2015-06-10,17.719999,17.799999,17.549999,17.77,102800,16.701238
2015-06-09,17.190001,17.700001,17.16,17.68,81500,16.616651
2015-06-08,17.200001,17.309999,17.09,17.190001,110500,16.156122
2015-06-05,16.950001,17.16,16.811001,17.16,134000,16.127926
2015-06-04,17.00,17.075001,16.629999,16.959999,267300,15.939954
2015-06-03,17.629999,17.690001,17.040001,17.08,152600,16.052737
2015-06-02,17.68,17.745001,17.549999,17.59,55800,16.532064
2015-06-01,17.879999,17.879999,17.58,17.700001,86500,16.635449
2015-05-29,17.43,17.83,17.40,17.75,64100,16.682441
2015-05-28,17.26,17.57,17.01,17.52,119300,16.466274
2015-05-27,17.42,17.42,17.110001,17.26,150300,16.221912
2015-05-26,17.60,17.60,17.110001,17.33,99200,16.287701
2015-05-22,17.389999,17.575001,17.35,17.50,79500,16.447477
2015-05-21,17.60,17.955,17.35,17.51,93000,16.456876
2015-05-20,17.32,17.950001,17.32,17.73,107700,16.663643
2015-05-19,18.07,18.07,17.07,17.370001,156500,16.325296
2015-05-18,17.379999,18.01,17.24,17.93,143300,16.851615
2015-05-15,17.43,17.605,17.219999,17.52,99900,16.466274
2015-05-14,17.00,17.50,16.870001,17.41,129800,16.36289
2015-05-13,17.110001,17.290001,16.75,16.82,196400,15.808375
2015-05-12,17.200001,17.360001,17.200001,17.25,111600,16.083753
2015-05-11,17.34,17.450001,17.10,17.40,168300,16.223611
2015-05-08,17.60,18.25,17.450001,17.450001,73200,16.270232
2015-05-07,17.50,17.879999,17.41,17.52,104500,16.335499
2015-05-06,17.75,17.75,17.25,17.540001,92600,16.354147
2015-05-05,18.10,18.10,17.41,17.450001,105300,16.270232
2015-05-04,17.75,18.309999,17.75,18.09,68900,16.866962
2015-05-01,17.719999,18.094999,17.636,17.790001,75900,16.587245
2015-04-30,18.09,18.204,17.65,17.719999,107700,16.521976
2015-04-29,18.43,18.48,18.030001,18.059999,104100,16.838989
2015-04-28,18.43,18.889999,18.43,18.459999,64100,17.211946
2015-04-27,18.299999,18.700001,18.155001,18.530001,70200,17.277214
2015-04-24,18.57,18.719999,18.10,18.110001,112600,16.88561
2015-04-23,18.709999,18.790001,18.559999,18.57,76200,17.314509
2015-04-22,18.32,18.75,18.32,18.709999,119000,17.445043
2015-04-21,18.90,18.90,18.299999,18.32,77400,17.081411
2015-04-20,18.60,18.940001,18.60,18.91,80700,17.631522
2015-04-17,18.52,18.74,18.48,18.73,70200,17.463692
2015-04-16,18.309999,18.530001,18.299999,18.530001,71500,17.277214
2015-04-15,18.299999,18.50,18.290001,18.360001,80600,17.118708
2015-04-14,18.309999,18.469999,18.15,18.23,75600,16.997496
2015-04-13,18.299999,18.35,18.10,18.290001,58700,17.053441
2015-04-10,18.190001,18.450001,18.120001,18.34,67000,16.972322
2015-04-09,18.35,18.35,17.99,18.09,52100,16.740965
2015-04-08,18.450001,18.66,18.35,18.41,111800,17.037101
2015-04-07,18.120001,18.67,18.075001,18.48,238600,17.101881
2015-04-06,17.98,18.164,17.860001,18.07,140200,16.722456
2015-04-02,17.709999,18.00,17.709999,18.00,121700,16.657677
2015-04-01,17.559999,17.725,17.389999,17.709999,42100,16.389302
2015-03-31,18.00,18.129999,17.50,17.52,186500,16.213472
2015-03-30,17.969999,18.072001,17.90,18.049999,99000,16.703947
2015-03-27,18.00,18.17,17.90,17.969999,80200,16.629913
2015-03-26,17.99,18.190001,17.85,18.00,136200,16.657677
2015-03-25,18.00,18.00,17.91,17.99,72600,16.648422
2015-03-24,18.00,18.00,17.91,17.940001,57600,16.602152
2015-03-23,17.790001,17.98,17.719999,17.98,66600,16.639168
