Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,18.23,18.639999,18.209999,18.370001,871000,18.370001
2015-10-08,17.780001,18.16,17.76,18.15,607800,18.15
2015-10-07,18.030001,18.35,17.42,17.790001,1056100,17.790001
2015-10-06,17.809999,18.00,17.66,17.74,668700,17.74
2015-10-05,17.629999,17.73,17.440001,17.68,971200,17.68
2015-10-02,16.629999,17.43,16.459999,17.41,734200,17.41
2015-10-01,16.860001,17.07,16.459999,16.76,817400,16.76
2015-09-30,16.35,16.73,16.280001,16.719999,1276600,16.719999
2015-09-29,15.41,15.69,15.29,15.54,761200,15.54
2015-09-28,15.95,15.95,15.57,15.57,685700,15.57
2015-09-25,16.219999,16.389999,16.02,16.10,817700,16.10
2015-09-24,14.94,15.92,14.87,15.90,1085300,15.90
2015-09-23,16.139999,16.139999,15.59,15.59,652900,15.59
2015-09-22,16.120001,16.32,15.91,16.190001,553900,16.190001
2015-09-21,16.540001,16.620001,16.309999,16.469999,565200,16.469999
2015-09-18,17.059999,17.10,16.58,16.620001,745700,16.620001
2015-09-17,17.02,17.76,17.01,17.40,526900,17.40
2015-09-16,17.219999,17.52,17.139999,17.50,555000,17.50
2015-09-15,16.98,16.99,16.780001,16.889999,638000,16.889999
2015-09-14,16.57,17.33,16.440001,17.17,1382800,17.17
2015-09-11,16.620001,16.65,16.32,16.540001,735500,16.540001
2015-09-10,16.190001,16.65,16.120001,16.450001,879800,16.450001
2015-09-09,17.26,17.459999,16.73,16.76,738500,16.76
2015-09-08,17.139999,17.26,16.84,16.98,631900,16.98
2015-09-04,16.99,17.09,16.620001,16.74,552900,16.74
2015-09-03,16.950001,17.40,16.870001,17.18,1009300,17.18
2015-09-02,16.98,17.059999,16.75,17.01,820300,17.01
2015-09-01,17.00,17.23,16.889999,17.00,962000,17.00
2015-08-31,17.02,17.549999,16.82,17.459999,1128400,17.459999
2015-08-28,17.780001,18.049999,17.43,17.82,1117500,17.82
2015-08-27,17.65,18.209999,17.58,18.059999,899600,18.059999
2015-08-26,16.77,17.27,16.57,17.24,988900,17.24
2015-08-25,17.299999,17.35,16.60,16.60,705700,16.60
