Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,50.619999,50.77,49.560001,49.59,151100,49.139088
2015-10-08,49.299999,50.650002,49.150002,50.549999,142000,50.090358
2015-10-07,49.66,49.82,48.849998,49.360001,221800,48.91118
2015-10-06,50.209999,50.299999,49.439999,49.509998,158300,49.059813
2015-10-05,49.450001,50.490002,49.240002,50.310001,270100,49.852542
2015-10-02,48.740002,49.25,48.07,49.220001,246200,48.772453
2015-10-01,50.290001,50.290001,48.119999,48.73,324000,48.286907
2015-09-30,50.400002,50.400002,49.900002,50.27,217500,49.812905
2015-09-29,50.220001,50.669998,50.00,50.259998,172500,49.802994
2015-09-28,49.959999,50.349998,49.610001,50.23,170000,49.773268
2015-09-25,49.689999,50.619999,49.16,50.049999,326200,49.594904
2015-09-24,48.27,49.869999,48.27,49.50,243100,49.049906
2015-09-23,48.040001,48.709999,47.799999,48.66,131200,48.217544
2015-09-22,48.279999,48.740002,48.110001,48.32,112400,47.880635
2015-09-21,48.130001,49.110001,48.099998,48.540001,82100,48.098636
2015-09-18,48.34,49.110001,47.880001,48.009998,480000,47.573453
2015-09-17,48.25,49.470001,48.060001,48.810001,248600,48.366181
2015-09-16,47.52,48.369999,47.34,48.290001,256900,47.850909
2015-09-15,47.419998,47.849998,47.189999,47.52,109800,47.08791
2015-09-14,48.32,48.57,47.529999,47.549999,287400,47.117636
2015-09-11,47.049999,48.630001,46.900002,48.599998,240500,47.730016
2015-09-10,46.09,47.299999,46.02,47.220001,202600,46.374721
2015-09-09,45.900002,46.259998,45.48,46.220001,210800,45.392622
2015-09-08,43.860001,45.779999,43.650002,45.709999,276500,44.89175
2015-09-04,43.950001,44.189999,43.23,43.580002,106000,42.799881
2015-09-03,44.57,44.990002,44.110001,44.290001,134400,43.497171
2015-09-02,45.189999,45.189999,44.150002,44.290001,202900,43.497171
2015-09-01,44.959999,45.18,44.560001,44.830002,180800,44.027505
2015-08-31,46.279999,47.450001,44.630001,45.529999,247400,44.714972
2015-08-28,46.099998,46.459999,45.400002,46.009998,156900,45.186379
2015-08-27,46.029999,46.290001,45.349998,46.220001,192600,45.392622
2015-08-26,46.220001,46.220001,44.529999,45.860001,134300,45.039066
2015-08-25,47.740002,47.740002,45.34,45.560001,207800,44.744437
2015-08-24,45.00,47.50,44.490002,46.700001,220400,45.864029
2015-08-21,46.50,48.919998,46.00,47.619999,200500,46.767559
2015-08-20,48.560001,48.91,48.349998,48.490002,166200,47.621988
2015-08-19,48.73,49.549999,48.68,48.970001,103000,48.093395
2015-08-18,48.98,49.34,48.73,49.150002,108200,48.270173
2015-08-17,47.450001,49.59,47.360001,49.200001,197400,48.319277
2015-08-14,46.950001,47.709999,46.110001,47.619999,167400,46.767559
2015-08-13,47.139999,47.759998,46.799999,47.029999,100900,46.18812
2015-08-12,46.919998,47.490002,46.599998,47.32,96400,46.47293
2015-08-11,46.830002,47.25,46.77,47.189999,56800,46.345256
2015-08-10,46.75,47.360001,46.529999,46.950001,182200,46.109554
2015-08-07,46.50,47.009998,46.450001,46.669998,68600,45.834564
2015-08-06,46.939999,47.66,46.52,46.869999,100900,46.030985
2015-08-05,48.00,48.18,47.34,47.77,94400,46.914875
2015-08-04,48.080002,48.41,47.490002,47.720001,72900,46.865771
2015-08-03,47.900002,48.77,47.82,48.169998,80600,47.307713
2015-07-31,47.389999,48.369999,47.389999,47.939999,154600,47.08183
2015-07-30,46.849998,47.59,46.759998,47.209999,80500,46.364898
2015-07-29,47.240002,47.240002,46.830002,47.009998,95100,46.168478
2015-07-28,47.419998,47.630001,46.91,47.290001,157500,46.443468
2015-07-27,46.009998,47.509998,45.849998,47.360001,132500,46.512215
2015-07-24,46.950001,46.950001,46.130001,46.240002,99900,45.412265
2015-07-23,47.810001,47.810001,46.549999,46.849998,243200,46.011342
2015-07-22,47.16,48.040001,47.02,47.720001,193000,46.865771
2015-07-21,46.860001,47.259998,46.77,47.07,225200,46.227405
2015-07-20,47.169998,47.169998,46.630001,46.880001,253300,46.040808
2015-07-17,47.119999,47.380001,46.68,47.049999,237100,46.207763
2015-07-16,46.939999,47.43,46.720001,47.259998,183100,46.414003
2015-07-15,46.720001,46.919998,45.939999,46.84,179300,46.001523
2015-07-14,47.599998,47.639999,46.610001,46.849998,155100,46.011342
2015-07-13,47.450001,48.150002,47.27,47.75,194900,46.895233
2015-07-10,46.950001,47.700001,46.720001,47.299999,348900,46.453287
2015-07-09,47.290001,47.630001,46.52,46.889999,235300,46.050627
2015-07-08,46.84,47.290001,46.700001,47.00,165800,46.158658
2015-07-07,45.759998,47.849998,45.73,47.00,571800,46.158658
2015-07-06,45.310001,45.77,45.07,45.73,300400,44.911392
2015-07-02,44.25,45.360001,43.580002,45.34,696900,44.528374
2015-07-01,46.23,46.23,44.84,45.02,1387100,44.214103
2015-06-30,47.810001,48.150002,43.59,45.82,1513400,44.999781
2015-06-29,48.00,48.509998,47.040001,47.529999,233300,46.67917
2015-06-26,48.00,48.189999,47.560001,47.990002,322100,47.130938
2015-06-25,47.950001,48.02,47.490002,47.990002,368800,47.130938
2015-06-24,47.900002,48.139999,47.669998,48.00,205100,47.140758
2015-06-23,47.82,48.380001,47.450001,48.009998,167000,47.150577
2015-06-22,48.689999,48.860001,47.73,47.75,142000,46.895233
2015-06-19,48.439999,49.080002,48.360001,48.360001,347100,47.494314
2015-06-18,48.450001,49.169998,48.299999,48.75,213000,47.877332
2015-06-17,48.119999,48.75,47.889999,48.50,89500,47.631807
2015-06-16,47.57,48.259998,47.41,48.02,161600,47.1604
2015-06-15,47.700001,48.02,47.310001,47.75,196000,46.895233
2015-06-12,48.00,48.389999,47.619999,47.860001,348200,47.003264
2015-06-11,48.509998,48.580002,48.060001,48.25,192000,47.386282
2015-06-10,49.07,49.349998,48.560001,48.66,706500,47.364675
2015-06-09,48.939999,49.200001,48.639999,48.91,120600,47.60802
2015-06-08,48.830002,49.049999,48.599998,48.84,380000,47.539884
2015-06-05,49.299999,49.669998,48.830002,48.970001,415700,47.666424
2015-06-04,49.490002,49.990002,49.439999,49.580002,391100,48.260187
