Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,18.08,18.889999,18.040001,18.25,240000,17.662194
2015-10-08,17.75,18.67,17.629999,18.059999,349600,17.478313
2015-10-07,17.299999,18.00,16.969999,17.809999,292400,17.236365
2015-10-06,16.35,17.379999,16.23,17.200001,305300,16.646013
2015-10-05,14.63,16.370001,14.55,16.24,283900,15.716933
2015-10-02,14.38,14.87,13.92,14.47,241700,14.003942
2015-10-01,14.70,14.92,13.88,14.52,280300,14.052332
2015-09-30,13.74,14.55,13.26,14.42,438600,13.955553
2015-09-29,14.30,14.76,13.31,13.48,256200,13.045828
2015-09-28,15.30,15.48,14.12,14.31,262900,13.849096
2015-09-25,15.92,16.25,15.27,15.32,185700,14.826565
2015-09-24,16.02,16.02,15.22,15.71,222600,15.204004
2015-09-23,16.799999,16.93,15.77,16.02,293500,15.504019
2015-09-22,17.139999,17.34,16.799999,16.809999,151700,16.268574
2015-09-21,17.32,17.450001,16.799999,17.42,142200,16.858927
2015-09-18,17.09,17.389999,17.02,17.32,97800,16.762147
2015-09-17,17.00,17.57,17.00,17.280001,216900,16.723437
2015-09-16,17.27,17.33,16.77,16.940001,186600,16.394387
2015-09-15,17.049999,17.73,17.01,17.25,169100,16.694402
2015-09-14,16.879999,17.33,16.52,17.01,239400,16.462133
2015-09-11,17.68,17.799999,17.00,17.030001,750100,16.481489
2015-09-10,18.219999,18.34,17.700001,17.809999,3150100,17.236365
2015-09-09,20.219999,20.440001,20.200001,20.25,34500,19.597777
2015-09-08,20.450001,20.450001,20.139999,20.27,63900,19.617133
2015-09-04,20.139999,20.60,20.139999,20.23,64900,19.57842
2015-09-03,20.059999,20.59,20.01,20.16,25800,19.510675
2015-09-02,20.25,20.309999,19.60,20.00,49000,19.355829
2015-09-01,19.52,20.35,19.52,19.91,48900,19.268727
2015-08-31,19.790001,20.440001,19.68,20.00,94300,19.355829
2015-08-28,19.84,20.950001,19.83,20.129999,66800,19.481641
2015-08-27,19.709999,20.10,19.26,19.940001,100100,19.297762
2015-08-26,18.879999,19.49,18.440001,19.48,91500,18.852577
2015-08-25,17.610001,18.49,17.59,18.32,130100,17.729939
2015-08-24,17.940001,18.049999,17.00,17.50,185300,16.93635
2015-08-21,18.700001,18.84,18.00,18.370001,65100,17.77833
2015-08-20,19.940001,19.940001,18.889999,18.93,73200,18.320292
2015-08-19,20.00,20.00,19.59,19.879999,72100,19.239693
2015-08-18,19.25,20.08,19.23,19.98,99600,19.336472
2015-08-17,18.59,19.43,18.549999,19.25,111300,18.629985
2015-08-14,17.77,18.469999,17.629999,18.290001,58500,17.700906
2015-08-13,18.24,18.780001,17.50,17.59,86400,17.023452
2015-08-12,18.280001,18.66,18.190001,18.360001,79200,17.768651
2015-08-11,18.030001,18.450001,17.57,18.360001,59900,17.768651
2015-08-10,17.57,18.25,17.34,18.15,39100,17.565414
2015-08-07,17.90,18.26,17.309999,17.40,39000,16.839571
2015-08-06,17.440001,18.00,17.43,17.969999,87100,17.391211
2015-08-05,17.57,18.41,17.450001,17.610001,105400,17.042808
2015-08-04,17.50,17.75,17.15,17.219999,115400,16.665368
2015-08-03,17.91,17.98,17.00,17.43,129400,16.868605
2015-07-31,18.41,18.41,17.809999,17.93,71000,17.352501
2015-07-30,18.66,19.01,18.370001,18.799999,57400,17.686387
2015-07-29,18.370001,18.969999,18.17,18.91,71900,17.789872
2015-07-28,17.860001,18.51,17.860001,18.450001,93500,17.357121
2015-07-27,18.07,18.360001,18.02,18.139999,66800,17.065482
2015-07-24,18.32,18.48,18.01,18.360001,89800,17.272452
2015-07-23,18.299999,18.58,18.09,18.24,57800,17.159559
2015-07-22,20.049999,20.08,18.01,18.110001,153500,17.037261
2015-07-21,20.18,20.77,19.85,20.00,106000,18.815306
2015-07-20,20.360001,20.379999,19.75,20.040001,91700,18.852938
2015-07-17,20.610001,20.610001,20.00,20.34,44500,19.135167
2015-07-16,20.620001,20.780001,20.209999,20.450001,45500,19.238652
2015-07-15,20.57,20.74,20.33,20.389999,106100,19.182204
2015-07-14,19.780001,20.620001,19.639999,20.549999,95400,19.332727
2015-07-13,19.389999,19.85,19.25,19.709999,103700,18.542484
2015-07-10,18.90,19.309999,18.90,19.290001,44700,18.147364
2015-07-09,18.879999,19.280001,18.68,18.91,65200,17.789872
2015-07-08,18.91,19.09,18.379999,18.77,63700,17.658166
2015-07-07,18.66,19.030001,18.18,18.99,44900,17.865133
2015-07-06,18.41,18.879999,18.360001,18.700001,57000,17.592312
2015-07-02,18.92,19.139999,18.559999,18.559999,116700,17.460604
2015-07-01,19.290001,19.32,18.719999,18.719999,75500,17.611126
2015-06-30,18.860001,19.40,18.33,19.16,60600,18.025063
2015-06-29,19.190001,19.549999,18.549999,18.91,152900,17.789872
2015-06-26,19.360001,19.60,19.00,19.27,44100,18.128548
2015-06-25,19.450001,19.450001,19.16,19.299999,39800,18.15677
2015-06-24,19.17,19.40,19.17,19.35,29400,18.203809
2015-06-23,19.50,19.50,19.110001,19.33,65200,18.184994
2015-06-22,19.40,19.57,19.110001,19.440001,87500,18.288478
2015-06-19,20.719999,20.77,19.299999,19.299999,116700,18.15677
2015-06-18,21.190001,21.190001,20.639999,20.639999,53600,19.417396
2015-06-17,21.23,21.309999,20.82,21.059999,48900,19.812517
2015-06-16,21.219999,21.59,20.99,21.02,36800,19.774887
2015-06-15,20.940001,21.200001,20.60,21.190001,31400,19.934818
2015-06-12,21.139999,21.360001,20.889999,21.17,19800,19.916002
2015-06-11,21.00,21.129999,20.85,21.110001,41100,19.859557
2015-06-10,20.620001,21.10,20.57,20.870001,24000,19.633773
2015-06-09,21.219999,21.219999,20.58,20.719999,38400,19.492657
2015-06-08,21.40,21.65,21.01,21.030001,42100,19.784295
2015-06-05,21.01,21.33,20.77,21.32,19200,20.057116
2015-06-04,21.809999,21.809999,21.00,21.02,27200,19.774887
2015-06-03,22.370001,22.370001,21.620001,21.700001,11600,20.414608
2015-06-02,21.42,21.809999,21.42,21.799999,17900,20.508683
2015-06-01,22.35,22.389999,21.309999,21.42,85500,20.151193
2015-05-29,22.23,22.48,22.110001,22.290001,46700,20.96966
2015-05-28,22.10,22.26,22.00,22.200001,17100,20.884991
2015-05-27,22.290001,22.309999,22.01,22.209999,20600,20.894397
2015-05-26,22.120001,22.200001,22.00,22.02,17800,20.715653
2015-05-22,22.23,22.40,21.879999,22.209999,37300,20.894397
2015-05-21,21.99,22.24,21.879999,22.139999,41900,20.828544
2015-05-20,22.120001,22.120001,21.77,21.93,42600,20.630984
2015-05-19,22.559999,22.58,21.860001,22.07,69600,20.76269
2015-05-18,22.76,22.76,22.35,22.50,63800,21.16722
2015-05-15,22.889999,22.889999,22.120001,22.67,108500,21.32715
2015-05-14,22.200001,23.040001,22.030001,22.66,131100,21.317742
2015-05-13,22.299999,22.299999,21.99,22.200001,66200,20.884991
2015-05-12,21.950001,22.200001,21.67,22.01,137500,20.706245
2015-05-11,22.25,22.25,21.75,21.870001,41800,20.574538
2015-05-08,22.290001,22.35,21.629999,22.120001,85900,20.80973
2015-05-07,21.889999,22.60,21.610001,22.040001,140800,20.734469
2015-05-06,22.690001,22.99,22.200001,22.290001,56400,20.96966
2015-05-05,23.01,23.040001,22.50,22.610001,50200,21.270704
2015-05-04,23.00,23.120001,22.60,22.940001,65300,21.581157
2015-05-01,22.60,22.75,22.280001,22.610001,39800,21.270704
2015-04-30,23.030001,23.389999,22.719999,23.110001,95300,21.256593
2015-04-29,22.440001,22.940001,22.40,22.68,105700,20.861079
2015-04-28,23.17,23.17,22.48,22.82,60700,20.98985
2015-04-27,23.030001,24.299999,22.780001,22.969999,133000,21.12782
2015-04-24,22.379999,23.129999,22.379999,22.940001,84300,21.100227
2015-04-23,22.389999,22.440001,22.02,22.370001,44300,20.575941
2015-04-22,22.00,22.25,21.809999,22.00,49700,20.235614
2015-04-21,22.41,22.690001,21.809999,22.00,85500,20.235614
2015-04-20,22.049999,23.049999,22.00,22.309999,111700,20.520752
2015-04-17,21.969999,22.290001,21.41,21.860001,62000,20.106843
2015-04-16,22.59,22.59,21.85,21.93,77300,20.171228
2015-04-15,22.10,22.700001,21.860001,22.59,97700,20.778297
2015-04-14,21.35,21.98,21.219999,21.93,144200,20.171228
2015-04-13,20.76,21.59,20.49,21.129999,136300,19.435387
2015-04-10,20.860001,20.950001,19.99,20.34,128700,18.708745
2015-04-09,21.049999,21.50,20.790001,20.950001,93800,19.269824
2015-04-08,20.52,21.059999,20.49,20.969999,59900,19.288219
2015-04-07,21.139999,21.49,20.57,20.75,94800,19.085863
2015-04-06,20.459999,21.200001,20.459999,21.120001,60800,19.42619
2015-04-02,21.059999,21.209999,20.370001,20.540001,50700,18.892706
2015-04-01,20.469999,21.01,20.34,20.860001,60000,19.187042
2015-03-31,19.879999,20.879999,19.870001,20.469999,76200,18.828318
2015-03-30,20.209999,20.389999,19.940001,20.07,23700,18.460399
2015-03-27,20.50,20.50,20.01,20.18,36400,18.561577
2015-03-26,20.620001,20.83,20.34,20.559999,29300,18.911101
2015-03-25,21.040001,21.190001,20.200001,20.43,51900,18.791527
2015-03-24,21.41,21.41,20.34,21.09,94600,19.398596
2015-03-23,20.35,21.60,20.27,21.59,152700,19.858496
2015-03-20,19.99,20.60,19.52,20.450001,581800,18.809924
2015-03-19,20.10,20.18,19.530001,19.700001,95700,18.120073
2015-03-18,19.620001,20.50,19.16,20.32,149300,18.690349
2015-03-17,19.26,19.860001,19.16,19.620001,122800,18.046489
2015-03-16,19.860001,19.860001,19.00,19.16,104900,17.62338
2015-03-13,19.620001,19.82,19.059999,19.76,102200,18.175261
2015-03-12,19.75,19.76,19.129999,19.58,91000,18.009696
2015-03-11,19.459999,19.75,19.030001,19.57,108700,18.000498
2015-03-10,19.459999,19.700001,18.969999,19.469999,105200,17.908518
2015-03-09,19.559999,19.93,19.309999,19.82,78400,18.230448
2015-03-06,19.700001,19.91,19.34,19.559999,42600,17.9913
2015-03-05,19.50,19.99,19.190001,19.75,80100,18.166063
2015-03-04,19.450001,19.49,19.059999,19.48,55900,17.917716
2015-03-03,19.290001,19.48,18.90,19.48,50100,17.917716
2015-03-02,19.59,19.60,19.26,19.379999,51200,17.825736
2015-02-27,19.43,19.549999,19.10,19.52,41400,17.954509
2015-02-26,19.309999,19.629999,18.870001,19.49,31100,17.926914
2015-02-25,19.110001,19.48,18.82,19.48,36300,17.917716
2015-02-24,19.00,19.50,18.98,19.08,76900,17.549796
2015-02-23,19.34,19.51,18.959999,19.50,77100,17.936112
2015-02-20,19.98,20.299999,19.10,19.440001,110600,17.880925
2015-02-19,19.860001,19.889999,19.549999,19.860001,54600,18.267241
2015-02-18,19.219999,19.77,18.93,19.67,78500,18.092479
2015-02-17,18.99,19.530001,18.719999,19.15,98300,17.614182
2015-02-13,18.68,19.629999,18.450001,19.07,80700,17.540598
2015-02-12,18.530001,19.10,18.459999,18.459999,25900,16.979519
2015-02-11,18.24,18.83,18.200001,18.43,54000,16.951926
2015-02-10,19.08,19.370001,18.280001,18.440001,64800,16.961124
2015-02-09,18.549999,19.84,18.43,19.08,115100,17.549796
2015-02-06,17.639999,18.459999,17.549999,18.459999,43900,16.979519
2015-02-05,17.09,17.559999,17.00,17.549999,75600,16.142501
2015-02-04,17.280001,17.440001,16.809999,17.030001,101100,15.664206
2015-02-03,17.370001,18.110001,17.18,17.389999,124000,15.995333
2015-02-02,16.90,17.389999,16.90,17.299999,81700,15.91255
2015-01-30,17.40,17.40,17.00,17.27,47300,15.884957
2015-01-29,17.690001,18.200001,16.889999,17.969999,124600,16.059719
2015-01-28,18.40,18.620001,17.57,17.690001,88500,15.809485
2015-01-27,18.379999,18.50,18.209999,18.450001,45500,16.488694
2015-01-26,18.49,18.629999,18.32,18.549999,121400,16.578063
2015-01-23,17.98,19.059999,17.50,18.43,189500,16.47082
2015-01-22,18.01,18.10,17.639999,17.98,95300,16.068656
2015-01-21,17.65,18.23,17.58,18.01,74600,16.095467
2015-01-20,17.129999,17.76,16.879999,17.629999,69900,15.755862
2015-01-16,16.200001,17.299999,16.200001,17.24,70000,15.407321
2015-01-15,15.77,16.08,15.57,15.85,103000,14.165084
2015-01-14,16.290001,16.60,15.68,15.75,207300,14.075714
2015-01-13,17.52,17.52,16.200001,16.610001,108100,14.844293
2015-01-12,17.98,17.98,16.879999,17.34,112800,15.496691
2015-01-09,17.889999,18.26,17.50,18.07,103400,16.149089
2015-01-08,17.32,18.110001,17.309999,17.75,165100,15.863106
2015-01-07,17.00,17.620001,16.540001,17.25,141900,15.416258
2015-01-06,16.719999,16.98,16.18,16.85,84900,15.05878
2015-01-05,17.27,17.65,16.40,16.860001,89400,15.067717
2015-01-02,16.209999,17.379999,16.209999,17.370001,38300,15.523503
2014-12-31,15.98,16.700001,15.98,16.59,184000,14.826419
2014-12-30,16.379999,16.559999,15.82,16.48,162500,14.728112
2014-12-29,16.52,16.809999,16.129999,16.48,159400,14.728112
2014-12-26,16.73,16.85,16.450001,16.620001,94700,14.85323
2014-12-24,16.99,17.00,16.07,16.73,78800,14.951536
2014-12-23,15.94,17.16,15.82,17.059999,211600,15.246455
2014-12-22,17.190001,17.190001,15.94,15.96,263500,14.26339
2014-12-19,16.129999,17.370001,15.91,17.059999,118300,15.246455
2014-12-18,17.00,17.00,15.56,16.129999,181300,14.415318
2014-12-17,15.00,16.469999,14.77,16.030001,136000,14.32595
2014-12-16,15.05,15.36,14.45,15.00,316500,13.405442
2014-12-15,17.110001,17.280001,15.21,15.29,233900,13.664614
2014-12-12,16.940001,17.07,16.459999,17.059999,184100,15.246455
2014-12-11,18.139999,18.200001,17.040001,17.10,289700,15.282204
2014-12-10,17.719999,18.77,17.50,18.17,130900,16.238459
2014-12-09,15.60,18.08,15.57,18.01,164800,16.095467
2014-12-08,18.84,18.84,16.66,17.27,254800,15.434133
2014-12-05,19.00,19.09,18.469999,19.059999,158400,17.033848
2014-12-04,19.18,19.40,18.92,19.07,107900,17.042785
2014-12-03,18.299999,19.209999,18.139999,19.139999,91200,17.105343
2014-12-02,17.92,18.84,17.92,18.620001,104000,16.640623
2014-12-01,18.99,18.99,16.25,18.10,256500,16.1759
2014-11-28,20.00,20.01,19.00,19.00,129300,16.980226
2014-11-26,20.85,20.85,20.26,20.440001,132600,18.267149
2014-11-25,21.08,21.299999,20.57,20.77,184800,18.562069
2014-11-24,21.26,21.26,21.01,21.07,106200,18.830177
2014-11-21,21.26,21.530001,21.07,21.26,248300,18.99998
2014-11-20,21.25,21.530001,21.07,21.299999,65600,19.035727
2014-11-19,21.32,21.65,21.120001,21.27,45300,19.008917
2014-11-18,21.24,21.719999,20.809999,21.620001,130900,19.321711
2014-11-17,20.90,21.639999,20.719999,21.459999,99100,19.178718
2014-11-14,20.780001,21.00,20.51,20.74,73400,18.535258
2014-11-13,22.00,22.049999,20.57,20.629999,170100,18.43695
2014-11-12,22.309999,22.60,22.139999,22.18,108500,19.82218
2014-11-11,22.709999,22.709999,21.75,22.60,100700,20.197533
2014-11-10,22.870001,23.209999,22.639999,22.860001,69500,20.429894
2014-11-07,23.41,23.639999,22.870001,22.870001,73100,20.438831
2014-11-06,23.219999,23.559999,22.809999,23.33,71900,20.849931
2014-11-05,23.190001,23.32,23.040001,23.18,67400,20.715877
2014-11-04,23.280001,23.34,22.73,23.16,48400,20.698002
2014-11-03,22.77,23.540001,22.77,23.34,55800,20.858868
2014-10-31,23.700001,23.700001,22.620001,22.799999,107700,20.376271
2014-10-30,24.639999,24.799999,23.610001,23.719999,78600,20.747154
2014-10-29,24.67,24.82,24.40,24.82,80400,21.709291
