Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,29.360001,29.50,29.299999,29.40,48400,28.760526
2015-10-08,29.00,29.299999,29.00,29.280001,41600,28.643137
2015-10-07,29.00,29.200001,29.00,29.110001,60300,28.476835
2015-10-06,29.00,29.17,28.629999,29.139999,65000,28.506181
2015-10-05,28.540001,29.01,28.379999,29.01,88000,28.379009
2015-10-02,28.129999,28.49,28.10,28.49,41900,27.870319
2015-10-01,28.10,28.309999,27.85,28.049999,56600,27.439889
2015-09-30,27.92,28.09,27.709999,28.09,70200,27.47902
2015-09-29,28.030001,28.190001,27.370001,27.639999,122800,27.038807
2015-09-28,28.299999,28.34,27.98,27.98,43600,27.371412
2015-09-25,28.26,28.50,28.200001,28.32,46200,27.704017
2015-09-24,28.209999,28.209999,28.00,28.18,38300,27.567063
2015-09-23,28.34,28.440001,28.190001,28.360001,32900,27.743148
2015-09-22,28.299999,28.440001,28.219999,28.26,31100,27.645322
2015-09-21,28.309999,28.58,28.309999,28.58,34700,27.958362
2015-09-18,28.40,28.639999,28.27,28.450001,22800,27.83119
2015-09-17,28.129999,28.68,28.10,28.50,45800,27.880102
2015-09-16,28.280001,28.33,28.059999,28.209999,47300,27.596409
2015-09-15,28.139999,28.52,28.059999,28.51,42500,27.742169
2015-09-14,27.91,28.139999,27.870001,28.059999,38400,27.304288
2015-09-11,28.15,28.15,27.459999,27.959999,34100,27.20698
2015-09-10,28.049999,28.24,27.85,28.15,42900,27.391864
2015-09-09,28.50,28.50,28.049999,28.049999,36400,27.294557
2015-09-08,28.059999,28.299999,27.84,28.299999,52600,27.537824
2015-09-04,27.84,27.85,27.50,27.76,41300,27.012368
2015-09-03,27.73,28.120001,27.65,27.90,68400,27.148597
2015-09-02,28.00,28.10,27.530001,27.60,62400,26.856677
2015-09-01,27.98,28.08,27.68,27.84,94000,27.090213
2015-08-31,28.67,28.67,28.120001,28.17,76700,27.411326
2015-08-28,28.00,28.82,28.00,28.82,58600,28.043819
2015-08-27,27.280001,28.110001,27.25,28.110001,103500,27.352942
2015-08-26,27.190001,27.25,26.709999,27.00,98200,26.272836
2015-08-25,27.809999,27.85,26.75,26.75,196400,26.029569
2015-08-24,28.10,28.110001,27.10,27.299999,283600,26.564756
2015-08-21,29.15,29.299999,28.85,28.85,86500,28.073012
2015-08-20,29.280001,29.43,29.10,29.23,48600,28.442777
2015-08-19,29.01,29.49,29.01,29.379999,77000,28.588737
2015-08-18,29.459999,29.620001,29.200001,29.200001,103300,28.413586
2015-08-17,29.799999,29.90,29.66,29.73,38800,28.929311
2015-08-14,29.68,29.889999,29.620001,29.889999,48400,28.938069
2015-08-13,29.58,29.700001,29.299999,29.700001,46100,28.754122
2015-08-12,29.27,29.610001,29.10,29.549999,51800,28.608898
2015-08-11,28.90,29.360001,28.90,29.360001,63300,28.42495
2015-08-10,29.049999,29.209999,28.92,29.08,85400,28.153867
2015-08-07,29.07,29.34,28.90,29.190001,68000,28.260364
2015-08-06,29.299999,29.35,29.09,29.219999,36800,28.289407
2015-08-05,29.51,29.76,29.309999,29.309999,41700,28.376541
2015-08-04,29.77,29.77,29.379999,29.469999,51600,28.531445
2015-08-03,29.629999,29.860001,29.57,29.709999,51500,28.763802
2015-07-31,29.450001,29.719999,29.450001,29.559999,77200,28.618579
2015-07-30,29.110001,29.51,29.110001,29.290001,56900,28.35718
2015-07-29,29.09,29.25,29.02,29.25,25300,28.318453
2015-07-28,28.799999,29.049999,28.74,29.049999,42000,28.124821
2015-07-27,28.75,29.10,28.75,28.75,64700,27.834376
2015-07-24,28.889999,29.059999,28.799999,28.879999,40900,27.960235
2015-07-23,29.35,29.35,28.84,28.92,64100,27.998962
2015-07-22,29.40,29.540001,29.299999,29.299999,38000,28.366859
2015-07-21,29.530001,29.639999,29.200001,29.469999,52900,28.531445
2015-07-20,29.76,29.76,29.469999,29.65,64800,28.705713
2015-07-17,30.01,30.01,29.780001,29.780001,35200,28.831574
2015-07-16,29.799999,30.040001,29.799999,30.040001,56500,29.083294
2015-07-15,29.780001,29.940001,29.610001,29.83,69900,28.879981
2015-07-14,29.90,30.00,29.799999,30.00,57600,28.898376
2015-07-13,29.92,30.00,29.809999,29.91,67500,28.81168
2015-07-10,29.51,30.00,29.50,30.00,75300,28.898376
2015-07-09,29.459999,29.52,29.299999,29.450001,70300,28.368573
2015-07-08,29.360001,29.60,29.34,29.40,53600,28.320408
2015-07-07,29.280001,29.51,29.200001,29.49,100800,28.407103
2015-07-06,29.08,29.32,29.08,29.16,50200,28.089221
2015-07-02,29.09,29.32,28.98,29.120001,45300,28.050691
2015-07-01,28.83,29.00,28.68,28.99,62200,27.925463
2015-06-30,28.799999,28.799999,28.549999,28.67,65700,27.617214
2015-06-29,29.00,29.15,28.50,28.559999,159500,27.511253
2015-06-26,29.15,29.299999,29.040001,29.129999,63200,28.060322
2015-06-25,29.59,29.59,29.16,29.16,76300,28.089221
2015-06-24,29.58,29.58,29.35,29.40,56900,28.320408
2015-06-23,29.65,29.799999,29.50,29.549999,48600,28.464899
2015-06-22,29.790001,29.84,29.610001,29.65,46000,28.561228
2015-06-19,29.559999,29.780001,29.530001,29.65,50200,28.561228
2015-06-18,29.27,29.67,29.27,29.549999,46600,28.464899
2015-06-17,29.139999,29.450001,29.09,29.280001,39300,28.204815
2015-06-16,29.07,29.26,29.07,29.110001,49300,28.041058
2015-06-15,29.08,29.440001,29.059999,29.280001,64200,28.05936
2015-06-12,29.09,29.16,29.00,29.030001,37100,27.819782
2015-06-11,29.02,29.200001,29.02,29.129999,47400,27.915611
2015-06-10,28.91,29.17,28.879999,29.00,79700,27.791032
2015-06-09,29.16,29.290001,28.85,28.85,114400,27.647285
2015-06-08,29.690001,29.690001,29.209999,29.209999,162600,27.992276
2015-06-05,29.77,29.77,29.50,29.639999,84800,28.40435
2015-06-04,30.02,30.17,29.82,29.870001,112700,28.624763
2015-06-03,30.60,30.60,30.049999,30.120001,82700,28.864341
2015-06-02,30.889999,30.889999,30.40,30.58,46900,29.305164
2015-06-01,30.799999,31.040001,30.77,30.91,53200,29.621406
2015-05-29,31.030001,31.030001,30.59,30.780001,39600,29.496827
2015-05-28,30.610001,30.950001,30.610001,30.879999,31500,29.592656
2015-05-27,30.549999,30.74,30.52,30.719999,33700,29.439327
2015-05-26,30.700001,30.700001,30.280001,30.42,104900,29.151834
2015-05-22,30.83,30.83,30.60,30.690001,47200,29.410579
2015-05-21,30.66,30.98,30.50,30.98,78200,29.688488
2015-05-20,30.540001,30.60,30.41,30.60,55100,29.32433
2015-05-19,30.15,30.50,30.110001,30.50,82400,29.228499
2015-05-18,30.299999,30.299999,30.139999,30.200001,43100,28.941006
2015-05-15,30.049999,30.389999,30.01,30.299999,76600,29.036836
2015-05-14,29.889999,29.98,29.790001,29.91,94300,28.663095
2015-05-13,30.09,30.09,29.700001,29.780001,76400,28.393812
2015-05-12,29.620001,29.98,29.610001,29.950001,83300,28.555899
2015-05-11,29.83,29.99,29.719999,29.809999,101000,28.422414
2015-05-08,29.75,29.790001,29.610001,29.68,56100,28.298466
2015-05-07,29.48,29.65,29.440001,29.49,55600,28.11731
2015-05-06,29.799999,29.83,29.290001,29.389999,79100,28.021964
2015-05-05,30.290001,30.379999,29.780001,29.85,92600,28.460553
2015-05-04,30.27,30.33,30.190001,30.219999,62500,28.813329
2015-05-01,29.98,30.18,29.860001,30.15,60100,28.746588
2015-04-30,30.25,30.25,29.889999,29.98,117300,28.584501
2015-04-29,30.23,30.50,30.049999,30.23,103000,28.822864
2015-04-28,30.10,30.309999,30.00,30.290001,52500,28.880073
2015-04-27,30.540001,30.67,30.15,30.15,98600,28.746588
2015-04-24,30.219999,30.50,30.15,30.360001,85200,28.946814
2015-04-23,30.129999,30.309999,30.10,30.23,60700,28.822864
2015-04-22,30.049999,30.110001,29.90,30.09,57100,28.689381
2015-04-21,30.18,30.280001,29.889999,29.91,65800,28.51776
2015-04-20,29.959999,30.42,29.959999,30.15,89100,28.746588
2015-04-17,30.00,30.08,29.889999,29.950001,61400,28.555899
2015-04-16,30.139999,30.18,30.02,30.049999,63200,28.651242
2015-04-15,30.08,30.309999,30.08,30.139999,69900,28.737053
2015-04-14,30.52,30.549999,30.190001,30.190001,56400,28.640755
2015-04-13,30.459999,30.57,30.459999,30.459999,51800,28.896899
2015-04-10,30.450001,30.709999,30.450001,30.49,34200,28.92536
2015-04-09,30.59,30.67,30.389999,30.40,67500,28.839978
2015-04-08,30.50,30.65,30.379999,30.51,50200,28.944334
2015-04-07,30.77,30.77,30.459999,30.540001,60800,28.972795
2015-04-06,30.33,30.809999,30.33,30.809999,60900,29.228938
2015-04-02,30.299999,30.469999,30.26,30.26,57100,28.707163
2015-04-01,30.32,30.34,30.00,30.27,89600,28.71665
2015-03-31,30.35,30.370001,30.15,30.26,49800,28.707163
2015-03-30,30.120001,30.299999,30.00,30.26,60500,28.707163
2015-03-27,29.879999,29.99,29.719999,29.950001,42000,28.413072
2015-03-26,30.02,30.209999,29.76,29.780001,72000,28.251795
2015-03-25,30.469999,30.60,30.17,30.200001,58500,28.650242
2015-03-24,30.51,30.58,30.389999,30.530001,188900,28.963308
2015-03-23,30.209999,30.76,30.209999,30.57,107800,29.001254
2015-03-20,30.129999,30.24,29.700001,30.23,85700,28.678702
2015-03-19,29.75,29.99,29.559999,29.99,128100,28.451018
2015-03-18,29.24,29.969999,29.219999,29.90,106800,28.365636
2015-03-17,29.290001,29.370001,29.129999,29.35,48100,27.843861
2015-03-16,29.24,29.42,29.110001,29.309999,60200,27.805913
2015-03-13,29.50,29.50,29.110001,29.280001,94000,27.634202
2015-03-12,29.299999,29.709999,29.299999,29.540001,63900,27.879588
2015-03-11,29.32,29.459999,29.129999,29.290001,107000,27.64364
2015-03-10,29.219999,29.530001,29.10,29.389999,171600,27.738018
2015-03-09,29.66,29.90,29.450001,29.459999,161200,27.804083
2015-03-06,30.879999,30.879999,29.77,29.82,279200,28.143848
2015-03-05,30.809999,31.09,30.809999,30.99,44400,29.248084
2015-03-04,30.969999,31.08,30.82,30.870001,51900,29.13483
2015-03-03,30.969999,31.08,30.809999,31.07,90400,29.323587
2015-03-02,31.23,31.299999,30.870001,31.110001,130700,29.36134
2015-02-27,31.309999,31.32,31.120001,31.32,57500,29.559535
2015-02-26,31.48,31.559999,31.24,31.32,65500,29.559535
2015-02-25,31.889999,31.889999,31.469999,31.559999,63400,29.786044
2015-02-24,31.620001,31.969999,31.610001,31.879999,87500,30.088057
2015-02-23,31.50,31.77,31.50,31.639999,70900,29.861548
2015-02-20,31.57,31.67,31.309999,31.530001,68400,29.757732
2015-02-19,31.709999,31.92,31.469999,31.559999,92200,29.786044
2015-02-18,30.969999,31.620001,30.959999,31.620001,72000,29.842673
2015-02-17,31.10,31.26,30.809999,30.91,94800,29.172581
2015-02-13,31.74,31.799999,31.01,31.01,162200,29.26696
2015-02-12,32.119999,32.27,31.74,31.74,127400,29.955927
2015-02-11,32.830002,32.830002,32.290001,32.32,81400,30.360813
2015-02-10,32.459999,32.860001,32.299999,32.759998,71200,30.77414
2015-02-09,32.959999,32.98,32.330002,32.400002,76600,30.435965
