Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,14.02,14.11,14.02,14.11,5000,13.938478
2015-10-08,14.02,14.08,14.02,14.03,7100,13.859451
2015-10-07,14.02,14.02,13.92,14.02,1800,13.849573
2015-10-06,14.07,14.07,14.07,14.07,3100,13.898965
2015-10-05,14.07,14.07,14.07,14.07,800,13.898965
2015-10-02,13.91,14.02,13.85,14.00,5100,13.829816
2015-10-01,13.98,14.05,13.98,14.00,1100,13.829816
2015-09-30,13.98,14.05,13.98,14.05,2700,13.879208
2015-09-29,14.05,14.05,13.92,14.05,4100,13.879208
2015-09-28,14.03,14.08,14.02,14.05,6600,13.879208
2015-09-25,13.92,14.03,13.91,14.01,8400,13.839695
2015-09-24,13.66,13.85,13.64,13.85,17900,13.68164
2015-09-23,13.80,13.80,13.80,13.80,800,13.632247
2015-09-22,13.70,13.90,13.70,13.88,1800,13.711275
2015-09-21,13.60,13.70,13.60,13.70,7000,13.533462
2015-09-18,13.71,13.71,13.61,13.61,2000,13.444556
2015-09-17,13.62,13.66,13.49,13.66,1300,13.493949
2015-09-16,13.79,13.79,13.56,13.57,6900,13.405043
2015-09-15,13.82,13.82,13.71,13.72,4600,13.55322
2015-09-14,13.98,13.98,13.81,13.93,1900,13.760667
2015-09-11,13.99,13.99,13.94,13.96,6400,13.790302
2015-09-10,13.86,13.99,13.86,13.99,4400,13.819937
2015-09-09,13.84,13.86,13.81,13.86,5400,13.691517
2015-09-08,13.93,13.93,13.80,13.81,4400,13.582855
2015-09-04,13.79,13.85,13.79,13.81,7300,13.582855
2015-09-03,13.70,13.80,13.68,13.80,14000,13.573019
2015-09-02,13.72,13.84,13.72,13.77,4100,13.543513
2015-09-01,13.68,13.79,13.61,13.75,23800,13.523841
2015-08-31,13.65,13.69,13.65,13.68,700,13.454993
2015-08-28,13.75,13.75,13.60,13.66,4700,13.435322
2015-08-27,13.67,13.70,13.44,13.65,21500,13.425486
2015-08-26,13.63,13.74,13.55,13.60,4900,13.376309
2015-08-25,13.70,13.70,13.58,13.69,5400,13.464828
2015-08-24,13.75,13.75,13.58,13.58,9400,13.356637
2015-08-21,13.88,13.88,13.54,13.65,28700,13.425486
2015-08-20,13.75,13.78,13.67,13.75,21200,13.523841
2015-08-19,13.72,13.73,13.65,13.67,4400,13.445157
2015-08-18,13.73,13.73,13.68,13.73,4800,13.50417
2015-08-17,13.63,13.72,13.62,13.71,9200,13.484499
2015-08-14,13.64,13.75,13.64,13.75,7300,13.523841
2015-08-13,13.64,13.67,13.64,13.67,1200,13.445157
2015-08-12,13.59,13.67,13.58,13.65,3000,13.425486
2015-08-11,13.51,13.74,13.51,13.65,9800,13.366473
2015-08-10,13.52,13.56,13.49,13.56,7000,13.278343
2015-08-07,13.50,13.55,13.42,13.53,12800,13.248965
2015-08-06,13.47,13.56,13.47,13.48,2600,13.200004
2015-08-05,13.52,13.58,13.44,13.46,9300,13.18042
2015-08-04,13.53,13.69,13.53,13.59,6100,13.307719
2015-08-03,13.56,13.64,13.56,13.61,8600,13.327304
2015-07-31,13.55,13.59,13.55,13.55,8400,13.26855
2015-07-30,13.50,13.52,13.48,13.51,6800,13.229381
2015-07-29,13.50,13.59,13.50,13.50,4300,13.219589
2015-07-28,13.48,13.49,13.45,13.48,9200,13.200004
2015-07-27,13.49,13.49,13.48,13.48,7900,13.200004
2015-07-24,13.52,13.54,13.35,13.48,20300,13.200004
2015-07-23,13.53,13.54,13.42,13.51,5400,13.229381
2015-07-22,13.47,13.52,13.44,13.45,2200,13.170627
2015-07-21,13.39,13.52,13.39,13.39,10600,13.111874
2015-07-20,13.49,13.51,13.43,13.47,6100,13.190212
