Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,10.36,10.53,10.30,10.45,2744100,10.33853
2015-10-08,10.15,10.38,10.02,10.37,2892400,10.259383
2015-10-07,10.13,10.49,9.97,10.12,2688900,10.01205
2015-10-06,9.83,10.01,9.80,10.01,2766600,9.903224
2015-10-05,9.80,9.88,9.73,9.82,2912200,9.71525
2015-10-02,9.13,9.61,9.07,9.59,3176200,9.487704
2015-10-01,9.26,9.28,9.06,9.22,3085600,9.121651
2015-09-30,9.33,9.35,9.04,9.13,3522200,9.009856
2015-09-29,8.76,9.07,8.72,9.03,2323800,8.911172
2015-09-28,9.13,9.13,8.78,8.80,4182100,8.684199
2015-09-25,9.29,9.31,9.03,9.19,2907700,9.069066
2015-09-24,8.70,9.21,8.66,9.18,4321600,9.059199
2015-09-23,9.51,9.57,9.13,9.14,3152000,9.019725
2015-09-22,9.69,9.75,9.48,9.65,3867100,9.523013
2015-09-21,10.21,10.22,9.96,10.01,2396200,9.878276
2015-09-18,10.42,10.49,10.12,10.18,3842200,10.046039
2015-09-17,10.47,10.88,10.42,10.66,2818400,10.519723
2015-09-16,10.52,10.79,10.49,10.71,3379400,10.569065
2015-09-15,10.58,10.63,10.38,10.44,5989800,10.302617
2015-09-14,10.29,10.61,10.18,10.52,3347200,10.381566
2015-09-11,10.33,10.37,10.14,10.20,2101900,10.065776
2015-09-10,10.20,10.47,10.11,10.39,3146300,10.253276
2015-09-09,10.79,10.98,10.46,10.48,2067900,10.342091
2015-09-08,10.72,10.80,10.49,10.53,2383700,10.391433
2015-09-04,10.54,10.60,10.40,10.46,4312900,10.322355
2015-09-03,10.68,10.88,10.65,10.78,3225000,10.638143
2015-09-02,10.76,10.88,10.61,10.79,3549900,10.648012
2015-09-01,10.75,10.85,10.55,10.71,4006600,10.569065
2015-08-31,10.90,11.14,10.69,11.13,3885400,10.943077
2015-08-28,11.31,11.50,11.11,11.19,2674300,11.002069
2015-08-27,11.22,11.53,11.20,11.50,3309500,11.306863
2015-08-26,10.87,11.09,10.63,11.08,3096400,10.893917
2015-08-25,11.11,11.14,10.66,10.67,4036000,10.490803
2015-08-24,10.55,10.77,10.37,10.62,5137200,10.441642
2015-08-21,11.45,11.52,11.25,11.25,3009600,11.061062
2015-08-20,11.59,11.68,11.45,11.54,2628800,11.346191
2015-08-19,11.84,11.91,11.48,11.66,2463500,11.464176
2015-08-18,11.57,12.19,11.48,12.05,4511800,11.847626
2015-08-17,11.54,11.67,11.50,11.62,2683300,11.424848
2015-08-14,11.75,11.75,11.59,11.64,2613300,11.444512
2015-08-13,11.79,11.80,11.50,11.61,2847700,11.415015
2015-08-12,12.08,12.10,11.73,11.83,4298500,11.631321
2015-08-11,12.55,12.56,12.13,12.29,3731500,12.083596
2015-08-10,11.99,12.86,11.98,12.82,4641000,12.604694
2015-08-07,12.16,12.30,11.90,11.91,2466700,11.709977
2015-08-06,12.49,12.61,12.19,12.29,3148000,12.083596
2015-08-05,12.42,12.68,12.38,12.64,4013500,12.427718
2015-08-04,12.64,12.71,12.22,12.31,4625100,12.10326
2015-08-03,12.91,12.95,12.56,12.64,3916000,12.427718
2015-07-31,13.10,13.34,12.90,13.02,6358900,12.760041
2015-07-30,13.61,13.64,12.63,13.08,17238000,12.818843
2015-07-29,12.89,13.59,12.87,13.32,4276300,13.054051
2015-07-28,12.23,12.32,11.97,12.27,3277700,12.025016
2015-07-27,12.26,12.38,12.12,12.24,2179400,11.995614
2015-07-24,12.49,12.50,12.23,12.31,2334200,12.064217
2015-07-23,12.58,12.82,12.48,12.64,3399500,12.387629
2015-07-22,13.20,13.21,12.70,12.73,4918100,12.475831
2015-07-21,13.50,13.56,13.40,13.47,2070500,13.201057
2015-07-20,13.54,13.54,13.37,13.45,1999500,13.181455
2015-07-17,13.85,13.86,13.50,13.55,1694700,13.279459
2015-07-16,13.98,14.01,13.68,13.89,2226500,13.612671
2015-07-15,13.62,13.90,13.60,13.78,1482500,13.504867
2015-07-14,13.78,14.00,13.71,13.82,1755100,13.544068
2015-07-13,13.63,13.84,13.56,13.81,1620000,13.534268
2015-07-10,13.56,13.63,13.38,13.61,3625800,13.338261
2015-07-09,13.70,13.75,13.36,13.45,3074700,13.181455
2015-07-08,13.63,13.78,13.48,13.49,2001900,13.220657
2015-07-07,13.92,13.95,13.67,13.86,2388800,13.583269
2015-07-06,13.91,14.09,13.91,14.09,1583900,13.808677
2015-07-02,14.19,14.40,14.11,14.31,1498200,14.024285
2015-07-01,14.04,14.06,13.90,13.98,2430900,13.700873
2015-06-30,13.88,14.04,13.78,13.93,2387100,13.651872
2015-06-29,13.83,13.84,13.61,13.69,1958800,13.416663
2015-06-26,13.93,14.34,13.89,14.15,1914200,13.867479
