Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,42.43,43.200001,41.990002,43.07,31000,42.761549
2015-10-08,41.889999,42.43,41.889999,42.290001,29500,41.987136
2015-10-07,41.00,42.150002,40.970001,42.09,53600,41.788568
2015-10-06,41.91,42.110001,40.990002,41.060001,30300,40.765945
2015-10-05,41.389999,42.599998,41.389999,41.93,49200,41.629714
2015-10-02,40.709999,41.220001,40.16,41.200001,23000,40.904942
2015-10-01,41.720001,41.880001,40.84,40.889999,39100,40.597161
2015-09-30,41.970001,42.110001,41.419998,41.75,39800,41.451002
2015-09-29,41.220001,41.810001,41.099998,41.580002,24900,41.282222
2015-09-28,41.52,41.900002,41.060001,41.32,41900,41.024082
2015-09-25,42.50,42.57,41.290001,41.470001,54600,41.173009
2015-09-24,42.279999,42.720001,41.790001,42.360001,38400,42.056634
2015-09-23,42.75,42.75,41.09,42.509998,95900,42.205558
2015-09-22,42.560001,42.709999,41.860001,42.48,46500,42.175774
2015-09-21,43.110001,43.259998,42.650002,42.889999,22400,42.582838
2015-09-18,42.919998,43.360001,42.360001,42.549999,110400,42.245272
2015-09-17,42.580002,43.990002,42.299999,43.450001,51000,43.138828
2015-09-16,42.959999,43.459999,42.279999,42.369999,37200,42.066561
2015-09-15,42.73,43.119999,42.150002,42.869999,33900,42.56298
2015-09-14,43.029999,43.610001,42.400002,42.599998,50000,42.294914
2015-09-11,43.00,43.759998,42.50,43.080002,64100,42.771479
2015-09-10,42.50,43.549999,42.189999,43.279999,47300,42.970044
2015-09-09,43.759998,43.849998,42.240002,42.490002,41100,42.185705
2015-09-08,41.52,43.939999,41.290001,43.459999,64800,43.148755
2015-09-04,41.889999,42.400002,41.360001,41.790001,71000,41.490717
2015-09-03,41.93,42.619999,41.669998,42.189999,67700,41.88785
2015-09-02,41.200001,41.740002,41.00,41.720001,46300,41.421219
2015-09-01,40.389999,41.080002,40.18,40.799999,103300,40.507805
2015-08-31,40.490002,40.740002,40.07,40.650002,35000,40.358882
2015-08-28,40.32,40.59,39.970001,40.509998,32300,40.219881
