Date,Open,High,Low,Close,Volume,Adj Close
2015-10-09,7.23,7.51,7.17,7.20,311800,7.178947
2015-10-08,7.14,7.23,7.12,7.23,361400,7.20886
2015-10-07,6.98,7.19,6.90,7.15,146300,7.129094
2015-10-06,7.00,7.03,6.92,6.93,213400,6.909737
2015-10-05,6.53,7.03,6.50,7.01,188100,6.989503
2015-10-02,6.42,6.56,6.38,6.48,262600,6.461053
2015-10-01,6.44,6.52,6.38,6.45,158300,6.43114
2015-09-30,6.59,6.63,6.36,6.40,201600,6.381287
2015-09-29,6.63,6.63,6.44,6.56,161600,6.540819
2015-09-28,6.73,6.73,6.60,6.61,144000,6.590673
2015-09-25,6.80,6.81,6.64,6.75,242300,6.730263
2015-09-24,6.65,6.76,6.58,6.75,143600,6.730263
2015-09-23,6.99,6.99,6.62,6.69,201900,6.670439
2015-09-22,6.89,7.05,6.89,6.95,233800,6.929678
2015-09-21,7.06,7.22,6.98,6.98,134400,6.959591
2015-09-18,6.88,7.12,6.88,7.04,1064800,7.019415
2015-09-17,6.96,7.10,6.94,7.02,361400,6.999474
2015-09-16,6.92,7.06,6.88,6.97,137300,6.94962
2015-09-15,7.03,7.07,6.83,6.87,182900,6.849912
2015-09-14,7.06,7.07,6.91,7.00,214100,6.979532
2015-09-11,7.14,7.16,7.00,7.06,105400,7.039357
2015-09-10,7.35,7.40,7.00,7.20,285200,7.178947
2015-09-09,7.66,7.66,7.35,7.39,159300,7.368392
2015-09-08,7.70,7.72,7.55,7.58,78800,7.557836
2015-09-04,7.56,7.66,7.53,7.55,95300,7.527924
2015-09-03,7.64,7.76,7.62,7.68,96100,7.657544
2015-09-02,7.64,7.67,7.52,7.62,158700,7.597719
2015-09-01,7.62,7.80,7.56,7.58,191900,7.557836
2015-08-31,7.73,7.90,7.72,7.79,196000,7.767222
2015-08-28,7.46,7.77,7.46,7.76,195400,7.73731
2015-08-27,7.45,7.49,7.23,7.48,321100,7.458129
2015-08-26,7.56,7.66,7.29,7.37,163500,7.34845
2015-08-25,8.02,8.02,7.31,7.38,227000,7.358421
2015-08-24,7.87,7.92,7.70,7.70,199100,7.677485
2015-08-21,8.14,8.34,7.99,8.27,223000,8.245819
2015-08-20,8.36,8.36,8.26,8.29,376300,8.26576
2015-08-19,8.60,8.60,8.41,8.45,142500,8.425292
2015-08-18,8.66,8.76,8.54,8.67,154100,8.644649
2015-08-17,8.60,8.78,8.58,8.66,194100,8.634678
2015-08-14,8.61,8.70,8.55,8.65,141100,8.624707
2015-08-13,8.68,8.78,8.57,8.59,184700,8.564883
2015-08-12,8.61,8.76,8.50,8.70,292900,8.674561
2015-08-11,8.72,8.80,8.66,8.70,127900,8.674561
2015-08-10,8.67,8.80,8.67,8.80,169600,8.774269
2015-08-07,8.75,9.03,8.58,8.62,124000,8.594795
2015-08-06,9.02,9.20,8.54,8.84,173400,8.814152
2015-08-05,8.76,8.91,8.71,8.76,110500,8.734386
2015-08-04,8.81,8.90,8.62,8.69,139400,8.66459
2015-08-03,8.86,8.90,8.55,8.80,111600,8.774269
2015-07-31,8.55,8.97,8.53,8.84,160600,8.814152
2015-07-30,8.57,8.68,8.46,8.51,71600,8.485117
2015-07-29,8.59,8.89,8.56,8.68,91800,8.624708
2015-07-28,8.55,8.59,8.39,8.57,97300,8.515408
2015-07-27,8.51,8.65,8.41,8.50,83800,8.445854
2015-07-24,8.53,8.53,8.39,8.42,81300,8.366364
2015-07-23,8.81,8.81,8.51,8.57,112500,8.515408
2015-07-22,8.83,8.87,8.77,8.80,35200,8.743944
2015-07-21,9.05,9.05,8.81,8.83,54200,8.773752
2015-07-20,9.19,9.19,9.00,9.05,67100,8.992351
2015-07-17,9.35,9.35,9.17,9.19,96000,9.131459
2015-07-16,9.35,9.49,9.30,9.37,76700,9.310312
2015-07-15,9.23,9.32,9.10,9.28,82300,9.220886
2015-07-14,9.22,9.25,9.16,9.18,109800,9.121523
2015-07-13,9.17,9.28,9.14,9.24,112300,9.18114
2015-07-10,8.83,9.15,8.77,9.12,119200,9.061905
2015-07-09,8.76,8.80,8.62,8.70,237800,8.64458
2015-07-08,8.81,8.96,8.56,8.68,168900,8.624708
2015-07-07,9.14,9.14,8.78,8.93,125800,8.873116
2015-07-06,9.10,9.17,9.04,9.05,84000,8.992351
2015-07-02,9.35,9.35,9.04,9.16,65100,9.10165
2015-07-01,9.36,9.47,9.19,9.31,94400,9.250695
2015-06-30,9.21,9.21,9.03,9.18,167900,9.121523
2015-06-29,9.51,9.52,9.10,9.13,95300,9.071841
2015-06-26,9.22,9.59,9.17,9.57,299900,9.509038
2015-06-25,9.22,9.22,9.09,9.17,66900,9.111587
2015-06-24,9.29,9.29,9.12,9.16,70900,9.10165
2015-06-23,9.40,9.52,9.30,9.33,94700,9.270567
2015-06-22,9.25,9.39,9.13,9.37,94300,9.310312
2015-06-19,9.24,9.41,9.22,9.24,199400,9.18114
2015-06-18,9.12,9.37,9.07,9.21,112200,9.151332
2015-06-17,9.22,9.28,9.04,9.09,80000,9.032096
2015-06-16,9.22,9.34,9.10,9.18,126500,9.121523
2015-06-15,9.35,9.35,9.18,9.23,242500,9.171204
2015-06-12,9.63,9.75,9.24,9.46,119200,9.399739
2015-06-11,9.75,9.80,9.58,9.64,51300,9.578593
2015-06-10,9.61,9.80,9.61,9.74,169700,9.677955
2015-06-09,9.54,9.58,9.35,9.53,124700,9.469293
2015-06-08,9.56,9.58,9.44,9.53,67600,9.469293
2015-06-05,9.63,9.67,9.41,9.55,101300,9.489166
2015-06-04,9.82,9.89,9.59,9.62,72600,9.55872
2015-06-03,9.83,9.96,9.81,9.90,90100,9.836936
2015-06-02,9.76,9.89,9.76,9.83,90700,9.767382
2015-06-01,9.85,9.86,9.65,9.83,90100,9.767382
2015-05-29,9.94,10.00,9.75,9.78,138100,9.7177
2015-05-28,10.08,10.10,9.89,9.98,110400,9.916426
2015-05-27,10.03,10.16,9.99,10.12,305000,10.025726
2015-05-26,10.15,10.21,9.93,10.03,166200,9.936564
